Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,55.75,56.19,55.43,55.92,2140200,0.0,0
2009-12-08,55.6,55.78,54.74,55.2,1400500,0.0,0
2009-12-09,54.65,54.65,52.91,53.6,5475400,0.0,0
2009-12-10,53.68,54.15,53.47,54.01,3215100,0.0,0
2009-12-11,54.37,55.06,54.05,54.58,2844500,0.0,0
2009-12-14,54.77,55.71,54.6,55.32,3194000,0.0,0
2009-12-15,55.09,55.33,54.84,55.17,2545500,0.0,0
2009-12-16,55.59,55.78,55.03,55.06,2362400,0.0,0
2009-12-17,54.83,54.95,54.04,54.08,4610100,0.0,0
2009-12-18,54.3,54.45,53.86,54.27,3271000,0.0,0
2009-12-21,54.3,55.03,54.15,54.22,2558500,0.0,0
2009-12-22,54.07,54.65,53.61,53.78,1947900,0.0,0
2009-12-23,53.98,54.08,53.41,53.48,2211000,0.0,0
2009-12-24,53.75,53.81,53.28,53.39,828800,0.0,0
2009-12-28,53.4,53.86,53.15,53.81,1672000,0.0,0
2009-12-29,54.0,54.89,54.0,54.49,2303900,0.0,0
2009-12-30,54.23,54.79,53.9,54.11,1673800,0.0,0
2009-12-31,54.24,54.3,53.45,53.56,1414000,0.0,0
2010-01-04,53.93,54.7,53.68,54.63,2408300,0.0,0
2010-01-05,54.47,55.3,54.42,55.2,2356500,0.0,0
2010-01-06,54.1,54.87,53.92,54.39,5208100,0.0,0
2010-01-07,54.15,54.17,52.33,52.89,7038300,0.0,0
2010-01-08,52.85,53.98,52.83,53.75,3629400,0.0,0
2010-01-11,53.85,54.16,53.45,54.0,1973500,0.0,0
2010-01-12,53.85,54.36,53.53,54.0,2119000,0.0,0
2010-01-13,54.14,54.75,53.82,54.65,2245100,0.0,0
2010-01-14,54.59,54.76,54.13,54.62,1954500,0.0,0
2010-01-15,54.71,54.87,54.26,54.57,2041900,0.0,0
2010-01-19,54.59,55.94,54.42,55.67,3765500,0.0,0
2010-01-20,55.31,55.66,54.61,55.52,3128200,0.0,0
2010-01-21,55.48,55.86,54.36,54.72,2304400,0.0,0
2010-01-22,54.56,54.96,53.67,53.73,2072100,0.0,0
2010-01-25,54.2,55.08,53.9,54.57,2559200,0.0,0
2010-01-26,54.32,54.98,53.92,54.58,2835100,0.0,0
2010-01-27,54.52,54.98,54.02,54.83,3054500,0.0,0
2010-01-28,55.75,55.78,53.49,54.13,3542400,0.0,0
2010-01-29,54.14,54.34,52.87,52.97,3249800,0.0,0
2010-02-01,53.56,53.56,52.8,53.24,2781100,0.0,0
2010-02-02,53.31,54.57,53.24,54.42,2995600,0.0,0
2010-02-03,54.15,54.7,53.91,54.52,2647600,0.0,0
2010-02-04,54.2,54.82,53.99,54.02,4992800,0.0,0
2010-02-05,53.92,54.47,52.63,53.83,5029700,0.0,0
2010-02-08,53.8,53.93,52.94,52.98,4308100,0.0,0
2010-02-09,53.43,54.02,53.1,53.63,3697800,0.0,0
2010-02-10,53.56,53.73,53.1,53.39,2798600,0.0,0
2010-02-11,53.24,54.32,52.97,54.27,3432500,0.0,0
2010-02-12,53.83,54.0,53.33,53.73,2478500,0.0,0
2010-02-16,53.97,54.26,53.66,54.05,2531400,0.0,0
2010-02-17,54.13,54.57,53.68,54.29,2060100,0.0,0
2010-02-18,54.15,55.05,54.13,54.97,2687400,0.0,0
2010-02-19,54.87,55.06,54.48,54.89,2801000,0.0,0
2010-02-22,54.87,55.25,54.42,54.69,3029100,0.0,0
2010-02-23,54.62,55.48,54.55,54.66,2900000,0.0,0
2010-02-24,54.86,55.23,54.69,55.13,2379300,0.0,0
2010-02-25,54.47,55.21,54.2,55.18,2047900,0.63,0
2010-02-26,55.11,55.86,54.97,55.73,2636000,0.0,0
2010-03-01,55.72,56.92,55.68,56.52,2436600,0.0,0
2010-03-02,56.78,57.4,56.6,56.77,2727900,0.0,0
2010-03-03,57.14,57.37,56.42,56.51,1958900,0.0,0
2010-03-04,56.75,57.21,56.34,56.81,1850000,0.0,0
2010-03-05,56.92,58.29,56.92,58.24,3194500,0.0,0
2010-03-08,58.19,58.75,58.1,58.12,2440100,0.0,0
2010-03-09,58.06,59.09,57.94,58.93,2553800,0.0,0
2010-03-10,59.12,59.46,58.93,59.18,2308000,0.0,0
2010-03-11,58.91,59.66,57.56,59.51,3114300,0.0,0
2010-03-12,59.55,59.73,59.18,59.55,2008600,0.0,0
2010-03-15,59.58,60.39,59.53,60.29,2630900,0.0,0
