Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,9.95,10.04,9.92,9.97,1781000,0.0,0.0
2009-12-08,9.96,10.11,9.87,10.05,1470000,0.0,0.0
2009-12-09,10.06,10.08,9.98,10.07,1421800,0.0,0.0
2009-12-10,10.13,10.22,10.05,10.15,1220600,0.0,0.0
2009-12-11,10.22,10.38,10.16,10.38,1064600,0.0,0.0
2009-12-14,10.41,10.56,10.39,10.45,1533400,0.0,0.0
2009-12-15,10.4,10.4,10.24,10.38,1485600,0.0,0.0
2009-12-16,10.44,10.48,10.35,10.45,1443600,0.0,0.0
2009-12-17,10.37,10.4,10.22,10.25,2178800,0.0,0.0
2009-12-18,10.26,10.46,10.26,10.38,2880200,0.0,0.0
2009-12-21,10.45,10.59,10.38,10.48,1007600,0.0,0.0
2009-12-22,10.52,10.57,10.45,10.51,1018000,0.0,0.0
2009-12-23,10.48,10.58,10.45,10.54,1128600,0.0,0.0
2009-12-24,10.52,10.74,10.52,10.62,325400,0.0,0.0
2009-12-28,10.67,10.7,10.51,10.52,1113000,0.0,0.0
2009-12-29,10.56,10.63,10.5,10.52,1119600,0.0,0.0
2009-12-30,10.5,10.52,10.29,10.47,1774800,0.0,0.0
2009-12-31,10.51,10.54,10.29,10.3,1150400,0.0,0.0
2010-01-04,10.38,10.45,10.3,10.33,1332800,0.0,0.0
2010-01-05,10.34,10.59,10.32,10.58,3684600,0.0,0.0
2010-01-06,10.54,10.73,10.54,10.66,2092400,0.0,0.0
2010-01-07,10.63,10.75,10.57,10.72,1404400,0.0,0.0
2010-01-08,10.98,11.32,10.77,10.92,2466200,0.0,0.0
2010-01-11,11.01,11.04,10.85,10.9,1471200,0.0,0.0
2010-01-12,10.85,11.01,10.85,10.9,1424400,0.0,0.0
2010-01-13,10.96,11.05,10.9,11.01,1657400,0.0,0.0
2010-01-14,10.98,11.14,10.95,11.13,2864200,0.0,0.0
2010-01-15,11.12,11.18,11.07,11.14,1978200,0.0,0.0
2010-01-19,11.17,11.34,11.12,11.29,1636400,0.0,0.0
2010-01-20,11.21,11.25,11.09,11.22,1662200,0.0,0.0
2010-01-21,11.2,11.35,11.09,11.17,2532000,0.0,0.0
2010-01-22,11.17,11.23,10.86,10.88,2004800,0.0,0.0
2010-01-25,10.98,10.99,10.77,10.84,2595400,0.0,0.0
2010-01-26,10.84,10.86,10.69,10.81,3661000,0.0,0.0
2010-01-27,10.79,10.79,10.57,10.72,2056400,0.1975,0.0
2010-01-28,10.73,10.85,10.65,10.78,1860400,0.0,0.0
2010-01-29,10.79,10.88,10.72,10.76,2795800,0.0,0.0
2010-02-01,10.81,10.81,10.64,10.8,1603800,0.0,0.0
2010-02-02,10.83,10.91,10.66,10.9,2437600,0.0,0.0
2010-02-03,10.89,10.94,10.78,10.84,1962800,0.0,0.0
2010-02-04,10.9,11.0,10.52,10.55,1778400,0.0,0.0
2010-02-05,10.54,10.6,10.39,10.59,2423200,0.0,0.0
2010-02-08,10.63,10.69,10.55,10.56,1696000,0.0,0.0
2010-02-09,10.6,10.73,10.55,10.62,816600,0.0,0.0
2010-02-10,10.58,10.64,10.47,10.56,1008800,0.0,0.0
2010-02-11,10.55,10.66,10.45,10.66,1111000,0.0,0.0
2010-02-12,10.6,10.69,10.51,10.68,2468800,0.0,0.0
2010-02-16,10.77,10.93,10.77,10.92,1185600,0.0,0.0
2010-02-17,10.92,10.99,10.8,10.9,1070200,0.0,0.0
2010-02-18,10.91,11.02,10.88,11.0,922000,0.0,0.0
2010-02-19,10.96,11.2,10.94,11.18,1004800,0.0,0.0
2010-02-22,11.21,11.32,11.13,11.18,839200,0.0,0.0
2010-02-23,11.13,11.19,11.04,11.06,1144600,0.0,0.0
2010-02-24,11.07,11.1,10.93,11.04,982800,0.0,0.0
2010-02-25,10.93,10.95,10.79,10.94,1317400,0.0,0.0
2010-02-26,10.97,10.97,10.85,10.91,905000,0.0,0.0
2010-03-01,10.96,11.11,10.96,11.11,1084400,0.0,0.0
2010-03-02,11.13,11.28,11.12,11.27,1168400,0.0,0.0
2010-03-03,11.26,11.32,11.17,11.2,900400,0.0,0.0
2010-03-04,11.24,11.24,11.08,11.21,1084600,0.0,0.0
2010-03-05,11.29,11.34,11.21,11.33,948800,0.0,0.0
2010-03-08,11.29,11.44,11.29,11.41,1316400,0.0,0.0
2010-03-09,11.41,11.45,11.32,11.41,992800,0.0,0.0
2010-03-10,11.4,11.45,11.33,11.44,924600,0.0,0.0
2010-03-11,11.37,11.56,11.35,11.56,1072400,0.0,0.0
2010-03-12,11.62,11.64,11.55,11.64,2194000,0.0,0.0
2010-03-15,11.61,11.68,11.55,11.59,961000,0.0,0.0
2010-03-16,11.59,11.64,11.52,11.55,2727200,0.0,0.0
2010-03-17,11.6,11.66,11.55,11.65,900800,0.0,0.0
2010-03-18,11.57,11.59,11.11,11.2,4559400,0.0,0.0
2010-03-19,11.28,11.28,11.15,11.28,3366400,0.0,0.0
2010-03-22,11.24,11.35,11.19,11.32,1554600,0.0,0.0
2010-03-23,11.32,11.59,11.3,11.54,2358200,0.0,0.0
2010-03-24,11.54,11.54,11.45,11.45,1512200,0.0,0.0
2010-03-25,11.54,11.56,11.42,11.44,1204800,0.0,0.0
2010-03-26,11.46,11.53,11.4,11.43,2643800,0.0,0.0
2010-03-29,11.46,11.55,11.45,11.53,1221400,0.0,0.0
2010-03-30,11.57,11.58,11.48,11.51,1207600,0.0,0.0
2010-03-31,11.5,11.59,11.45,11.47,1866800,0.0,0.0
2010-04-01,11.51,11.65,11.49,11.65,1190000,0.0,0.0
2010-04-05,11.66,11.78,11.64,11.7,1043200,0.0,0.0
2010-04-06,11.61,11.79,11.51,11.78,1028200,0.0,0.0
2010-04-07,11.73,11.77,11.59,11.68,877600,0.0,0.0
2010-04-08,11.65,11.65,11.52,11.6,872600,0.0,0.0
2010-04-09,11.62,11.62,11.41,11.59,1109000,0.0,0.0
2010-04-12,11.57,11.65,11.56,11.64,606400,0.0,0.0
2010-04-13,11.62,11.64,11.55,11.64,1203400,0.0,0.0
2010-04-14,11.66,11.88,11.64,11.83,1793000,0.0,0.0
2010-04-15,11.79,12.07,11.79,11.92,1874800,0.0,0.0
2010-04-16,11.88,11.97,11.84,11.89,2421600,0.0,0.0
2010-04-19,11.89,11.91,11.8,11.89,857200,0.0,0.0
2010-04-20,11.95,12.07,11.88,12.05,1256400,0.0,0.0
2010-04-21,12.05,12.23,12.05,12.19,1548800,0.0,0.0
2010-04-22,12.15,12.32,12.08,12.32,1410000,0.0,0.0
2010-04-23,12.33,12.33,12.21,12.29,1265800,0.0,0.0
2010-04-26,12.23,12.31,12.18,12.19,1193400,0.0,0.0
2010-04-27,12.12,12.13,11.78,11.79,2494400,0.0,0.0
2010-04-28,11.9,11.94,11.74,11.8,4027600,0.1975,0.0
2010-04-29,11.83,11.97,11.75,11.91,2077800,0.0,0.0
2010-04-30,11.93,12.09,11.91,11.93,1632800,0.0,0.0
2010-05-03,11.96,12.07,11.89,12.05,1569800,0.0,0.0
2010-05-04,11.35,11.98,11.13,11.74,1910000,0.0,0.0
2010-05-05,11.69,11.75,11.54,11.69,1788600,0.0,0.0
2010-05-06,11.6,11.9,10.19,11.23,3029600,0.0,0.0
2010-05-07,11.21,11.35,10.98,11.08,3250800,0.0,0.0
2010-05-10,11.48,11.62,11.38,11.61,1886600,0.0,0.0
2010-05-11,11.48,11.86,11.47,11.76,2135800,0.0,0.0
2010-05-12,11.82,11.95,11.73,11.91,2059000,0.0,0.0
2010-05-13,11.87,12.04,11.87,11.94,2820000,0.0,0.0
2010-05-14,11.89,11.93,11.79,11.9,1742600,0.0,0.0
2010-05-17,11.98,12.07,11.83,12.04,2713000,0.0,0.0
2010-05-18,12.1,12.25,11.95,11.96,3157800,0.0,0.0
2010-05-19,11.94,11.95,11.61,11.7,1575200,0.0,0.0
2010-05-20,11.47,11.47,11.18,11.2,2439400,0.0,0.0
2010-05-21,11.06,11.1,10.94,11.09,4623600,0.0,0.0
2010-05-24,11.03,11.15,10.99,11.02,2956400,0.0,0.0
2010-05-25,10.78,10.89,10.6,10.86,3035200,0.0,0.0
2010-05-26,10.93,11.05,10.86,10.89,1578600,0.0,0.0
2010-05-27,11.09,11.2,11.01,11.18,1670200,0.0,0.0
2010-05-28,11.16,11.35,11.16,11.21,2262400,0.0,0.0
2010-06-01,11.15,11.24,11.0,11.01,2386600,0.0,0.0
2010-06-02,11.03,11.25,10.99,11.23,1167600,0.0,0.0
2010-06-03,11.29,11.45,11.23,11.41,1749400,0.0,0.0
2010-06-04,11.23,11.29,10.93,10.95,2033600,0.0,0.0
2010-06-07,10.97,11.21,10.96,11.01,1301400,0.0,0.0
2010-06-08,11.0,11.08,10.9,11.06,1435600,0.0,0.0
2010-06-09,11.15,11.23,11.01,11.05,1208200,0.0,0.0
2010-06-10,11.18,11.33,11.16,11.29,1567000,0.0,0.0
2010-06-11,11.17,11.32,11.14,11.3,1432600,0.0,0.0
2010-06-14,11.38,11.47,11.28,11.32,1314200,0.0,0.0
2010-06-15,11.38,11.55,11.38,11.54,1626600,0.0,0.0
2010-06-16,11.49,11.74,11.48,11.71,1180400,0.0,0.0
2010-06-17,11.76,11.82,11.67,11.82,1035600,0.0,0.0
2010-06-18,11.55,11.8,11.54,11.7,1056200,0.0,0.0
2010-06-21,11.79,11.83,11.51,11.56,1738200,0.0,0.0
2010-06-22,11.56,11.63,11.26,11.28,1708800,0.0,0.0
2010-06-23,11.28,11.28,11.07,11.1,1176600,0.0,0.0
2010-06-24,11.02,11.2,11.01,11.1,1569400,0.0,0.0
2010-06-25,11.13,11.29,11.0,11.22,1912600,0.0,0.0
2010-06-28,11.2,11.4,11.2,11.34,622600,0.0,0.0
2010-06-29,11.19,11.2,11.01,11.06,1020200,0.0,0.0
2010-06-30,11.06,11.28,10.99,11.07,1327600,0.0,0.0
2010-07-01,11.05,11.05,10.86,10.94,1547400,0.0,0.0
2010-07-02,10.99,11.04,10.87,10.98,1199600,0.0,0.0
2010-07-06,11.07,11.28,10.97,11.1,1657800,0.0,0.0
2010-07-07,11.09,11.48,11.09,11.48,1531200,0.0,0.0
2010-07-08,11.53,11.6,11.44,11.57,1189200,0.0,0.0
2010-07-09,11.55,11.72,11.54,11.7,1527600,0.0,0.0
2010-07-12,11.62,11.88,11.59,11.85,2029200,0.0,0.0
2010-07-13,11.94,12.02,11.87,11.99,1118200,0.0,0.0
2010-07-14,11.98,12.03,11.87,12.01,1113800,0.0,0.0
2010-07-15,12.04,12.13,11.92,12.11,1183400,0.0,0.0
2010-07-16,12.01,12.02,11.68,11.71,1804000,0.0,0.0
2010-07-19,11.77,11.84,11.67,11.83,1235600,0.0,0.0
2010-07-20,11.67,12.01,11.67,12.0,1027000,0.0,0.0
2010-07-21,12.04,12.05,11.77,11.83,869800,0.0,0.0
2010-07-22,11.99,12.17,11.95,12.06,1323600,0.0,0.0
2010-07-23,11.99,12.22,11.97,12.2,839000,0.0,0.0
2010-07-26,12.16,12.38,12.15,12.34,1072000,0.0,0.0
2010-07-27,12.42,12.59,12.39,12.57,1227600,0.0,0.0
2010-07-28,12.49,12.56,12.44,12.49,611400,0.1975,0.0
2010-07-29,12.61,12.61,12.25,12.38,872000,0.0,0.0
2010-07-30,12.25,12.29,12.13,12.19,1102600,0.0,0.0
2010-08-02,12.38,12.47,12.16,12.27,4589000,0.0,0.0
2010-08-03,12.21,12.36,12.19,12.26,1309800,0.0,0.0
2010-08-04,12.31,12.38,12.23,12.36,1555600,0.0,0.0
2010-08-05,11.86,12.36,11.86,12.32,1320600,0.0,0.0
2010-08-06,12.16,12.48,12.15,12.42,1730400,0.0,0.0
2010-08-09,12.52,12.64,12.49,12.56,1356800,0.0,0.0
2010-08-10,12.4,12.61,12.4,12.56,1711800,0.0,0.0
2010-08-11,12.36,12.38,12.25,12.28,1006600,0.0,0.0
2010-08-12,12.19,12.33,12.05,12.26,1072400,0.0,0.0
2010-08-13,12.24,12.54,12.22,12.49,1994400,0.0,0.0
2010-08-16,12.46,12.52,12.33,12.51,1064000,0.0,0.0
2010-08-17,12.55,12.8,12.52,12.73,1542200,0.0,0.0
2010-08-18,12.68,12.73,12.55,12.68,1072400,0.0,0.0
2010-08-19,12.6,12.64,12.51,12.58,2213800,0.0,0.0
2010-08-20,12.51,12.57,12.49,12.55,1620200,0.0,0.0
2010-08-23,12.57,12.63,12.38,12.47,1869600,0.0,0.0
2010-08-24,12.36,12.45,12.21,12.37,1929800,0.0,0.0
