Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,9.34,9.46,9.26,9.43,10669100,0.0,0
2009-12-08,9.47,9.63,9.31,9.44,9842100,0.0045,0
2009-12-09,9.42,9.57,9.29,9.56,9447900,0.0,0
2009-12-10,9.58,9.72,9.53,9.55,8728100,0.0,0
2009-12-11,9.59,10.25,9.58,10.18,14455500,0.0,0
2009-12-14,10.29,10.32,9.93,10.19,11143000,0.0,0
2009-12-15,10.1,10.24,9.98,10.04,8522700,0.0,0
2009-12-16,10.05,10.51,10.05,10.46,9920200,0.0,0
2009-12-17,10.35,10.64,10.32,10.55,15478700,0.0,0
2009-12-18,10.55,10.59,10.27,10.5,11156800,0.0,0
2009-12-21,10.49,10.64,10.46,10.57,8626600,0.0,0
2009-12-22,10.59,11.01,10.59,10.7,9119800,0.0,0
2009-12-23,10.74,10.89,10.58,10.85,6170700,0.0,0
2009-12-24,10.86,10.94,10.67,10.79,2324600,0.0,0
2009-12-28,10.59,10.84,10.54,10.7,4789100,0.0,0
2009-12-29,10.75,10.75,10.59,10.68,4369600,0.0,0
2009-12-30,10.64,10.65,10.52,10.63,4210500,0.0,0
2009-12-31,10.63,10.77,10.56,10.68,5805400,0.0,0
2010-01-04,10.65,10.71,10.36,10.45,9625000,0.0,0
2010-01-05,10.51,11.02,10.46,11.0,13355100,0.0,0
2010-01-06,10.99,11.02,10.63,10.67,10523900,0.0,0
2010-01-07,10.64,10.97,10.53,10.83,10055100,0.0,0
2010-01-08,10.78,10.88,10.49,10.59,7894500,0.0,0
2010-01-11,10.6,10.81,10.49,10.71,5987200,0.0,0
2010-01-12,10.62,10.82,10.52,10.59,6162800,0.0,0
2010-01-13,10.58,10.89,10.52,10.77,5798800,0.0,0
2010-01-14,10.75,10.83,10.62,10.71,4768700,0.0,0
2010-01-15,10.74,10.78,10.46,10.54,6296700,0.0,0
2010-01-19,10.52,10.75,10.47,10.56,6703200,0.0,0
2010-01-20,10.5,10.63,10.19,10.59,12862100,0.0,0
2010-01-21,10.75,10.99,10.39,10.91,23729200,0.0,0
2010-01-22,11.01,11.18,10.77,10.91,14307800,0.0,0
2010-01-25,10.87,11.16,10.42,10.58,15228900,0.0,0
2010-01-26,10.45,11.17,10.37,10.85,12293100,0.0,0
2010-01-27,10.84,10.84,10.26,10.64,14414100,0.0,0
2010-01-28,10.71,10.97,10.61,10.7,12265800,0.0,0
2010-01-29,10.74,10.98,10.56,10.59,10968500,0.0,0
2010-02-01,10.62,10.88,10.57,10.81,7690200,0.0,0
2010-02-02,10.86,10.97,10.71,10.79,11319700,0.0,0
2010-02-03,10.75,10.87,10.64,10.72,8359700,0.0,0
2010-02-04,10.63,10.77,10.31,10.31,12613300,0.0,0
2010-02-05,10.32,10.6,10.3,10.55,12133600,0.0,0
2010-02-08,10.57,10.64,10.37,10.51,7988800,0.0,0
2010-02-09,10.6,11.07,10.6,10.89,13597100,0.0,0
2010-02-10,10.85,11.0,10.62,10.78,11550400,0.0,0
2010-02-11,10.75,11.21,10.75,11.1,14928300,0.0,0
2010-02-12,11.11,11.25,11.03,11.25,13841000,0.0,0
2010-02-16,11.31,11.63,11.23,11.63,10677900,0.0,0
2010-02-17,11.63,11.63,11.28,11.48,8076000,0.0,0
2010-02-18,11.49,11.67,11.48,11.62,9945300,0.0,0
2010-02-19,11.57,11.86,11.53,11.61,11230200,0.0,0
2010-02-22,11.63,11.89,11.63,11.68,10156200,0.0,0
2010-02-23,11.69,11.78,11.53,11.59,11993800,0.0,0
2010-02-24,11.6,11.79,11.53,11.62,11230000,0.0,0
2010-02-25,11.56,11.68,11.4,11.61,6476800,0.0,0
2010-02-26,11.59,11.87,11.59,11.75,7985500,0.0,0
2010-03-01,11.76,12.04,11.76,11.88,10934300,0.0,0
2010-03-02,11.97,12.01,11.8,11.81,8712700,0.0045,0
2010-03-03,11.83,11.91,11.73,11.73,9701900,0.0,0
2010-03-04,11.78,11.86,11.72,11.78,9861300,0.0,0
2010-03-05,11.79,11.92,11.73,11.85,10028900,0.0,0
2010-03-08,11.85,12.0,11.68,11.73,9748300,0.0,0
2010-03-09,11.78,12.01,11.73,11.85,12231800,0.0,0
2010-03-10,11.87,12.23,11.83,11.98,11039700,0.0,0
2010-03-11,11.92,12.09,11.83,12.0,8684200,0.0,0
2010-03-12,12.04,12.21,11.93,12.15,9520500,0.0,0
2010-03-15,12.14,12.23,11.94,12.15,10012400,0.0,0
2010-03-16,12.16,12.47,12.16,12.32,9229900,0.0,0
2010-03-17,12.32,12.38,12.11,12.18,7235200,0.0,0
2010-03-18,12.17,12.41,12.17,12.21,7053800,0.0,0
2010-03-19,11.97,12.35,11.9,11.97,10408300,0.0,0
2010-03-22,11.92,12.21,11.88,12.09,7060300,0.0,0
2010-03-23,12.11,12.23,11.96,12.18,6042500,0.0,0
2010-03-24,12.18,12.24,12.0,12.15,5795900,0.0,0
2010-03-25,12.2,12.43,12.18,12.22,6766100,0.0,0
2010-03-26,12.23,12.36,12.0,12.2,9135200,0.0,0
2010-03-29,12.25,12.39,12.24,12.32,7169500,0.0,0
2010-03-30,12.36,12.39,12.08,12.24,5799800,0.0,0
2010-03-31,12.21,12.54,12.21,12.36,8113800,0.0,0
2010-04-01,12.5,12.55,12.24,12.35,7826300,0.0,0
