Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,20.28,20.53,20.12,20.23,7632000,0.0,0.0
2009-12-08,20.15,20.3,20.04,20.21,6940000,0.0,0.0
2009-12-09,20.14,20.6,20.11,20.57,9223000,0.0,0.0
2009-12-10,20.72,20.79,20.49,20.67,9749000,0.0,0.0
2009-12-11,20.82,20.83,20.63,20.66,8449000,0.0,0.0
2009-12-14,20.92,20.98,20.53,20.96,12555000,0.0,0.0
2009-12-15,20.9,21.14,20.72,20.79,15150000,0.0,0.0
2009-12-16,20.78,20.97,20.75,20.87,13842000,0.0,0.0
2009-12-17,20.78,21.08,20.75,20.98,12834000,0.0,0.0
2009-12-18,21.11,21.65,21.07,21.58,25076000,0.0,0.0
2009-12-21,21.68,21.72,21.48,21.62,9225000,0.0,0.0
2009-12-22,21.66,21.86,21.59,21.65,8462000,0.0,0.0
2009-12-23,21.68,21.81,21.49,21.62,8198000,0.0,0.0
2009-12-24,21.56,21.75,21.55,21.63,2752000,0.0,0.0
2009-12-28,21.67,21.8,21.42,21.76,7095000,0.0,0.0
2009-12-29,21.82,21.93,21.77,21.88,6106000,0.0,0.0
2009-12-30,21.88,21.91,21.75,21.85,4156000,0.0,0.0
2009-12-31,21.9,21.9,21.58,21.68,9898000,0.0,0.0
2010-01-04,21.85,21.86,21.68,21.75,9321000,0.0,0.0
2010-01-05,21.83,21.84,21.43,21.68,12906000,0.0,0.0
2010-01-06,21.83,21.83,21.51,21.77,10785000,0.15,0.0
2010-01-07,21.58,21.64,21.38,21.63,11273000,0.0,0.0
2010-01-08,21.49,21.71,21.44,21.63,8635000,0.0,0.0
2010-01-11,21.68,21.75,21.11,21.28,11171000,0.0,0.0
2010-01-12,21.26,21.55,21.17,21.27,8595000,0.0,0.0
2010-01-13,21.45,21.83,21.27,21.82,8585000,0.0,0.0
2010-01-14,21.83,22.3,21.68,22.19,12433000,0.0,0.0
2010-01-15,22.3,22.65,22.19,22.37,19419000,0.0,0.0
2010-01-19,22.36,22.99,22.29,22.55,14633000,0.0,0.0
2010-01-20,22.4,22.67,22.33,22.44,10211000,0.0,0.0
2010-01-21,22.45,22.74,21.82,22.02,14131000,0.0,0.0
2010-01-22,21.92,22.23,21.39,21.45,13251000,0.0,0.0
2010-01-25,21.58,21.66,21.17,21.5,10811000,0.0,0.0
2010-01-26,21.47,21.56,21.13,21.18,11194000,0.0,0.0
2010-01-27,21.27,21.84,21.15,21.83,10066000,0.0,0.0
2010-01-28,21.83,21.97,20.94,21.25,16120000,0.0,0.0
2010-01-29,21.39,21.73,21.22,21.29,15042000,0.0,0.0
2010-02-01,21.39,21.85,21.39,21.59,9329000,0.0,0.0
2010-02-02,21.82,21.83,21.45,21.51,13404000,0.0,0.0
2010-02-03,21.5,21.64,21.04,21.09,17961000,0.0,0.0
2010-02-04,19.96,20.06,18.82,18.92,108380000,0.0,0.0
2010-02-05,19.2,19.2,18.5,18.8,58136000,0.0,0.0
2010-02-08,18.82,19.46,18.75,19.28,28165000,0.0,0.0
2010-02-09,19.47,19.48,18.99,19.03,16486000,0.0,0.0
2010-02-10,18.88,19.41,18.88,19.33,18326000,0.0,0.0
2010-02-11,19.33,19.53,19.15,19.51,12221000,0.0,0.0
2010-02-12,19.4,19.4,19.14,19.21,14838000,0.0,0.0
2010-02-16,19.3,19.44,19.12,19.19,17568000,0.0,0.0
2010-02-17,19.22,19.25,19.03,19.15,12500000,0.0,0.0
2010-02-18,19.11,19.11,18.88,18.91,17281000,0.0,0.0
2010-02-19,18.9,19.07,18.71,18.96,17620000,0.0,0.0
2010-02-22,18.98,19.33,18.98,19.1,10856000,0.0,0.0
2010-02-23,19.01,19.05,18.69,18.91,16517000,0.0,0.0
2010-02-24,18.91,19.0,18.65,18.89,15190000,0.0,0.0
2010-02-25,18.7,19.01,18.44,18.87,19896000,0.0,0.0
2010-02-26,18.99,19.18,18.83,19.11,10947000,0.0,0.0
2010-03-01,19.25,19.83,19.2,19.82,24265000,0.0,0.0
2010-03-02,19.79,19.89,19.51,19.75,13247000,0.0,0.0
2010-03-03,19.75,19.97,19.68,19.77,13620000,0.0,0.0
2010-03-04,19.74,19.89,19.58,19.85,10161000,0.0,0.0
2010-03-05,19.9,20.43,19.82,20.4,32910000,0.0,0.0
2010-03-08,20.37,21.05,20.31,20.92,29561000,0.0,0.0
2010-03-09,20.87,21.46,20.84,20.99,21849000,0.0,0.0
2010-03-10,21.05,21.34,20.96,21.26,19561000,0.0,0.0
2010-03-11,21.13,21.34,20.97,21.31,11508000,0.0,0.0
2010-03-12,21.39,21.45,21.17,21.29,8736000,0.0,0.0
2010-03-15,21.38,21.38,20.95,21.3,11262000,0.0,0.0
2010-03-16,21.32,21.41,21.03,21.24,9672000,0.0,0.0
2010-03-17,21.27,21.38,21.02,21.18,11144000,0.0,0.0
2010-03-18,21.2,21.2,20.84,20.98,7593000,0.0,0.0
2010-03-19,20.81,21.13,20.66,20.81,9801000,0.0,0.0
2010-03-22,20.68,21.14,20.63,21.05,8089000,0.0,0.0
2010-03-23,21.05,21.35,20.82,20.92,11016000,0.0,0.0
2010-03-24,20.89,21.03,20.78,20.84,7700000,0.0,0.0
2010-03-25,20.99,21.32,20.96,20.96,13145000,0.0,0.0
2010-03-26,21.06,21.19,20.87,20.97,10836000,0.0,0.0
2010-03-29,21.03,21.23,21.01,21.13,7287000,0.0,0.0
2010-03-30,21.23,21.62,21.23,21.5,12046000,0.0,0.0
2010-03-31,21.48,21.66,21.42,21.64,9333000,0.0,0.0
2010-04-01,21.77,21.8,21.47,21.63,11188000,0.0,0.0
2010-04-05,21.68,21.83,21.54,21.77,7457000,0.0,0.0
2010-04-06,21.71,22.23,21.7,22.04,13992000,0.0,0.0
2010-04-07,22.18,22.24,21.84,21.9,7831000,0.15,0.0
2010-04-08,21.77,22.04,21.77,22.01,6402000,0.0,0.0
2010-04-09,22.17,22.27,22.0,22.18,4966000,0.0,0.0
2010-04-12,22.13,22.36,22.13,22.24,6537000,0.0,0.0
2010-04-13,22.16,22.32,22.04,22.15,7131000,0.0,0.0
2010-04-14,22.2,22.64,22.11,22.54,11661000,0.0,0.0
2010-04-15,22.67,22.67,22.47,22.5,6282000,0.0,0.0
2010-04-16,22.36,22.59,22.13,22.23,11495000,0.0,0.0
2010-04-19,22.18,22.41,21.82,22.04,9559000,0.0,0.0
2010-04-20,22.19,22.52,22.03,22.39,7375000,0.0,0.0
