Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,18.35,18.6,17.95,18.03,1805400,0.0,0.0
2009-12-08,17.9,18.28,17.78,18.02,1490300,0.0,0.0
2009-12-09,18.02,18.33,17.69,18.15,1398800,0.0,0.0
2009-12-10,18.28,18.42,18.05,18.37,1545900,0.0,0.0
2009-12-11,18.62,19.01,18.29,18.97,1157700,0.0,0.0
2009-12-14,19.01,19.51,18.76,19.43,1973800,0.0,0.0
2009-12-15,19.29,19.57,19.0,19.26,1152500,0.0,0.0
2009-12-16,19.46,19.59,19.27,19.41,1427600,0.0,0.0
2009-12-17,19.18,19.62,19.03,19.54,1959000,0.0,0.0
2009-12-18,19.54,20.05,19.51,19.99,3444300,0.0,0.0
2009-12-21,19.99,20.34,19.96,20.3,1801600,0.0,0.0
2009-12-22,20.35,20.84,20.31,20.82,1934400,0.0,0.0
2009-12-23,20.79,23.13,20.79,22.18,6243700,0.0,0.0
2009-12-24,22.12,22.54,22.08,22.48,844100,0.0,0.0
2009-12-28,22.51,23.22,22.48,22.86,2093600,0.0,0.0
2009-12-29,22.9,23.12,22.03,22.11,2211600,0.0,0.0
2009-12-30,22.03,22.06,21.46,21.76,2236300,0.0,0.0
2009-12-31,21.78,22.3,21.46,21.85,2306700,0.0,0.0
2010-01-04,22.11,22.55,20.95,21.17,2679300,0.0,0.0
2010-01-05,20.98,21.12,20.71,20.92,2738800,0.0,0.0
2010-01-06,20.97,21.18,20.17,20.26,2814800,0.0,0.0
2010-01-07,20.28,20.47,19.83,20.34,2928000,0.0,0.0
2010-01-08,20.41,20.41,19.6,19.96,2201600,0.0,0.0
2010-01-11,20.25,20.36,19.93,20.01,1480400,0.0,0.0
2010-01-12,19.75,20.03,19.41,19.58,1733800,0.0,0.0
2010-01-13,19.6,20.12,19.43,20.05,1580800,0.0,0.0
2010-01-14,19.95,20.34,19.68,20.22,1576800,0.0,0.0
2010-01-15,20.16,20.24,19.85,19.92,1386300,0.0,0.0
2010-01-19,19.93,20.85,19.92,20.75,1789800,0.0,0.0
2010-01-20,20.46,20.87,20.36,20.48,2145700,0.0,0.0
2010-01-21,20.6,20.66,19.61,19.68,2167400,0.0,0.0
2010-01-22,19.64,20.08,19.1,19.17,1895000,0.0,0.0
2010-01-25,19.55,19.73,18.95,19.69,1387500,0.0,0.0
2010-01-26,19.57,19.79,19.03,19.06,1501200,0.0,0.0
2010-01-27,18.97,19.5,18.69,19.41,1823600,0.0,0.0
2010-01-28,19.51,19.52,18.66,18.89,1386900,0.0,0.0
2010-01-29,19.06,19.35,18.39,18.75,2171000,0.0,0.0
2010-02-01,18.9,19.27,18.83,19.11,1623200,0.0,0.0
2010-02-02,19.26,19.85,18.95,19.45,2471000,0.0,0.0
2010-02-03,19.29,19.4,18.7,19.01,1237100,0.0,0.0
2010-02-04,18.75,18.84,18.33,18.33,2709800,0.0,0.0
2010-02-05,18.41,19.06,18.33,19.03,2355400,0.0,0.0
2010-02-08,18.91,19.14,18.58,18.58,1774500,0.0,0.0
2010-02-09,18.93,18.95,18.34,18.53,2690100,0.0,0.0
2010-02-10,18.48,18.97,18.25,18.58,1770300,0.0,0.0
2010-02-11,18.7,18.93,18.42,18.84,2445200,0.6,1.014
2010-02-12,18.69,19.5,18.5,19.39,2402100,0.0,0.0
2010-02-16,19.65,20.16,19.46,20.12,2111200,0.0,0.0
2010-02-17,20.12,21.3,20.12,21.17,2907500,0.0,0.0
2010-02-18,21.0,21.57,20.82,21.41,2456700,0.0,0.0
2010-02-19,21.4,21.56,21.1,21.15,1761800,0.0,0.0
2010-02-22,21.28,21.31,20.93,20.98,1576000,0.0,0.0
2010-02-23,20.9,21.36,20.83,21.17,2114600,0.0,0.0
2010-02-24,21.25,22.15,21.06,22.07,2642100,0.0,0.0
2010-02-25,21.61,22.62,21.54,22.55,1658000,0.0,0.0
2010-02-26,22.52,22.67,22.06,22.41,1329200,0.0,0.0
2010-03-01,22.57,22.65,22.3,22.59,1115200,0.0,0.0
2010-03-02,22.71,23.22,22.71,23.13,2296400,0.0,0.0
2010-03-03,23.21,23.44,22.78,22.82,1105100,0.0,0.0
2010-03-04,22.85,23.07,22.74,22.91,1351700,0.0,0.0
2010-03-05,23.05,24.42,23.05,24.25,2319600,0.0,0.0
2010-03-08,24.11,24.51,23.93,24.4,1118100,0.0,0.0
2010-03-09,24.21,24.9,24.06,24.27,1776000,0.0,0.0
