Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,45.37,45.81,45.1,45.57,9036800,0.0,0
2009-12-08,44.48,44.81,44.18,44.6,14696700,0.0,0
2009-12-09,44.69,44.91,44.39,44.59,10911800,0.0,0
2009-12-10,44.87,45.14,44.66,44.92,8035900,0.0,0
2009-12-11,45.16,45.56,45.03,45.37,5864400,0.0,0
2009-12-14,45.81,45.92,45.49,45.73,5632900,0.0,0
2009-12-15,45.8,45.94,45.54,45.62,4952700,0.0,0
2009-12-16,45.86,46.17,45.57,45.93,5647100,0.0,0
2009-12-17,45.8,45.98,45.56,45.56,5418500,0.0,0
2009-12-18,45.62,45.94,45.6,45.75,9854100,0.0,0
2009-12-21,45.8,46.42,45.73,46.11,4625700,0.0,0
2009-12-22,46.12,46.42,46.11,46.34,3418500,0.0,0
2009-12-23,46.34,46.86,46.04,46.62,5889700,0.0,0
2009-12-24,46.61,46.88,46.54,46.67,2577300,0.0,0
2009-12-28,46.67,46.87,46.47,46.81,2389400,0.0,0
2009-12-29,46.86,47.04,46.77,46.79,2628900,0.0,0
2009-12-30,46.69,46.84,46.22,46.28,6776100,0.0,0
2009-12-31,46.34,46.41,45.91,45.95,4495300,0.0,0
2010-01-04,46.09,46.41,45.85,46.2,5839300,0.0,0
2010-01-05,46.11,46.17,45.76,45.84,7099000,0.0,0
2010-01-06,45.77,45.92,44.93,45.22,10551300,0.0,0
2010-01-07,45.07,45.87,44.97,45.55,7517700,0.0,0
2010-01-08,45.82,45.92,45.33,45.5,6107300,0.0,0
2010-01-11,45.64,45.94,45.51,45.86,6081300,0.0,0
2010-01-12,45.64,46.11,45.62,46.11,7199400,0.0,0
2010-01-13,46.26,46.57,46.03,46.06,8623000,0.0,0
2010-01-14,46.03,46.16,45.69,46.1,7095600,0.0,0
2010-01-15,46.12,46.34,45.66,45.83,9429100,0.0,0
2010-01-19,46.28,46.96,46.19,46.71,8551500,0.0,0
2010-01-20,46.72,46.8,46.17,46.37,6996800,0.0,0
2010-01-21,46.34,46.8,46.21,46.51,11724100,0.0,0
2010-01-22,46.53,47.67,46.22,46.65,15645900,0.0,0
2010-01-25,46.61,46.8,46.3,46.42,6382200,0.0,0
2010-01-26,46.17,47.09,46.17,46.95,9292700,0.0,0
2010-01-27,46.85,47.09,46.58,46.9,8080800,0.0,0
2010-01-28,46.98,47.0,46.17,46.23,8560100,0.0,0
