Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,21.88,22.1,21.63,21.72,5699000,0.0,0
2009-12-08,21.58,21.78,21.34,21.43,4508400,0.0,0
2009-12-09,21.36,21.66,21.11,21.65,4388000,0.0,0
2009-12-10,21.68,22.05,21.49,21.82,4478800,0.0,0
2009-12-11,21.93,23.41,21.79,23.15,12011100,0.0,0
2009-12-14,23.4,23.42,22.96,23.04,4352300,0.0,0
2009-12-15,22.73,22.96,22.42,22.55,5063000,0.0,0
2009-12-16,22.52,23.35,22.52,23.31,3936500,0.0,0
2009-12-17,23.02,23.61,22.98,23.52,4596900,0.0,0
2009-12-18,23.68,23.69,22.94,23.23,2840500,0.0,0
2009-12-21,23.26,23.59,23.21,23.56,2172600,0.0,0
2009-12-22,23.68,23.77,23.54,23.74,1228700,0.0,0
2009-12-23,23.66,23.86,23.41,23.74,2115300,0.0,0
2009-12-24,23.83,24.13,23.66,24.0,973600,0.0,0
2009-12-28,24.11,24.11,23.45,23.55,1459400,0.0,0
2009-12-29,23.67,23.76,23.3,23.52,1945700,0.0,0
2009-12-30,23.41,23.64,23.28,23.59,1649000,0.0,0
2009-12-31,23.56,23.65,23.24,23.25,888300,0.0,0
2010-01-04,23.37,23.67,23.27,23.66,1859700,0.0,0
2010-01-05,23.56,23.68,23.15,23.41,1982400,0.0,0
2010-01-06,23.08,23.34,22.91,22.92,2019100,0.0,0
2010-01-07,22.83,23.01,22.77,22.85,3805600,0.0,0
2010-01-08,22.73,23.29,22.66,23.28,2144200,0.0,0
2010-01-11,23.32,23.38,22.99,23.15,1459600,0.0,0
2010-01-12,23.02,23.35,22.82,23.27,2884300,0.0,0
2010-01-13,23.35,24.08,23.12,24.01,3141900,0.0,0
2010-01-14,24.0,24.12,23.5,24.1,2353700,0.0,0
2010-01-15,24.0,24.09,23.63,23.79,2439400,0.0,0
2010-01-19,23.91,24.08,23.68,24.03,1712300,0.0,0
2010-01-20,23.93,24.27,23.76,23.97,2323400,0.0,0
2010-01-21,24.09,24.25,23.7,23.7,2525300,0.0,0
2010-01-22,23.63,24.1,23.35,23.4,3456500,0.0,0
2010-01-25,23.49,23.68,22.81,22.84,3612900,0.0,0
2010-01-26,22.74,23.15,22.73,23.1,4660500,0.0,0
2010-01-27,23.68,25.31,23.56,25.01,6819800,0.0,0
2010-01-28,25.17,25.17,24.42,24.57,3915200,0.0,0
2010-01-29,24.67,24.81,23.93,23.94,3795300,0.0,0
2010-02-01,24.15,24.42,24.07,24.22,2747900,0.0,0
2010-02-02,24.19,24.76,24.12,24.61,3618000,0.0,0
2010-02-03,24.5,24.68,24.3,24.38,2824800,0.0,0
2010-02-04,24.01,24.01,22.86,22.89,5817500,0.0,0
2010-02-05,23.01,23.74,22.91,23.72,5023200,0.0,0
2010-02-08,23.67,23.77,22.96,22.97,3593300,0.0,0
2010-02-09,23.21,23.44,23.02,23.22,3464500,0.0,0
2010-02-10,23.17,23.48,22.76,23.13,2910600,0.0,0
2010-02-11,23.1,23.61,22.95,23.53,2867200,0.0,0
2010-02-12,23.3,23.51,22.92,23.41,3033200,0.0,0
2010-02-16,23.59,23.66,23.35,23.63,2389100,0.0,0
2010-02-17,23.84,23.86,23.54,23.58,2529100,0.105,0
2010-02-18,23.51,23.63,23.35,23.43,2147000,0.0,0
2010-02-19,23.27,23.63,23.15,23.59,2362400,0.0,0
2010-02-22,23.67,23.67,23.25,23.34,2118900,0.0,0
2010-02-23,23.33,23.44,22.98,23.27,2923300,0.0,0
2010-02-24,23.35,23.58,23.18,23.53,1887400,0.0,0
2010-02-25,23.23,23.45,22.95,23.39,2177600,0.0,0
2010-02-26,23.48,23.51,23.13,23.18,1355800,0.0,0
2010-03-01,23.26,23.85,23.15,23.66,2193800,0.0,0
2010-03-02,23.72,23.82,23.47,23.7,1432300,0.0,0
2010-03-03,23.68,23.83,23.6,23.67,1539100,0.0,0
2010-03-04,23.67,23.81,23.5,23.76,954400,0.0,0
2010-03-05,23.88,24.59,23.78,24.48,2756100,0.0,0
2010-03-08,24.45,24.75,24.25,24.57,1302400,0.0,0
2010-03-09,24.55,24.62,24.31,24.42,2235500,0.0,0
2010-03-10,24.42,24.42,23.81,24.17,2345400,0.0,0
2010-03-11,24.1,24.63,23.98,24.61,1736400,0.0,0
2010-03-12,24.65,25.04,24.52,24.61,1567200,0.0,0
2010-03-15,24.47,24.98,24.41,24.91,1481000,0.0,0
2010-03-16,24.92,25.03,24.76,25.02,1307300,0.0,0
2010-03-17,25.04,25.1,24.92,25.03,1189600,0.0,0
2010-03-18,25.04,26.45,24.86,25.83,6082600,0.0,0
2010-03-19,25.83,26.88,25.66,25.83,3333900,0.0,0
2010-03-22,25.67,26.21,25.55,26.14,2048400,0.0,0
2010-03-23,26.11,26.47,25.88,26.41,1961300,0.0,0
2010-03-24,26.3,26.5,26.16,26.41,1907700,0.0,0
2010-03-25,26.56,27.03,26.36,26.57,2526200,0.0,0
2010-03-26,26.56,26.83,26.21,26.35,2157800,0.0,0
2010-03-29,26.45,26.88,26.37,26.6,1263300,0.0,0
2010-03-30,26.55,26.65,26.27,26.33,1370900,0.0,0
2010-03-31,26.17,26.36,25.88,25.91,2170900,0.0,0
2010-04-01,26.07,26.4,25.41,25.58,5092400,0.0,0
2010-04-05,25.69,25.8,25.63,25.72,2226700,0.0,0
2010-04-06,25.65,25.8,25.49,25.64,2369700,0.0,0
2010-04-07,25.64,26.12,25.42,25.55,2542400,0.0,0
2010-04-08,25.53,25.53,25.17,25.26,1804700,0.0,0
2010-04-09,25.24,25.33,25.01,25.14,2288900,0.0,0
2010-04-12,25.19,25.26,24.92,24.93,2330200,0.0,0
2010-04-13,24.86,25.14,24.84,24.93,1785000,0.0,0
2010-04-14,25.08,25.22,24.99,25.17,2353400,0.0,0
2010-04-15,25.16,25.85,25.06,25.82,2797900,0.0,0
2010-04-16,25.72,25.72,23.67,23.87,12272000,0.0,0
2010-04-19,23.73,24.22,22.46,23.55,12948900,0.0,0
2010-04-20,23.77,24.07,23.04,23.62,5441800,0.0,0
2010-04-21,23.35,23.51,22.18,22.37,11092000,0.0,0
2010-04-22,22.47,22.85,22.28,22.7,3507800,0.0,0
2010-04-23,22.64,22.89,22.03,22.85,3232400,0.0,0
2010-04-26,22.88,22.93,22.51,22.7,4444500,0.0,0
2010-04-27,22.56,22.63,21.59,21.64,6952800,0.0,0
2010-04-28,21.82,22.39,21.77,22.3,4351600,0.0,0
2010-04-29,22.43,22.43,21.75,21.96,4611500,0.0,0
2010-04-30,21.99,21.99,21.5,21.53,5257300,0.0,0
2010-05-03,21.7,22.02,21.62,21.97,2459000,0.0,0
2010-05-04,21.72,21.72,21.0,21.3,4438400,0.0,0
2010-05-05,20.99,21.74,20.94,21.41,3451300,0.0,0
2010-05-06,21.21,21.82,19.38,20.5,8568500,0.0,0
2010-05-07,20.43,20.81,19.89,20.34,6215800,0.0,0
2010-05-10,19.53,19.6,17.87,18.96,19432600,0.0,0
2010-05-11,18.65,19.45,18.61,18.95,6976300,0.0,0
2010-05-12,19.01,19.74,19.01,19.41,4373400,0.0,0
2010-05-13,19.33,19.75,18.09,18.9,14757300,0.0,0
2010-05-14,18.73,18.93,18.58,18.79,4970200,0.0,0
2010-05-17,18.75,19.06,18.32,18.78,3030800,0.0,0
2010-05-18,19.01,19.21,18.4,18.4,4869600,0.105,0
2010-05-19,18.23,19.06,18.23,18.82,5458700,0.0,0
2010-05-20,18.33,18.89,18.25,18.56,8049500,0.0,0
2010-05-21,18.08,19.29,18.08,19.27,6260100,0.0,0
2010-05-24,19.23,19.36,18.51,18.51,3167600,0.0,0
2010-05-25,18.12,18.63,17.99,18.59,4098800,0.0,0
2010-05-26,18.76,19.03,18.17,18.27,4571100,0.0,0
