Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,13.96,14.08,13.96,14.02,9010400,0.0,0
2009-12-08,14.03,14.1,13.93,14.01,8395700,0.0,0
2009-12-09,14.05,14.07,13.91,14.04,6770500,0.0,0
2009-12-10,13.93,14.05,13.93,14.02,8410000,0.0,0
2009-12-11,14.03,14.14,14.01,14.08,6218200,0.0,0
2009-12-14,14.15,14.23,14.09,14.17,7178200,0.0,0
2009-12-15,14.19,14.19,14.08,14.1,6602000,0.0,0
2009-12-16,14.18,14.37,14.11,14.27,9948000,0.0,0
2009-12-17,14.15,14.21,14.06,14.12,9557000,0.0,0
2009-12-18,14.34,14.34,14.08,14.19,12950100,0.0,0
2009-12-21,14.22,14.29,14.15,14.18,6472000,0.0,0
2009-12-22,14.28,14.39,14.21,14.34,6365100,0.0,0
2009-12-23,14.42,14.42,14.34,14.38,4583600,0.0,0
2009-12-24,14.38,14.48,14.38,14.48,2225100,0.0,0
2009-12-28,14.59,14.6,14.51,14.59,4368500,0.29,0
2009-12-29,14.59,14.63,14.55,14.58,5233400,0.0,0
2009-12-30,14.5,14.64,14.5,14.6,5063600,0.0,0
2009-12-31,14.57,14.6,14.43,14.43,5215900,0.0,0
2010-01-04,14.5,14.59,14.43,14.57,7953300,0.0,0
2010-01-05,15.04,15.3,14.88,15.28,37152800,0.0,0
2010-01-06,15.03,15.49,14.92,15.39,40848800,0.0,0
2010-01-07,15.43,15.45,15.17,15.35,18359900,0.0,0
2010-01-08,15.27,15.37,15.15,15.36,11000000,0.0,0
2010-01-11,15.39,15.45,15.2,15.29,11819700,0.0,0
2010-01-12,15.27,15.58,15.21,15.55,19561000,0.0,0
2010-01-13,15.78,15.99,15.49,15.52,18000100,0.0,0
2010-01-14,15.64,15.71,15.26,15.46,10023700,0.0,0
2010-01-15,15.09,15.93,14.92,15.71,25979600,0.0,0
2010-01-19,15.4,15.63,15.2,15.62,53008900,0.0,0
2010-01-20,15.16,15.32,15.08,15.28,29477300,0.0,0
2010-01-21,15.19,15.24,14.9,15.0,29094200,0.0,0
2010-01-22,14.82,14.97,14.78,14.8,28024500,0.0,0
2010-01-25,14.66,14.8,14.61,14.71,23989200,0.0,0
2010-01-26,14.47,14.78,14.39,14.74,33282200,0.0,0
2010-01-27,14.74,15.12,14.74,15.06,24109300,0.0,0
2010-01-28,15.01,15.11,14.86,14.89,21415500,0.0,0
2010-01-29,14.83,14.92,14.68,14.69,15402500,0.0,0
2010-02-01,14.78,14.93,14.68,14.9,16347600,0.0,0
2010-02-02,14.95,15.22,14.91,15.14,22109600,0.0,0
2010-02-03,15.07,15.36,15.01,15.12,27546500,0.0,0
2010-02-04,14.91,15.09,14.8,15.08,58782300,0.0,0
2010-02-05,15.03,15.2,14.78,15.1,53305800,0.0,0
2010-02-08,15.11,15.22,15.06,15.06,20271300,0.0,0
2010-02-09,15.12,15.41,15.09,15.35,24555300,0.0,0
2010-02-10,15.39,15.43,15.27,15.36,19987800,0.0,0
2010-02-11,15.41,15.48,15.27,15.4,21738800,0.0,0
2010-02-12,15.4,15.45,15.17,15.45,74196600,0.0,0
