Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,73.75,74.32,72.66,72.81,578800,0.0,0
2009-12-08,71.86,74.08,71.19,72.13,369600,0.0,0
2009-12-09,74.03,74.75,72.82,74.37,638900,0.0,0
2009-12-10,75.61,76.51,75.06,75.48,420500,0.0,0
2009-12-11,75.67,76.16,75.5,75.81,427700,0.0,0
2009-12-14,76.58,76.58,75.63,76.51,345400,0.0,0
2009-12-15,76.28,76.79,75.61,75.78,314700,0.0,0
2009-12-16,76.0,76.46,75.68,76.05,291300,0.0,0
2009-12-17,74.99,76.3,74.99,75.75,266900,0.0,0
2009-12-18,76.07,77.72,75.82,77.72,633900,0.0,0
2009-12-21,78.3,80.02,78.3,79.88,395100,0.0,0
2009-12-22,80.23,81.89,80.14,81.77,325100,0.0,0
2009-12-23,82.15,82.44,81.55,81.91,233700,0.0,0
2009-12-24,82.19,82.89,81.95,82.19,129400,0.0,0
2009-12-28,82.27,82.36,81.33,81.8,214100,0.0,0
2009-12-29,81.5,82.3,81.39,81.39,244200,0.0,0
2009-12-30,80.55,81.61,79.48,79.94,376900,0.0,0
2009-12-31,79.88,80.0,77.84,78.18,351000,0.0,0
2010-01-04,78.74,80.26,78.74,80.15,456200,0.0,0
2010-01-05,79.81,80.29,78.76,79.07,435000,0.0,0
2010-01-06,81.69,81.69,80.52,81.03,676600,0.0,0
2010-01-07,81.03,81.03,79.32,80.31,488800,0.0,0
2010-01-08,80.21,80.89,78.58,78.98,655500,0.0,0
2010-01-11,79.29,79.52,77.52,77.76,734800,0.0,0
2010-01-12,77.23,77.84,77.06,77.49,578200,0.0,0
2010-01-13,77.94,78.02,76.41,77.55,612000,0.0,0
2010-01-14,77.48,77.65,76.95,77.22,245700,0.0,0
2010-01-15,77.34,77.34,75.39,75.59,542000,0.0,0
2010-01-19,75.48,77.08,75.33,77.08,456300,0.0,0
2010-01-20,76.29,76.51,75.12,76.37,463800,0.0,0
2010-01-21,76.51,76.69,73.24,74.02,803800,0.0,0
2010-01-22,74.0,74.66,71.66,71.76,707600,0.0,0
2010-01-25,72.47,72.84,71.57,71.65,832200,0.0,0
2010-01-26,71.39,72.23,70.5,71.17,629800,0.0,0
2010-01-27,71.01,71.01,69.21,70.64,1171300,0.0,0
2010-01-28,70.76,70.91,68.31,69.76,691600,0.0,0
2010-01-29,70.05,71.13,69.03,69.23,652400,0.0,0
2010-02-01,69.65,70.79,69.38,70.79,573800,0.0,0
2010-02-02,70.98,72.09,70.78,71.78,425000,0.0,0
2010-02-03,71.5,72.2,70.59,70.8,342400,0.0,0
2010-02-04,69.97,69.97,68.58,68.64,505800,0.0,0
2010-02-05,68.48,68.94,66.68,68.74,531700,0.0,0
2010-02-08,68.63,70.03,67.67,69.61,710800,0.0,0
2010-02-09,67.31,68.14,65.28,66.41,2723700,0.0,0
2010-02-10,66.4,68.18,64.7,67.68,1366800,0.0,0
2010-02-11,67.39,68.3,66.49,68.24,412600,0.0,0
2010-02-12,67.65,68.43,66.87,68.42,447100,0.0,0
2010-02-16,68.72,69.65,68.33,69.57,313100,0.0,0
2010-02-17,69.84,70.09,69.22,69.66,219900,0.0,0
2010-02-18,69.74,70.66,69.45,70.53,342900,0.0,0
2010-02-19,70.24,71.5,70.1,71.27,417200,0.0,0
