Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,60.15,60.88,59.95,60.15,3056100,0.0,0
2009-12-08,58.94,59.78,58.67,59.53,5046700,0.0,0
2009-12-09,60.41,61.71,60.26,61.56,6599400,0.0,0
2009-12-10,61.73,62.35,61.55,62.29,5050900,0.0,0
2009-12-11,62.21,63.16,62.11,63.11,4788800,0.0,0
2009-12-14,63.31,63.44,63.03,63.24,4999400,0.0,0
2009-12-15,63.38,64.02,62.95,63.85,4633000,0.0,0
2009-12-16,63.71,64.09,62.94,63.09,3979200,0.0,0
2009-12-17,62.84,62.91,62.03,62.13,3841700,0.0,0
2009-12-18,62.38,62.8,62.19,62.51,6667700,0.0,0
2009-12-21,62.56,63.48,62.48,62.87,2761300,0.0,0
2009-12-22,63.19,63.55,62.95,63.28,1844100,0.0,0
2009-12-23,63.28,63.55,62.84,63.45,1900200,0.0,0
2009-12-24,63.55,64.08,63.55,63.73,931200,0.0,0
2009-12-28,63.91,64.53,63.82,64.43,2353800,0.0,0
2009-12-29,64.68,65.1,64.58,64.95,3865900,0.0,0
2009-12-30,64.85,65.08,64.59,64.77,2595000,0.0,0
2009-12-31,64.69,64.91,63.72,63.82,2049800,0.0,0
2010-01-04,64.15,64.43,63.82,64.09,3043700,0.0,0
2010-01-05,63.92,64.26,63.08,63.69,2847000,0.0,0
2010-01-06,64.76,65.31,64.47,64.6,5268500,0.0,0
2010-01-07,64.33,64.67,63.4,64.64,4470100,0.0,0
2010-01-08,64.61,65.1,64.31,65.1,3405800,0.0,0
2010-01-11,65.14,65.31,64.4,64.84,2927100,0.0,0
2010-01-12,64.53,64.99,64.31,64.89,3031800,0.0,0
2010-01-13,64.94,64.94,64.23,64.68,3102000,0.0,0
2010-01-14,64.65,64.8,64.4,64.46,2634100,0.0,0
2010-01-15,64.48,64.92,63.98,64.36,3955000,0.0,0
2010-01-19,64.71,65.75,64.46,65.72,4500400,0.0,0
2010-01-20,65.49,65.72,64.53,65.41,3671200,0.0,0
2010-01-21,65.31,65.31,63.75,63.85,4783200,0.0,0
2010-01-22,63.62,63.95,62.77,62.91,4809000,0.0,0
2010-01-25,63.56,63.99,62.91,63.18,3386600,0.0,0
2010-01-26,62.89,63.87,62.57,63.02,3138000,0.0,0
2010-01-27,62.79,63.96,62.54,63.54,5066900,0.0,0
2010-01-28,63.79,63.8,61.08,62.34,6820700,0.0,0
2010-01-29,62.8,63.21,61.9,62.14,4347000,0.0,0
2010-02-01,62.41,62.45,61.72,62.1,3632700,0.0,0
2010-02-02,62.3,62.49,61.53,62.09,4690000,0.0,0
2010-02-03,61.63,63.06,61.63,62.92,3401300,0.0,0
2010-02-04,62.64,62.64,60.86,61.15,5312600,0.0,0
2010-02-05,61.11,61.38,59.65,60.64,5408000,0.0,0
2010-02-08,60.59,60.59,59.64,59.86,4407300,0.0,0
2010-02-09,60.43,61.31,60.14,60.77,4252500,0.0,0
2010-02-10,60.84,61.21,60.22,60.7,2445200,0.0,0
2010-02-11,61.16,62.06,60.87,61.97,5524500,0.0,0
2010-02-12,61.1,61.17,60.27,61.13,5443000,0.0,0
2010-02-16,61.82,62.26,61.25,62.13,3619100,0.0,0
2010-02-17,62.49,62.7,61.97,62.28,3095200,0.525,0
2010-02-18,62.21,63.09,62.21,63.03,2702400,0.0,0
2010-02-19,63.05,63.52,62.64,63.35,3217900,0.0,0
2010-02-22,63.5,63.54,62.6,62.7,3025400,0.0,0
2010-02-23,62.49,63.02,61.91,61.94,3981900,0.0,0
2010-02-24,62.17,62.63,61.78,62.22,3530700,0.0,0
2010-02-25,61.52,61.99,61.11,61.97,4106300,0.0,0
2010-02-26,61.97,62.42,61.47,62.28,3224400,0.0,0
2010-03-01,62.61,62.91,62.44,62.62,2545100,0.0,0
2010-03-02,62.74,63.24,62.62,63.05,3365600,0.0,0
2010-03-03,63.07,63.47,62.84,62.95,2852300,0.0,0
2010-03-04,63.11,63.23,62.61,62.96,2620300,0.0,0
2010-03-05,63.22,64.11,63.12,64.06,3142600,0.0,0
2010-03-08,64.05,64.13,63.12,63.19,3627900,0.0,0
2010-03-09,63.06,63.82,62.74,63.71,4249800,0.0,0
2010-03-10,63.66,63.77,63.14,63.38,3584600,0.0,0
2010-03-11,63.15,63.37,62.56,63.15,4048100,0.0,0
2010-03-12,63.39,63.47,62.88,63.24,2945900,0.0,0
2010-03-15,63.07,63.46,62.77,63.15,2622300,0.0,0
2010-03-16,63.15,63.46,62.58,63.46,4242200,0.0,0
2010-03-17,63.67,64.04,63.45,63.86,3989700,0.0,0
2010-03-18,63.96,65.08,63.72,65.02,4939500,0.0,0
2010-03-19,63.69,65.28,63.34,63.69,6876200,0.0,0
2010-03-22,63.33,63.88,63.33,63.6,3256700,0.0,0
2010-03-23,63.8,64.04,63.07,63.99,4153100,0.0,0
2010-03-24,63.61,63.96,63.28,63.42,3102500,0.0,0
2010-03-25,63.73,63.92,62.82,62.89,4942500,0.0,0
2010-03-26,63.02,63.23,62.75,62.95,3815300,0.0,0
