Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,11.67,11.75,11.61,11.69,17773000,0.0,0
2009-12-08,11.74,11.74,11.54,11.62,12790100,0.0,0
2009-12-09,11.65,11.73,11.62,11.69,16889600,0.0,0
2009-12-10,11.74,11.77,11.73,11.74,9945100,0.0,0
2009-12-11,11.77,11.83,11.74,11.78,23722100,0.0,0
2009-12-14,11.86,11.98,11.83,11.87,13884500,0.0,0
2009-12-15,11.86,11.94,11.76,11.89,11410000,0.0,0
2009-12-16,11.94,11.96,11.84,11.85,16186400,0.0,0
2009-12-17,11.82,11.87,11.77,11.82,12799600,0.0,0
2009-12-18,11.89,11.91,11.8,11.86,18944500,0.0,0
2009-12-21,11.91,11.97,11.89,11.89,9867100,0.0,0
2009-12-22,11.95,12.03,11.94,11.99,12706900,0.0,0
2009-12-23,12.08,12.24,12.06,12.17,22785100,0.0,0
2009-12-24,12.27,12.35,12.22,12.29,8544400,0.0,0
2009-12-28,12.39,12.39,12.17,12.26,12476000,0.34,0
2009-12-29,12.29,12.29,12.18,12.18,7749500,0.0,0
2009-12-30,12.18,12.21,12.1,12.16,9331300,0.0,0
2009-12-31,12.12,12.17,12.05,12.05,6356800,0.0,0
2010-01-04,12.13,12.19,12.02,12.15,11048600,0.0,0
2010-01-05,12.16,12.18,12.07,12.15,11742100,0.0,0
2010-01-06,12.18,12.34,12.15,12.33,21307300,0.0,0
2010-01-07,12.32,12.36,12.24,12.31,14983300,0.0,0
2010-01-08,12.3,12.35,12.19,12.34,10822200,0.0,0
2010-01-11,12.45,12.49,12.34,12.43,11921000,0.0,0
2010-01-12,12.4,12.43,12.29,12.37,15306300,0.0,0
2010-01-13,12.35,12.52,12.35,12.42,11938400,0.0,0
2010-01-14,12.42,12.55,12.37,12.51,9619900,0.0,0
2010-01-15,12.54,12.67,12.46,12.53,16158600,0.0,0
2010-01-19,12.43,12.62,12.43,12.51,17747000,0.0,0
2010-01-20,12.44,12.5,12.37,12.48,12583500,0.0,0
2010-01-21,12.48,12.5,12.16,12.21,21862200,0.0,0
2010-01-22,12.21,12.3,12.09,12.1,13655100,0.0,0
2010-01-25,12.16,12.32,12.08,12.22,15154800,0.0,0
2010-01-26,12.12,12.31,12.12,12.25,13101300,0.0,0
2010-01-27,12.26,12.31,12.17,12.27,12544400,0.0,0
2010-01-28,12.21,12.34,12.15,12.28,16444400,0.0,0
2010-01-29,12.32,12.34,12.17,12.19,19335300,0.0,0
2010-02-01,12.21,12.26,12.14,12.2,10247300,0.0,0
2010-02-02,12.23,12.27,12.16,12.23,12398900,0.0,0
2010-02-03,12.23,12.24,12.08,12.14,11683000,0.0,0
2010-02-04,12.09,12.1,11.91,11.92,13403600,0.0,0
2010-02-05,11.89,11.91,11.75,11.89,14334100,0.0,0
2010-02-08,11.92,12.05,11.88,11.89,13840700,0.0,0
2010-02-09,11.99,12.02,11.8,11.94,16964600,0.0,0
2010-02-10,11.99,11.99,11.81,11.89,11380700,0.0,0
2010-02-11,11.91,12.12,11.81,12.04,17005000,0.0,0
2010-02-12,11.99,12.12,11.91,12.05,15749000,0.0,0
2010-02-16,12.18,12.21,12.01,12.11,15081500,0.0,0
2010-02-17,12.13,12.18,12.09,12.14,8752800,0.0,0
2010-02-18,12.12,12.32,12.11,12.27,11181600,0.0,0
2010-02-19,12.23,12.4,12.23,12.37,12752800,0.0,0
2010-02-22,12.35,12.48,12.32,12.44,12790600,0.0,0
2010-02-23,12.42,12.43,12.23,12.26,21163500,0.0,0
2010-02-24,12.32,12.46,12.24,12.43,18101300,0.0,0
2010-02-25,12.36,12.56,12.28,12.53,21307900,0.0,0
2010-02-26,12.57,12.57,12.35,12.35,15720700,0.0,0
2010-03-01,12.38,12.48,12.38,12.44,10422000,0.0,0
2010-03-02,12.5,12.55,12.46,12.48,12661600,0.0,0
2010-03-03,12.56,12.57,12.46,12.49,12762500,0.0,0
2010-03-04,12.52,12.54,12.45,12.53,14095900,0.0,0
2010-03-05,12.58,12.75,12.57,12.71,12249200,0.0,0
