Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-06-24,14.1,14.24,13.4,13.55,1675400,0.0,0.0
2011-06-27,13.35,13.81,13.31,13.7,895200,0.0,0.0
2011-06-28,13.95,14.55,13.72,14.08,4151800,0.0,0.0
2011-06-29,14.19,14.91,14.08,14.58,3695200,0.0,0.0
2011-06-30,14.8,15.28,14.62,15.06,3025600,0.0,0.0
2011-07-01,14.99,17.26,14.92,15.35,8334200,0.0,0.0
2011-07-05,15.36,15.65,15.15,15.36,11823000,0.0,0.0
2011-07-06,15.14,15.37,14.92,15.24,10983000,0.0,0.0
2011-07-07,15.35,15.74,15.18,15.2,16707600,0.0,0.0
2011-07-08,14.85,15.5,14.74,15.07,16417000,0.0,0.0
2011-07-11,14.84,14.84,14.38,14.59,9495200,0.0,0.0
2011-07-12,14.5,14.91,14.35,14.73,8011200,0.0,0.0
2011-07-13,14.74,15.01,14.28,14.54,11642800,0.0,0.0
2011-07-14,14.54,14.56,13.9,14.06,11528400,0.0,0.0
2011-07-15,14.19,14.36,13.86,14.25,9938400,0.0,0.0
2011-07-18,14.09,14.4,13.74,14.23,8311600,0.0,0.0
2011-07-19,14.28,14.53,14.24,14.46,6423000,0.0,0.0
2011-07-20,14.48,14.53,14.34,14.38,5449000,0.0,0.0
2011-07-21,14.38,14.64,14.23,14.59,7249200,0.0,0.0
2011-07-22,14.66,14.85,14.52,14.76,6645600,0.0,0.0
2011-07-25,15.01,15.33,14.79,15.05,8898600,0.0,0.0
2011-07-26,15.06,15.91,15.02,15.66,11324200,0.0,0.0
2011-07-27,15.65,15.75,15.27,15.3,6998400,0.0,0.0
2011-07-28,15.44,15.62,15.35,15.57,6654600,0.0,0.0
2011-07-29,15.41,16.23,15.27,15.93,10709600,0.0,0.0
2011-08-01,16.39,16.51,16.01,16.36,11518400,0.0,0.0
2011-08-02,16.2,16.34,15.37,15.4,10995600,0.0,0.0
2011-08-03,15.75,16.52,14.2,15.07,13413800,0.0,0.0
2011-08-04,14.81,14.81,13.55,13.98,15377800,0.0,0.0
2011-08-05,14.16,14.27,12.17,13.58,12348600,0.0,0.0
2011-08-08,12.82,13.1,10.73,11.76,16543000,0.0,0.0
2011-08-09,12.03,13.25,11.8,13.14,12054200,0.0,0.0
2011-08-10,12.93,13.4,12.41,12.78,9682600,0.0,0.0
2011-08-11,13.06,14.04,12.89,13.59,8756400,0.0,0.0
2011-08-12,13.68,14.23,13.43,13.61,5906800,0.0,0.0
2011-08-15,13.94,14.58,13.94,14.38,5365400,0.2,0.0
2011-08-16,14.11,14.51,14.02,14.29,6532400,0.0,0.0
2011-08-17,14.58,14.7,14.27,14.38,5627600,0.0,0.0
2011-08-18,14.02,14.16,13.02,13.46,7501400,0.0,0.0
2011-08-19,13.16,13.49,12.74,12.87,9878600,0.0,0.0
2011-08-22,13.17,13.24,11.9,11.98,10774000,0.0,0.0
2011-08-23,12.0,12.76,11.79,12.6,10360000,0.0,0.0
2011-08-24,12.65,13.25,12.4,13.18,6723400,0.0,0.0
2011-08-25,13.31,13.57,12.48,12.64,6376000,0.0,0.0
2011-08-26,12.65,13.52,12.53,12.82,5880400,0.0,0.0
2011-08-29,12.97,13.37,12.89,13.24,4175000,0.0,0.0
2011-08-30,13.2,13.38,12.78,13.25,4385200,0.0,0.0
2011-08-31,13.43,13.77,13.43,13.63,5731000,0.0,0.0
2011-09-01,13.77,14.06,13.57,13.61,4515400,0.0,0.0
2011-09-02,13.18,13.6,12.92,13.03,3594200,0.0,0.0
2011-09-06,12.59,13.02,12.24,12.87,5723400,0.0,0.0
2011-09-07,13.09,13.58,12.96,13.35,5212200,0.0,0.0
2011-09-08,13.3,14.03,13.08,13.88,4086600,0.0,0.0
2011-09-09,13.47,13.89,13.21,13.37,5889000,0.0,0.0
2011-09-12,13.0,13.56,12.83,13.48,3919200,0.0,0.0
2011-09-13,13.39,13.47,12.67,13.0,7147000,0.0,0.0
2011-09-14,12.96,12.99,12.67,12.88,7640600,0.0,0.0
2011-09-15,13.2,13.59,12.96,13.03,6081400,0.0,0.0
2011-09-16,13.07,13.12,12.82,12.91,7195400,0.0,0.0
2011-09-19,12.57,12.71,12.17,12.34,5096200,0.0,0.0
2011-09-20,12.35,12.59,12.32,12.39,3859200,0.0,0.0
2011-09-21,12.27,12.67,11.89,11.92,4013000,0.0,0.0
2011-09-22,11.46,11.55,10.61,10.84,11073600,0.0,0.0
2011-09-23,10.73,11.15,10.69,10.86,6768000,0.0,0.0
2011-09-26,11.0,11.17,10.85,11.07,7971000,0.0,0.0
2011-09-27,11.34,11.7,10.92,10.97,9412400,0.0,0.0
2011-09-28,11.02,11.27,10.64,10.66,8844400,0.0,0.0
