Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,14.92,15.19,14.81,15.01,10947800,0.0,0.0
2009-12-08,14.9,14.92,14.54,14.59,9688500,0.0,0.0
2009-12-09,14.77,14.77,14.43,14.64,11483400,0.0,0.0
2009-12-10,14.77,14.86,14.58,14.68,10200300,0.0,0.0
2009-12-11,14.76,14.87,14.63,14.76,10959900,0.0,0.0
2009-12-14,15.21,15.26,14.82,14.83,10076400,0.0,0.0
2009-12-15,14.9,14.95,14.69,14.73,9506700,0.0,0.0
2009-12-16,14.8,14.92,14.7,14.84,12142400,0.0,0.0
2009-12-17,14.76,14.76,14.54,14.57,7597100,0.0,0.0
2009-12-18,14.76,14.78,14.42,14.57,12924200,0.0,0.0
2009-12-21,14.69,14.81,14.64,14.75,6506200,0.0,0.0
2009-12-22,14.89,14.94,14.75,14.87,6654400,0.0,0.0
2009-12-23,14.91,14.97,14.8,14.86,5035700,0.0,0.0
2009-12-24,14.9,14.96,14.85,14.92,1880100,0.0,0.0
2009-12-28,15.04,15.07,14.77,14.83,3992400,0.0,0.0
2009-12-29,14.87,14.92,14.71,14.76,4729200,0.0,0.0
2009-12-30,14.72,14.85,14.67,14.84,4748000,0.0,0.0
2009-12-31,14.83,14.94,14.71,14.72,4364700,0.0,0.0
2010-01-04,14.97,15.17,14.91,15.14,9214200,0.0,0.0
2010-01-05,15.2,15.25,15.1,15.15,9483300,0.0,0.0
2010-01-06,15.14,15.51,15.09,15.49,15233800,0.0,0.0
2010-01-07,15.44,15.44,15.19,15.39,7803000,0.0,0.0
2010-01-08,15.31,15.46,15.25,15.42,7585200,0.0,0.0
2010-01-11,15.54,15.58,15.29,15.42,10013000,0.0,0.0
2010-01-12,15.24,15.31,15.15,15.2,9018100,0.0,0.0
2010-01-13,15.2,15.22,14.91,15.15,9795900,0.0,0.0
2010-01-14,15.21,15.21,14.98,15.07,8469500,0.0,0.0
2010-01-15,15.04,15.04,14.62,14.92,14417000,0.0,0.0
2010-01-19,14.84,15.17,14.81,15.15,11069700,0.0,0.0
2010-01-20,15.04,15.22,14.9,15.18,12105900,0.0,0.0
2010-01-21,15.2,15.26,14.81,14.85,12399300,0.0,0.0
2010-01-22,14.71,14.85,14.4,14.42,11845700,0.0,0.0
2010-01-25,14.5,14.69,14.46,14.48,7210700,0.0,0.0
2010-01-26,14.38,14.55,14.22,14.33,9124500,0.0,0.0
2010-01-27,14.33,14.99,14.13,14.32,10633600,0.0,0.0
2010-01-28,14.35,14.45,14.11,14.22,12324200,0.0,0.0
