Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,30.23,30.24,29.46,29.77,573000,0.0,0
2009-12-08,29.8,30.21,29.42,30.01,386100,0.0,0
2009-12-09,30.07,30.31,29.41,30.19,401000,0.0,0
2009-12-10,30.22,30.43,29.88,30.43,1024000,0.0,0
2009-12-11,30.65,30.89,30.36,30.88,799900,0.0,0
2009-12-14,30.95,31.5,30.72,31.46,778500,0.0,0
2009-12-15,31.3,31.3,30.88,30.97,809300,0.0,0
2009-12-16,30.97,31.39,30.95,31.23,551800,0.0,0
2009-12-17,29.57,30.9,29.54,30.59,1032200,0.0,0
2009-12-18,30.92,31.18,29.42,30.35,2120900,0.0,0
2009-12-21,30.41,30.42,29.78,29.86,552700,0.0,0
2009-12-22,30.05,30.08,29.6,30.02,553300,0.0,0
2009-12-23,30.05,30.3,29.96,30.07,360600,0.0,0
2009-12-24,30.17,30.45,30.17,30.33,100300,0.0,0
2009-12-28,30.36,30.74,30.27,30.36,478200,0.0,0
2009-12-29,30.27,30.27,30.02,30.07,251400,0.0,0
2009-12-30,30.07,30.22,29.83,30.09,277300,0.0,0
2009-12-31,30.2,30.23,29.76,29.77,287000,0.0,0
2010-01-04,29.92,30.27,29.77,29.93,470900,0.0,0
2010-01-05,29.87,30.37,29.69,30.05,1330400,0.0,0
2010-01-06,29.97,30.21,29.07,29.23,1901900,0.0,0
2010-01-07,29.53,32.39,29.32,31.24,2247900,0.0,0
2010-01-08,31.25,32.85,31.25,32.29,1648100,0.0,0
2010-01-11,32.26,32.55,31.5,32.02,1458600,0.0,0
2010-01-12,31.64,31.64,30.96,31.1,692900,0.0,0
2010-01-13,31.09,31.42,31.09,31.22,603700,0.0,0
2010-01-14,31.33,31.45,30.96,30.98,473400,0.0,0
2010-01-15,30.89,31.02,30.02,30.08,750300,0.0,0
2010-01-19,30.03,30.65,30.03,30.42,410800,0.0,0
2010-01-20,30.33,30.41,30.03,30.03,531500,0.0,0
2010-01-21,30.19,30.4,28.98,29.08,532300,0.0,0
2010-01-22,28.99,29.33,28.33,28.5,548900,0.0,0
2010-01-25,28.74,28.9,27.96,28.45,374900,0.0,0
2010-01-26,28.32,28.54,27.52,27.58,789000,0.0,0
2010-01-27,27.61,28.07,27.33,27.99,801900,0.0,0
2010-01-28,27.99,27.99,27.45,27.79,615100,0.0,0
2010-01-29,27.96,27.99,27.66,27.67,651500,0.0,0
2010-02-01,27.73,28.16,27.67,28.0,1482900,0.0,0
2010-02-02,27.95,28.1,27.57,27.84,808600,0.0,0
2010-02-03,27.59,27.78,27.36,27.57,518000,0.0,0
2010-02-04,27.23,27.35,26.7,26.76,792000,0.0,0
2010-02-05,26.69,27.0,26.22,26.94,714500,0.0,0
2010-02-08,26.89,26.9,26.09,26.1,632300,0.0,0
2010-02-09,26.41,27.19,26.23,26.55,635000,0.0,0
2010-02-10,26.41,26.72,26.17,26.7,399900,0.0,0
2010-02-11,26.7,27.62,26.19,27.33,749500,0.0,0
2010-02-12,26.97,27.34,26.77,27.3,795600,0.0,0
2010-02-16,27.54,27.69,27.05,27.69,250600,0.0,0
2010-02-17,27.81,27.88,27.16,27.22,619900,0.0,0
2010-02-18,27.3,27.43,26.78,26.86,768800,0.0,0
2010-02-19,26.87,27.48,26.77,27.42,728400,0.0,0
2010-02-22,27.44,27.78,27.23,27.48,646200,0.0,0
2010-02-23,27.51,27.77,27.43,27.58,661700,0.0,0
2010-02-24,27.6,28.09,27.53,28.04,343800,0.0,0
2010-02-25,27.65,27.98,27.5,27.93,301800,0.0,0
2010-02-26,28.03,28.12,27.63,28.06,367800,0.0,0
2010-03-01,26.29,27.6,26.12,26.76,5746900,0.0,0
2010-03-02,27.84,30.64,27.58,30.52,4981500,0.0,0
2010-03-03,30.48,30.62,29.92,30.07,1290300,0.0,0
2010-03-04,29.98,31.09,29.92,30.77,1332500,0.0,0
2010-03-05,30.93,32.92,30.76,31.47,2729900,0.0,0
2010-03-08,31.53,32.57,31.36,31.83,2221300,0.0,0
2010-03-09,31.73,31.85,31.37,31.43,896600,0.0,0
2010-03-10,31.38,31.58,31.2,31.43,896000,0.0,0
2010-03-11,31.22,32.14,31.02,32.12,729400,0.0,0
2010-03-12,32.12,33.2,31.89,32.63,1573400,0.0,0
2010-03-15,32.53,32.53,31.83,32.34,869800,0.0,0
2010-03-16,32.31,32.73,32.24,32.69,626500,0.0,0
2010-03-17,32.78,33.14,32.53,33.11,1122600,0.0,0
2010-03-18,32.92,33.32,32.81,32.97,600100,0.0,0
2010-03-19,32.83,33.22,32.56,32.83,1364200,0.0,0
2010-03-22,32.77,33.52,32.06,33.43,576600,0.0,0
2010-03-23,33.48,33.87,33.27,33.87,724300,0.0,0
2010-03-24,33.78,33.93,33.43,33.63,438000,0.0,0
2010-03-25,33.96,34.24,33.53,33.55,595700,0.0,0
2010-03-26,33.58,33.7,32.91,33.47,643100,0.0,0
2010-03-29,33.58,33.63,33.16,33.5,358200,0.0,0
2010-03-30,33.46,34.28,33.29,33.84,490300,0.0,0
2010-03-31,33.76,34.03,33.6,33.79,397100,0.0,0
2010-04-01,34.0,34.14,33.76,34.14,238000,0.0,0
2010-04-05,34.16,34.62,34.11,34.61,353900,0.0,0
2010-04-06,34.49,35.05,34.06,34.98,605000,0.0,0
2010-04-07,34.7,35.36,34.7,34.92,942700,0.0,0
2010-04-08,34.13,34.57,33.5,33.87,1133700,0.0,0
2010-04-09,34.06,34.31,33.5,34.28,614000,0.0,0
2010-04-12,34.42,34.76,33.34,34.73,848700,0.0,0
2010-04-13,34.63,34.89,34.47,34.65,447900,0.0,0
2010-04-14,34.9,34.93,34.62,34.74,512800,0.0,0
2010-04-15,34.74,35.59,34.68,35.53,452000,0.0,0
2010-04-16,35.31,36.14,34.59,34.87,814300,0.0,0
2010-04-19,34.61,34.69,33.86,34.16,591000,0.0,0
2010-04-20,34.36,35.06,34.07,35.0,349800,0.0,0
2010-04-21,35.09,35.09,33.27,33.69,1384300,0.0,0
2010-04-22,33.36,34.16,33.29,34.11,739700,0.0,0
2010-04-23,34.22,34.37,33.99,34.35,324700,0.0,0
2010-04-26,34.22,34.67,33.95,34.6,362400,0.0,0
2010-04-27,34.35,34.46,33.63,33.66,626500,0.0,0
2010-04-28,33.88,34.12,32.93,33.14,952900,0.0,0
2010-04-29,33.29,33.35,32.41,33.19,779600,0.0,0
2010-04-30,33.14,33.48,32.43,32.43,498200,0.0,0
2010-05-03,32.66,32.7,32.19,32.54,588500,0.0,0
2010-05-04,32.13,32.13,31.36,31.99,1018400,0.0,0
2010-05-05,31.77,32.26,31.43,31.82,1012100,0.0,0
2010-05-06,31.5,32.1,29.57,30.87,996900,0.0,0
2010-05-07,30.73,30.73,29.16,30.36,1565500,0.0,0
2010-05-10,31.86,31.86,31.07,31.59,810800,0.0,0
2010-05-11,31.3,31.87,30.9,31.54,558600,0.0,0
2010-05-12,31.71,32.26,31.4,32.05,578200,0.0,0
2010-05-13,31.91,32.48,31.72,31.78,306100,0.0,0
2010-05-14,31.49,31.53,30.44,30.69,581200,0.0,0
2010-05-17,30.73,31.17,29.89,30.62,921900,0.0,0
2010-05-18,31.02,31.22,30.09,30.25,717500,0.0,0
2010-05-19,30.0,30.22,29.14,29.45,581900,0.0,0
2010-05-20,29.02,29.02,27.73,27.85,1555500,0.0,0
2010-05-21,27.22,28.53,27.08,28.27,2108100,0.0,0
2010-05-24,28.1,28.63,27.81,27.85,943600,0.0,0
2010-05-25,27.14,27.27,26.57,27.17,1380500,0.0,0
2010-05-26,27.36,27.63,26.76,26.85,1129300,0.0,0
2010-05-27,27.35,27.79,27.3,27.79,892000,0.0,0
2010-05-28,27.7,28.22,27.36,27.75,934000,0.0,0
2010-06-01,27.56,28.12,27.43,27.54,2153900,0.0,0
2010-06-02,27.66,28.26,27.49,28.21,1231900,0.0,0
2010-06-03,28.45,28.71,27.48,27.65,4342500,0.0,0
2010-06-04,26.89,27.55,26.8,26.96,2125800,0.0,0
2010-06-07,27.1,27.33,26.26,26.35,1747000,0.0,0
2010-06-08,26.4,26.7,25.67,26.47,2251600,0.0,0
2010-06-09,26.7,27.18,26.12,26.26,1219100,0.0,0
2010-06-10,26.56,27.27,26.5,27.26,1015400,0.0,0
2010-06-11,26.96,27.82,26.92,27.79,972100,0.0,0
2010-06-14,27.89,28.15,27.36,27.38,1224500,0.0,0
2010-06-15,27.49,27.71,27.33,27.65,1110300,0.0,0
2010-06-16,27.58,28.57,27.36,28.19,802700,0.0,0
2010-06-17,28.25,28.26,27.87,27.99,403600,0.0,0
2010-06-18,27.99,28.23,27.86,28.05,518200,0.0,0
2010-06-21,28.41,28.64,28.08,28.19,614400,0.0,0
2010-06-22,28.17,28.31,27.77,28.14,1159200,0.0,0
2010-06-23,28.22,28.22,27.35,27.6,585500,0.0,0
2010-06-24,27.42,27.55,26.75,26.8,619200,0.0,0
2010-06-25,26.68,27.31,26.55,27.23,759900,0.0,0
2010-06-28,27.26,27.35,27.03,27.18,528600,0.0,0
2010-06-29,26.85,26.85,25.4,25.49,1006800,0.0,0
2010-06-30,25.38,26.07,25.13,25.65,3091000,0.0,0
2010-07-01,26.6,26.68,25.17,25.59,1417900,0.0,0
2010-07-02,25.79,26.15,25.53,25.99,1085200,0.0,0
2010-07-06,26.23,27.3,25.99,26.55,414500,0.0,0
2010-07-07,26.41,27.76,26.15,27.73,658800,0.0,0
2010-07-08,27.9,28.29,27.86,28.23,898400,0.0,0
2010-07-09,28.18,28.7,28.06,28.7,770300,0.0,0
2010-07-12,28.51,28.81,28.41,28.72,691300,0.0,0
2010-07-13,28.61,29.18,28.61,29.04,1088500,0.0,0
2010-07-14,29.01,29.63,28.9,29.48,616300,0.0,0
2010-07-15,29.51,29.61,29.02,29.51,664000,0.0,0
2010-07-16,29.36,29.37,28.97,29.03,840600,0.0,0
2010-07-19,29.05,29.14,28.61,28.83,334900,0.0,0
2010-07-20,28.54,29.15,28.31,29.13,480500,0.0,0
2010-07-21,29.11,29.37,28.52,28.59,350100,0.0,0
2010-07-22,28.89,29.61,28.73,29.57,372600,0.0,0
2010-07-23,29.46,31.12,29.32,31.01,1236700,0.0,0
2010-07-26,31.14,31.35,30.73,30.94,863600,0.0,0
2010-07-27,31.34,31.43,30.64,30.9,582600,0.0,0
2010-07-28,30.78,31.04,30.5,30.64,580200,0.0,0
2010-07-29,30.75,30.76,29.55,29.77,556700,0.0,0
2010-07-30,29.37,30.33,29.2,30.21,437000,0.0,0
2010-08-02,30.49,31.21,30.49,31.12,1001100,0.0,0
2010-08-03,31.09,31.28,30.8,31.09,670500,0.0,0
2010-08-04,31.24,31.31,30.98,31.25,329800,0.0,0
2010-08-05,31.09,31.2,30.78,30.82,536900,0.0,0
2010-08-06,30.51,30.85,30.27,30.7,182300,0.0,0
2010-08-09,30.8,31.04,30.57,31.03,292300,0.0,0
2010-08-10,30.89,31.01,30.51,30.62,260200,0.0,0
2010-08-11,30.1,30.22,29.16,29.16,524400,0.0,0
2010-08-12,28.7,29.39,28.6,29.28,322300,0.0,0
2010-08-13,29.25,29.44,29.11,29.23,341900,0.0,0
2010-08-16,29.09,29.52,29.06,29.47,255800,0.0,0
2010-08-17,29.72,29.93,29.33,29.49,282000,0.0,0
2010-08-18,29.36,30.25,29.26,30.14,478300,0.0,0
2010-08-19,30.15,30.18,29.13,29.13,523200,0.0,0
2010-08-20,29.11,29.11,28.33,28.92,397000,0.0,0
2010-08-23,29.11,29.11,28.63,28.68,318500,0.0,0
2010-08-24,28.27,28.39,27.73,27.82,535500,0.0,0
2010-08-25,27.67,27.97,27.16,27.9,463400,0.0,0
2010-08-26,28.01,28.48,27.99,28.1,466100,0.0,0
2010-08-27,28.29,28.57,28.0,28.54,448100,0.0,0
2010-08-30,28.4,28.47,27.76,27.77,348400,0.0,0
2010-08-31,27.76,28.33,27.62,27.99,366500,0.0,0
2010-09-01,28.41,28.87,28.28,28.85,550600,0.0,0
2010-09-02,28.88,29.55,28.85,29.52,376100,0.0,0
2010-09-03,29.95,30.56,29.93,30.56,298300,0.0,0
2010-09-07,30.51,30.81,30.26,30.3,512900,0.0,0
2010-09-08,30.3,31.09,30.24,30.84,486900,0.0,0
2010-09-09,31.13,31.24,30.77,31.21,273300,0.0,0
2010-09-10,31.2,31.2,30.77,30.89,258700,0.0,0
2010-09-13,31.33,32.2,31.08,32.18,432400,0.0,0
2010-09-14,32.05,32.67,31.77,32.19,1313500,0.0,0
2010-09-15,32.04,32.34,31.79,31.93,259500,0.0,0
2010-09-16,31.78,32.42,31.7,32.3,280200,0.0,0
2010-09-17,32.41,32.74,32.21,32.53,476200,0.0,0
2010-09-20,32.71,32.93,32.49,32.91,357300,0.0,0
2010-09-21,32.99,33.02,32.56,32.65,342600,0.0,0
2010-09-22,32.72,33.1,32.11,32.2,527500,0.0,0
2010-09-23,31.92,32.1,31.51,31.52,346900,0.0,0
2010-09-24,31.96,32.23,31.77,31.98,488300,0.0,0
