Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,23.44,23.68,23.36,23.45,38082700,0.0,0
2009-12-08,23.24,23.41,23.12,23.27,37402200,0.0,0
2009-12-09,23.2,23.46,23.02,23.38,44713300,0.0,0
2009-12-10,23.38,23.58,23.35,23.51,45940200,0.0,0
2009-12-11,23.59,23.61,23.45,23.49,43744200,0.0,0
2009-12-14,23.54,23.74,23.53,23.7,34651200,0.0,0
2009-12-15,23.53,23.78,23.52,23.63,49473200,0.0,0
2009-12-16,23.67,23.94,23.64,23.69,55737800,0.0,0
2009-12-17,23.57,23.58,23.27,23.3,43691200,0.0,0
2009-12-18,23.49,23.97,23.46,23.9,94118000,0.0,0
2009-12-21,23.93,24.27,23.9,24.02,40129100,0.0,0
2009-12-22,24.09,24.34,24.04,24.26,36321000,0.0,0
2009-12-23,24.17,24.36,24.16,24.34,28362700,0.0,0
2009-12-24,24.31,24.4,24.21,24.4,11083900,0.0,0
2009-12-28,24.4,24.54,24.31,24.53,25384000,0.0,0
2009-12-29,24.68,24.79,24.58,24.71,29716200,0.0,0
2009-12-30,24.52,24.63,24.24,24.37,42006200,0.0,0
2009-12-31,24.38,24.39,23.99,23.99,31929700,0.0,0
2010-01-04,24.1,24.48,24.08,24.36,38409100,0.0,0
2010-01-05,24.28,24.48,24.12,24.37,49749600,0.0,0
2010-01-06,24.31,24.46,24.02,24.22,58182400,0.0,0
2010-01-07,24.11,24.16,23.76,23.97,50559700,0.0,0
2010-01-08,23.83,24.31,23.8,24.13,51197400,0.0,0
2010-01-11,24.17,24.21,23.71,23.83,68754700,0.0,0
2010-01-12,23.73,23.93,23.54,23.67,65912100,0.0,0
2010-01-13,23.82,24.02,23.62,23.89,51863500,0.0,0
2010-01-14,23.86,24.48,23.82,24.37,63228100,0.0,0
2010-01-15,24.46,24.59,24.17,24.29,79913200,0.0,0
2010-01-19,24.2,24.59,24.15,24.48,46575700,0.0,0
2010-01-20,24.25,24.35,23.86,24.08,54849500,0.0,0
2010-01-21,24.09,24.18,23.61,23.62,73086700,0.0,0
2010-01-22,23.61,23.77,22.7,22.79,102004600,0.0,0
2010-01-25,23.01,23.35,22.9,23.08,63373000,0.0,0
2010-01-26,22.98,23.49,22.9,23.22,66639900,0.0,0
2010-01-27,23.1,23.47,22.84,23.35,63949500,0.0,0
2010-01-28,23.49,23.51,22.74,22.95,117513700,0.0,0
2010-01-29,23.53,23.55,21.77,22.18,193888500,0.0,0
2010-02-01,22.35,22.42,21.98,22.36,85931100,0.0,0
2010-02-02,22.33,22.43,22.15,22.4,54413700,0.0,0
2010-02-03,22.24,22.66,22.13,22.53,61397900,0.0,0
2010-02-04,22.34,22.43,21.89,21.91,77850000,0.0,0
2010-02-05,22.04,22.26,21.7,22.05,80960100,0.0,0
2010-02-08,22.05,22.1,21.7,21.82,52820600,0.0,0
2010-02-09,22.02,22.31,21.84,22.05,59195800,0.0,0
2010-02-10,22.06,22.23,21.91,22.03,48591300,0.0,0
2010-02-11,21.98,22.35,21.8,22.13,65993700,0.0,0
2010-02-12,21.89,22.09,21.71,21.98,81117200,0.0,0
2010-02-16,22.24,22.43,22.16,22.42,51935600,0.13,0
2010-02-17,22.56,22.66,22.43,22.61,45882900,0.0,0
2010-02-18,22.61,22.96,22.55,22.91,42856500,0.0,0
2010-02-19,22.77,22.87,22.69,22.75,44451800,0.0,0
2010-02-22,22.81,22.89,22.66,22.72,36707100,0.0,0
2010-02-23,22.68,22.8,22.21,22.4,52266200,0.0,0
2010-02-24,22.55,22.77,22.44,22.64,43165900,0.0,0
2010-02-25,22.36,22.66,22.16,22.62,48735300,0.0,0
2010-02-26,22.66,22.81,22.55,22.67,40370600,0.0,0
2010-03-01,22.75,22.97,22.56,22.95,43805400,0.0,0
2010-03-02,23.0,23.17,22.33,22.51,93123900,0.0,0
2010-03-03,22.55,22.62,22.42,22.51,48442100,0.0,0
2010-03-04,22.51,22.66,22.36,22.64,42890600,0.0,0
2010-03-05,22.66,22.68,22.47,22.61,56001800,0.0,0
2010-03-08,22.55,22.88,22.54,22.64,39414500,0.0,0
2010-03-09,22.58,23.02,22.58,22.77,50271600,0.0,0
2010-03-10,22.82,23.02,22.77,22.91,44891400,0.0,0
2010-03-11,22.85,23.08,22.81,23.07,35349700,0.0,0
2010-03-12,23.19,23.23,22.96,23.15,31700200,0.0,0
2010-03-15,23.07,23.23,22.94,23.16,37512000,0.0,0
2010-03-16,23.26,23.32,23.09,23.23,36723500,0.0,0
2010-03-17,23.33,23.62,23.25,23.43,50385700,0.0,0
2010-03-18,23.43,23.5,23.33,23.41,43845200,0.0,0
2010-03-19,23.53,23.64,23.21,23.4,81332100,0.0,0
