Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,13.17,13.53,13.17,13.42,1927800,0.0,0
2009-12-08,13.37,13.58,13.17,13.53,2759200,0.0,0
2009-12-09,13.47,13.52,13.19,13.49,1825600,0.0,0
2009-12-10,13.5,13.68,13.47,13.52,2604400,0.0,0
2009-12-11,13.52,13.64,13.38,13.47,1944600,0.0,0
2009-12-14,13.53,13.93,13.53,13.77,3522500,0.0,0
2009-12-15,13.74,13.99,13.67,13.84,2492700,0.0,0
2009-12-16,13.88,14.42,13.84,14.24,4432200,0.0,0
2009-12-17,14.22,14.28,13.89,13.94,4727000,0.0,0
2009-12-18,13.96,14.36,13.94,14.35,5595800,0.0,0
2009-12-21,14.43,14.61,14.37,14.56,2683400,0.0,0
2009-12-22,14.57,14.81,14.55,14.71,2416300,0.0,0
2009-12-23,14.69,14.83,14.57,14.61,1993200,0.0,0
2009-12-24,14.7,14.87,14.62,14.87,661700,0.0,0
2009-12-28,14.91,14.96,14.5,14.57,2471900,0.0,0
2009-12-29,14.58,14.63,14.35,14.45,2534000,0.0,0
2009-12-30,14.46,14.76,14.43,14.67,1362300,0.0,0
2009-12-31,14.69,14.71,14.46,14.48,2095100,0.0,0
2010-01-04,14.76,14.76,14.48,14.6,2541100,0.0,0
2010-01-05,14.61,14.64,14.32,14.4,3906700,0.0,0
2010-01-06,14.34,14.53,14.19,14.24,3572000,0.0,0
2010-01-07,14.18,14.23,13.84,14.16,3251500,0.0,0
2010-01-08,14.16,14.27,14.07,14.25,2567600,0.0,0
2010-01-11,14.15,14.29,13.98,14.13,2615000,0.0,0
2010-01-12,14.07,14.07,13.54,13.55,4269700,0.0,0
2010-01-13,13.73,13.9,13.29,13.78,5571700,0.0,0
2010-01-14,13.7,13.77,13.55,13.73,2798200,0.0,0
2010-01-15,13.83,13.83,13.22,13.29,4633700,0.0,0
2010-01-19,13.32,13.52,13.2,13.44,3249900,0.0,0
2010-01-20,13.36,13.51,13.07,13.46,4838600,0.0,0
2010-01-21,13.47,13.78,13.17,13.35,3931300,0.0,0
2010-01-22,13.35,13.4,12.74,12.79,4929700,0.0,0
2010-01-25,12.75,13.02,12.7,12.91,2916000,0.0,0
2010-01-26,12.8,13.04,12.67,12.79,2751900,0.0,0
2010-01-27,12.68,13.12,12.55,13.11,4812400,0.0,0
2010-01-28,13.1,13.12,12.45,12.91,8101100,0.0,0
2010-01-29,13.52,13.57,12.31,12.45,9718500,0.0,0
2010-02-01,12.54,12.76,12.48,12.75,6741500,0.0,0
2010-02-02,12.82,13.1,12.75,13.07,5278700,0.0,0
2010-02-03,12.97,13.12,12.76,12.95,3933900,0.0,0
2010-02-04,12.77,12.77,12.3,12.4,4700400,0.0,0
2010-02-05,12.41,12.66,12.31,12.58,4998600,0.0,0
2010-02-08,12.76,12.77,12.43,12.56,2808100,0.0,0
2010-02-09,12.71,12.8,12.49,12.68,3160800,0.0,0
2010-02-10,12.63,12.9,12.58,12.8,3185000,0.0,0
2010-02-11,12.77,13.05,12.58,12.92,4247000,0.0,0
2010-02-12,12.67,13.09,12.62,13.01,2930700,0.0,0
2010-02-16,13.04,13.31,12.97,13.3,2957300,0.0,0
2010-02-17,13.41,13.41,13.04,13.28,2218300,0.2,0
2010-02-18,13.3,13.59,13.23,13.52,2555100,0.0,0
2010-02-19,13.48,13.57,13.32,13.48,2099900,0.0,0
2010-02-22,13.58,13.64,13.41,13.53,1822000,0.0,0
2010-02-23,13.53,13.57,13.05,13.11,2583500,0.0,0
2010-02-24,13.21,13.49,13.19,13.46,2629900,0.0,0
2010-02-25,13.23,13.32,13.06,13.32,3146300,0.0,0
2010-02-26,13.29,13.4,13.05,13.34,3942900,0.0,0
2010-03-01,13.42,13.63,13.39,13.58,2077700,0.0,0
2010-03-02,13.6,13.72,13.5,13.57,2182700,0.0,0
2010-03-03,13.57,13.74,13.43,13.47,1573600,0.0,0
2010-03-04,13.44,13.54,13.31,13.53,2062600,0.0,0
2010-03-05,13.53,13.76,13.48,13.7,2148200,0.0,0
2010-03-08,13.71,13.79,13.6,13.62,1583800,0.0,0
2010-03-09,13.5,13.71,13.48,13.63,2240200,0.0,0
