Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,17.49,17.5,17.01,17.13,2908100,0.0,0
2009-12-08,16.99,17.16,16.92,16.98,2141500,0.0,0
2009-12-09,16.94,17.21,16.87,17.11,2210100,0.0,0
2009-12-10,17.15,17.24,17.06,17.1,2530000,0.0,0
2009-12-11,17.14,17.27,17.09,17.16,1364600,0.0,0
2009-12-14,17.25,17.42,17.16,17.4,1458200,0.0,0
2009-12-15,17.23,17.33,17.07,17.1,1991900,0.0,0
2009-12-16,17.28,17.61,17.2,17.5,2160900,0.0,0
2009-12-17,17.37,17.42,17.24,17.35,1817400,0.0,0
2009-12-18,17.46,17.47,17.15,17.46,2947800,0.0,0
2009-12-21,17.45,17.55,17.24,17.49,1553600,0.0,0
2009-12-22,17.72,17.72,17.46,17.6,1645700,0.0,0
2009-12-23,17.66,17.68,17.54,17.63,849200,0.0,0
2009-12-24,17.61,17.86,17.6,17.86,654300,0.0,0
2009-12-28,17.85,17.97,17.8,17.88,933400,0.0,0
2009-12-29,17.9,17.96,17.79,17.82,722000,0.0,0
2009-12-30,17.69,17.81,17.56,17.61,1197600,0.0,0
2009-12-31,17.68,17.72,17.3,17.3,1665500,0.0,0
2010-01-04,17.39,17.83,17.37,17.67,2171500,0.0,0
2010-01-05,17.4,17.74,17.4,17.72,1481700,0.0,0
2010-01-06,17.63,17.77,17.6,17.71,2446700,0.0,0
2010-01-07,17.68,17.72,17.36,17.48,2832800,0.0,0
2010-01-08,17.49,17.72,17.35,17.66,1449200,0.0,0
2010-01-11,17.67,17.81,17.55,17.7,1788100,0.0,0
2010-01-12,17.6,17.72,17.3,17.4,1732800,0.0,0
2010-01-13,17.33,17.59,17.24,17.56,2277300,0.0,0
2010-01-14,17.48,17.71,17.4,17.68,1497900,0.0,0
2010-01-15,17.65,17.81,17.49,17.6,2327300,0.0,0
2010-01-19,17.6,17.67,17.49,17.57,1052300,0.0,0
2010-01-20,17.48,17.55,17.19,17.4,1920500,0.0,0
2010-01-21,17.45,17.45,16.5,16.56,4474300,0.0,0
2010-01-22,16.51,16.61,15.96,16.01,3887000,0.0,0
2010-01-25,16.23,16.23,15.93,16.02,2642600,0.0,0
2010-01-26,15.84,16.09,15.8,15.8,2569300,0.0,0
2010-01-27,15.82,16.08,15.79,16.02,3089100,0.0,0
2010-01-28,16.07,16.19,15.83,15.92,1790100,0.0,0
2010-01-29,15.95,16.12,15.7,15.7,3012900,0.0,0
2010-02-01,15.84,16.24,15.76,16.08,4002900,0.0,0
2010-02-02,16.11,16.34,16.06,16.22,1849600,0.0,0
2010-02-03,16.8,16.82,16.34,16.64,6138500,0.0,0
2010-02-04,16.53,16.53,16.0,16.03,3812000,0.0,0
2010-02-05,15.97,16.42,15.97,16.41,2936700,0.0,0
2010-02-08,16.47,16.54,15.7,15.76,4219400,0.0,0
2010-02-09,15.97,16.17,15.77,15.89,5746300,0.0,0
2010-02-10,15.84,15.94,15.64,15.79,3922900,0.0,0
2010-02-11,15.74,15.99,15.7,15.84,3077100,0.0,0
2010-02-12,15.74,16.06,15.6,15.97,4129200,0.0,0
2010-02-16,16.11,16.25,15.95,16.19,3088200,0.0,0
2010-02-17,16.25,16.32,16.05,16.21,2380900,0.0,0
2010-02-18,15.97,16.28,15.97,16.25,2217700,0.0,0
2010-02-19,16.24,16.35,16.14,16.26,2067300,0.0,0
2010-02-22,16.24,16.28,16.16,16.18,1220800,0.0,0
2010-02-23,16.24,16.29,16.05,16.1,2142800,0.0,0
2010-02-24,16.15,16.33,16.03,16.24,2183500,0.0,0
2010-02-25,15.98,16.32,15.96,16.3,1968800,0.0,0
2010-02-26,16.26,16.39,16.12,16.26,1901000,0.0,0
2010-03-01,16.32,16.42,16.21,16.41,1945500,0.0,0
2010-03-02,16.55,16.97,16.54,16.8,3351700,0.0,0
2010-03-03,16.89,17.08,16.81,16.97,2537400,0.0,0
2010-03-04,16.86,17.35,16.86,17.24,3462000,0.0,0
2010-03-05,17.19,17.56,17.19,17.49,3479400,0.0,0
2010-03-08,17.38,17.54,17.24,17.52,2695900,0.0,0
2010-03-09,17.4,17.67,17.37,17.59,2598100,0.0,0
2010-03-10,17.58,17.68,17.49,17.65,3057500,0.0,0
2010-03-11,17.47,17.7,17.47,17.67,1694800,0.0,0
2010-03-12,17.7,17.83,17.67,17.72,1339200,0.0,0
2010-03-15,17.72,17.73,17.32,17.7,2897700,0.0,0
2010-03-16,17.7,17.76,17.58,17.68,2897900,0.0,0
2010-03-17,17.76,18.05,17.64,17.9,2728000,0.0,0
2010-03-18,18.01,18.22,17.98,18.1,2430600,0.0,0
2010-03-19,18.21,18.39,18.0,18.36,4298900,0.0,0
2010-03-22,18.18,18.25,17.9,18.16,2298000,0.0,0
2010-03-23,18.11,18.3,18.08,18.28,1846100,0.0,0
2010-03-24,18.16,18.43,18.11,18.32,2316500,0.0,0
2010-03-25,18.35,18.52,18.28,18.31,2201000,0.0,0
2010-03-26,18.59,18.59,18.2,18.38,2047000,0.0,0
