Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,37.86,38.15,37.74,37.93,1666200,0.0,0
2009-12-08,37.85,38.23,37.48,38.16,1992800,0.0,0
2009-12-09,38.33,38.51,38.24,38.45,2091000,0.0,0
2009-12-10,38.59,39.42,38.58,39.41,3497700,0.0,0
2009-12-11,39.52,40.38,39.36,40.28,3510300,0.0,0
2009-12-14,40.42,40.51,39.76,39.94,2863100,0.0,0
2009-12-15,39.96,40.03,39.49,39.67,1924500,0.0,0
2009-12-16,39.76,40.0,39.21,39.29,2303400,0.0,0
2009-12-17,39.21,39.32,38.75,38.86,2122500,0.0,0
2009-12-18,39.11,39.33,38.67,39.11,2805000,0.0,0
2009-12-21,39.04,39.44,38.98,39.03,1524800,0.0,0
2009-12-22,39.03,39.23,38.5,38.54,1716000,0.0,0
2009-12-23,38.49,38.68,37.8,37.92,4412900,0.0,0
2009-12-24,37.95,38.2,37.86,37.89,898100,0.0,0
2009-12-28,37.97,38.35,37.74,38.25,1449000,0.0,0
2009-12-29,38.23,38.47,38.15,38.23,1101500,0.0,0
2009-12-30,38.19,38.46,38.08,38.46,1083100,0.0,0
2009-12-31,38.51,38.58,37.79,37.83,1269000,0.0,0
2010-01-04,37.98,38.48,37.86,38.13,2602200,0.0,0
2010-01-05,38.17,38.25,37.42,37.76,2796600,0.0,0
2010-01-06,37.7,38.2,37.69,38.13,3373300,0.0,0
2010-01-07,38.09,38.1,37.7,38.03,2442200,0.0,0
2010-01-08,37.94,38.08,37.56,37.7,2268600,0.0,0
2010-01-11,37.79,38.49,37.17,37.67,6142900,0.0,0
2010-01-12,37.38,37.38,36.54,36.75,5625100,0.0,0
2010-01-13,36.66,37.06,36.22,36.88,5857800,0.0,0
2010-01-14,36.16,36.26,35.56,35.81,8078600,0.0,0
2010-01-15,35.6,36.26,35.38,36.2,6041900,0.0,0
2010-01-19,35.98,36.45,35.9,36.44,3545300,0.0,0
2010-01-20,36.22,36.22,35.36,35.79,3963700,0.0,0
2010-01-21,35.76,36.03,35.02,35.11,4666100,0.0,0
2010-01-22,35.1,35.17,34.46,34.47,3557500,0.0,0
2010-01-25,34.67,34.76,34.14,34.19,5432900,0.0,0
2010-01-26,34.73,35.5,34.45,35.25,6315000,0.0,0
