Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-08,21.52,21.85,21.39,21.84,4091400,0.0,0
2019-03-11,21.87,22.4,21.87,22.27,5087100,0.0,0
2019-03-12,22.25,22.5,22.21,22.35,3749800,0.0,0
2019-03-13,22.38,22.96,22.35,22.83,5489300,0.0,0
2019-03-14,22.43,23.13,22.34,22.81,4309300,0.0,0
2019-03-15,22.88,23.1,22.73,22.9,6255100,0.0,0
2019-03-18,22.9,23.24,22.86,22.95,3371700,0.0,0
2019-03-19,23.11,23.23,22.94,23.09,3299800,0.0,0
2019-03-20,23.07,23.16,22.75,23.02,2801100,0.0,0
2019-03-21,22.98,23.52,22.91,23.47,3109800,0.0,0
2019-03-22,23.38,23.45,22.71,22.74,3580900,0.0,0
2019-03-25,22.71,22.81,22.35,22.76,3268200,0.0,0
2019-03-26,22.92,23.15,22.89,23.11,2506600,0.0,0
2019-03-27,23.07,23.14,22.58,22.72,3297400,0.0,0
2019-03-28,22.72,22.92,22.4,22.82,2237200,0.0,0
2019-03-29,22.95,23.0,22.75,22.87,4312500,0.0,0
2019-04-01,22.98,23.16,22.87,23.07,4215100,0.0,0
2019-04-02,23.1,23.14,22.92,23.03,3599300,0.0,0
2019-04-03,23.18,23.41,23.13,23.21,6957900,0.0,0
2019-04-04,23.31,23.39,22.65,22.92,4393800,0.0,0
2019-04-05,22.94,23.2,22.81,22.87,3999800,0.0,0
2019-04-08,23.59,24.64,23.53,24.12,11619000,0.0,0
2019-04-09,23.95,24.12,23.7,23.76,4925300,0.0,0
2019-04-10,23.75,24.0,23.4,23.62,4327800,0.0,0
2019-10-31,22.85,22.9,22.52,22.76,8044100,0.0,0
2019-11-04,23.47,23.91,23.26,23.63,8081600,0.0,0
2019-11-05,23.63,23.63,23.63,23.63,0,0.0,0
2019-11-06,24.09,24.19,23.74,23.88,6178900,0.0,0
2019-11-07,23.88,24.29,23.77,24.22,6995000,0.0,0
2019-11-08,24.24,24.77,23.25,24.7,7475200,0.0,0
2019-11-11,24.44,24.49,23.97,24.23,3935100,0.0,0
2019-11-12,24.26,24.44,23.99,24.08,5018400,0.0,0
2019-11-13,24.03,24.44,24.0,24.44,2750300,0.0,0
2019-11-14,24.34,24.51,24.14,24.4,4614300,0.0,0
2019-11-15,24.53,24.73,24.34,24.7,3726400,0.0,0
2019-11-18,24.72,24.77,24.29,24.43,2679100,0.0,0
2019-11-19,24.42,24.67,24.36,24.57,2360500,0.0,0
2019-11-20,24.48,24.65,24.38,24.44,2642900,0.0,0
2019-11-21,24.39,24.58,24.37,24.44,2252600,0.0,0
2019-11-22,24.47,24.68,24.38,24.52,3284400,0.125,0
2019-11-25,24.56,24.92,24.5,24.91,3094300,0.0,0
2019-11-26,24.89,25.0,24.85,25.0,4153300,0.0,0
2019-11-27,25.0,25.0,24.75,24.92,3169900,0.0,0
2019-11-29,24.87,24.94,24.7,24.9,2883700,0.0,0
2019-12-02,24.77,25.23,24.75,24.99,7530800,0.0,0
2019-12-03,24.61,25.06,24.56,24.95,6447900,0.0,0
2019-12-04,25.06,25.43,24.52,25.38,8873400,0.0,0
2019-12-05,25.4,25.65,25.27,25.49,4364091,0.0,0
