Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,39.91,40.36,39.91,40.16,1716500,0.0,0.0
2009-12-08,39.88,40.03,39.22,39.38,2569700,0.0,0.0
2009-12-09,39.31,39.55,38.58,38.94,2370700,0.0,0.0
2009-12-10,39.03,39.4,39.02,39.22,1928000,0.0,0.0
2009-12-11,39.42,39.78,39.38,39.48,2098200,0.0,0.0
2009-12-14,39.72,40.79,39.72,40.54,2598800,0.0,0.0
2009-12-15,40.54,40.54,39.82,39.95,1846300,0.0,0.0
2009-12-16,40.01,40.21,39.73,39.82,2022600,0.0,0.0
2009-12-17,39.71,39.88,39.51,39.66,2324200,0.0,0.0
2009-12-18,39.98,40.15,39.63,39.89,3495500,0.0,0.0
2009-12-21,40.08,40.54,40.08,40.24,1398200,0.0,0.0
2009-12-22,40.46,40.65,40.09,40.16,1241300,0.0,0.0
2009-12-23,40.17,40.31,39.88,39.99,1344800,0.0,0.0
2009-12-24,40.04,40.29,40.04,40.11,257900,0.0,0.0
2009-12-28,40.06,40.68,40.06,40.68,1589100,0.0,0.0
2009-12-29,40.8,41.02,40.63,40.69,1158100,0.0,0.0
2009-12-30,40.47,40.92,40.44,40.68,869700,0.0,0.0
2009-12-31,40.84,40.87,39.94,39.98,953200,0.0,0.0
2010-01-04,40.16,40.71,40.16,40.69,1616100,0.0,0.0
2010-01-05,40.59,41.12,40.59,40.77,1859800,0.0,0.0
2010-01-06,40.66,40.96,40.51,40.92,2204900,0.0,0.0
2010-01-07,40.74,41.49,40.6,41.35,4750900,0.0,0.0
2010-01-08,41.07,41.59,40.91,41.12,1723700,0.0,0.0
2010-01-11,41.34,41.48,40.94,41.16,1523000,0.0,0.0
2010-01-12,40.97,41.22,40.66,41.2,1650500,0.0,0.0
2010-01-13,41.34,42.64,41.34,42.44,2729700,0.0,0.0
2010-01-14,42.4,42.83,41.93,42.45,2044300,0.0,0.0
2010-01-15,42.28,42.38,41.6,41.96,1846800,0.0,0.0
2010-01-19,41.95,42.67,41.64,42.19,2460200,0.0,0.0
2010-01-20,41.82,42.03,41.17,41.72,1858600,0.0,0.0
2010-01-21,41.62,41.76,40.5,40.57,2682100,0.0,0.0
2010-01-22,40.64,40.7,39.75,39.82,2182900,0.0,0.0
2010-01-25,40.26,40.26,39.63,39.87,2499100,0.0,0.0
2010-01-26,39.83,40.41,39.58,40.11,2079300,0.0,0.0
2010-01-27,39.98,40.77,39.79,40.62,3078900,0.0,0.0
2010-01-28,40.68,40.94,39.89,40.54,2672800,0.0,0.0
2010-01-29,40.77,40.84,40.31,40.52,2585800,0.0,0.0
2010-02-01,40.72,41.59,40.67,41.46,3725800,0.0,0.0
2010-02-02,41.43,41.66,40.9,41.65,3208400,0.0,0.0
2010-02-03,41.41,42.05,41.35,41.88,2173900,0.0,0.0
2010-02-04,41.61,43.23,40.7,41.45,6825200,0.0,0.0
2010-02-05,41.71,41.88,40.49,41.27,2839500,0.0,0.0
2010-02-08,41.35,42.03,40.92,41.5,2596000,0.0,0.0
2010-02-09,41.93,42.92,41.65,42.63,3011200,0.0,0.0
2010-02-10,42.57,42.59,41.76,41.9,2633200,0.0,0.0
2010-02-11,41.9,42.53,41.52,42.53,2117200,0.0,0.0
2010-02-12,42.11,42.27,41.69,42.15,2815300,0.0,0.0
2010-02-16,42.51,42.71,42.17,42.63,2635600,0.0,0.0
2010-02-17,42.75,42.91,42.52,42.91,2161700,0.0,0.0
2010-02-18,42.75,44.03,42.71,44.03,3644200,0.0,0.0
2010-02-19,44.01,44.23,43.62,43.81,3061900,0.0,0.0
2010-02-22,43.82,44.42,43.79,44.14,1911800,0.0,0.0
2010-02-23,44.01,44.55,43.81,43.84,1949500,0.0,0.0
2010-02-24,44.0,44.38,43.79,44.16,2060900,0.0,0.0
2010-02-25,44.13,44.14,43.4,44.09,3060500,0.43,0.0
2010-02-26,44.11,44.31,43.54,44.19,3776500,0.0,0.0
2010-03-01,44.18,45.61,44.11,45.45,2709600,0.0,0.0
2010-03-02,45.42,45.93,45.3,45.38,2349600,0.0,0.0
2010-03-03,45.4,45.47,44.69,44.96,2759200,0.0,0.0
2010-03-04,44.93,45.66,44.78,45.5,3788100,0.0,0.0
2010-03-05,45.75,46.43,45.72,46.33,1525600,0.0,0.0
2010-03-08,46.28,46.49,45.99,46.28,1408500,0.0,0.0
2010-03-09,46.14,46.54,45.94,46.17,2027000,0.0,0.0
2010-03-10,46.07,46.68,46.01,46.57,1569600,0.0,0.0
2010-03-11,46.56,46.75,46.07,46.71,1440600,0.0,0.0
2010-03-12,46.69,46.87,46.06,46.17,2072000,0.0,0.0
2010-03-15,46.15,46.44,46.02,46.39,1925100,0.0,0.0
2010-03-16,46.48,46.81,46.38,46.62,1723600,0.0,0.0
2010-03-17,46.8,47.13,46.57,46.82,1645800,0.0,0.0
2010-03-18,46.91,46.96,46.69,46.93,1657300,0.0,0.0
2010-03-19,47.28,47.33,46.82,47.28,4805900,0.0,0.0
2010-03-22,47.08,47.16,46.75,46.85,2380600,0.0,0.0
2010-03-23,46.93,47.12,46.77,47.03,2372400,0.0,0.0
2010-03-24,46.99,47.14,46.69,46.85,1871600,0.0,0.0
2010-03-25,47.19,47.32,46.85,46.88,1736400,0.0,0.0
2010-03-26,46.9,47.38,46.9,47.27,1946700,0.0,0.0
2010-03-29,47.41,47.65,47.26,47.45,2234900,0.0,0.0
2010-03-30,47.57,47.57,47.14,47.41,1579000,0.0,0.0
2010-03-31,47.17,47.52,47.03,47.3,2179800,0.0,0.0
2010-04-01,47.65,48.05,47.46,47.79,1750700,0.0,0.0
2010-04-05,47.94,48.11,47.75,47.91,1528500,0.0,0.0
2010-04-06,47.76,47.76,47.28,47.42,1586600,0.0,0.0
2010-04-07,47.21,47.54,46.99,47.05,2221600,0.0,0.0
2010-04-08,47.02,47.08,46.63,46.96,1834900,0.0,0.0
2010-04-09,46.95,47.75,46.94,47.72,2007500,0.0,0.0
2010-04-12,47.72,48.07,47.68,47.77,1537200,0.0,0.0
2010-04-13,47.65,48.18,47.32,48.07,1967100,0.0,0.0
2010-04-14,48.22,48.23,47.5,48.22,1524800,0.0,0.0
2010-04-15,48.07,48.33,47.86,48.2,1462200,0.0,0.0
2010-04-16,48.18,48.21,47.2,47.59,1919400,0.0,0.0
2010-04-19,47.38,47.97,47.32,47.91,1492300,0.0,0.0
2010-04-20,48.06,48.77,47.95,48.64,1793400,0.0,0.0
2010-04-21,48.46,49.34,48.29,49.32,1666500,0.0,0.0
2010-04-22,49.02,49.83,48.9,49.77,2044700,0.0,0.0
2010-04-23,49.8,49.8,49.16,49.77,1265000,0.0,0.0
2010-04-26,49.8,50.23,49.67,49.72,1779000,0.0,0.0
2010-04-27,49.61,49.61,48.4,48.46,2209500,0.0,0.0
2010-04-28,50.11,50.35,48.87,49.54,3689000,0.0,0.0
