Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,38.6,38.71,38.18,38.35,2264400,0.0,0
2009-12-08,38.24,38.59,37.88,37.96,2732500,0.28,0
2009-12-09,37.94,38.19,37.63,38.11,1957300,0.0,0
2009-12-10,38.25,38.56,38.14,38.25,2661700,0.0,0
2009-12-11,38.46,38.63,38.01,38.62,2499200,0.0,0
2009-12-14,38.72,38.96,38.37,38.95,3074600,0.0,0
2009-12-15,38.54,39.07,38.54,38.84,2098500,0.0,0
2009-12-16,39.08,39.32,38.66,39.3,2593800,0.0,0
2009-12-17,39.12,39.39,38.82,39.21,2686900,0.0,0
2009-12-18,39.67,40.18,39.53,40.18,3895000,0.0,0
2009-12-21,40.24,40.67,40.08,40.63,1607500,0.0,0
2009-12-22,40.73,41.22,40.59,41.16,2112000,0.0,0
2009-12-23,41.28,41.81,41.17,41.64,1547400,0.0,0
2009-12-24,41.69,42.0,41.55,41.89,585200,0.0,0
2009-12-28,42.04,42.2,41.69,42.01,1173300,0.0,0
2009-12-29,42.14,42.26,41.93,41.95,1138900,0.0,0
2009-12-30,41.72,42.26,41.56,42.22,934800,0.0,0
2009-12-31,42.41,42.45,42.05,42.05,1267200,0.0,0
2010-01-04,41.81,42.33,41.81,42.16,1967200,0.0,0
2010-01-05,41.73,42.33,41.73,42.1,2126100,0.0,0
2010-01-06,42.0,42.21,41.44,41.49,2241300,0.0,0
2010-01-07,41.36,42.01,41.25,41.89,2001100,0.0,0
2010-01-08,41.69,42.18,41.49,42.07,1367800,0.0,0
2010-01-11,41.43,41.8,40.46,40.96,2925300,0.0,0
2010-01-12,40.8,41.49,40.59,40.89,2018900,0.0,0
2010-01-13,41.03,41.54,40.71,41.37,1517300,0.0,0
2010-01-14,41.24,41.46,40.93,41.17,2012600,0.0,0
2010-01-15,41.16,41.54,40.78,41.37,2052000,0.0,0
2010-01-19,41.37,42.25,41.36,42.08,1897200,0.0,0
2010-01-20,43.47,45.03,43.01,44.49,4863200,0.0,0
2010-01-21,43.75,44.2,42.89,42.94,3039700,0.0,0
2010-01-22,42.86,43.39,41.52,41.79,3157500,0.0,0
2010-01-25,42.31,42.34,41.4,41.72,1214200,0.0,0
2010-01-26,41.46,41.86,40.87,40.87,1298700,0.0,0
2010-01-27,40.92,42.24,40.76,42.13,1890200,0.0,0
2010-01-28,42.47,42.47,41.07,41.4,1615900,0.0,0
2010-01-29,41.54,41.62,40.54,40.55,1933600,0.0,0
