Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,11.79,11.85,11.62,11.66,2401400,0.0,0
2009-12-08,11.5,11.62,11.33,11.36,2577800,0.0,0
2009-12-09,11.26,11.55,11.24,11.52,2802900,0.0,0
2009-12-10,11.63,11.73,11.48,11.5,2282800,0.0,0
2009-12-11,11.56,11.83,11.54,11.79,1782900,0.0,0
2009-12-14,11.84,11.89,11.72,11.84,1799200,0.0,0
2009-12-15,11.72,11.79,11.59,11.69,1734600,0.0,0
2009-12-16,11.72,11.76,11.56,11.57,2095800,0.0,0
2009-12-17,11.53,11.65,11.4,11.43,2659300,0.0,0
2009-12-18,11.47,11.71,11.44,11.58,3648700,0.0,0
2009-12-21,11.62,11.89,11.61,11.72,2517300,0.0,0
2009-12-22,11.65,11.89,11.64,11.7,2480100,0.0,0
2009-12-23,11.73,11.94,11.71,11.93,2793000,0.0,0
2009-12-24,11.93,12.0,11.9,11.96,364400,0.0,0
2009-12-28,11.97,12.01,11.79,11.84,1191600,0.0,0
2009-12-29,11.87,11.89,11.71,11.79,1548300,0.0,0
2009-12-30,11.76,11.85,11.72,11.8,1034400,0.0,0
2009-12-31,11.79,11.85,11.72,11.72,1229000,0.0,0
2010-01-04,11.8,12.04,11.76,11.87,2925800,0.0,0
2010-01-05,11.92,11.93,11.69,11.79,2885400,0.0,0
2010-01-06,11.75,12.02,11.74,12.01,4676500,0.0,0
2010-01-07,12.13,12.39,11.97,12.35,3613200,0.0,0
2010-01-08,12.26,12.33,12.15,12.31,1915900,0.0,0
2010-01-11,12.38,12.38,12.15,12.18,2321700,0.0,0
2010-01-12,12.07,12.17,11.88,12.02,3032900,0.0,0
2010-01-13,12.02,12.15,12.01,12.11,2514000,0.0,0
2010-01-14,12.07,12.14,12.04,12.06,2204300,0.0,0
2010-01-15,12.01,12.05,11.64,11.64,4555400,0.0,0
2010-01-19,11.72,12.05,11.65,11.87,10731500,0.0,0
2010-01-20,11.81,11.9,11.72,11.81,4472700,0.0,0
2010-01-21,11.89,11.89,11.5,11.53,5474500,0.0,0
2010-01-22,11.49,11.65,11.27,11.3,4615800,0.0,0
2010-01-25,11.4,11.47,11.26,11.35,2533700,0.0,0
2010-01-26,11.27,11.4,11.21,11.26,3819100,0.0,0
2010-01-27,11.26,11.32,10.94,11.13,4837200,0.0,0
2010-01-28,11.18,11.21,10.96,11.08,4504300,0.0,0
2010-01-29,10.94,11.01,10.31,10.59,15226700,0.0,0
2010-02-01,10.78,10.78,10.45,10.65,9550300,0.0,0
2010-02-02,10.95,11.3,10.8,11.12,7714400,0.0,0
2010-02-03,11.04,11.17,10.95,11.03,4598600,0.0,0
2010-02-04,10.94,10.97,10.57,10.58,4746800,0.0,0
2010-02-05,10.56,10.58,10.23,10.43,5776500,0.0,0
2010-02-08,10.73,10.87,10.55,10.6,6038800,0.0,0
2010-02-09,10.73,10.83,10.6,10.8,3775800,0.0,0
2010-02-10,10.8,10.81,10.54,10.65,4896500,0.0,0
2010-02-11,10.61,10.8,10.51,10.75,6039200,0.0,0
