Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-06-19,14.23,15.0,13.99,14.53,7717000,0.0,0
2013-06-20,15.2,15.25,14.37,14.44,1874600,0.0,0
2013-06-21,14.95,14.95,14.46,14.78,635300,0.0,0
2013-06-24,14.77,14.77,14.21,14.52,758300,0.0,0
2013-06-25,14.5,14.66,14.36,14.65,564400,0.0,0
2013-06-26,14.54,14.55,14.32,14.47,901000,0.0,0
2013-06-27,13.83,14.72,13.71,14.38,3258000,0.0,0
2013-06-28,14.3,14.67,14.27,14.39,1793700,0.0,0
2013-07-01,14.48,14.5,13.88,13.91,4343500,0.0,0
2013-07-02,13.73,14.21,13.72,14.02,8682500,0.0,0
2013-07-03,13.92,14.14,13.88,14.0,2265100,0.0,0
2013-07-05,13.99,14.91,13.99,14.6,3470900,0.0,0
2013-07-08,14.81,15.04,14.55,14.99,4010700,0.0,0
2013-07-09,14.79,14.99,14.66,14.72,3656200,0.0,0
2013-07-10,14.5,14.59,14.24,14.45,3010500,0.0,0
2013-07-11,14.78,14.78,14.09,14.23,3630300,0.0,0
2013-07-12,14.03,14.2,14.0,14.02,3042300,0.0,0
2013-07-15,14.03,14.11,13.58,13.85,5331400,0.0,0
2013-07-16,13.76,14.47,13.75,14.4,2711100,0.0,0
2013-07-17,14.29,15.08,14.29,14.99,3737700,0.0,0
2013-07-18,15.01,15.2,14.46,14.59,2827900,0.0,0
2013-07-19,14.38,15.21,14.38,15.08,3735400,0.0,0
2013-07-22,15.11,15.21,14.73,14.87,2159200,0.0,0
2013-07-23,14.83,15.01,14.7,14.83,2104900,0.0,0
2013-07-24,14.77,15.01,14.61,14.89,2205100,0.0,0
2013-07-25,14.88,15.01,14.63,14.74,2097300,0.0,0
2013-07-26,14.74,15.12,14.5,15.05,937600,0.0,0
2013-07-29,14.95,15.03,14.6,14.7,3495600,0.0,0
2013-07-30,14.72,15.14,14.66,15.1,3438100,0.0,0
2013-07-31,15.05,15.31,15.01,15.05,2392800,0.0,0
2013-08-01,15.07,15.36,15.05,15.33,1951600,0.0,0
2013-08-02,15.24,15.57,15.2,15.44,2042800,0.0,0
2013-08-05,15.35,15.42,15.04,15.16,1127500,0.0,0
2013-08-06,15.09,15.39,15.0,15.33,1335300,0.0,0
2013-08-07,15.19,15.25,15.01,15.12,1239800,0.0,0
2013-08-08,15.27,15.44,15.11,15.32,2109500,0.0,0
2013-08-09,15.35,15.35,15.17,15.19,1370900,0.0,0
2013-08-12,15.06,15.25,14.94,15.07,1917600,0.0,0
2013-08-13,15.18,15.18,14.97,15.01,1643600,0.0,0
2013-08-14,14.97,15.16,14.85,15.14,2029000,0.0,0
2013-08-15,15.02,15.33,14.91,15.27,1351600,0.0,0
2013-08-16,15.21,15.39,15.12,15.15,2144700,0.0,0
2013-08-19,15.16,15.17,14.86,14.86,610700,0.0,0
2013-08-20,14.88,14.95,14.71,14.86,993300,0.0,0
2013-08-21,14.81,14.97,14.69,14.91,1948100,0.0,0
2013-08-22,14.96,15.0,14.8,14.86,1611600,0.0,0
