Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,22.63,22.84,22.6,22.77,2785000,0.0,0
2009-12-08,22.62,22.72,22.26,22.29,3956200,0.0,0
2009-12-09,22.28,22.3,22.02,22.21,3806600,0.0,0
2009-12-10,22.34,22.51,22.28,22.3,3793200,0.0,0
2009-12-11,22.48,22.49,22.21,22.3,2372100,0.0,0
2009-12-14,22.49,22.59,22.31,22.42,2976600,0.0,0
2009-12-15,22.36,22.44,22.18,22.29,3558100,0.0,0
2009-12-16,22.34,22.4,21.95,22.06,4707500,0.0,0
2009-12-17,22.43,22.46,21.54,21.62,6442800,0.0,0
2009-12-18,21.62,21.8,21.55,21.66,5955800,0.0,0
2009-12-21,21.7,21.95,21.64,21.69,2924300,0.0,0
2009-12-22,21.77,21.78,21.62,21.69,2412900,0.0,0
2009-12-23,21.8,21.8,21.57,21.61,1858100,0.0,0
2009-12-24,21.71,21.74,21.66,21.74,852400,0.0,0
2009-12-28,21.81,21.83,21.67,21.71,1559500,0.0,0
2009-12-29,21.81,21.82,21.67,21.69,1129200,0.0,0
2009-12-30,21.79,21.79,21.62,21.64,1594300,0.0,0
2009-12-31,21.58,21.71,21.46,21.46,2073200,0.0,0
2010-01-04,21.81,21.82,21.53,21.59,3731300,0.0,0
2010-01-05,21.61,21.63,21.39,21.57,3237700,0.0,0
2010-01-06,21.58,21.78,21.48,21.75,3507700,0.0,0
2010-01-07,21.68,22.1,21.54,22.09,3674700,0.0,0
2010-01-08,21.58,22.13,21.46,22.11,5082700,0.0,0
2010-01-11,22.11,22.35,21.88,22.24,3256600,0.0,0
2010-01-12,22.25,22.27,22.0,22.16,2806200,0.0,0
2010-01-13,22.09,22.22,21.88,22.18,3927000,0.0,0
2010-01-14,22.09,22.18,21.78,21.96,2300000,0.0,0
2010-01-15,21.55,21.77,21.37,21.48,4405000,0.0,0
2010-01-19,21.5,21.57,21.19,21.32,4649700,0.0,0
2010-01-20,21.13,21.36,20.9,21.33,4836000,0.0,0
2010-01-21,21.32,21.61,21.09,21.18,3833700,0.0,0
2010-01-22,21.18,21.25,20.75,20.76,3658700,0.0,0
2010-01-25,20.84,20.85,20.57,20.66,2919400,0.0,0
2010-01-26,20.59,20.78,20.54,20.57,3873500,0.0,0
2010-01-27,20.49,20.69,20.4,20.58,4804800,0.0,0
2010-01-28,20.58,20.74,20.26,20.44,4935300,0.31,0
2010-01-29,20.53,20.75,20.5,20.52,6691300,0.0,0
2010-02-01,20.63,20.78,20.53,20.76,5189400,0.0,0
2010-02-02,20.79,20.97,20.51,20.89,3507200,0.0,0
2010-02-03,20.89,20.98,20.74,20.87,2423100,0.0,0
2010-02-04,20.71,20.76,20.42,20.52,4839000,0.0,0
2010-02-05,20.49,20.59,20.18,20.49,4116700,0.0,0
2010-02-08,20.33,20.59,20.33,20.43,2798700,0.0,0
2010-02-09,20.62,20.78,20.45,20.61,2877200,0.0,0
2010-02-10,20.58,20.7,20.4,20.59,1812000,0.0,0
2010-02-11,20.53,20.89,20.4,20.83,2460500,0.0,0
2010-02-12,20.51,20.98,20.51,20.91,3620700,0.0,0
2010-02-16,21.15,21.17,20.88,21.15,1797900,0.0,0
2010-02-17,21.24,21.32,21.18,21.29,1870800,0.0,0
