Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,10.42,10.42,10.26,10.31,2816000,0.0,0
2009-12-08,10.27,10.42,10.22,10.35,3166200,0.0,0
2009-12-09,10.39,10.48,10.33,10.46,4119200,0.0,0
2009-12-10,10.46,10.6,10.42,10.51,2271100,0.0,0
2009-12-11,10.59,10.67,10.53,10.6,3221100,0.0,0
2009-12-14,10.64,10.8,10.53,10.77,2728100,0.0,0
2009-12-15,10.67,10.76,10.58,10.61,2931300,0.0,0
2009-12-16,10.69,10.76,10.55,10.69,3259400,0.0,0
2009-12-17,10.66,10.76,10.6,10.69,3330400,0.0,0
2009-12-18,10.82,10.91,10.64,10.91,6443100,0.0,0
2009-12-21,10.88,11.03,10.75,10.93,2926200,0.0,0
2009-12-22,10.96,10.98,10.84,10.94,3163200,0.0,0
2009-12-23,10.99,11.0,10.8,10.82,2924800,0.0,0
2009-12-24,10.86,10.88,10.78,10.88,1273800,0.0,0
2009-12-28,10.89,10.91,10.74,10.78,2034200,0.0,0
2009-12-29,10.78,10.87,10.73,10.78,1927700,0.0,0
2009-12-30,10.74,10.8,10.67,10.79,1595900,0.0,0
2009-12-31,10.73,10.8,10.71,10.73,2294600,0.0,0
2010-01-04,10.8,10.93,10.73,10.76,2932200,0.0,0
2010-01-05,10.76,10.85,10.64,10.83,3563000,0.0,0
2010-01-06,10.8,10.85,10.72,10.82,2061700,0.0,0
2010-01-07,10.82,10.97,10.71,10.87,3082200,0.0,0
2010-01-08,10.83,10.93,10.8,10.93,2442900,0.0,0
2010-01-11,10.94,10.98,10.79,10.82,1720700,0.0,0
2010-01-12,10.8,10.9,10.61,10.63,3802700,0.0,0
2010-01-13,10.71,10.8,10.64,10.74,3226800,0.0,0
2010-01-14,10.71,10.87,10.67,10.84,2227400,0.0,0
2010-01-15,10.88,10.91,10.62,10.68,3112500,0.0,0
2010-01-19,10.72,10.8,10.66,10.7,2966600,0.0,0
2010-01-20,10.64,10.73,10.6,10.69,2782500,0.0,0
2010-01-21,10.66,10.76,10.53,10.66,4496600,0.0,0
2010-01-22,10.6,10.84,10.28,10.38,7107200,0.0,0
2010-01-25,10.58,10.6,10.29,10.46,4747400,0.0,0
2010-01-26,10.34,10.45,10.21,10.22,3323300,0.0,0
2010-01-27,10.23,10.34,10.13,10.26,5643600,0.0,0
2010-01-28,10.3,10.38,10.12,10.15,5196700,0.153,0
2010-01-29,10.11,10.61,10.08,10.49,9942600,0.0,0
2010-02-01,10.46,10.49,10.17,10.23,5793700,0.0,0
2010-02-02,10.23,10.29,10.08,10.16,5081500,0.0,0
2010-02-03,10.1,10.22,10.02,10.06,3329200,0.0,0
2010-02-04,10.12,10.12,9.84,9.86,3955800,0.0,0
2010-02-05,9.85,10.01,9.78,9.96,4943000,0.0,0
2010-02-08,9.85,10.06,9.83,9.89,3667500,0.0,0
2010-02-09,9.97,10.13,9.93,10.06,3613100,0.0,0
2010-02-10,10.06,10.11,9.98,10.06,3356900,0.0,0
2010-02-11,10.01,10.14,9.97,10.11,2333800,0.0,0
2010-02-12,10.03,10.13,9.98,10.12,3533600,0.0,0
2010-02-16,10.12,10.27,10.12,10.27,3432100,0.0,0
2010-02-17,10.27,10.31,10.19,10.27,2901400,0.0,0
2010-02-18,10.3,10.34,10.09,10.1,10637300,0.0,0
2010-02-19,10.17,10.34,10.12,10.25,4894300,0.0,0
2010-02-22,10.23,10.26,10.15,10.17,4316400,0.0,0
2010-02-23,10.21,10.27,10.05,10.06,4717400,0.0,0
2010-02-24,10.14,10.21,10.02,10.21,4256100,0.0,0
2010-02-25,10.07,10.17,10.03,10.16,2704800,0.0,0
2010-02-26,10.22,10.23,10.08,10.22,4748400,0.0,0
2010-03-01,10.21,10.23,10.08,10.19,3337800,0.0,0
2010-03-02,10.24,10.24,10.09,10.13,3123000,0.0,0
2010-03-03,10.16,10.17,9.95,10.02,3285500,0.0,0
2010-03-04,10.01,10.07,9.92,9.97,1968400,0.0,0
2010-03-05,10.03,10.2,9.88,10.12,5172700,0.0,0
2010-03-08,10.03,10.16,10.03,10.15,3018400,0.0,0
2010-03-09,10.08,10.16,10.05,10.13,5402300,0.0,0
2010-03-10,10.1,10.16,10.04,10.11,3984500,0.0,0
2010-03-11,10.06,10.21,10.06,10.21,5809400,0.0,0
2010-03-12,10.3,10.3,10.09,10.11,4237300,0.0,0
2010-03-15,10.23,10.23,10.0,10.08,5080000,0.0,0
2010-03-16,10.1,10.14,10.06,10.1,3279500,0.0,0
2010-03-17,10.15,10.17,10.08,10.13,4111400,0.0,0
2010-03-18,10.1,10.12,10.06,10.09,3043800,0.0,0
2010-03-19,10.29,10.38,10.12,10.25,10916900,0.0,0
2010-03-22,10.25,10.28,10.12,10.23,5245700,0.0,0
2010-03-23,10.25,10.27,10.14,10.19,3728700,0.0,0
2010-03-24,10.21,10.22,10.06,10.08,5453700,0.0,0
2010-03-25,10.11,10.22,10.08,10.17,5978800,0.0,0
2010-03-26,10.22,10.3,10.1,10.17,6959900,0.0,0
2010-03-29,10.25,10.25,10.12,10.22,3095800,0.0,0
2010-03-30,10.23,10.25,10.16,10.18,4395800,0.0,0
2010-03-31,10.13,10.21,10.11,10.14,5686300,0.0,0
2010-04-01,10.16,10.21,10.1,10.19,4031500,0.0,0
2010-04-05,10.26,10.26,10.08,10.13,5538200,0.0,0
2010-04-06,10.13,10.28,10.07,10.26,7560100,0.0,0
2010-04-07,10.34,10.6,10.21,10.49,8994200,0.0,0
