Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,47.4,47.98,47.29,47.79,6259700,0.0,0
2009-12-08,47.69,47.69,46.99,47.23,6161600,0.0,0
2009-12-09,46.19,46.42,45.21,45.98,20222300,0.0,0
2009-12-10,46.24,46.6,45.89,46.01,8512500,0.0,0
2009-12-11,46.02,46.41,45.52,45.59,8249600,0.0,0
2009-12-14,45.91,45.96,45.28,45.37,7437800,0.0,0
2009-12-15,45.39,45.68,44.94,45.38,7656600,0.0,0
2009-12-16,45.52,45.9,45.1,45.15,8127400,0.0,0
2009-12-17,45.12,45.12,44.67,44.67,8336100,0.0,0
2009-12-18,44.58,44.58,43.73,44.26,18604200,0.0,0
2009-12-21,44.43,45.19,44.35,45.0,7973000,0.0,0
2009-12-22,45.07,45.23,44.83,45.11,6026000,0.0,0
2009-12-23,45.29,45.29,44.83,45.15,3829000,0.0,0
2009-12-24,45.13,45.36,44.94,45.36,1502900,0.0,0
2009-12-28,45.53,45.57,45.29,45.51,4364200,0.0,0
2009-12-29,45.6,45.83,45.46,45.46,3787000,0.0,0
2009-12-30,45.39,45.72,45.29,45.62,3779400,0.0,0
2009-12-31,45.57,45.71,45.21,45.24,3316300,0.0,0
2010-01-04,45.53,45.77,45.12,45.57,6585900,0.0,0
2010-01-05,45.39,46.21,45.31,46.12,8886000,0.0,0
2010-01-06,46.12,46.48,45.56,45.65,9998000,0.0,0
2010-01-07,45.65,45.67,45.04,45.36,10792000,0.0,0
2010-01-08,45.21,45.25,44.84,45.22,8674700,0.0,0
2010-01-11,45.15,45.25,44.72,45.16,6461200,0.0,0
2010-01-12,45.03,45.89,45.02,45.8,9081800,0.0,0
2010-01-13,45.69,46.38,45.69,46.17,7380100,0.0,0
2010-01-14,46.15,46.82,45.95,46.73,7211600,0.0,0
2010-01-15,46.58,46.81,46.0,46.35,8361200,0.0,0
2010-01-19,46.3,46.44,46.11,46.38,5615800,0.0,0
2010-01-20,46.2,46.24,45.71,46.09,5606000,0.0,0
2010-01-21,46.14,46.25,45.19,45.34,7121500,0.0,0
2010-01-22,45.2,45.57,44.87,44.93,7229000,0.0,0
2010-01-25,45.16,45.16,44.7,44.81,4903800,0.0,0
2010-01-26,44.72,45.04,44.51,44.83,5001700,0.0,0
2010-01-27,44.68,44.93,44.35,44.86,6145900,0.0,0
2010-01-28,44.87,45.02,44.27,44.45,9285900,0.0,0
2010-01-29,44.52,44.91,43.99,44.36,8127200,0.0,0
2010-02-01,44.59,45.2,44.29,45.16,7303200,0.0,0
2010-02-02,45.15,45.6,44.9,45.5,6296700,0.0,0
2010-02-03,45.33,45.68,45.06,45.6,4863000,0.0,0
2010-02-04,45.26,45.33,44.36,44.38,6920300,0.0,0
2010-02-05,44.28,44.49,43.86,44.28,7347800,0.0,0
2010-02-08,44.35,44.39,43.71,43.87,7047700,0.0,0
2010-02-09,44.11,45.0,44.11,44.68,7940200,0.0,0
