Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,12.79,12.86,12.48,12.5,76050600,0.0,0
2009-12-08,12.49,12.5,12.2,12.29,79981600,0.0,0
2009-12-09,12.48,12.63,12.36,12.62,73225600,0.0,0
2009-12-10,12.78,12.8,12.63,12.68,36292600,0.0,0
2009-12-11,12.71,12.79,12.63,12.66,30886500,0.0,0
2009-12-14,12.78,12.82,12.59,12.73,51231200,0.0,0
2009-12-15,12.63,12.77,12.56,12.65,34626700,0.0,0
2009-12-16,12.71,12.83,12.67,12.74,40041800,0.0,0
2009-12-17,12.72,12.72,12.5,12.61,44296900,0.0,0
2009-12-18,12.7,12.79,12.63,12.66,62248400,0.0,0
2009-12-21,12.73,13.07,12.71,12.88,39160100,0.0,0
2009-12-22,13.01,13.06,12.83,12.88,35894100,0.0,0
2009-12-23,12.98,13.01,12.82,12.86,27963400,0.0,0
2009-12-24,12.92,12.93,12.81,12.87,12935300,0.0,0
2009-12-28,12.92,12.95,12.82,12.89,19448900,0.0,0
2009-12-29,12.88,12.95,12.83,12.84,19666700,0.0,0
2009-12-30,12.79,12.86,12.72,12.8,18291900,0.0,0
2009-12-31,12.72,12.79,12.59,12.59,25676600,0.0,0
2010-01-04,12.64,13.1,12.62,13.1,52086000,0.0,0
2010-01-05,13.09,13.1,12.83,12.91,43372800,0.0,0
2010-01-06,12.91,13.01,12.81,12.87,41405100,0.0,0
2010-01-07,12.9,12.92,12.77,12.82,39428000,0.0,0
2010-01-08,12.88,12.95,12.81,12.92,30407700,0.0,0
2010-01-11,13.03,13.11,12.92,13.03,32447500,0.0,0
2010-01-12,13.01,13.14,12.9,12.99,41273100,0.0,0
2010-01-13,13.06,13.35,13.06,13.29,59514300,0.0,0
2010-01-14,13.28,13.49,13.24,13.41,47267900,0.0,0
2010-01-15,13.44,13.62,13.33,13.49,76622900,0.0,0
2010-01-19,13.51,13.89,13.49,13.84,78332300,0.0,0
2010-01-20,13.87,14.09,13.75,13.8,79243800,0.0,0
2010-01-21,13.87,13.94,13.26,13.31,77175700,0.0,0
2010-01-22,13.33,13.78,13.08,13.12,61703000,0.0,0
2010-01-25,13.31,13.32,13.04,13.04,49272400,0.0,0
2010-01-26,12.95,13.08,12.89,12.99,43600600,0.0,0
2010-01-27,12.99,13.21,12.91,13.15,54609400,0.0,0
2010-01-28,13.19,13.22,12.88,12.89,50939800,0.0,0
2010-01-29,12.94,13.13,12.81,12.91,56044700,0.0,0
2010-02-01,13.0,13.14,12.94,13.0,39455700,0.0,0
2010-02-02,13.06,13.37,12.99,13.31,67611300,0.0,0
2010-02-03,13.05,13.17,12.87,13.0,113996100,0.18,0
2010-02-04,12.82,12.88,12.58,12.59,94261900,0.0,0
2010-02-05,12.51,12.7,12.29,12.54,90398000,0.0,0
2010-02-08,12.51,12.57,12.38,12.46,55626200,0.0,0
2010-02-09,12.48,12.68,12.33,12.49,70972000,0.0,0
2010-02-10,12.52,12.56,12.31,12.39,59957500,0.0,0
2010-02-11,12.4,12.59,12.31,12.48,54692600,0.0,0
2010-02-12,12.47,12.5,12.31,12.43,50341800,0.0,0
2010-02-16,12.54,12.63,12.3,12.38,63281800,0.0,0
2010-02-17,12.47,12.47,12.24,12.34,58254100,0.0,0
2010-02-18,12.35,12.4,12.26,12.38,57118500,0.0,0
2010-02-19,12.45,12.64,12.38,12.56,50657800,0.0,0
2010-02-22,12.56,12.68,12.42,12.54,58001900,0.0,0
2010-02-23,12.46,12.53,12.3,12.34,47873200,0.0,0
2010-02-24,12.39,12.59,12.29,12.44,67722500,0.0,0
2010-02-25,12.27,12.38,12.17,12.36,53458000,0.0,0
2010-02-26,12.36,12.44,12.22,12.26,59237700,0.0,0
2010-03-01,12.3,12.47,12.28,12.4,45623500,0.0,0
2010-03-02,12.48,12.49,12.26,12.29,64656300,0.0,0
2010-03-03,12.19,12.29,12.02,12.1,109064000,0.0,0
2010-03-04,12.12,12.15,12.03,12.1,56917200,0.0,0
2010-03-05,12.14,12.22,12.03,12.21,64708400,0.0,0
2010-03-08,12.29,12.29,12.06,12.12,48738800,0.0,0
2010-03-09,12.06,12.1,11.98,12.03,54543900,0.0,0
2010-03-10,12.02,12.12,11.95,11.98,56301200,0.0,0
2010-03-11,11.96,12.1,11.94,12.08,48812400,0.0,0
2010-03-12,12.01,12.03,11.87,11.93,85448500,0.0,0
2010-03-15,11.89,12.07,11.87,12.06,43937900,0.0,0
2010-03-16,12.1,12.14,11.95,12.06,53166200,0.0,0
2010-03-17,12.06,12.09,11.99,12.02,56649400,0.0,0
2010-03-18,12.11,12.12,11.96,12.03,50905100,0.0,0
2010-03-19,11.81,12.08,11.73,11.81,113238900,0.0,0
2010-03-22,11.87,12.05,11.86,11.98,71077900,0.0,0
2010-03-23,12.07,12.28,12.01,12.25,73917100,0.0,0
2010-03-24,12.3,12.37,12.25,12.3,73930300,0.0,0
2010-03-25,12.39,12.42,12.12,12.15,48204700,0.0,0
2010-03-26,12.12,12.14,11.94,11.97,54182300,0.0,0
2010-03-29,12.01,12.11,11.97,12.07,48742500,0.0,0
2010-03-30,12.1,12.15,11.96,12.06,41833000,0.0,0
2010-03-31,12.0,12.06,11.94,11.98,59031100,0.0,0
2010-04-01,12.02,12.07,11.87,11.93,69116800,0.0,0
2010-04-05,11.97,11.97,11.77,11.8,68750200,0.0,0
2010-04-06,11.83,11.91,11.78,11.85,77606700,0.0,0
2010-04-07,11.89,11.96,11.87,11.92,84536900,0.0,0
2010-04-08,11.92,11.99,11.89,11.97,52796700,0.0,0
2010-04-09,12.01,12.09,11.99,12.05,44000600,0.0,0
2010-04-12,12.1,12.1,12.01,12.08,49243600,0.0,0
2010-04-13,12.02,12.05,11.94,12.0,66164200,0.0,0
2010-04-14,12.0,12.0,11.83,11.92,95889700,0.0,0
2010-04-15,11.91,11.99,11.85,11.87,59603000,0.0,0
2010-04-16,11.86,11.88,11.73,11.73,75517900,0.0,0
2010-04-19,11.69,11.75,11.59,11.73,65927100,0.0,0
2010-04-20,11.75,11.78,11.68,11.71,56513800,0.0,0
2010-04-21,11.7,11.75,11.48,11.59,68568500,0.0,0
2010-04-22,11.52,11.57,11.41,11.51,69718100,0.0,0
2010-04-23,11.48,11.88,11.45,11.81,98305000,0.0,0
2010-04-26,11.78,11.85,11.66,11.75,83473300,0.0,0
2010-04-27,11.67,11.77,11.45,11.5,91545300,0.0,0
2010-04-28,11.5,11.62,11.45,11.55,60657000,0.0,0
2010-04-29,11.62,11.88,11.62,11.78,67504500,0.0,0
2010-04-30,11.87,11.87,11.65,11.68,51071200,0.0,0
2010-05-03,11.73,11.87,11.61,11.81,71969100,0.0,0
2010-05-04,11.98,12.15,11.92,12.06,120901500,0.0,0
2010-05-05,11.98,12.24,11.97,12.13,99300000,0.18,0
2010-05-06,12.11,12.15,11.19,11.82,119231000,0.0,0
2010-05-07,11.79,11.86,11.56,11.62,106900700,0.0,0
2010-05-10,11.93,12.18,11.89,12.0,81597000,0.0,0
2010-05-11,11.89,12.13,11.86,12.01,53957500,0.0,0
2010-05-12,11.98,12.06,11.8,11.93,53519700,0.0,0
2010-05-13,11.89,11.96,11.67,11.69,67786700,0.0,0
2010-05-14,11.67,11.67,11.34,11.43,62673300,0.0,0
2010-05-17,11.43,11.48,11.14,11.37,98820100,0.0,0
2010-05-18,11.39,11.47,11.14,11.16,73455900,0.0,0
2010-05-19,11.12,11.25,11.01,11.17,82052200,0.0,0
2010-05-20,10.97,11.06,10.74,10.75,112458800,0.0,0
2010-05-21,10.58,10.88,10.56,10.87,102435700,0.0,0
2010-05-24,10.78,10.86,10.69,10.74,54077800,0.0,0
2010-05-25,10.55,10.66,10.41,10.63,102961200,0.0,0
2010-05-26,10.66,10.88,10.59,10.66,92242100,0.0,0
2010-05-27,10.83,10.9,10.71,10.85,66970500,0.0,0
2010-05-28,10.82,11.0,10.74,10.75,61379200,0.0,0
2010-06-01,10.7,10.88,10.56,10.58,56881600,0.0,0
2010-06-02,10.67,10.74,10.53,10.73,49540200,0.0,0
2010-06-03,10.76,10.83,10.67,10.75,34247400,0.0,0
2010-06-04,10.59,10.62,10.35,10.42,77938300,0.0,0
2010-06-07,10.47,10.51,10.23,10.25,68785800,0.0,0
2010-06-08,10.26,10.28,10.13,10.27,63236700,0.0,0
2010-06-09,10.33,10.41,10.16,10.25,86583300,0.0,0
2010-06-10,10.34,10.66,10.34,10.52,60177000,0.0,0
2010-06-11,10.75,10.95,10.73,10.91,75621200,0.0,0
2010-06-14,10.98,11.01,10.8,10.82,51260700,0.0,0
2010-06-15,10.87,10.96,10.8,10.95,50476200,0.0,0
2010-06-16,10.88,10.99,10.84,10.93,37923700,0.0,0
2010-06-17,10.89,10.92,10.68,10.92,49718300,0.0,0
2010-06-18,10.93,10.98,10.65,10.74,69824800,0.0,0
2010-06-21,10.84,10.86,10.59,10.66,45715800,0.0,0
2010-06-22,10.69,10.76,10.57,10.57,43843900,0.0,0
2010-06-23,10.57,10.57,10.45,10.5,48320800,0.0,0
2010-06-24,10.32,10.4,10.14,10.21,86066100,0.0,0
2010-06-25,10.23,10.38,10.16,10.33,58634000,0.0,0
2010-06-28,10.37,10.43,10.23,10.26,44615500,0.0,0
2010-06-29,10.18,10.22,10.01,10.08,64883100,0.0,0
2010-06-30,10.04,10.22,10.0,10.06,50683400,0.0,0
