Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,45.83,46.4,45.61,46.12,1473600,0.0,0
2009-12-08,45.65,45.72,44.77,44.92,931200,0.0,0
2009-12-09,45.65,45.65,44.27,44.78,1061300,0.0,0
2009-12-10,45.08,45.42,44.57,44.65,681600,0.0,0
2009-12-11,44.68,45.17,44.56,44.85,997600,0.0,0
2009-12-14,45.34,46.45,45.13,46.28,1277200,0.0,0
2009-12-15,46.29,46.74,46.14,46.23,790200,0.0,0
2009-12-16,46.46,46.61,46.02,46.25,874600,0.0,0
2009-12-17,45.89,46.02,44.99,45.01,951000,0.0,0
2009-12-18,45.07,45.39,44.42,44.84,1388900,0.0,0
2009-12-21,45.32,45.53,45.04,45.26,925700,0.0,0
2009-12-22,45.33,45.63,44.97,45.25,902700,0.0,0
2009-12-23,45.34,45.73,44.85,45.51,817500,0.0,0
2009-12-24,45.75,45.82,45.57,45.64,150900,0.0,0
2009-12-28,45.87,45.87,45.16,45.52,548500,0.0,0
2009-12-29,45.59,45.59,45.1,45.23,642200,0.0,0
2009-12-30,45.14,45.42,44.98,45.14,515500,0.0,0
2009-12-31,45.06,45.2,44.72,44.75,442800,0.0,0
2010-01-04,45.39,45.71,44.99,45.28,961000,0.0,0
2010-01-05,45.14,45.53,44.8,45.06,1136400,0.0,0
2010-01-06,44.96,45.24,44.68,44.87,1670700,0.0,0
2010-01-07,44.64,45.59,44.64,45.4,973600,0.0,0
2010-01-08,45.24,46.7,44.95,46.69,1075200,0.0,0
2010-01-11,47.42,48.19,46.98,48.02,1682100,0.0,0
2010-01-12,47.71,48.24,47.65,48.12,1750700,0.0,0
2010-01-13,48.24,48.66,47.41,48.38,1371800,0.0,0
2010-01-14,48.19,48.95,47.8,48.82,1003100,0.0,0
2010-01-15,48.72,49.12,48.12,48.63,1712000,0.0,0
2010-01-19,51.27,52.2,50.31,51.01,3741400,0.0,0
2010-01-20,50.77,50.81,49.33,50.34,2339800,0.0,0
2010-01-21,50.16,51.02,48.8,49.43,2014800,0.0,0
2010-01-22,49.36,49.36,47.83,47.85,1462900,0.0,0
2010-01-25,48.6,49.03,46.81,47.65,2042900,0.0,0
2010-01-26,47.26,47.59,46.57,47.01,2343600,0.0,0
2010-01-27,46.91,47.95,46.63,47.67,3339500,0.0,0
2010-01-28,47.93,48.0,46.24,46.77,1439000,0.0,0
2010-01-29,47.2,48.05,46.23,46.43,2134700,0.0,0
2010-02-01,46.67,47.67,46.56,47.45,1622400,0.0,0
2010-02-02,47.79,48.34,47.5,48.28,1919400,0.0,0
2010-02-03,48.0,48.68,47.45,47.59,1800100,0.0,0
2010-02-04,46.94,47.12,45.62,45.62,1969200,0.0,0
2010-02-05,45.64,45.94,44.43,45.65,2101500,0.0,0
2010-02-08,45.64,45.82,44.81,45.3,1728200,0.0,0
2010-02-09,45.95,46.84,45.58,46.3,1651000,0.0,0
2010-02-10,46.26,46.49,45.56,46.13,1032700,0.0,0
2010-02-11,46.17,47.16,45.8,47.14,1370600,0.0,0
2010-02-12,46.43,47.88,45.85,46.57,2551600,0.0,0
2010-02-16,47.75,47.8,47.06,47.76,1561300,0.25,0
2010-02-17,48.18,48.66,47.77,48.54,1501600,0.0,0
2010-02-18,48.42,49.11,48.36,49.02,1522700,0.0,0
2010-02-19,48.88,49.46,48.55,49.22,1109200,0.0,0
2010-02-22,49.37,49.42,48.91,49.15,1249000,0.0,0
2010-02-23,48.98,49.27,48.18,48.64,1451100,0.0,0
2010-02-24,48.87,49.14,48.49,49.11,2075300,0.0,0
2010-02-25,48.01,49.27,47.93,49.14,1553900,0.0,0
2010-02-26,49.48,50.43,49.36,50.31,2204800,0.0,0
2010-03-01,50.19,52.21,50.18,51.48,3111800,0.0,0
2010-03-02,51.74,52.06,51.61,51.78,2012700,0.0,0
2010-03-03,52.72,53.11,51.97,52.06,2750600,0.0,0
2010-03-04,52.09,52.36,51.32,51.78,1897700,0.0,0
2010-03-05,52.44,52.75,52.15,52.5,1130900,0.0,0
2010-03-08,52.48,52.81,52.17,52.57,1402400,0.0,0
2010-03-09,52.46,53.06,52.29,52.83,1470900,0.0,0
2010-03-10,52.94,53.36,52.71,53.24,1154500,0.0,0
2010-03-11,53.26,53.26,52.58,53.13,939700,0.0,0
2010-03-12,53.38,53.56,52.81,53.06,860400,0.0,0
2010-03-15,53.1,53.3,52.78,53.26,762400,0.0,0
2010-03-16,53.36,53.95,53.3,53.76,1008600,0.0,0
2010-03-17,54.01,54.84,53.77,54.53,1476200,0.0,0
2010-03-18,54.44,54.98,54.32,54.72,1214900,0.0,0
2010-03-19,54.32,55.4,54.13,54.32,1714200,0.0,0
2010-03-22,53.83,54.74,53.56,54.68,942900,0.0,0
2010-03-23,54.87,55.65,54.36,55.53,1101400,0.0,0
2010-03-24,55.47,55.52,54.44,54.51,1521500,0.0,0
2010-03-25,55.19,55.41,53.97,54.05,1839800,0.0,0
2010-03-26,54.23,55.0,53.76,53.9,1659200,0.0,0
2010-03-29,54.16,54.48,54.03,54.42,1286800,0.0,0
2010-03-30,54.7,55.25,54.51,54.66,1245600,0.0,0
2010-03-31,54.5,54.68,53.97,54.01,1140800,0.0,0
2010-04-01,54.32,54.8,54.06,54.45,859800,0.0,0
2010-04-05,54.56,55.53,54.56,55.41,971000,0.0,0
2010-04-06,55.19,55.32,54.81,55.32,1038300,0.0,0
2010-04-07,55.1,55.94,54.97,55.48,1190800,0.0,0
2010-04-08,55.37,56.52,54.92,56.38,1639400,0.0,0
2010-04-09,56.53,57.29,56.32,57.13,1124700,0.0,0
2010-04-12,58.01,58.11,57.14,57.96,1537000,0.0,0
2010-04-13,57.79,58.27,57.59,58.19,1451300,0.0,0
2010-04-14,58.58,59.07,58.54,58.85,2550100,0.0,0
2010-04-15,58.65,59.0,58.4,58.57,1429000,0.0,0
2010-04-16,58.21,58.41,57.45,57.62,2015000,0.0,0
2010-04-19,57.59,58.18,56.72,57.89,2370100,0.0,0
2010-04-20,59.85,60.48,55.99,56.56,4872900,0.0,0
2010-04-21,57.04,59.37,57.04,59.23,3368200,0.0,0
2010-04-22,58.83,59.06,58.14,58.76,2868800,0.0,0
2010-04-23,58.5,59.22,58.19,59.22,1359000,0.0,0
2010-04-26,59.23,59.84,59.14,59.36,1355900,0.0,0
2010-04-27,58.93,59.53,57.14,57.35,1597000,0.0,0
2010-04-28,57.78,57.92,56.8,57.61,1283100,0.0,0
2010-04-29,58.1,59.47,58.1,59.42,1258400,0.0,0
2010-04-30,59.41,59.88,57.64,57.71,1486500,0.0,0
2010-05-03,58.29,59.21,57.9,59.08,1061500,0.0,0
2010-05-04,57.95,57.95,56.28,56.71,2070900,0.0,0
2010-05-05,55.89,56.42,55.59,56.09,2137100,0.0,0
2010-05-06,55.72,56.36,49.61,53.81,3336100,0.0,0
2010-05-07,53.71,54.08,51.65,51.93,3506600,0.0,0
2010-05-10,54.86,56.74,53.91,56.47,3250800,0.0,0
2010-05-11,55.8,56.74,55.46,55.93,2282300,0.0,0
2010-05-12,56.27,57.94,56.27,57.61,1408600,0.0,0
2010-05-13,57.32,58.14,56.74,56.88,1316500,0.0,0
2010-05-14,56.76,56.76,54.9,55.44,2005100,0.0,0
2010-05-17,55.51,56.28,53.81,55.28,2535500,0.0,0
2010-05-18,55.96,56.22,54.18,54.4,1428000,0.26,0
2010-05-19,54.19,54.59,52.26,53.29,1916200,0.0,0
2010-05-20,51.81,52.08,49.76,50.0,4172900,0.0,0
2010-05-21,48.78,50.74,48.78,50.73,3661700,0.0,0
2010-05-24,50.63,51.02,49.72,49.88,3288900,0.0,0
2010-05-25,48.58,50.25,48.01,50.12,2587800,0.0,0
2010-05-26,50.69,51.71,50.28,50.48,2096400,0.0,0
2010-05-27,51.72,52.54,51.05,52.54,1449300,0.0,0
2010-05-28,52.65,52.65,51.02,51.47,1595300,0.0,0
2010-06-01,50.8,52.03,49.81,49.83,1919100,0.0,0
2010-06-02,50.03,51.66,50.03,51.66,1940100,0.0,0
2010-06-03,52.04,52.23,51.43,51.91,1302400,0.0,0
2010-06-04,50.28,50.8,48.64,49.01,2115100,0.0,0
2010-06-07,49.45,49.45,47.7,47.8,2388500,0.0,0
2010-06-08,48.16,48.77,47.47,48.68,2632100,0.0,0
2010-06-09,49.36,50.48,48.74,48.93,1995900,0.0,0
2010-06-10,49.94,51.06,49.94,50.96,1422600,0.0,0
2010-06-11,50.31,51.41,50.11,51.14,1410300,0.0,0
2010-06-14,51.92,52.38,50.83,51.0,1392800,0.0,0
2010-06-15,51.77,53.22,51.54,53.16,1527600,0.0,0
2010-06-16,52.66,52.93,51.35,51.71,2264000,0.0,0
2010-06-17,52.09,52.36,50.82,51.51,1669400,0.0,0
2010-06-18,51.64,51.79,50.81,50.97,2057800,0.0,0
2010-06-21,51.81,52.08,50.79,51.11,2246700,0.0,0
2010-06-22,51.07,51.26,48.94,49.02,3064600,0.0,0
2010-06-23,49.09,49.72,48.27,49.11,1495200,0.0,0
2010-06-24,48.83,49.09,47.4,47.44,2328800,0.0,0
2010-06-25,47.32,48.79,47.08,48.75,3453600,0.0,0
2010-06-28,48.83,49.31,48.21,48.57,1909500,0.0,0
2010-06-29,47.6,47.68,46.21,47.03,3138400,0.0,0
2010-06-30,46.83,47.72,46.35,46.45,2290600,0.0,0
2010-07-01,46.65,46.84,45.44,46.26,1725700,0.0,0
2010-07-02,46.43,46.72,45.73,46.08,1495900,0.0,0
2010-07-06,46.72,47.25,45.56,45.89,1894100,0.0,0
2010-07-07,46.18,47.7,45.97,47.63,3077000,0.0,0
2010-07-08,48.07,48.27,47.14,47.96,2260300,0.0,0
2010-07-09,48.02,48.25,47.53,48.01,2469100,0.0,0
2010-07-12,47.71,47.92,46.98,47.27,1536100,0.0,0
2010-07-13,48.04,49.1,47.84,48.8,2530500,0.0,0
2010-07-14,48.5,48.52,47.7,48.07,2234700,0.0,0
2010-07-15,48.11,48.73,47.78,48.64,2172700,0.0,0
2010-07-16,48.25,48.35,46.99,47.12,1650600,0.0,0
2010-07-19,47.34,47.72,46.98,47.64,1417400,0.0,0
2010-07-20,46.72,48.65,46.59,48.55,1692600,0.0,0
2010-07-21,49.13,50.08,48.44,48.82,2271000,0.0,0
2010-07-22,49.71,50.84,49.59,50.75,2012200,0.0,0
2010-07-23,50.53,52.1,50.35,52.08,1786100,0.0,0
2010-07-26,52.03,52.48,51.56,52.23,2132800,0.0,0
2010-07-27,52.7,52.7,50.87,51.16,2112100,0.0,0
2010-07-28,51.07,51.92,51.05,51.77,2410900,0.0,0
2010-07-29,52.25,53.01,51.01,51.56,1717500,0.0,0
2010-07-30,51.17,52.25,50.42,52.03,1931500,0.0,0
2010-08-02,53.06,53.86,52.49,53.47,2127500,0.0,0
2010-08-03,53.72,54.17,52.19,53.75,3248900,0.0,0
2010-08-04,53.32,54.35,52.78,53.97,1626600,0.0,0
2010-08-05,53.58,54.85,53.42,54.76,1606300,0.0,0
2010-08-06,53.9,55.0,53.9,54.84,1789800,0.0,0
2010-08-09,55.13,55.21,54.16,54.7,1930200,0.0,0
2010-08-10,53.6,54.55,53.47,54.47,1795700,0.0,0
2010-08-11,52.55,53.44,52.01,52.22,1873100,0.0,0
2010-08-12,51.17,52.7,51.14,52.62,2016300,0.0,0
2010-08-13,52.49,53.44,52.33,53.2,1906900,0.0,0
2010-08-16,52.75,53.16,51.98,53.1,1820700,0.0,0
2010-08-17,53.56,55.27,53.54,54.86,2161000,0.0,0
2010-08-18,54.79,55.48,54.36,55.17,1850800,0.0,0
2010-08-19,54.45,54.58,53.32,53.65,3335500,0.27,0
2010-08-20,53.17,53.69,52.65,53.17,1955100,0.0,0
2010-08-23,53.56,54.17,52.06,52.12,1835100,0.0,0
2010-08-24,51.16,51.42,50.68,50.71,2633100,0.0,0
2010-08-25,50.09,50.61,49.37,50.17,2909400,0.0,0
2010-08-26,50.43,50.98,50.0,50.33,2978200,0.0,0
2010-08-27,50.89,51.24,49.86,51.04,1879200,0.0,0
2010-08-30,50.95,51.24,49.9,49.92,950100,0.0,0
2010-08-31,49.53,50.33,49.38,49.75,1718400,0.0,0
2010-09-01,50.62,52.4,50.62,52.31,1813700,0.0,0
2010-09-02,52.58,53.64,52.39,53.57,2028600,0.0,0
2010-09-03,54.53,55.07,53.83,54.64,1352700,0.0,0
2010-09-07,54.06,54.41,53.83,53.95,1001000,0.0,0
2010-09-08,54.09,55.16,54.03,54.7,979900,0.0,0
2010-09-09,55.53,55.53,54.34,54.63,769600,0.0,0
2010-09-10,54.91,55.33,54.62,54.7,1168200,0.0,0
2010-09-13,55.59,57.09,55.47,56.97,2122500,0.0,0
2010-09-14,56.88,56.92,56.32,56.33,1328300,0.0,0
2010-09-15,56.04,56.63,55.68,56.52,979000,0.0,0
2010-09-16,56.33,56.64,56.09,56.53,951100,0.0,0
2010-09-17,56.98,57.88,56.42,57.63,1644100,0.0,0
2010-09-20,57.83,58.87,57.38,58.73,1054300,0.0,0
