Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,31.29,31.63,31.25,31.44,8917400,0.0,0
2009-12-08,31.28,31.48,30.56,30.93,8198300,0.0,0
2009-12-09,31.22,31.33,30.69,30.94,7889500,0.0,0
2009-12-10,31.08,31.28,30.72,30.82,6891500,0.0,0
2009-12-11,30.82,31.11,30.53,30.58,9229600,0.0,0
2009-12-14,31.26,31.81,31.11,31.7,12467800,0.0,0
2009-12-15,31.42,31.78,31.38,31.58,7803800,0.0,0
2009-12-16,31.54,31.88,31.49,31.59,9946200,0.0,0
2009-12-17,31.51,31.52,31.04,31.09,8658000,0.0,0
2009-12-18,31.39,31.39,30.48,30.69,20178700,0.0,0
2009-12-21,31.0,31.2,30.9,31.06,9102000,0.0,0
2009-12-22,31.17,31.43,31.13,31.28,7071100,0.0,0
2009-12-23,31.23,31.48,31.09,31.14,7117600,0.58,0
2009-12-24,31.12,31.32,31.12,31.21,2514400,0.0,0
2009-12-28,31.21,31.32,31.1,31.18,4449200,0.0,0
2009-12-29,31.13,31.27,31.02,31.18,4916000,0.0,0
2009-12-30,31.01,31.24,30.93,31.06,4561400,0.0,0
2009-12-31,31.01,31.2,30.71,30.76,4383100,0.0,0
2010-01-04,30.84,31.65,30.79,31.5,7844500,0.0,0
2010-01-05,31.51,31.64,31.12,31.22,7168600,0.0,0
2010-01-06,31.06,31.27,30.82,31.22,11777200,0.0,0
2010-01-07,31.13,31.66,30.99,31.61,8905400,0.0,0
2010-01-08,31.48,31.6,31.13,31.44,6580800,0.0,0
2010-01-11,31.77,31.78,31.43,31.55,6090900,0.0,0
2010-01-12,31.51,31.51,31.18,31.38,6752900,0.0,0
2010-01-13,31.38,31.84,31.38,31.7,5926400,0.0,0
2010-01-14,31.58,31.9,31.58,31.66,4602200,0.0,0
2010-01-15,31.69,31.89,31.57,31.67,8269200,0.0,0
2010-01-19,31.66,32.04,31.6,31.97,8804100,0.0,0
2010-01-20,31.85,31.85,31.08,31.43,6461400,0.0,0
2010-01-21,31.41,31.47,30.37,30.46,10276000,0.0,0
2010-01-22,30.38,30.49,29.81,29.87,8717000,0.0,0
2010-01-25,30.05,30.4,30.01,30.03,5880900,0.0,0
2010-01-26,29.8,30.25,29.8,30.0,5858200,0.0,0
2010-01-27,29.9,30.06,29.5,29.77,5177700,0.0,0
2010-01-28,29.78,30.06,29.37,29.49,5594200,0.0,0
2010-01-29,29.7,30.05,28.99,29.04,7064100,0.0,0
2010-02-01,29.19,29.5,29.12,29.43,8066200,0.0,0
2010-02-02,29.49,30.46,29.4,30.38,8715600,0.0,0
2010-02-03,30.21,30.28,29.87,29.98,5001800,0.0,0
2010-02-04,29.74,29.87,29.29,29.32,6728400,0.0,0
2010-02-05,29.5,29.5,28.73,29.14,8451200,0.0,0
2010-02-08,28.92,29.54,28.92,29.06,5242500,0.0,0
2010-02-09,29.31,30.0,29.17,29.9,8742400,0.0,0
2010-02-10,29.87,30.05,29.61,29.87,6480000,0.0,0
2010-02-11,29.77,31.23,29.39,31.06,16677800,0.0,0
2010-02-12,30.86,31.87,30.76,31.46,13040700,0.0,0
2010-02-16,31.66,31.86,31.31,31.54,11304100,0.0,0
2010-02-17,31.6,31.84,31.5,31.8,7402400,0.0,0
2010-02-18,31.65,32.13,31.65,32.09,7533300,0.0,0
2010-02-19,32.04,32.17,31.78,31.9,8931900,0.0,0
2010-02-22,31.91,31.96,31.71,31.75,8233500,0.0,0
2010-02-23,31.75,31.91,31.39,31.46,10514700,0.0,0
2010-02-24,31.48,31.89,31.25,31.8,8305900,0.0,0
2010-02-25,31.55,31.83,31.27,31.66,9596000,0.0,0
2010-02-26,31.67,31.67,31.24,31.26,8502800,0.0,0
2010-03-01,31.3,31.43,31.14,31.23,8198300,0.0,0
2010-03-02,31.52,31.97,31.34,31.79,7126700,0.0,0
2010-03-03,31.8,32.02,31.73,31.9,7166800,0.0,0
2010-03-04,32.01,32.42,31.95,32.33,7350200,0.0,0
2010-03-05,32.39,32.79,32.24,32.71,7140400,0.0,0
2010-03-08,32.63,32.73,32.35,32.41,6970700,0.0,0
2010-03-09,32.3,32.41,32.04,32.15,6203800,0.0,0
2010-03-10,32.07,32.17,31.81,32.1,5967300,0.0,0
2010-03-11,32.1,32.24,31.71,32.06,8066600,0.0,0
2010-03-12,32.07,32.23,31.88,32.0,6118200,0.0,0
2010-03-15,31.94,32.63,31.79,32.5,9131000,0.0,0
2010-03-16,32.54,32.82,32.43,32.7,5970200,0.0,0
2010-03-17,32.84,33.14,32.72,33.08,6784300,0.0,0
2010-03-18,33.15,33.18,32.96,33.07,6092500,0.0,0
2010-03-19,33.62,33.73,33.08,33.62,15243800,0.0,0
2010-03-22,33.44,33.87,33.33,33.75,6994400,0.0,0
2010-03-23,33.68,33.84,33.35,33.84,7052200,0.58,0
