Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,17.79,17.96,17.66,17.84,1244900,0.0,0.0
2009-12-08,17.82,17.84,17.6,17.73,1275600,0.345,0.0
2009-12-09,17.73,17.83,17.6,17.74,1308200,0.0,0.0
2009-12-10,17.88,18.1,17.81,18.09,1580500,0.0,0.0
2009-12-11,18.09,18.49,18.09,18.39,1566600,0.0,0.0
2009-12-14,18.47,18.63,18.3,18.38,1518400,0.0,0.0
2009-12-15,18.34,18.38,18.21,18.38,1458400,0.0,0.0
2009-12-16,18.5,18.56,18.37,18.43,1786500,0.0,0.0
2009-12-17,18.42,18.43,18.23,18.38,1574700,0.0,0.0
2009-12-18,18.45,18.59,18.33,18.54,2725200,0.0,0.0
2009-12-21,18.65,18.7,18.46,18.5,1237800,0.0,0.0
2009-12-22,18.5,18.59,18.22,18.25,1383000,0.0,0.0
2009-12-23,18.3,18.41,18.23,18.39,1032700,0.0,0.0
2009-12-24,18.37,18.64,18.37,18.63,490800,0.0,0.0
2009-12-28,18.71,18.71,18.61,18.68,1094500,0.0,0.0
2009-12-29,18.73,18.73,18.65,18.68,996600,0.0,0.0
2009-12-30,18.59,18.72,18.55,18.72,771700,0.0,0.0
2009-12-31,18.68,18.76,18.34,18.34,850500,0.0,0.0
2010-01-04,18.51,18.6,18.35,18.43,1209700,0.0,0.0
2010-01-05,18.38,18.5,17.92,18.2,2201000,0.0,0.0
2010-01-06,18.16,18.31,18.14,18.24,3727600,0.0,0.0
2010-01-07,18.16,18.23,17.93,18.06,1049700,0.0,0.0
2010-01-08,17.94,18.04,17.79,18.0,1442600,0.0,0.0
2010-01-11,18.13,18.31,18.1,18.24,1604000,0.0,0.0
2010-01-12,18.16,18.3,18.08,18.25,1295500,0.0,0.0
2010-01-13,18.26,18.6,18.25,18.51,1445500,0.0,0.0
2010-01-14,18.48,18.48,18.3,18.32,1100400,0.0,0.0
2010-01-15,18.21,18.33,17.89,18.1,1797100,0.0,0.0
2010-01-19,18.06,18.29,18.0,18.29,943400,0.0,0.0
2010-01-20,18.22,18.22,17.81,18.03,1861700,0.0,0.0
2010-01-21,18.0,18.16,17.61,17.7,1734900,0.0,0.0
2010-01-22,17.63,17.8,17.28,17.28,2012400,0.0,0.0
2010-01-25,17.42,17.51,17.16,17.39,2240300,0.0,0.0
2010-01-26,17.34,17.51,17.24,17.38,1450900,0.0,0.0
2010-01-27,17.34,17.34,16.87,17.06,2843400,0.0,0.0
2010-01-28,17.09,17.15,16.76,16.87,4000100,0.0,0.0
2010-01-29,16.9,17.07,16.71,16.74,2389800,0.0,0.0
2010-02-01,16.81,16.86,16.67,16.82,1667500,0.0,0.0
2010-02-02,16.8,16.87,16.61,16.83,2918200,0.0,0.0
2010-02-03,16.75,16.79,16.61,16.69,1707300,0.0,0.0
2010-02-04,16.58,16.65,16.25,16.25,2729500,0.0,0.0
2010-02-05,16.28,16.54,16.09,16.46,3112300,0.0,0.0
