Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,35.66,36.37,34.66,34.98,4132700,0.0,0
2009-12-08,34.65,34.96,34.21,34.53,4040200,0.0,0
2009-12-09,34.71,35.38,34.03,35.27,5169000,0.0,0
2009-12-10,35.63,36.35,34.95,35.75,6650400,0.0,0
2009-12-11,35.95,36.11,35.29,36.01,3207400,0.0,0
2009-12-14,36.09,36.45,35.81,36.42,2259600,0.0,0
2009-12-15,36.2,36.78,36.05,36.2,3654700,0.0,0
2009-12-16,36.64,38.29,36.46,37.57,7167600,0.0,0
2009-12-17,37.37,37.42,36.14,36.25,4848600,0.0,0
2009-12-18,36.65,36.83,36.16,36.77,4943900,0.0,0
2009-12-21,37.19,37.4,36.98,37.29,2612300,0.0,0
2009-12-22,37.29,38.09,37.2,37.94,2858900,0.0,0
2009-12-23,37.93,38.5,37.86,38.39,2427500,0.0,0
2009-12-24,38.72,38.76,38.01,38.09,947600,0.0,0
2009-12-28,38.12,38.48,37.75,38.0,1411000,0.0,0
2009-12-29,38.18,38.28,37.36,37.37,2043400,0.0,0
2009-12-30,37.23,37.37,36.95,37.23,1633100,0.0,0
2009-12-31,37.29,37.55,36.64,36.65,1992500,0.0,0
2010-01-04,37.15,38.23,36.97,38.13,3001500,0.0,0
2010-01-05,38.18,38.96,38.01,38.88,3238500,0.0,0
2010-01-06,39.05,39.4,38.38,39.34,2848700,0.0,0
2010-01-07,39.33,40.12,38.88,39.97,3068100,0.0,0
2010-01-08,39.71,39.91,38.97,39.45,2406500,0.0,0
2010-01-11,39.89,40.06,39.03,39.4,2452900,0.0,0
2010-01-12,40.25,40.5,38.75,39.08,4279000,0.0,0
2010-01-13,39.18,39.69,38.52,39.63,3145300,0.0,0
2010-01-14,39.43,39.99,39.02,39.83,2394600,0.0,0
2010-01-15,39.61,39.69,39.03,39.38,3701200,0.0,0
2010-01-19,39.2,40.1,38.95,39.91,3343500,0.0,0
2010-01-20,39.76,39.76,39.07,39.5,2742400,0.0,0
2010-01-21,39.11,39.39,37.97,38.0,5922000,0.0,0
2010-01-22,37.99,38.2,36.67,36.87,4867700,0.0,0
2010-01-25,37.62,37.89,36.98,37.35,2779500,0.0,0
2010-01-26,37.02,37.82,36.28,36.44,2804500,0.0,0
2010-01-27,36.53,38.06,36.23,38.03,4747700,0.0,0
2010-01-28,38.15,38.38,36.76,37.26,3262800,0.0,0
2010-01-29,37.6,37.9,36.52,36.82,3453900,0.0,0
2010-02-01,37.18,37.99,37.07,37.73,2694000,0.0,0
2010-02-02,37.85,38.29,37.46,38.26,2524100,0.0,0
2010-02-03,37.96,38.13,36.95,37.09,3103700,0.0,0
2010-02-04,36.84,36.92,35.47,35.51,4758300,0.0,0
2010-02-05,35.61,36.22,34.13,35.75,4757900,0.0,0
2010-02-08,35.76,36.0,34.63,34.63,3007500,0.0,0
2010-02-09,35.22,36.3,34.81,35.62,4967100,0.0,0
2010-02-10,35.69,36.3,35.33,36.0,3037400,0.0,0
2010-02-11,35.33,36.08,35.19,35.79,5745200,0.0,0
2010-02-12,35.61,35.71,34.71,35.46,4265900,0.0,0
2010-02-16,35.72,36.79,35.47,36.78,3373400,0.0,0
2010-02-17,37.57,37.79,36.99,37.25,4228400,0.0,0
2010-02-18,36.96,37.74,36.96,37.62,2723400,0.0,0
2010-02-19,37.29,38.11,36.92,37.93,3498200,0.0,0
2010-02-22,38.03,38.24,37.38,38.08,3299900,0.0,0
2010-02-23,37.85,38.29,36.84,37.2,3093500,0.0,0
2010-02-24,37.41,38.27,37.23,38.23,3760200,0.0,0
2010-02-25,37.62,38.52,37.24,38.48,4623000,0.0,0
2010-02-26,38.56,38.69,37.93,38.6,3370700,0.0,0
2010-03-01,38.85,39.44,38.85,39.38,3211100,0.0,0
2010-03-02,39.54,39.66,38.97,39.19,3171800,0.0,0
2010-03-03,39.28,39.35,38.84,38.91,2525300,0.0,0
2010-03-04,38.91,39.62,38.83,39.61,3400000,0.0,0
2010-03-05,39.76,40.33,39.62,40.2,3010900,0.0,0
2010-03-08,40.48,41.01,40.19,40.75,3581600,0.0,0
2010-03-09,40.42,41.25,40.25,40.82,2955200,0.0,0
2010-03-10,40.88,41.69,40.62,41.11,4523500,0.0,0
2010-03-11,40.71,41.32,40.3,41.12,3145700,0.0,0
2010-03-12,41.43,41.66,40.96,41.18,2590100,0.0,0
2010-03-15,40.87,41.7,40.8,41.16,3084600,0.0,0
