Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,4.7,4.72,4.61,4.69,27671600.0,0.0,0
2009-12-08,4.59,4.77,4.54,4.73,26151500.0,0.0,0
2009-12-09,4.75,4.75,4.61,4.62,15592300.0,0.0,0
2009-12-10,4.64,4.66,4.54,4.6,19940800.0,0.0,0
2009-12-11,4.62,4.64,4.57,4.64,10874400.0,0.0,0
2009-12-14,4.65,4.67,4.58,4.65,14594400.0,0.01,0
2009-12-15,4.58,4.65,4.44,4.45,22634400.0,0.0,0
2009-12-16,4.48,4.54,4.42,4.44,19343900.0,0.0,0
2009-12-17,4.37,4.59,4.35,4.44,16413500.0,0.0,0
2009-12-18,4.49,4.58,4.45,4.54,25628200.0,0.0,0
2009-12-21,4.57,4.57,4.53,4.57,11594700.0,0.0,0
2009-12-22,4.57,4.62,4.56,4.62,8637300.0,0.0,0
2009-12-23,4.6,4.62,4.47,4.48,7642600.0,0.0,0
2009-12-24,4.49,4.55,4.47,4.52,3305200.0,0.0,0
2009-12-28,4.52,4.57,4.43,4.46,9044900.0,0.0,0
2009-12-29,4.47,4.49,4.45,4.47,8039500.0,0.0,0
2009-12-30,4.42,4.47,4.39,4.43,10377600.0,0.0,0
2009-12-31,4.43,4.45,4.32,4.41,9583700.0,0.0,0
2010-01-04,4.47,4.56,4.44,4.52,11754800.0,0.0,0
2010-01-05,4.47,4.67,4.47,4.67,23691300.0,0.0,0
2010-01-06,4.67,4.74,4.62,4.72,22415300.0,0.0,0
2010-01-07,4.72,5.18,4.68,5.14,41430700.0,0.0,0
2010-01-08,5.12,5.24,5.06,5.15,25980300.0,0.0,0
2010-01-11,5.22,5.31,5.06,5.27,27433000.0,0.0,0
2010-01-12,5.22,5.29,5.17,5.21,32974200.0,0.0,0
2010-01-13,5.18,5.4,5.07,5.3,41055600.0,0.0,0
2010-01-14,5.28,5.47,5.25,5.46,31881500.0,0.0,0
2010-01-15,5.42,5.46,5.22,5.43,28504300.0,0.0,0
2010-01-19,5.34,5.47,5.3,5.42,22996900.0,0.0,0
2010-01-20,5.38,5.62,5.34,5.61,32758200.0,0.0,0
2010-01-21,5.65,6.06,5.63,5.72,81428500.0,0.0,0
2010-01-22,5.67,5.71,5.41,5.5,48623600.0,0.0,0
2010-01-25,5.5,5.57,5.25,5.46,34139700.0,0.0,0
2010-01-26,5.21,5.39,5.05,5.07,67534400.0,0.0,0
2010-01-27,5.04,5.28,5.04,5.14,38492200.0,0.0,0
2010-01-28,5.29,5.46,5.16,5.36,38907900.0,0.0,0
2010-01-29,5.41,5.47,5.27,5.29,29037400.0,0.0,0
2010-02-01,5.34,5.55,5.32,5.53,30603000.0,0.0,0
2010-02-02,5.57,5.65,5.42,5.48,35671900.0,0.0,0
2010-02-03,5.4,5.46,5.23,5.32,34371800.0,0.0,0
2010-02-04,5.27,5.28,5.02,5.1,41144000.0,0.0,0
2010-02-05,5.11,5.2,4.92,5.15,24816400.0,0.0,0
2010-02-08,5.15,5.37,5.05,5.19,25259900.0,0.0,0
2010-02-09,5.27,5.37,5.21,5.24,21901600.0,0.0,0
2010-02-10,5.22,5.4,5.21,5.3,18117800.0,0.0,0
2010-02-11,5.35,5.42,5.3,5.32,19687200.0,0.0,0
2010-02-12,5.27,5.32,5.17,5.29,22126400.0,0.0,0
2010-02-16,5.34,5.54,5.3,5.52,17782600.0,0.0,0
2010-02-17,5.55,5.58,5.35,5.38,16534700.0,0.0,0
2010-02-18,5.34,5.38,5.26,5.35,18949400.0,0.0,0
2010-02-19,5.33,5.52,5.32,5.47,14485500.0,0.0,0
2010-02-22,5.5,5.72,5.47,5.67,23729800.0,0.0,0
2010-02-23,5.61,5.63,5.42,5.44,20854700.0,0.0,0
2010-02-24,5.46,5.58,5.44,5.53,20217300.0,0.0,0
2010-02-25,5.4,5.47,5.33,5.45,18802500.0,0.0,0
2010-02-26,5.45,5.64,5.42,5.62,19859000.0,0.0,0
2010-03-01,5.63,5.69,5.46,5.54,16291900.0,0.0,0
2010-03-02,5.56,5.62,5.47,5.51,16207600.0,0.0,0
2010-03-03,5.51,5.57,5.49,5.52,12900100.0,0.0,0
2010-03-04,5.5,5.58,5.48,5.56,11836200.0,0.0,0
2010-03-05,5.62,5.71,5.57,5.7,18875100.0,0.0,0
2010-03-08,5.68,5.85,5.68,5.82,19023600.0,0.0,0
2010-03-09,5.77,5.83,5.63,5.76,22997500.0,0.0,0
2010-03-10,5.84,6.35,5.78,6.07,40783500.0,0.0,0
2010-03-11,6.12,6.22,6.04,6.15,24929300.0,0.0,0
2010-03-12,6.26,6.28,6.06,6.12,29002600.0,0.0,0
2010-03-15,6.07,6.15,5.92,6.02,19977400.0,0.0,0
2010-03-16,6.09,6.28,6.02,6.27,22336300.0,0.01,0
2010-03-17,6.34,6.48,6.3,6.42,25224500.0,0.0,0
