Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,21.09,21.27,20.61,21.05,2197000,0.0,0
2009-12-08,20.96,20.96,20.45,20.8,1437700,0.0,0
2009-12-09,20.8,20.8,20.34,20.67,1045400,0.0,0
2009-12-10,20.86,21.22,20.85,21.09,1753300,0.0,0
2009-12-11,21.26,21.37,21.05,21.26,1034700,0.0,0
2009-12-14,21.35,21.89,21.25,21.87,1595300,0.0,0
2009-12-15,21.88,22.29,21.64,21.83,1557200,0.0,0
2009-12-16,22.04,22.19,21.87,21.93,1395000,0.0,0
2009-12-17,21.67,21.95,21.45,21.46,972200,0.0,0
2009-12-18,21.67,21.73,21.27,21.46,2140100,0.0,0
2009-12-21,21.81,22.13,21.69,21.92,1556200,0.0,0
2009-12-22,21.93,22.41,21.93,22.2,1151600,0.0,0
2009-12-23,22.31,22.52,22.12,22.28,670200,0.0,0
2009-12-24,22.34,22.46,22.19,22.27,177700,0.0,0
2009-12-28,22.31,22.4,22.24,22.33,560100,0.0,0
2009-12-29,22.34,22.51,22.33,22.4,710800,0.0,0
2009-12-30,22.29,22.47,22.25,22.39,412700,0.0,0
2009-12-31,22.42,22.48,21.97,21.97,643100,0.0,0
2010-01-04,22.04,22.55,21.4,22.29,1018900,0.0,0
2010-01-05,22.23,22.61,22.2,22.57,1664400,0.0,0
2010-01-06,23.54,24.34,23.21,23.6,3041600,0.0,0
2010-01-07,23.49,24.02,23.4,24.02,2209300,0.0,0
2010-01-08,23.51,24.05,23.45,24.0,1517000,0.0,0
2010-01-11,23.98,24.33,23.97,24.12,1648400,0.0,0
2010-01-12,23.94,24.21,23.08,23.26,1827400,0.0,0
2010-01-13,23.26,23.41,23.14,23.35,1287400,0.0,0
2010-01-14,23.32,23.77,23.22,23.68,1192300,0.0,0
2010-01-15,23.69,23.91,23.35,23.47,1826400,0.0,0
2010-01-19,23.41,23.78,23.38,23.75,917100,0.0,0
2010-01-20,23.51,23.51,22.91,23.11,964500,0.0,0
2010-01-21,23.06,23.26,22.17,22.44,1951300,0.0,0
2010-01-22,22.25,22.48,21.82,21.87,1197500,0.0,0
2010-01-25,22.2,22.2,21.38,21.66,1437400,0.0,0
2010-01-26,21.53,21.83,21.42,21.71,1035900,0.0,0
2010-01-27,21.63,22.15,21.47,22.1,1698600,0.0,0
2010-01-28,22.15,22.23,21.73,22.06,1781900,0.0,0
2010-01-29,22.54,22.84,22.03,22.12,3029800,0.0,0
2010-02-01,22.13,22.22,21.66,22.08,1853400,0.0,0
2010-02-02,22.17,22.51,22.06,22.45,2305200,0.0,0
2010-02-03,22.36,22.52,22.11,22.22,1410000,0.0,0
2010-02-04,22.05,22.05,21.45,21.63,2042500,0.0,0
2010-02-05,21.58,21.77,21.25,21.69,2684000,0.0,0
2010-02-08,21.65,21.74,21.25,21.67,2332800,0.0,0
2010-02-09,21.92,22.11,21.68,21.88,2084700,0.0,0
2010-02-10,21.86,22.12,21.42,22.02,2345100,0.0,0
2010-02-11,21.92,22.42,21.65,22.37,1227200,0.0,0
2010-02-12,22.23,22.43,21.97,22.25,1311700,0.0,0
2010-02-16,22.41,23.0,22.33,22.94,1599900,0.0,0
2010-02-17,23.05,23.21,22.91,23.16,1297400,0.0,0
2010-02-18,23.08,23.31,23.03,23.26,895800,0.0,0
2010-02-19,23.05,23.73,23.05,23.51,1459600,0.0,0
2010-02-22,23.54,23.58,23.04,23.11,1257100,0.0,0
2010-02-23,23.12,23.12,22.43,22.54,2128800,0.13,0
2010-02-24,22.66,22.88,22.58,22.85,1734800,0.0,0
2010-02-25,22.51,22.93,22.3,22.87,1325300,0.0,0
2010-02-26,23.02,23.08,22.75,23.03,1656700,0.0,0
2010-03-01,23.12,23.84,23.02,23.79,1942500,0.0,0
2010-03-02,23.77,23.96,23.64,23.74,1563100,0.0,0
2010-03-03,23.78,24.04,23.74,23.75,811500,0.0,0
2010-03-04,23.76,23.95,23.73,23.76,745600,0.0,0
2010-03-05,23.98,24.81,23.98,24.7,2840400,0.0,0
2010-03-08,24.69,24.83,24.48,24.48,1632100,0.0,0
2010-03-09,24.43,24.73,24.4,24.65,1256700,0.0,0
2010-03-10,24.71,25.1,24.61,24.92,1192300,0.0,0
2010-03-11,24.79,25.07,24.64,25.03,1184700,0.0,0
2010-03-12,25.07,25.07,24.67,24.89,1095900,0.0,0
2010-03-15,24.81,25.02,24.7,25.02,797800,0.0,0
2010-03-16,25.06,25.56,24.95,25.45,1090200,0.0,0
2010-03-17,25.59,26.22,25.53,25.92,1593300,0.0,0
2010-03-18,26.01,26.15,25.82,25.92,779900,0.0,0
2010-03-19,25.73,26.17,25.57,25.73,1687400,0.0,0
2010-03-22,25.58,26.0,25.45,25.93,991100,0.0,0
2010-03-23,25.87,26.07,25.71,26.07,859400,0.0,0
2010-03-24,26.03,26.03,25.35,25.48,952600,0.0,0
2010-03-25,25.73,25.87,25.38,25.39,1084900,0.0,0
2010-03-26,25.44,25.83,25.44,25.52,899900,0.0,0
2010-03-29,25.62,25.86,25.48,25.72,884300,0.0,0
2010-03-30,25.71,25.81,25.4,25.61,708700,0.0,0
2010-03-31,25.52,25.52,25.07,25.12,1348500,0.0,0
2010-04-01,25.22,25.52,25.0,25.18,823600,0.0,0
2010-04-05,25.37,25.82,25.11,25.74,1177600,0.0,0
2010-04-06,25.68,26.11,25.63,26.02,726100,0.0,0
2010-04-07,25.88,25.92,25.51,25.61,1678300,0.0,0
2010-04-08,25.48,25.52,25.21,25.49,1237000,0.0,0
2010-04-09,25.58,25.73,25.4,25.68,1147400,0.0,0
2010-04-12,25.77,25.78,25.4,25.69,1198600,0.0,0
2010-04-13,25.61,25.83,25.49,25.73,1053700,0.0,0
2010-04-14,25.69,25.83,25.58,25.83,1242400,0.0,0
2010-04-15,25.63,26.05,25.63,25.83,1362700,0.0,0
2010-04-16,25.69,25.75,25.21,25.31,1287000,0.0,0
2010-04-19,25.24,25.36,24.83,25.2,1011600,0.0,0
2010-04-20,25.42,25.55,25.18,25.35,772400,0.0,0
2010-04-21,25.34,26.08,25.34,25.63,1915400,0.0,0
2010-04-22,25.48,26.39,25.35,26.35,2617000,0.0,0
2010-04-23,26.42,26.57,26.16,26.55,1697700,0.0,0
2010-04-26,26.56,26.61,26.3,26.33,1506900,0.0,0
2010-04-27,26.26,26.63,25.82,25.92,2638500,0.0,0
2010-04-28,23.35,23.46,22.51,23.28,8435000,0.0,0
2010-04-29,23.9,24.35,22.79,23.04,3910600,0.0,0
2010-04-30,23.02,23.24,22.26,22.6,3330700,0.0,0
2010-05-03,22.84,23.22,22.71,23.11,2255900,0.0,0
2010-05-04,22.7,22.73,22.13,22.35,2817800,0.0,0
2010-05-05,22.24,22.73,22.1,22.27,2744300,0.0,0
2010-05-06,22.18,22.6,20.65,21.79,2676100,0.0,0
2010-05-07,21.75,22.08,21.04,21.1,3560600,0.0,0
2010-05-10,21.99,22.56,21.86,22.54,2843800,0.0,0
2010-05-11,22.4,22.85,22.13,22.5,2132700,0.0,0
2010-05-12,22.68,23.01,22.58,22.84,1674700,0.0,0
2010-05-13,22.7,22.98,22.55,22.68,1755800,0.0,0
2010-05-14,22.55,22.6,21.73,21.94,2130800,0.0,0
2010-05-17,21.98,22.43,21.54,22.37,2128700,0.0,0
2010-05-18,22.63,22.79,22.09,22.16,1754400,0.0,0
2010-05-19,22.0,22.33,21.59,21.89,1268600,0.0,0
2010-05-20,21.17,21.43,20.5,20.5,1815300,0.0,0
2010-05-21,20.02,21.03,19.98,20.95,3110900,0.13,0
2010-05-24,20.81,21.5,20.78,21.11,1982900,0.0,0
2010-05-25,20.47,20.66,20.08,20.61,2877900,0.0,0
2010-05-26,20.72,21.33,20.62,20.72,1593600,0.0,0
2010-05-27,21.18,21.25,20.86,21.25,1475800,0.0,0
2010-05-28,21.16,21.25,20.91,20.99,1856900,0.0,0
2010-06-01,20.77,20.88,20.4,20.5,1712700,0.0,0
2010-06-02,20.57,20.77,20.42,20.77,2154100,0.0,0
2010-06-03,20.83,21.06,20.64,20.95,2307700,0.0,0
2010-06-04,20.32,20.67,19.55,19.59,2793600,0.0,0
2010-06-07,19.76,19.76,18.93,18.97,1991000,0.0,0
2010-06-08,19.28,19.42,18.68,19.07,3191100,0.0,0
2010-06-09,19.21,19.46,18.98,19.06,2556800,0.0,0
2010-06-10,19.46,20.09,19.37,20.09,2143400,0.0,0
2010-06-11,19.82,20.12,19.78,20.03,1440200,0.0,0
2010-06-14,20.17,20.33,19.82,19.84,1351500,0.0,0
2010-06-15,20.06,20.38,19.79,20.34,1803300,0.0,0
