Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,22.78,23.1,22.72,22.85,775400,0.0,0.0
2009-12-08,22.7,22.76,22.44,22.51,967200,0.0,0.0
2009-12-09,22.64,22.86,22.54,22.73,813000,0.0,0.0
2009-12-10,22.78,23.18,22.75,23.11,748800,0.0,0.0
2009-12-11,23.16,23.26,23.02,23.11,340600,0.0,0.0
2009-12-14,23.25,23.25,22.97,23.16,439800,0.0,0.0
2009-12-15,23.04,23.24,22.99,23.1,650200,0.0,0.0
2009-12-16,23.23,23.23,22.78,22.83,913800,0.0,0.0
2009-12-17,22.73,22.75,22.05,22.34,1466600,0.0,0.0
2009-12-18,22.4,22.56,22.24,22.32,953800,0.0,0.0
2009-12-21,22.49,22.82,22.45,22.65,471400,0.0,0.0
2009-12-22,22.79,23.01,22.67,22.84,906000,0.0,0.0
2009-12-23,23.06,23.08,22.82,22.96,557000,0.0,0.0
2009-12-24,23.04,23.15,22.83,22.93,164400,0.0,0.0
2009-12-28,22.93,23.04,22.81,23.04,218400,0.0,0.0
2009-12-29,22.93,23.35,22.93,23.21,552000,0.0,0.0
2009-12-30,23.08,23.25,22.91,23.07,507000,0.0,0.0
2009-12-31,23.02,23.28,22.83,22.86,445800,0.0,0.0
2010-01-04,23.02,23.23,22.86,23.09,1665400,0.0,0.0
2010-01-05,22.66,22.66,21.9,22.11,2559800,0.0,0.0
2010-01-06,22.39,22.85,22.39,22.82,1830400,0.0,0.0
2010-01-07,22.86,22.98,22.69,22.86,906400,0.0,0.0
2010-01-08,22.87,23.02,22.45,22.84,1657800,0.0,0.0
2010-01-11,22.98,23.11,22.72,23.11,813800,0.0,0.0
2010-01-12,23.07,23.07,22.46,22.5,1013000,0.0,0.0
2010-01-13,22.76,22.95,22.61,22.83,1877800,0.0,0.0
2010-01-14,22.8,23.0,22.79,22.99,998400,0.0,0.0
2010-01-15,22.99,23.0,22.69,22.81,734400,0.0,0.0
2010-01-19,22.79,23.17,22.79,23.14,715600,0.0,0.0
2010-01-20,23.09,23.29,22.98,23.15,702800,0.0,0.0
2010-01-21,23.17,23.2,22.52,22.72,879000,0.0,0.0
2010-01-22,22.78,23.21,22.68,22.73,1376400,0.0,0.0
2010-01-25,22.9,23.35,22.77,23.19,2314200,0.0,0.0
2010-01-26,23.12,23.61,23.12,23.38,1674800,0.0,0.0
2010-01-27,23.29,23.29,22.83,23.03,1053800,0.0,0.0
2010-01-28,23.03,23.16,22.54,22.79,927200,0.0,0.0
2010-01-29,22.84,22.91,22.37,22.37,1082000,0.0,0.0
2010-02-01,22.46,22.58,22.3,22.51,758200,0.0,0.0
2010-02-02,22.54,22.87,22.51,22.83,1386400,0.0,0.0
2010-02-03,22.73,22.91,22.64,22.81,1219200,0.0,0.0
2010-02-04,22.75,22.86,22.09,22.27,1961200,0.0,0.0
2010-02-05,24.05,24.28,23.22,24.01,4911800,0.0,0.0
2010-02-08,24.13,24.17,23.9,23.98,2187400,0.0,0.0
2010-02-09,24.14,24.14,23.37,23.73,1550600,0.0,0.0
2010-02-10,23.75,23.95,23.52,23.74,687800,0.0,0.0
2010-02-11,23.76,24.35,23.58,24.27,1822800,0.0,0.0
2010-02-12,24.11,24.53,24.08,24.48,1783400,0.0,0.0
2010-02-16,24.54,24.54,24.05,24.25,1214800,0.0,0.0
2010-02-17,24.14,24.43,24.02,24.4,1245400,0.0,0.0
2010-02-18,24.41,25.16,24.41,25.12,2060600,0.0,0.0
2010-02-19,25.06,25.23,24.93,25.13,1791400,0.0,0.0
2010-02-22,25.24,25.53,24.99,25.34,1537400,0.0,0.0
2010-02-23,25.27,25.32,24.87,24.9,957000,0.0,0.0
2010-02-24,24.9,25.16,24.74,25.16,834200,0.0,0.0
2010-02-25,24.95,25.19,24.75,25.16,835800,0.0,0.0
2010-02-26,25.15,25.18,24.88,24.96,1473800,0.0,0.0
2010-03-01,25.07,25.47,24.96,25.44,643200,0.0,0.0
2010-03-02,25.54,26.04,25.52,25.76,1153600,0.0,0.0
2010-03-03,25.85,25.99,25.75,25.92,758000,0.0,0.0
2010-03-04,25.97,25.97,25.72,25.84,682200,0.0,0.0
2010-03-05,25.89,26.02,25.63,26.02,588000,0.0,0.0
2010-03-08,26.07,26.07,25.81,25.88,653400,0.0,0.0
2010-03-09,25.78,26.06,25.72,25.96,596800,0.0,0.0
2010-03-10,26.05,26.52,26.05,26.32,1865800,0.0,0.0
2010-03-11,26.4,26.53,26.24,26.52,1147000,0.0,0.0
2010-03-12,26.6,26.61,26.22,26.54,540200,0.0,0.0
2010-03-15,26.45,26.55,26.33,26.52,447800,0.0,0.0
2010-03-16,26.55,26.72,26.52,26.68,526000,0.0,0.0
2010-03-17,26.73,27.07,26.73,27.03,807600,0.0,0.0
2010-03-18,26.92,27.46,26.81,27.42,1213400,0.0,0.0
2010-03-19,27.19,27.39,27.08,27.19,1766600,0.0,0.0
2010-03-22,27.02,27.5,26.92,27.3,663200,0.0,0.0
2010-03-23,27.39,27.52,27.19,27.48,487800,0.0,0.0
2010-03-24,27.44,27.77,27.44,27.73,959200,0.0,0.0
2010-03-25,27.77,28.01,27.64,27.64,713800,0.0,0.0
2010-03-26,27.66,27.78,27.46,27.53,473200,0.0,0.0
2010-03-29,27.65,27.84,27.51,27.77,445600,0.0,0.0
2010-03-30,27.84,27.99,27.7,27.93,474400,0.0,0.0
2010-03-31,27.66,28.01,27.66,27.84,617200,0.0,0.0
2010-04-01,27.88,27.94,27.58,27.87,720200,0.0,0.0
2010-04-05,27.98,28.06,27.7,27.8,704400,0.0,0.0
2010-04-06,27.89,27.91,27.49,27.64,1008600,0.0,0.0
2010-04-07,27.63,27.68,27.2,27.39,803800,0.0,0.0
2010-04-08,27.28,27.46,26.57,26.84,1838000,0.0,0.0
2010-04-09,26.79,26.95,26.74,26.93,965800,0.0,0.0
2010-04-12,27.01,27.06,26.93,26.94,675000,0.0,0.0
2010-04-13,26.93,27.12,26.88,27.07,873800,0.0,0.0
2010-04-14,27.18,27.25,27.07,27.18,960000,0.0,0.0
2010-04-15,27.18,27.31,27.07,27.09,1039600,0.0,0.0
2010-04-16,27.16,27.29,26.82,26.95,903800,0.0,0.0
2010-04-19,26.85,27.09,26.82,27.06,590800,0.0,0.0
2010-04-20,27.32,27.91,27.32,27.79,1162000,0.0,0.0
2010-04-21,28.08,28.23,27.5,27.7,989600,0.0,0.0
2010-04-22,27.71,27.88,27.55,27.88,1112000,0.0,0.0
2010-04-23,27.78,27.92,27.62,27.82,454400,0.0,0.0
2010-04-26,27.86,28.07,27.57,27.64,463000,0.0,0.0
2010-04-27,27.33,27.33,26.63,26.65,1178400,0.0,0.0
2010-04-28,26.7,27.47,26.6,27.11,1236000,0.0,0.0
2010-04-29,27.08,27.76,26.96,26.98,1419600,0.0,0.0
2010-04-30,28.86,30.9,28.86,29.93,6215400,0.0,0.0
2010-05-03,29.74,30.05,29.04,30.04,2189600,0.0,0.0
2010-05-04,29.51,29.69,29.24,29.61,1499000,0.0,0.0
2010-05-05,29.41,29.72,29.33,29.56,1165600,0.0,0.0
2010-05-06,29.54,29.56,27.99,28.73,2104400,0.0,0.0
2010-05-07,28.51,28.51,27.35,27.83,2844600,0.0,0.0
2010-05-10,28.44,29.11,28.4,29.05,1230000,0.0,0.0
2010-05-11,28.69,29.88,28.65,29.55,2029600,0.0,0.0
2010-05-12,29.69,30.16,29.45,30.08,1216000,0.0,0.0
2010-05-13,29.84,30.39,29.84,30.1,1118400,0.0,0.0
2010-05-14,30.08,30.27,29.73,29.87,1121400,0.0,0.0
2010-05-17,29.88,30.08,29.61,30.05,926600,0.0,0.0
2010-05-18,29.62,29.66,28.98,29.06,1450800,0.0,0.0
2010-05-19,28.2,28.57,27.81,28.3,2571400,0.0,0.0
2010-05-20,27.46,27.7,26.77,27.36,2676400,0.0,0.0
2010-05-21,26.22,27.04,25.93,26.73,2299400,0.0,0.0
2010-05-24,26.42,27.57,26.36,27.16,2131200,0.0,0.0
2010-05-25,26.2,27.15,25.75,27.12,1777000,0.0,0.0
2010-05-26,27.11,27.6,26.72,26.74,2199000,0.0,0.0
2010-05-27,27.11,27.88,27.11,27.87,1051400,0.0,0.0
2010-05-28,27.78,27.9,27.5,27.5,1570600,0.0,0.0
2010-06-01,27.47,28.3,27.47,27.68,1442000,0.0,0.0
2010-06-02,27.81,28.43,27.68,28.42,702000,0.0,0.0
2010-06-03,28.36,28.86,28.36,28.65,1074800,0.0,0.0
2010-06-04,28.36,28.75,28.08,28.18,1408200,0.0,0.0
2010-06-07,28.19,28.19,27.49,27.53,1394600,0.0,0.0
2010-06-08,27.41,27.51,26.97,27.48,1101000,0.0,0.0
2010-06-09,27.65,27.92,27.29,27.42,965200,0.0,0.0
2010-06-10,27.61,27.9,27.49,27.84,691400,0.0,0.0
2010-06-11,27.67,28.22,27.58,28.16,666600,0.0,0.0
2010-06-14,28.38,28.73,28.34,28.48,693400,0.0,0.0
2010-06-15,28.53,28.93,28.13,28.9,955400,0.0,0.0
2010-06-16,28.65,28.86,28.59,28.63,991800,0.0,0.0
2010-06-17,28.72,28.72,28.13,28.3,950000,0.0,0.0
2010-06-18,28.17,28.21,27.63,27.71,1505800,0.0,0.0
2010-06-21,27.98,28.33,27.7,27.84,934200,0.0,0.0
2010-06-22,27.93,28.27,27.63,27.67,1216200,0.0,0.0
2010-06-23,27.67,27.67,26.9,27.09,1313600,0.0,0.0
2010-06-24,27.07,27.21,26.79,26.85,1543200,0.0,0.0
2010-06-25,26.97,27.11,26.71,26.98,1342600,0.0,0.0
2010-06-28,26.87,27.24,26.73,26.96,611800,0.0,0.0
2010-06-29,26.8,26.9,26.36,26.47,998600,0.0,0.0
2010-06-30,26.47,27.04,26.47,26.59,1018600,0.0,0.0
2010-07-01,26.46,26.46,25.65,26.07,1692800,0.0,0.0
2010-07-02,26.22,27.0,26.21,26.75,1488800,0.0,0.0
2010-07-06,27.11,27.44,26.84,27.09,1117600,0.0,0.0
2010-07-07,27.06,28.04,27.05,28.0,830600,0.0,0.0
2010-07-08,28.23,28.43,28.12,28.43,1215000,0.0,0.0
2010-07-09,28.41,28.54,28.3,28.4,598200,0.0,0.0
2010-07-12,28.25,28.72,28.11,28.58,871600,0.0,0.0
2010-07-13,28.84,29.03,28.69,28.96,1165400,0.0,0.0
2010-07-14,28.76,29.22,28.72,29.22,812000,0.0,0.0
2010-07-15,29.17,29.28,29.0,29.23,882800,0.0,0.0
2010-07-16,29.12,29.16,28.91,29.07,1694800,0.0,0.0
2010-07-19,28.96,28.98,28.1,28.3,1089600,0.0,0.0
2010-07-20,28.03,28.32,27.67,28.28,734600,0.0,0.0
2010-07-21,28.42,28.42,27.57,27.64,979600,0.0,0.0
2010-07-22,27.89,28.25,27.71,28.12,629600,0.0,0.0
2010-07-23,27.99,28.76,27.99,28.72,642400,0.0,0.0
2010-07-26,28.39,28.53,28.04,28.29,1059800,0.0,0.0
2010-07-27,28.33,28.39,27.92,27.99,674600,0.0,0.0
2010-07-28,28.04,28.09,27.83,27.9,595800,0.0,0.0
2010-07-29,28.1,28.22,27.87,27.99,954000,0.0,0.0
2010-07-30,28.3,28.98,28.3,28.73,1159200,0.0,0.0
2010-08-02,29.07,29.32,28.86,29.28,1297600,0.0,0.0
2010-08-03,29.14,29.81,29.12,29.47,952200,0.0,0.0
2010-08-04,29.5,29.81,29.27,29.6,1005000,0.0,0.0
2010-08-05,29.52,29.85,29.4,29.75,623000,0.0,0.0
2010-08-06,28.89,28.89,28.03,28.42,2186200,0.0,0.0
2010-08-09,28.59,28.72,28.37,28.65,942200,0.0,0.0
2010-08-10,28.48,28.48,27.9,28.1,1456000,0.0,0.0
2010-08-11,27.45,27.98,27.45,27.7,1055000,0.0,0.0
2010-08-12,27.48,27.48,27.03,27.15,1154400,0.0,0.0
2010-08-13,27.11,27.69,27.02,27.44,670600,0.0,0.0
2010-08-16,27.33,27.49,27.17,27.47,477800,0.0,0.0
2010-08-17,27.58,28.28,27.51,28.07,888600,0.0,0.0
2010-08-18,27.98,28.21,27.77,27.81,860800,0.0,0.0
2010-08-19,27.78,28.13,27.43,27.74,1185200,0.0,0.0
2010-08-20,27.64,27.67,27.11,27.45,547400,0.0,0.0
2010-08-23,27.62,27.93,27.43,27.43,362600,0.0,0.0
2010-08-24,27.12,27.12,26.57,26.62,976400,0.0,0.0
2010-08-25,26.52,26.63,26.03,26.53,1184600,0.0,0.0
2010-08-26,26.52,26.66,26.12,26.13,827200,0.0,0.0
2010-08-27,26.22,26.81,26.08,26.76,557400,0.0,0.0
2010-08-30,26.68,26.76,26.37,26.41,1123600,0.0,0.0
2010-08-31,26.27,26.56,25.95,26.36,975900,0.0,2.0
2010-09-01,26.65,27.11,26.65,26.97,867100,0.0,0.0
2010-09-02,26.92,27.56,26.92,27.54,621500,0.0,0.0
2010-09-03,27.77,28.24,27.73,28.19,747000,0.0,0.0
2010-09-07,28.39,28.55,27.81,28.03,577400,0.0,0.0
2010-09-08,28.08,28.15,27.69,27.72,421400,0.0,0.0
2010-09-09,27.88,28.36,27.88,28.31,500900,0.0,0.0
2010-09-10,28.32,28.37,28.2,28.26,338100,0.0,0.0
2010-09-13,28.5,29.03,28.5,28.92,540800,0.0,0.0
2010-09-14,28.81,29.04,28.65,28.95,481800,0.0,0.0
2010-09-15,28.93,29.39,28.86,29.24,665400,0.0,0.0
2010-09-16,29.04,29.24,29.01,29.1,541800,0.0,0.0
2010-09-17,29.0,29.12,28.83,28.92,704800,0.0,0.0
2010-09-20,29.02,29.1,28.9,29.0,1009800,0.0,0.0
2010-09-21,29.02,29.08,28.15,28.36,1781600,0.0,0.0
2010-09-22,28.37,28.86,28.25,28.52,772700,0.0,0.0
2010-09-23,28.34,28.58,28.21,28.3,544800,0.0,0.0
2010-09-24,28.61,28.79,28.37,28.72,722300,0.0,0.0
2010-09-27,28.63,28.92,28.23,28.74,750900,0.0,0.0
2010-09-28,28.78,28.88,28.44,28.8,706600,0.0,0.0
2010-09-29,28.65,28.65,27.95,28.18,1243500,0.0,0.0
2010-09-30,28.63,28.94,28.57,28.7,1244000,0.0,0.0
2010-10-01,28.86,28.88,28.44,28.72,662600,0.0,0.0
2010-10-04,28.72,28.75,28.23,28.37,448600,0.0,0.0
2010-10-05,28.56,29.05,28.56,28.98,665000,0.0,0.0
2010-10-06,29.07,29.27,29.0,29.07,648400,0.0,0.0
2010-10-07,29.15,29.15,28.51,28.61,348500,0.0,0.0
2010-10-08,28.56,28.89,28.37,28.57,722900,0.0,0.0
2010-10-11,28.57,28.58,28.3,28.34,670900,0.0,0.0
2010-10-12,28.27,28.37,27.88,28.23,359800,0.0,0.0
2010-10-13,28.31,28.31,27.7,27.74,2214900,0.0,0.0
2010-10-14,27.82,27.89,27.64,27.71,929200,0.0,0.0
2010-10-15,28.03,28.25,27.42,27.63,1552000,0.0,0.0
2010-10-18,27.58,27.77,27.4,27.51,1930000,0.0,0.0
2010-10-19,27.1,27.34,26.61,26.69,2869100,0.0,0.0
2010-10-20,26.82,27.1,26.77,27.06,2133900,0.0,0.0
2010-10-21,27.19,27.77,27.19,27.43,1077100,0.0,0.0
2010-10-22,27.42,27.8,27.39,27.63,559300,0.0,0.0
2010-10-25,27.7,28.09,27.48,27.48,1305300,0.0,0.0
2010-10-26,27.38,27.94,27.2,27.55,889900,0.0,0.0
2010-10-27,27.78,28.11,27.7,28.08,1521300,0.0,0.0
2010-10-28,28.36,28.44,28.0,28.0,1975700,0.0,0.0
2010-10-29,29.1,29.3,27.67,27.88,3005200,0.0,0.0
2010-11-01,28.01,28.21,27.25,27.46,1892400,0.0,0.0
2010-11-02,27.56,27.74,27.34,27.61,707600,0.0,0.0
2010-11-03,27.64,28.02,27.53,27.98,927000,0.0,0.0
2010-11-04,28.47,28.64,28.37,28.6,969900,0.0,0.0
2010-11-05,28.63,29.21,28.62,29.21,1035500,0.0,0.0
2010-11-08,28.96,28.99,28.64,28.98,702400,0.0,0.0
2010-11-09,28.96,29.29,28.76,28.85,1112900,0.0,0.0
2010-11-10,28.95,29.3,28.89,29.24,784700,0.0,0.0
2010-11-11,29.09,29.61,29.09,29.48,970200,0.0,0.0
2010-11-12,29.26,29.58,29.02,29.15,813400,0.0,0.0
2010-11-15,29.24,29.5,29.23,29.25,745600,0.0,0.0
2010-11-16,29.0,29.02,28.3,28.67,740700,0.0,0.0
2010-11-17,28.66,28.86,28.45,28.65,451300,0.0,0.0
2010-11-18,28.83,28.88,28.51,28.67,544700,0.0,0.0
2010-11-19,28.68,28.81,28.51,28.56,478800,0.0,0.0
2010-11-22,28.2,28.55,27.98,28.25,1992300,0.0,0.0
2010-11-23,27.97,28.03,27.81,27.9,1488400,0.0,0.0
2010-11-24,28.08,28.58,28.03,28.5,558400,0.0,0.0
2010-11-26,27.93,28.26,27.79,28.15,328700,0.0,0.0
2010-11-29,28.11,28.46,27.68,28.35,1407400,0.0,0.0
2010-11-30,28.18,28.19,27.89,27.95,1190400,0.0,0.0
2010-12-01,28.3,28.76,28.23,28.76,1094300,0.0,0.0
2010-12-02,28.69,29.28,28.69,29.25,814200,0.0,0.0
2010-12-03,29.17,29.62,29.15,29.34,1191900,0.0,0.0
2010-12-06,29.21,29.28,28.83,29.21,710900,0.0,0.0
2010-12-07,29.42,29.42,28.87,28.97,966700,0.0,0.0
2010-12-08,28.99,29.14,28.84,28.98,589000,0.0,0.0
2010-12-09,29.2,29.33,29.07,29.18,533600,0.0,0.0
2010-12-10,29.24,29.24,28.85,29.19,850800,0.0,0.0
2010-12-13,29.17,29.47,29.09,29.2,657100,0.0,0.0
2010-12-14,29.13,30.36,29.13,30.2,1388000,0.0,0.0
2010-12-15,30.26,30.61,30.25,30.48,1156400,0.0,0.0
2010-12-16,30.51,30.58,30.26,30.42,1058400,0.0,0.0
2010-12-17,30.45,31.18,30.41,31.11,1710200,0.0,0.0
2010-12-20,30.96,31.21,30.78,30.82,604300,0.0,0.0
2010-12-21,30.87,30.95,30.62,30.71,703700,0.0,0.0
2010-12-22,30.92,31.36,30.82,31.15,802500,0.0,0.0
2010-12-23,31.23,31.4,31.02,31.14,458800,0.0,0.0
2010-12-27,31.03,31.14,30.87,30.88,256700,0.0,0.0
2010-12-28,30.88,30.88,30.42,30.75,421300,0.0,0.0
2010-12-29,30.9,30.99,30.57,30.67,482700,0.0,0.0
2010-12-30,30.76,31.27,30.75,30.98,414000,0.0,0.0
2010-12-31,30.88,30.95,30.27,30.3,526400,0.0,0.0
2011-01-03,30.57,30.72,30.44,30.63,701100,0.0,0.0
2011-01-04,30.76,30.93,30.48,30.86,806900,0.0,0.0
2011-01-05,30.7,30.7,30.06,30.24,1101600,0.0,0.0
2011-01-06,30.34,30.53,30.05,30.17,660100,0.0,0.0
2011-01-07,30.14,30.14,29.37,29.5,1022300,0.0,0.0
2011-01-10,29.21,29.28,29.0,29.18,1250000,0.0,0.0
2011-01-11,29.21,29.23,28.46,28.57,2009400,0.0,0.0
2011-01-12,28.82,29.01,28.65,29.01,1400200,0.0,0.0
2011-01-13,28.65,28.92,28.22,28.89,1451100,0.0,0.0
2011-01-14,28.86,29.03,28.68,28.86,915400,0.0,0.0
2011-01-18,28.72,29.13,28.72,29.07,947800,0.0,0.0
2011-01-19,29.0,29.21,28.38,28.5,1062600,0.0,0.0
2011-01-20,28.34,28.34,27.84,28.06,1540600,0.0,0.0
2011-01-21,28.21,28.21,27.84,27.99,1160100,0.0,0.0
2011-01-24,28.07,28.38,27.96,28.19,1744900,0.0,0.0
2011-01-25,28.08,28.16,27.78,27.92,2287200,0.0,0.0
2011-01-26,28.06,28.23,27.77,28.0,2262200,0.0,0.0
2011-01-27,27.98,29.2,27.95,28.91,2243700,0.0,0.0
2011-01-28,27.28,28.12,26.91,27.18,4593500,0.0,0.0
2011-01-31,27.65,27.9,27.26,27.54,2731300,0.0,0.0
2011-02-01,26.83,27.32,26.47,26.91,5478900,0.0,0.0
2011-02-02,26.94,27.66,26.91,27.57,2063100,0.0,0.0
2011-02-03,27.6,28.04,27.55,28.0,1459900,0.0,0.0
2011-02-04,28.17,28.33,27.94,28.16,1177700,0.0,0.0
2011-02-07,28.17,28.59,28.12,28.32,861600,0.0,0.0
2011-02-08,28.43,28.61,28.3,28.55,993400,0.0,0.0
2011-02-09,28.42,28.43,28.16,28.23,864500,0.0,0.0
2011-02-10,28.09,28.35,28.09,28.23,943400,0.0,0.0
2011-02-11,28.13,28.39,27.96,28.36,976400,0.0,0.0
2011-02-14,28.25,28.25,27.84,28.1,992900,0.0,0.0
2011-02-15,28.13,28.51,28.12,28.3,921600,0.0,0.0
2011-02-16,28.43,28.75,28.38,28.63,939200,0.0,0.0
