Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,36.46,37.01,36.3,36.82,1455400,0.0,0
2009-12-08,36.38,36.56,35.88,36.3,1125400,0.0,0
2009-12-09,36.34,37.17,35.97,36.98,1653400,0.0,0
2009-12-10,37.88,38.03,37.46,37.75,2718400,0.0,0
2009-12-11,37.83,38.24,37.71,38.1,1218100,0.0,0
2009-12-14,38.56,39.45,38.4,38.55,2003900,0.0,0
2009-12-15,38.27,38.69,37.14,37.35,3421000,0.0,0
2009-12-16,37.47,37.61,37.01,37.25,1254000,0.0,0
2009-12-17,36.91,37.13,36.57,36.62,981500,0.0,0
2009-12-18,36.84,36.92,36.12,36.37,1805000,0.0,0
2009-12-21,36.68,37.93,36.64,37.73,1121700,0.0,0
2009-12-22,37.91,38.27,37.79,38.02,728300,0.0,0
2009-12-23,37.96,38.3,37.7,37.95,690800,0.0,0
2009-12-24,38.11,38.6,38.0,38.57,327800,0.0,0
2009-12-28,38.67,38.67,37.79,37.97,505800,0.0,0
2009-12-29,37.96,38.24,37.63,37.69,390500,0.0,0
2009-12-30,37.6,37.85,37.43,37.79,711100,0.0,0
2009-12-31,37.83,38.19,37.63,37.63,643200,0.0,0
2010-01-04,38.14,38.42,37.66,38.23,904000,0.0,0
2010-01-05,38.17,38.31,37.76,37.93,964900,0.0,0
2010-01-06,37.93,38.68,37.83,38.65,893200,0.0,0
2010-01-07,38.63,39.15,38.29,39.08,673800,0.0,0
2010-01-08,38.96,39.66,38.73,39.62,664400,0.0,0
2010-01-11,38.74,39.28,38.64,39.25,1416900,0.0,0
2010-01-12,38.83,39.09,38.46,38.63,1765400,0.0,0
2010-01-13,38.7,38.96,38.43,38.81,777400,0.0,0
2010-01-14,38.61,39.14,38.61,38.93,627400,0.0,0
2010-01-15,38.85,38.88,37.86,38.2,877200,0.0,0
2010-01-19,38.23,39.39,38.01,39.39,1150700,0.0,0
2010-01-20,38.84,38.85,38.42,38.74,1094300,0.0,0
2010-01-21,38.61,39.01,38.05,38.19,1406400,0.0,0
2010-01-22,37.99,38.11,36.78,36.86,989900,0.0,0
2010-01-25,37.35,37.55,36.92,37.35,687500,0.0,0
2010-01-26,37.12,37.56,36.62,36.98,1920600,0.0,0
2010-01-27,40.25,41.54,39.28,40.73,8160200,0.0,0
2010-01-28,40.93,41.14,39.84,40.01,3284300,0.0,0
2010-01-29,40.21,40.38,38.64,38.64,2637200,0.0,0
2010-02-01,38.82,39.85,38.8,39.85,1363300,0.0,0
2010-02-02,40.05,40.53,39.72,39.8,2382200,0.0,0
2010-02-03,39.72,40.0,39.2,39.44,1512400,0.0,0
2010-02-04,39.01,39.01,37.77,38.38,1962700,0.0,0
