Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,4.32,4.4,4.32,4.35,323200,0.0,0.0
2009-12-08,4.31,4.4,4.27,4.31,344200,0.0,0.0
2009-12-09,4.31,4.32,4.27,4.3,249000,0.0,0.0
2009-12-10,4.33,4.37,4.27,4.29,382000,0.0,0.0
2009-12-11,4.32,4.35,4.28,4.33,218800,0.0,0.0
2009-12-14,4.35,4.45,4.33,4.44,348400,0.0,0.0
2009-12-15,4.43,4.48,4.36,4.36,648100,0.0,0.0
2009-12-16,4.39,4.44,4.32,4.35,398400,0.0,0.0
2009-12-17,4.34,4.34,4.26,4.26,478800,0.0,0.0
2009-12-18,4.3,4.31,4.22,4.23,1716400,0.0,0.0
2009-12-21,4.23,4.3,4.23,4.28,384700,0.0,0.0
2009-12-22,4.27,4.36,4.26,4.34,297100,0.0,0.0
2009-12-23,4.35,4.42,4.31,4.39,385300,0.0,0.0
2009-12-24,4.4,4.43,4.39,4.41,109900,0.0,0.0
2009-12-28,4.44,4.44,4.39,4.4,303700,0.0,0.0
2009-12-29,4.42,4.43,4.39,4.41,105400,0.0,0.0
2009-12-30,4.38,4.44,4.37,4.44,324100,0.0,0.0
2009-12-31,4.41,4.47,4.35,4.35,386200,0.0,0.0
2010-01-04,4.38,4.47,4.35,4.43,559500,0.0,0.0
2010-01-05,4.43,4.44,4.38,4.4,467700,0.0,0.0
2010-01-06,4.39,4.46,4.39,4.41,560800,0.0,0.0
2010-01-07,4.39,4.44,4.34,4.44,357300,0.0,0.0
2010-01-08,4.42,4.44,4.4,4.43,220200,0.0,0.0
2010-01-11,4.45,4.45,4.4,4.43,311100,0.0,0.0
2010-01-12,4.39,4.42,4.38,4.4,347500,0.0,0.0
2010-01-13,4.41,4.46,4.38,4.45,256600,0.0,0.0
2010-01-14,4.47,4.47,4.42,4.47,149400,0.0,0.0
2010-01-15,4.47,4.48,4.32,4.37,591900,0.0,0.0
2010-01-19,4.34,4.41,4.33,4.41,488200,0.0,0.0
2010-01-20,4.38,4.38,4.25,4.32,499000,0.0,0.0
2010-01-21,4.33,4.36,4.21,4.27,388000,0.0,0.0
2010-01-22,4.25,4.31,4.21,4.22,455500,0.0,0.0
2010-01-25,4.24,4.24,4.17,4.2,251700,0.0,0.0
2010-01-26,4.17,4.2,4.14,4.15,308700,0.0,0.0
2010-01-27,4.19,4.53,4.19,4.5,1450800,0.0,0.0
2010-01-28,4.52,4.52,4.3,4.38,686400,0.0,0.0
2010-01-29,4.38,4.48,4.38,4.44,673800,0.0,0.0
2010-02-01,4.44,4.47,4.4,4.43,362400,0.0,0.0
2010-02-02,4.44,4.47,4.39,4.4,431200,0.0,0.0
2010-02-03,4.39,4.44,4.34,4.42,505500,0.0,0.0
2010-02-04,4.4,4.4,4.33,4.35,552700,0.0,0.0
2010-02-05,4.35,4.39,4.31,4.39,491400,0.0,0.0
2010-02-08,4.45,4.46,4.37,4.38,478000,0.09,0.0
2010-02-09,4.41,4.45,4.38,4.42,395100,0.0,0.0
2010-02-10,4.41,4.43,4.38,4.4,326800,0.0,0.0
2010-02-11,4.38,4.49,4.36,4.49,322800,0.0,0.0
2010-02-12,4.56,4.62,4.53,4.61,1265100,0.0,0.0
2010-02-16,4.65,4.65,4.59,4.64,436900,0.0,0.0
2010-02-17,4.66,4.71,4.65,4.71,390700,0.0,0.0
2010-02-18,4.73,4.81,4.72,4.8,406300,0.0,0.0
2010-02-19,4.81,4.86,4.77,4.85,540900,0.0,0.0
2010-02-22,4.87,4.92,4.85,4.91,475200,0.0,0.0
2010-02-23,4.91,4.92,4.84,4.87,737700,0.0,0.0
2010-02-24,4.9,4.94,4.87,4.9,387400,0.0,0.0
2010-02-25,4.85,4.92,4.85,4.91,318700,0.0,0.0
2010-02-26,4.91,4.91,4.85,4.87,515200,0.0,0.0
2010-03-01,4.93,4.95,4.87,4.95,608400,0.0,0.0
2010-03-02,4.97,5.02,4.94,5.0,725800,0.0,0.0
2010-03-03,5.01,5.04,4.99,5.01,415800,0.0,0.0
2010-03-04,5.03,5.03,4.99,4.99,274600,0.0,0.0
2010-03-05,5.02,5.15,5.02,5.13,686700,0.0,0.0
2010-03-08,5.14,5.18,5.12,5.12,375300,0.0,0.0
2010-03-09,5.12,5.2,5.11,5.17,475800,0.0,0.0
2010-03-10,5.16,5.23,5.16,5.21,1086300,0.0,0.0
2010-03-11,5.17,5.21,5.16,5.18,290200,0.0,0.0
2010-03-12,5.18,5.21,5.15,5.16,417300,0.0,0.0
2010-03-15,5.15,5.16,5.07,5.1,676500,0.0,0.0
2010-03-16,5.1,5.1,5.06,5.09,490600,0.0,0.0
2010-03-17,5.09,5.16,5.07,5.12,345700,0.0,0.0
2010-03-18,5.13,5.17,5.1,5.13,229500,0.0,0.0
2010-03-19,5.11,5.17,5.08,5.11,807400,0.0,0.0
2010-03-22,5.08,5.17,5.07,5.15,523900,0.0,0.0
2010-03-23,5.17,5.23,5.1,5.22,735000,0.0,0.0
2010-03-24,5.21,5.21,5.12,5.13,408300,0.0,0.0
2010-03-25,5.06,5.12,4.99,5.0,981000,0.0,0.0
2010-03-26,5.02,5.02,4.93,4.96,467200,0.0,0.0
2010-03-29,4.97,5.04,4.97,5.01,316500,0.0,0.0
2010-03-30,5.0,5.03,4.96,5.02,483900,0.0,0.0
2010-03-31,4.99,5.04,4.97,4.97,490000,0.0,0.0
2010-04-01,4.98,5.0,4.93,4.95,382900,0.0,0.0
2010-04-05,4.98,5.03,4.96,5.02,418500,0.0,0.0
2010-04-06,5.01,5.07,5.0,5.07,345100,0.0,0.0
2010-04-07,5.05,5.07,5.03,5.07,527100,0.0,0.0
2010-04-08,5.04,5.06,5.01,5.03,241800,0.0,0.0
2010-04-09,5.04,5.04,4.96,4.99,421800,0.0,0.0
2010-04-12,5.0,5.0,4.96,4.98,264600,0.0,0.0
2010-04-13,4.97,5.04,4.96,5.04,271500,0.0,0.0
2010-04-14,5.05,5.11,5.0,5.1,356500,0.0,0.0
2010-04-15,5.07,5.14,5.07,5.13,257800,0.0,0.0
2010-04-16,5.12,5.15,5.07,5.08,439300,0.0,0.0
2010-04-19,5.06,5.1,5.02,5.08,287500,0.0,0.0
2010-04-20,5.09,5.14,5.08,5.13,277300,0.0,0.0
2010-04-21,5.12,5.2,5.11,5.19,287100,0.0,0.0
2010-04-22,5.15,5.21,5.12,5.2,326800,0.0,0.0
2010-04-23,5.18,5.19,5.14,5.17,503500,0.0,0.0
2010-04-26,5.18,5.19,5.13,5.15,360600,0.0,0.0
2010-04-27,5.15,5.21,5.08,5.09,382900,0.0,0.0
2010-04-28,5.13,5.21,5.07,5.13,366400,0.0,0.0
2010-04-29,5.15,5.16,5.03,5.08,569700,0.0,0.0
2010-04-30,5.06,5.14,4.99,4.99,716800,0.0,0.0
2010-05-03,5.02,5.1,4.98,5.09,499500,0.0,0.0
2010-05-04,5.01,5.06,4.96,5.03,603000,0.0,0.0
2010-05-05,5.01,5.12,5.01,5.03,434700,0.0,0.0
2010-05-06,5.07,5.11,4.76,4.95,701500,0.09,0.0
2010-05-07,4.9,4.96,4.8,4.83,841900,0.0,0.0
2010-05-10,4.96,5.13,4.93,5.13,771000,0.0,0.0
2010-05-11,5.06,5.23,5.04,5.18,453100,0.0,0.0
2010-05-12,5.2,5.34,5.17,5.33,588100,0.0,0.0
2010-05-13,5.3,5.33,5.19,5.21,762700,0.0,0.0
2010-05-14,5.18,5.19,5.12,5.17,539200,0.0,0.0
2010-05-17,5.21,5.26,5.06,5.23,949000,0.0,0.0
2010-05-18,5.29,5.29,5.04,5.07,1160200,0.0,0.0
2010-05-19,5.05,5.14,5.05,5.1,860100,0.0,0.0
2010-05-20,5.0,5.1,4.83,4.83,910000,0.0,0.0
2010-05-21,4.76,4.89,4.73,4.84,829800,0.0,0.0
2010-05-24,4.84,4.89,4.77,4.83,549600,0.0,0.0
2010-05-25,4.73,4.88,4.68,4.85,837100,0.0,0.0
2010-05-26,4.85,4.95,4.83,4.87,756100,0.0,0.0
2010-05-27,4.96,4.99,4.89,4.99,483400,0.0,0.0
2010-05-28,4.97,4.99,4.91,4.94,357300,0.0,0.0
2010-06-01,4.89,4.99,4.85,4.87,571600,0.0,0.0
2010-06-02,4.88,4.99,4.85,4.99,559800,0.0,0.0
2010-06-03,4.99,5.01,4.94,4.99,558400,0.0,0.0
2010-06-04,4.89,4.94,4.8,4.82,762700,0.0,0.0
2010-06-07,4.84,4.89,4.76,4.8,626400,0.0,0.0
2010-06-08,4.81,4.88,4.79,4.86,631000,0.0,0.0
2010-06-09,4.89,4.96,4.83,4.86,690700,0.0,0.0
2010-06-10,4.94,4.95,4.87,4.95,379500,0.0,0.0
2010-06-11,4.89,4.99,4.89,4.99,217500,0.0,0.0
2010-06-14,5.02,5.02,4.91,4.92,492300,0.0,0.0
2010-06-15,4.94,5.05,4.93,5.03,556300,0.0,0.0
2010-06-16,5.01,5.03,4.97,4.99,395700,0.0,0.0
2010-06-17,4.99,5.01,4.95,4.99,417300,0.0,0.0
2010-06-18,5.0,5.0,4.97,4.98,911200,0.0,0.0
2010-06-21,5.04,5.04,4.95,4.96,447000,0.0,0.0
2010-06-22,4.98,5.02,4.92,4.93,664800,0.0,0.0
2010-06-23,4.92,4.94,4.86,4.89,406900,0.0,0.0
2010-06-24,4.86,4.95,4.85,4.85,369400,0.0,0.0
2010-06-25,4.84,4.93,4.84,4.92,1330300,0.0,0.0
2010-06-28,4.92,5.01,4.9,4.98,603600,0.0,0.0
2010-06-29,4.9,4.92,4.82,4.85,809200,0.0,0.0
2010-06-30,4.85,4.91,4.8,4.81,568300,0.0,0.0
2010-07-01,4.8,4.8,4.68,4.75,627900,0.0,0.0
2010-07-02,4.79,4.79,4.69,4.73,586000,0.0,0.0
2010-07-06,4.79,4.84,4.69,4.73,818700,0.0,0.0
2010-07-07,4.75,4.84,4.73,4.84,461700,0.0,0.0
2010-07-08,4.84,4.97,4.84,4.97,652200,0.0,0.0
2010-07-09,4.97,4.99,4.93,4.99,319900,0.0,0.0
2010-07-12,4.96,5.02,4.96,5.0,1104900,0.0,0.0
2010-07-13,5.08,5.12,5.05,5.1,859500,0.0,0.0
2010-07-14,5.08,5.1,5.02,5.05,428100,0.0,0.0
2010-07-15,5.05,5.06,4.94,5.0,517000,0.0,0.0
2010-07-16,4.99,4.99,4.84,4.86,749200,0.0,0.0
2010-07-19,4.87,4.91,4.84,4.9,442900,0.0,0.0
2010-07-20,4.85,4.98,4.84,4.98,394300,0.0,0.0
2010-07-21,5.01,5.01,4.89,4.89,423100,0.0,0.0
2010-07-22,4.95,5.01,4.93,4.99,979300,0.0,0.0
2010-07-23,4.98,5.09,4.97,5.09,569700,0.0,0.0
2010-07-26,5.1,5.16,5.06,5.15,580500,0.0,0.0
2010-07-27,5.19,5.2,5.09,5.13,554100,0.0,0.0
2010-07-28,5.09,5.2,5.07,5.14,442800,0.0,0.0
2010-07-29,5.2,5.21,5.05,5.1,280300,0.0,0.0
2010-07-30,5.08,5.13,4.99,5.08,428100,0.0,0.0
2010-08-02,5.16,5.16,5.06,5.13,473800,0.0,0.0
2010-08-03,5.09,5.17,5.06,5.09,420000,0.0,0.0
2010-08-04,5.09,5.15,5.09,5.15,360400,0.0,0.0
2010-08-05,5.14,5.14,5.08,5.08,298300,0.0,0.0
2010-08-06,5.08,5.12,5.01,5.09,378000,0.09,0.0
2010-08-09,5.13,5.17,5.09,5.17,265500,0.0,0.0
2010-08-10,5.11,5.15,5.06,5.08,385300,0.0,0.0
2010-08-11,5.02,5.02,4.93,4.94,828900,0.0,0.0
2010-08-12,4.9,4.94,4.89,4.91,480700,0.0,0.0
2010-08-13,4.89,4.94,4.86,4.87,614400,0.0,0.0
2010-08-16,4.84,4.92,4.82,4.92,438700,0.0,0.0
2010-08-17,4.97,5.03,4.94,5.0,447000,0.0,0.0
2010-08-18,4.98,5.04,4.94,4.99,454500,0.0,0.0
2010-08-19,4.96,4.96,4.84,4.85,717400,0.0,0.0
2010-08-20,4.83,4.86,4.76,4.85,525700,0.0,0.0
2010-08-23,4.89,4.89,4.8,4.82,457600,0.0,0.0
2010-08-24,4.78,4.84,4.76,4.77,375900,0.0,0.0
2010-08-25,4.75,4.84,4.73,4.82,395100,0.0,0.0
2010-08-26,4.83,4.85,4.78,4.79,280900,0.0,0.0
2010-08-27,4.83,4.97,4.77,4.96,569800,0.0,0.0
2010-08-30,4.94,4.97,4.9,4.91,767700,0.0,0.0
2010-08-31,4.91,4.91,4.81,4.83,522400,0.0,0.0
2010-09-01,4.9,5.0,4.85,4.97,598000,0.0,0.0
2010-09-02,4.95,4.99,4.9,4.99,483900,0.0,0.0
2010-09-03,5.03,5.09,5.02,5.08,466300,0.0,0.0
2010-09-07,5.07,5.11,5.03,5.05,679900,0.0,0.0
2010-09-08,5.05,5.09,4.99,5.02,473800,0.0,0.0
2010-09-09,5.03,5.07,4.99,5.05,706600,0.0,0.0
2010-09-10,5.07,5.09,5.0,5.07,442000,0.0,0.0
2010-09-13,5.1,5.21,5.09,5.2,746700,0.0,0.0
2010-09-14,5.17,5.21,5.15,5.17,393400,0.0,0.0
2010-09-15,5.17,5.21,5.12,5.2,340200,0.0,0.0
2010-09-16,5.19,5.19,5.1,5.12,510300,0.0,0.0
2010-09-17,5.17,5.32,5.09,5.27,1628700,0.0,0.0
2010-09-20,5.3,5.45,5.26,5.44,997200,0.0,0.0
2010-09-21,5.4,5.4,5.22,5.3,1457500,0.0,0.0
2010-09-22,5.27,5.35,5.24,5.32,758800,0.0,0.0
2010-09-23,5.28,5.41,5.15,5.16,1083300,0.0,0.0
2010-09-24,5.23,5.36,5.22,5.36,697200,0.0,0.0
2010-09-27,5.38,5.38,5.31,5.32,369100,0.0,0.0
2010-09-28,5.35,5.44,5.26,5.43,558900,0.0,0.0
2010-09-29,5.4,5.47,5.4,5.44,455500,0.0,0.0
2010-09-30,5.48,5.55,5.43,5.51,883500,0.0,0.0
2010-10-01,5.56,5.56,5.45,5.47,529300,0.0,0.0
2010-10-04,5.46,5.48,5.35,5.39,349800,0.0,0.0
2010-10-05,5.46,5.67,5.46,5.59,1038100,0.0,0.0
2010-10-06,5.59,5.71,5.57,5.68,1111900,0.0,0.0
2010-10-07,5.72,5.74,5.64,5.67,479400,0.0,0.0
2010-10-08,5.68,5.78,5.63,5.75,378900,0.0,0.0
2010-10-11,5.74,5.79,5.73,5.75,311800,0.0,0.0
2010-10-12,5.72,5.74,5.65,5.67,510900,0.0,0.0
2010-10-13,5.69,5.86,5.66,5.83,731700,0.0,0.0
2010-10-14,5.84,5.86,5.76,5.78,676300,0.0,0.0
2010-10-15,5.81,5.82,5.72,5.77,730900,0.0,0.0
2010-10-18,5.78,5.88,5.75,5.88,564300,0.0,0.0
2010-10-19,5.81,5.93,5.76,5.78,609700,0.0,0.0
2010-10-20,5.82,6.01,5.82,5.91,527100,0.0,0.0
2010-10-21,5.94,6.02,5.76,5.84,506800,0.0,0.0
2010-10-22,5.84,5.9,5.82,5.88,357900,0.0,0.0
2010-10-25,5.91,6.0,5.91,5.93,279600,0.0,0.0
2010-10-26,5.88,6.01,5.85,5.9,504400,0.0,0.0
2010-10-27,5.92,6.37,5.89,6.15,1257700,0.0,0.0
2010-10-28,6.19,6.21,6.07,6.17,502800,0.0,0.0
2010-10-29,6.16,6.21,6.13,6.14,372700,0.0,0.0
2010-11-01,6.19,6.26,6.11,6.16,664300,0.0,0.0
2010-11-02,6.23,6.31,6.18,6.23,556800,0.0,0.0
2010-11-03,6.25,6.31,6.2,6.25,597600,0.0,0.0
2010-11-04,6.33,6.38,6.32,6.35,775000,0.0,0.0
2010-11-05,6.37,6.39,6.3,6.35,453700,0.0,0.0
2010-11-08,6.41,6.43,6.34,6.41,330700,0.09,0.0
2010-11-09,6.43,6.48,6.35,6.38,536800,0.0,0.0
2010-11-10,6.4,6.43,6.33,6.43,422500,0.0,0.0
2010-11-11,6.37,6.43,6.32,6.35,565800,0.0,0.0
2010-11-12,6.3,6.35,6.25,6.31,508500,0.0,0.0
2010-11-15,6.34,6.4,6.32,6.34,487900,0.0,0.0
2010-11-16,6.28,6.32,6.19,6.23,413700,0.0,0.0
2010-11-17,6.24,6.26,6.17,6.24,309700,0.0,0.0
2010-11-18,6.32,6.38,6.3,6.35,347100,0.0,0.0
2010-11-19,6.32,6.38,6.28,6.35,410400,0.0,0.0
2010-11-22,6.29,6.38,6.25,6.36,372700,0.0,0.0
2010-11-23,6.28,6.34,6.24,6.32,325500,0.0,0.0
2010-11-24,6.38,6.56,6.36,6.55,403600,0.0,0.0
2010-11-26,6.5,6.57,6.47,6.52,108900,0.0,0.0
2010-11-29,6.47,6.53,6.34,6.51,360000,0.0,0.0
2010-11-30,6.44,6.46,6.33,6.44,834400,0.0,0.0
2010-12-01,6.55,6.71,6.52,6.67,581400,0.0,0.0
2010-12-02,6.65,6.74,6.63,6.65,878100,0.0,0.0
2010-12-03,6.63,6.73,6.6,6.7,515800,0.0,0.0
2010-12-06,6.67,6.71,6.65,6.66,459100,0.0,0.0
2010-12-07,6.73,6.86,6.71,6.79,797400,0.0,0.0
2010-12-08,6.81,6.9,6.81,6.84,590800,0.0,0.0
2010-12-09,6.9,6.91,6.75,6.87,1009900,0.0,0.0
2010-12-10,6.9,6.9,6.79,6.9,562900,0.0,0.0
2010-12-13,6.9,7.22,6.9,6.93,1056600,0.0,1.5
2010-12-14,6.97,6.98,6.84,6.88,1011600,0.0,0.0
2010-12-15,6.87,7.07,6.86,6.95,742200,0.0,0.0
2010-12-16,6.95,7.1,6.89,7.03,626400,0.0,0.0
2010-12-17,7.05,7.09,6.97,7.07,2077800,0.0,0.0
2010-12-20,7.11,7.12,7.03,7.09,474000,0.0,0.0
2010-12-21,7.14,7.15,7.07,7.09,409600,0.0,0.0
