Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,50.69,51.02,50.21,50.46,289600,0.0,0
2009-12-08,50.02,50.24,49.35,49.67,424900,0.0,0
2009-12-09,49.65,49.96,48.87,49.92,610500,0.0,0
2009-12-10,50.34,50.79,49.95,50.66,785500,0.0,0
2009-12-11,51.04,51.19,50.5,51.19,474900,0.0,0
2009-12-14,51.37,51.41,50.8,50.89,519600,0.0,0
2009-12-15,50.61,50.67,50.1,50.18,583300,0.0,0
2009-12-16,51.61,52.27,51.47,51.84,1424200,0.0,0
2009-12-17,51.25,51.42,50.83,50.97,661400,0.0,0
2009-12-18,51.23,51.43,50.87,51.04,978900,0.0,0
2009-12-21,50.92,52.1,50.77,51.49,618400,0.0,0
2009-12-22,51.55,51.84,50.15,50.15,15940700,0.0,0
2009-12-23,50.44,50.5,49.23,49.92,2543400,0.0,0
2009-12-24,50.17,50.46,49.96,50.12,377400,0.0,0
2009-12-28,50.31,50.97,50.21,50.45,771900,0.0,0
2009-12-29,50.39,50.79,50.24,50.66,554000,0.0,0
2009-12-30,50.59,50.66,49.87,50.1,500400,0.0,0
2009-12-31,50.08,50.29,49.32,49.33,355900,0.0,0
2010-01-04,49.94,50.14,49.33,49.49,927900,0.0,0
2010-01-05,49.53,49.53,48.62,48.85,1102500,0.0,0
2010-01-06,48.75,49.35,48.53,49.32,1099800,0.095,0
2010-01-07,48.49,49.29,48.23,49.13,1394200,0.0,0
2010-01-08,49.11,49.55,48.78,49.48,720400,0.0,0
2010-01-11,49.69,50.08,49.35,49.69,507000,0.0,0
2010-01-12,49.29,49.82,49.29,49.65,773500,0.0,0
2010-01-13,49.62,49.74,48.93,49.47,575300,0.0,0
2010-01-14,49.2,49.61,49.02,49.54,540700,0.0,0
2010-01-15,49.44,49.49,48.58,48.79,403900,0.0,0
2010-01-19,50.32,51.12,50.22,50.8,1100800,0.0,0
2010-01-20,50.27,50.9,49.46,50.29,819600,0.0,0
2010-01-21,50.04,50.31,49.29,49.31,566200,0.0,0
2010-01-22,48.97,49.28,48.17,48.23,761200,0.0,0
2010-01-25,48.66,48.92,48.12,48.37,446300,0.0,0
2010-01-26,48.38,49.0,48.08,48.12,480700,0.0,0
2010-01-27,47.95,48.15,47.03,47.81,506900,0.0,0
2010-01-28,47.82,47.96,47.09,47.51,337700,0.0,0
2010-01-29,47.76,48.38,47.21,47.26,675400,0.0,0
2010-02-01,47.47,47.93,47.4,47.64,493100,0.0,0
2010-02-02,47.85,48.58,47.78,48.49,690700,0.0,0
2010-02-03,50.94,51.14,50.07,50.58,1381400,0.0,0
2010-02-04,50.0,50.88,49.76,50.09,1150200,0.0,0
2010-02-05,50.0,50.28,48.35,49.56,811100,0.0,0
2010-02-08,49.49,49.63,48.8,48.88,460300,0.0,0
2010-02-09,49.26,49.93,48.89,49.29,747000,0.0,0
2010-02-10,49.06,49.38,48.13,48.83,662700,0.0,0
2010-02-11,48.62,50.04,48.24,49.97,794100,0.0,0
2010-02-12,49.16,49.97,48.87,49.92,1039200,0.0,0
2010-02-16,50.07,50.86,50.06,50.8,479800,0.0,0
2010-02-17,51.28,51.35,50.59,50.87,433100,0.0,0
2010-02-18,50.69,51.83,50.69,51.75,489400,0.0,0
2010-02-19,51.63,52.94,51.53,52.39,1145000,0.0,0
2010-02-22,52.45,52.87,51.89,52.09,735600,0.0,0
2010-02-23,52.02,52.11,51.11,51.41,514700,0.0,0
2010-02-24,51.45,52.0,51.37,51.95,700900,0.0,0
2010-02-25,51.09,51.85,50.67,51.73,580400,0.0,0
2010-02-26,51.77,52.49,51.08,52.31,855500,0.0,0
2010-03-01,52.45,52.8,52.28,52.56,531500,0.0,0
2010-03-02,52.7,52.94,52.44,52.55,408300,0.0,0
2010-03-03,52.86,53.11,52.58,52.61,678700,0.0,0
2010-03-04,52.82,52.82,52.28,52.56,343300,0.0,0
2010-03-05,52.87,53.31,52.63,53.22,336600,0.0,0
2010-03-08,53.22,53.76,52.99,53.57,607300,0.0,0
2010-03-09,53.31,53.78,53.18,53.48,540400,0.0,0
2010-03-10,53.36,53.86,53.33,53.73,501900,0.0,0
2010-03-11,53.53,54.42,53.19,54.41,831600,0.0,0
2010-03-12,54.65,54.78,54.02,54.78,491900,0.0,0
2010-03-15,54.81,54.95,53.78,54.02,1081700,0.0,0
2010-03-16,54.17,54.71,54.08,54.64,445200,0.0,0
2010-03-17,54.68,55.16,54.64,55.05,462900,0.0,0
2010-03-18,54.95,55.12,54.39,54.54,463800,0.0,0
2010-03-19,54.03,54.94,53.9,54.03,1176200,0.0,0
2010-03-22,53.88,54.59,53.75,54.25,459200,0.0,0
2010-03-23,54.26,54.72,54.07,54.65,329200,0.0,0
2010-03-24,54.57,54.78,53.97,54.07,340200,0.0,0
2010-03-25,54.34,54.39,53.55,53.64,316500,0.0,0
2010-03-26,53.73,54.22,53.46,53.66,321200,0.0,0
2010-03-29,53.79,53.87,53.12,53.75,578400,0.0,0
2010-03-30,53.82,54.97,53.66,54.49,775500,0.0,0
2010-03-31,54.24,54.96,54.24,54.58,520100,0.0,0
2010-04-01,54.77,55.29,54.77,55.29,514800,0.0,0
2010-04-05,55.55,55.95,55.38,55.64,373900,0.0,0
2010-04-06,55.35,56.16,55.11,56.12,545500,0.0,0
2010-04-07,55.9,56.56,55.67,56.25,672400,0.095,0
2010-04-08,56.21,56.92,55.96,56.75,653300,0.0,0
2010-04-09,56.8,57.15,56.55,57.07,399000,0.0,0
2010-04-12,57.2,57.63,57.08,57.53,469900,0.0,0
2010-04-13,57.36,57.69,57.05,57.62,429000,0.0,0
2010-04-14,57.77,58.05,57.36,58.04,543600,0.0,0
2010-04-15,57.79,58.32,57.63,58.29,450700,0.0,0
2010-04-16,57.88,58.12,57.05,57.46,488600,0.0,0
2010-04-19,57.35,57.54,56.67,57.32,394100,0.0,0
2010-04-20,57.7,58.05,57.51,57.93,336100,0.0,0
2010-04-21,57.85,58.23,57.61,58.11,339500,0.0,0
2010-04-22,57.82,59.19,57.46,59.03,512700,0.0,0
2010-04-23,58.76,60.44,58.48,60.4,705700,0.0,0
2010-04-26,59.69,60.01,57.38,57.68,1325000,0.0,0
2010-04-27,57.69,59.27,57.52,57.67,854900,0.0,0
2010-04-28,57.9,58.09,57.02,57.24,681500,0.0,0
2010-04-29,57.54,59.16,57.54,58.98,882100,0.0,0
2010-04-30,59.05,59.39,57.58,57.67,688500,0.0,0
2010-05-03,57.79,58.96,57.79,58.93,364500,0.0,0
2010-05-04,58.1,58.1,56.82,57.21,523200,0.0,0
2010-05-05,56.76,57.01,56.26,56.69,737800,0.0,0
2010-05-06,56.53,57.24,52.06,54.8,1012800,0.0,0
2010-05-07,54.55,55.76,53.6,54.32,1310500,0.0,0
2010-05-10,56.61,57.93,55.97,57.73,735400,0.0,0
2010-05-11,57.06,57.93,56.89,57.32,608800,0.0,0
2010-05-12,57.45,58.59,57.45,58.54,490500,0.0,0
2010-05-13,58.29,58.83,58.06,58.2,287200,0.0,0
2010-05-14,57.9,57.96,56.37,56.99,461200,0.0,0
2010-05-17,57.13,58.0,56.56,57.41,866100,0.0,0
2010-05-18,57.93,58.29,56.8,56.86,627900,0.0,0
2010-05-19,56.55,57.17,54.8,55.87,890200,0.0,0
2010-05-20,54.43,55.03,53.68,53.73,845000,0.0,0
2010-05-21,53.8,55.09,52.97,54.85,913200,0.0,0
2010-05-24,54.79,54.89,54.12,54.14,696800,0.0,0
2010-05-25,52.75,53.62,51.9,53.62,838500,0.0,0
2010-05-26,53.75,54.73,53.61,53.78,665100,0.0,0
2010-05-27,54.73,55.64,54.57,55.64,510500,0.0,0
2010-05-28,55.52,55.66,54.35,54.83,778500,0.0,0
2010-06-01,54.23,54.8,53.51,53.51,673500,0.0,0
2010-06-02,53.66,55.26,53.31,55.21,646600,0.0,0
2010-06-03,55.2,56.02,55.2,55.94,612700,0.0,0
2010-06-04,54.9,55.24,53.23,53.42,585300,0.0,0
2010-06-07,53.53,53.68,52.36,52.42,709900,0.0,0
2010-06-08,52.39,52.98,51.87,52.88,569500,0.0,0
2010-06-09,53.24,53.94,52.81,53.02,554900,0.0,0
2010-06-10,53.99,54.94,53.91,54.91,495700,0.0,0
2010-06-11,54.3,55.15,54.26,55.08,295200,0.0,0
2010-06-14,55.32,56.19,55.32,55.63,832900,0.0,0
2010-06-15,55.86,57.2,55.73,57.12,432900,0.0,0
2010-06-16,56.68,57.23,56.64,56.88,633300,0.0,0
2010-06-17,56.94,57.17,56.34,57.1,320000,0.0,0
2010-06-18,56.54,57.52,56.54,57.29,475000,0.0,0
