Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,9.88,10.01,9.83,9.92,3603600,0.0,0.0
2009-12-08,9.86,9.93,9.73,9.85,6454400,0.0,0.0
2009-12-09,9.8,9.84,9.68,9.71,5911600,0.0,0.0
2009-12-10,9.72,9.98,9.72,9.89,5947600,0.0,0.0
2009-12-11,9.92,9.99,9.78,9.85,6188800,0.0,0.0
2009-12-14,10.01,10.16,9.99,10.16,13672400,0.0,0.0
2009-12-15,10.13,10.3,10.1,10.24,9171600,0.0,0.0
2009-12-16,10.27,10.33,10.12,10.14,11090400,0.0,0.0
2009-12-17,10.06,10.08,9.95,10.03,7542000,0.0,0.0
2009-12-18,10.01,10.07,9.7,9.7,112227600,0.0,0.0
2009-12-21,9.7,9.99,9.7,9.88,18178400,0.0,0.0
2009-12-22,9.89,9.89,9.64,9.68,11795200,0.0,0.0
2009-12-23,9.68,9.8,9.64,9.7,7987200,0.0,0.0
2009-12-24,9.69,9.76,9.59,9.61,2283600,0.0,0.0
2009-12-28,9.61,9.72,9.61,9.68,8287600,0.0,0.0
2009-12-29,9.72,9.85,9.69,9.84,7738000,0.0,0.0
2009-12-30,9.78,9.86,9.75,9.8,5184400,0.0,0.0
2009-12-31,9.79,9.86,9.66,9.66,4372000,0.0,0.0
2010-01-04,9.67,9.71,9.57,9.66,15743600,0.0,0.0
2010-01-05,9.69,9.84,9.64,9.83,9369600,0.0,0.0
2010-01-06,9.78,9.99,9.76,9.98,13144800,0.0,0.0
2010-01-07,10.33,10.5,10.3,10.39,23984800,0.0,0.0
2010-01-08,10.18,10.25,10.13,10.19,15926000,0.0,0.0
2010-01-11,10.22,10.25,10.07,10.24,10197600,0.0,0.0
2010-01-12,10.22,10.29,10.19,10.28,9478400,0.0,0.0
2010-01-13,10.33,10.42,10.29,10.39,7983600,0.0,0.0
2010-01-14,10.34,10.38,10.3,10.31,8125600,0.0,0.0
2010-01-15,10.36,10.36,10.13,10.15,6539600,0.0,0.0
2010-01-19,10.16,10.37,10.16,10.35,6678400,0.0,0.0
2010-01-20,10.3,10.33,10.14,10.24,5241600,0.0,0.0
2010-01-21,10.26,10.3,10.03,10.05,8160000,0.0,0.0
2010-01-22,9.98,10.14,9.9,9.91,9143600,0.0,0.0
2010-01-25,9.98,10.08,9.95,10.03,10186400,0.0,0.0
2010-01-26,10.0,10.27,9.96,10.22,10211600,0.0,0.0
2010-01-27,10.3,10.42,10.14,10.41,12769600,0.0,0.0
2010-01-28,10.43,10.44,10.28,10.41,13789200,0.0,0.0
2010-01-29,10.43,10.61,10.39,10.39,13900400,0.0,0.0
2010-02-01,10.46,10.59,10.4,10.52,9596000,0.0,0.0
2010-02-02,10.49,10.63,10.46,10.59,10828800,0.0,0.0
2010-02-03,10.54,10.56,10.37,10.45,12430400,0.0,0.0
2010-02-04,10.22,10.42,10.19,10.22,13031600,0.0,0.0
2010-02-05,10.26,10.44,10.23,10.4,11869200,0.0,0.0
2010-02-08,10.28,10.44,10.16,10.22,8425600,0.0,0.0
