Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,32.58,32.77,32.12,32.45,880500,0.0,0
2009-12-08,32.49,32.49,31.85,31.86,1095400,0.0,0
2009-12-09,32.06,32.06,31.44,31.79,1273400,0.0,0
2009-12-10,31.93,32.94,31.93,32.69,942900,0.0,0
2009-12-11,32.82,32.97,32.44,32.8,533800,0.0,0
2009-12-14,32.9,33.09,32.6,33.0,692200,0.0,0
2009-12-15,32.93,33.18,32.9,32.95,780700,0.0,0
2009-12-16,33.19,33.46,32.98,33.41,889900,0.0,0
2009-12-17,33.42,33.8,33.23,33.58,720300,0.0,0
2009-12-18,33.61,33.99,33.58,33.97,920100,0.0,0
2009-12-21,34.02,34.8,34.02,34.53,1476000,0.0,0
2009-12-22,34.54,35.53,34.36,35.4,1508700,0.0,0
2009-12-23,35.58,35.77,34.57,34.59,1337400,0.0,0
2009-12-24,34.59,35.16,34.47,35.02,353300,0.0,0
2009-12-28,35.03,35.36,34.78,34.86,663100,0.0,0
2009-12-29,35.0,35.02,34.4,34.45,1092800,0.0,0
2009-12-30,34.62,34.62,33.86,34.22,968200,0.0,0
2009-12-31,34.35,34.41,34.06,34.06,775000,0.0,0
2010-01-04,34.25,35.7,34.09,35.07,1885400,0.0,0
2010-01-05,35.34,35.92,35.08,35.9,1851100,0.0,0
2010-01-06,35.84,35.91,35.19,35.83,2036000,0.0,0
2010-01-07,35.6,36.57,35.43,36.34,3020800,0.0,0
2010-01-08,36.4,36.56,35.99,36.38,1032800,0.0,0
2010-01-11,36.6,36.89,36.38,36.63,1193000,0.0,0
2010-01-12,36.18,36.36,35.04,35.23,1115600,0.0,0
2010-01-13,35.49,36.25,35.33,36.17,1149000,0.0,0
2010-01-14,35.98,36.8,35.98,36.3,1356300,0.0,0
2010-01-15,36.44,37.01,36.29,36.54,1511900,0.0,0
2010-01-19,36.68,36.89,36.42,36.61,949500,0.0,0
2010-01-20,36.47,36.55,36.01,36.2,1161500,0.0,0
2010-01-21,36.41,36.79,35.83,36.02,2047400,0.0,0
2010-01-22,36.07,36.63,34.31,34.4,1692900,0.0,0
2010-01-25,35.02,35.46,34.12,34.59,2270800,0.0,0
2010-01-26,34.66,34.68,33.52,34.15,1852200,0.0,0
2010-01-27,34.16,34.61,33.47,34.47,1674000,0.0,0
2010-01-28,34.39,34.46,33.26,33.59,1469900,0.0,0
2010-01-29,33.88,34.13,32.65,32.99,1883100,0.0,0
2010-02-01,33.11,34.06,32.7,33.96,1451900,0.0,0
2010-02-02,34.18,34.18,33.23,33.96,1042900,0.0,0
2010-02-03,33.86,34.09,32.94,33.06,1448800,0.0,0
2010-02-04,32.95,32.96,31.66,31.73,2081500,0.0,0
2010-02-05,31.67,31.77,30.55,31.7,2307500,0.0,0
2010-02-08,31.76,32.49,31.13,32.09,1272800,0.0,0
2010-02-09,32.33,33.06,32.08,32.87,1924800,0.0,0
2010-02-10,32.69,33.15,32.25,33.14,1427500,0.0,0
2010-02-11,32.9,33.84,32.7,33.71,1721500,0.0,0
2010-02-12,33.42,33.93,33.05,33.85,1793700,0.0,0
2010-02-16,33.84,34.28,33.69,34.23,1147200,0.0,0
2010-02-17,34.19,34.44,34.05,34.23,1138700,0.0,0
2010-02-18,34.31,34.38,34.03,34.35,1981300,0.0,0
2010-02-19,34.28,34.88,34.21,34.68,1170200,0.0,0
2010-02-22,34.65,34.65,34.03,34.12,1840700,0.0,0
2010-02-23,34.21,34.31,33.79,34.28,1796700,0.0,0
2010-02-24,34.23,34.79,34.12,34.79,1749200,0.0,0
2010-02-25,34.31,35.5,34.22,35.34,2427200,0.0,0
2010-02-26,35.49,35.49,33.47,35.26,2250400,0.0,0
2010-03-01,35.59,35.93,35.3,35.44,1255800,0.0,0
2010-03-02,35.39,35.82,35.17,35.32,1701300,0.0,0
2010-03-03,35.4,35.84,35.32,35.55,846800,0.0,0
2010-03-04,35.66,35.87,35.39,35.61,2482900,0.0,0
2010-03-05,35.65,35.87,35.46,35.62,2223400,0.0,0
2010-03-08,35.19,35.84,35.13,35.25,1618000,0.0,0
