Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,20.37,20.62,20.3,20.44,6437200,0.0,0
2009-12-08,20.44,20.58,20.28,20.54,5084800,0.0,0
2009-12-09,20.58,20.79,20.52,20.79,5370700,0.0,0
2009-12-10,20.72,21.0,20.72,20.91,5161900,0.0,0
2009-12-11,20.96,21.21,20.89,21.19,4933200,0.0,0
2009-12-14,21.34,21.34,21.05,21.15,3242100,0.0,0
2009-12-15,21.12,21.19,20.91,21.11,3489300,0.0,0
2009-12-16,21.1,21.23,20.75,20.97,3821200,0.0,0
2009-12-17,21.01,21.01,20.68,20.74,5488700,0.0,0
2009-12-18,20.78,20.94,20.72,20.92,5245700,0.0,0
2009-12-21,20.93,21.06,20.87,20.89,3065600,0.0,0
2009-12-22,20.96,21.01,20.65,20.68,3091400,0.0,0
2009-12-23,20.71,20.8,20.55,20.61,3912300,0.0,0
2009-12-24,20.62,20.77,20.57,20.71,1326900,0.0,0
2009-12-28,20.7,20.8,20.62,20.7,2448600,0.0,0
2009-12-29,20.73,20.8,20.67,20.75,1789000,0.0,0
2009-12-30,20.69,20.86,20.63,20.85,2063800,0.0,0
2009-12-31,20.81,20.89,20.55,20.63,3235300,0.0,0
2010-01-04,20.7,20.78,20.54,20.58,5119300,0.0,0
2010-01-05,20.65,20.65,20.12,20.17,4948100,0.0,0
2010-01-06,20.23,20.56,20.16,20.45,5061700,0.0,0
2010-01-07,20.49,20.49,20.2,20.37,3481100,0.0,0
2010-01-08,20.38,20.38,20.18,20.32,3513800,0.0,0
2010-01-11,20.45,20.63,20.34,20.59,3609500,0.0,0
2010-01-12,20.57,20.7,20.43,20.46,4354600,0.0,0
2010-01-13,20.56,20.81,20.5,20.75,4961300,0.0,0
2010-01-14,20.73,20.75,20.6,20.7,2654200,0.0,0
2010-01-15,20.52,20.65,20.39,20.64,7412400,0.0,0
2010-01-19,20.67,20.83,20.49,20.83,4693100,0.0,0
2010-01-20,20.75,20.76,20.52,20.7,8748000,0.0,0
2010-01-21,20.73,20.88,20.44,20.52,4380800,0.0,0
2010-01-22,20.51,20.65,20.13,20.15,5910100,0.0,0
2010-01-25,20.3,20.38,20.08,20.31,4476600,0.0,0
2010-01-26,20.29,20.5,20.18,20.41,5362200,0.0,0
2010-01-27,20.38,20.57,19.88,20.37,9757100,0.0,0
2010-01-28,20.34,20.44,20.04,20.05,5068900,0.4375,0
2010-01-29,20.12,20.2,19.98,20.08,5421300,0.0,0
2010-02-01,20.13,20.17,19.92,20.08,3769100,0.0,0
2010-02-02,20.07,20.18,19.9,20.17,4712400,0.0,0
2010-02-03,20.08,20.17,19.98,20.08,3143100,0.0,0
2010-02-04,20.01,20.1,19.81,19.81,4895000,0.0,0
2010-02-05,19.81,19.91,19.64,19.89,7399800,0.0,0
2010-02-08,19.88,19.9,19.51,19.53,3802600,0.0,0
2010-02-09,19.63,19.83,19.55,19.63,4218000,0.0,0
2010-02-10,19.63,19.68,19.46,19.63,3165800,0.0,0
2010-02-11,19.57,19.69,19.36,19.65,3605200,0.0,0
2010-02-12,19.51,19.62,19.44,19.56,6222500,0.0,0
2010-02-16,19.78,20.03,19.46,20.0,3797300,0.0,0
2010-02-17,20.09,20.14,19.81,19.85,3320700,0.0,0
2010-02-18,19.81,20.0,19.81,19.96,2976400,0.0,0
2010-02-19,19.91,20.3,19.91,20.26,4247500,0.0,0
2010-02-22,20.34,20.39,20.21,20.29,3799400,0.0,0
2010-02-23,20.28,20.36,20.09,20.09,4049500,0.0,0
2010-02-24,20.1,20.22,19.91,20.16,3603200,0.0,0
2010-02-25,20.03,20.1,19.82,20.08,3895700,0.0,0
2010-02-26,20.12,20.13,19.92,19.93,3852100,0.0,0
2010-03-01,20.01,20.16,19.97,20.12,2971100,0.0,0
2010-03-02,20.2,20.31,20.09,20.22,3216800,0.0,0
2010-03-03,20.28,20.31,20.08,20.19,3455100,0.0,0
2010-03-04,20.19,20.28,20.08,20.26,3264100,0.0,0
2010-03-05,20.14,20.23,20.1,20.22,5062900,0.0,0
2010-03-08,20.39,20.39,20.22,20.3,3070100,0.0,0
2010-03-09,20.32,20.34,20.13,20.27,10894400,0.0,0
2010-03-10,20.28,20.36,20.17,20.3,3721100,0.0,0
2010-03-11,20.24,20.39,20.22,20.39,2547900,0.0,0
2010-03-12,20.4,20.42,20.24,20.38,3238000,0.0,0
