Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,49.27,49.83,47.94,48.41,3199600,0.0,0.0
2009-12-08,48.32,49.53,48.07,48.92,4596800,0.0,0.0
2009-12-09,48.93,49.68,48.52,49.18,4423900,0.0,0.0
2009-12-10,49.22,49.62,48.92,49.49,3862100,0.0,0.0
2009-12-11,49.6,50.34,49.31,50.28,3669500,0.0,0.0
2009-12-14,50.57,51.08,49.72,51.0,3854700,0.0,0.0
2009-12-15,50.54,51.01,50.25,50.32,2269600,0.0,0.0
2009-12-16,50.38,51.01,50.1,50.32,2975400,0.0,0.0
2009-12-17,50.02,50.46,49.6,50.25,3079000,0.0,0.0
2009-12-18,50.35,51.03,49.79,50.95,3846600,0.0,0.0
2009-12-21,51.03,52.12,51.01,52.01,2788300,0.0,0.0
2009-12-22,51.88,52.49,51.62,52.31,2921200,0.0,0.0
2009-12-23,52.34,53.94,52.07,53.17,2689900,0.0,0.0
2009-12-24,53.42,54.33,53.3,54.2,1198100,0.0,0.0
2009-12-28,54.31,54.91,54.04,54.4,2613100,0.0,0.0
2009-12-29,54.52,54.91,53.65,53.74,2761600,0.0,0.0
2009-12-30,53.61,53.79,52.8,53.37,2761400,0.0,0.0
2009-12-31,53.5,53.89,52.22,52.28,2619700,0.0,0.0
2010-01-04,52.73,53.16,51.39,51.7,3450400,0.0,0.0
2010-01-05,51.76,51.78,50.55,51.35,4342500,0.0,0.0
2010-01-06,51.18,51.89,50.55,50.77,3476200,0.0,0.0
2010-01-07,50.86,52.07,49.83,51.43,3986300,0.0,0.0
2010-01-08,51.26,51.3,49.44,50.2,4005800,0.0,0.0
2010-01-11,50.44,50.76,49.9,50.25,2662600,0.0,0.0
2010-01-12,49.92,50.19,48.97,49.26,4696600,0.0,0.0
2010-01-13,49.2,50.25,49.2,49.75,4540300,0.0,0.0
2010-01-14,49.54,50.15,49.15,49.98,2790200,0.0,0.0
2010-01-15,49.66,49.79,48.98,49.06,3910400,0.0,0.0
2010-01-19,48.98,50.27,48.67,50.22,4324700,0.0,0.0
2010-01-20,49.72,50.12,48.56,49.05,3554700,0.0,0.0
2010-01-21,49.08,49.41,47.36,47.5,4807000,0.0,0.0
2010-01-22,47.51,47.85,46.11,46.24,4963100,0.0,0.0
2010-01-25,46.79,47.58,45.96,47.23,3799300,0.0,0.0
2010-01-26,46.94,47.8,46.61,47.04,2804400,0.0,0.0
2010-01-27,47.08,47.47,46.32,47.43,4314100,0.0,0.0
2010-01-28,47.72,47.72,46.55,47.22,3146500,0.0,0.0
2010-01-29,47.36,48.25,46.73,47.17,4296200,0.0,0.0
2010-02-01,47.41,48.2,47.35,48.2,3030500,0.0,0.0
2010-02-02,48.36,48.9,47.63,48.79,3776700,0.0,0.0
2010-02-03,48.56,48.56,47.44,47.69,3140300,0.0,0.0
2010-02-04,47.49,47.49,45.47,45.5,5638100,0.0,0.0
2010-02-05,46.03,48.14,45.94,48.06,7971800,0.0,0.0
2010-02-08,47.79,47.99,46.16,46.33,5343100,0.0,0.0
2010-02-09,46.79,47.08,46.02,46.24,5293900,0.0,0.0
2010-02-10,46.17,46.75,45.25,46.03,3747700,0.0,0.0
2010-02-11,45.95,47.16,45.46,47.12,3888800,0.6,0.0
2010-02-12,46.65,47.7,46.28,47.6,4004000,0.0,0.0
2010-02-16,48.22,49.54,48.06,49.46,6032300,0.0,0.0
2010-02-17,49.48,50.67,49.44,50.14,5226100,0.0,0.0
2010-02-18,49.9,51.37,49.9,51.05,4296600,0.0,0.0
2010-02-19,50.87,51.51,50.44,51.38,4001200,0.0,0.0
2010-02-22,51.51,52.34,51.08,51.99,3667200,0.0,0.0
2010-02-23,51.61,51.96,51.0,51.51,4121900,0.0,0.0
2010-02-24,51.56,51.92,51.0,51.25,5580900,0.0,0.0
2010-02-25,51.04,51.92,50.37,51.9,3765100,0.0,0.0
2010-02-26,51.78,52.43,51.37,51.76,4256700,0.0,0.0
2010-03-01,52.16,52.29,51.58,51.83,2061400,0.0,0.0
2010-03-02,52.0,52.45,51.38,51.57,2288300,0.0,0.0
2010-03-03,51.53,51.61,50.99,51.21,1903300,0.0,0.0
2010-03-04,51.43,51.57,51.18,51.31,2385400,0.0,0.0
2010-03-05,51.53,52.77,51.37,52.51,3324900,0.0,0.0
2010-03-08,52.5,52.96,52.33,52.75,2351800,0.0,0.0
2010-03-09,52.57,53.78,52.24,53.43,3166200,0.0,0.0
2010-03-10,53.64,53.83,53.1,53.4,1944100,0.0,0.0
2010-03-11,53.22,53.52,52.91,53.51,2158400,0.0,0.0
2010-03-12,53.77,54.83,53.58,54.26,2783500,0.0,0.0
2010-03-15,54.0,54.62,53.55,54.13,2374100,0.0,0.0
