Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,25.64,26.35,25.64,26.26,2463800,0.0,0
2009-12-08,25.86,26.69,25.86,26.39,4644600,0.0,0
2009-12-09,26.49,26.6,26.18,26.55,3043800,0.0,0
2009-12-10,26.81,27.13,26.72,27.09,3248900,0.0,0
2009-12-11,27.25,28.37,27.25,28.08,6355300,0.0,0
2009-12-14,28.42,28.42,27.5,27.88,2663300,0.0,0
2009-12-15,27.63,27.93,27.62,27.86,3348200,0.0,0
2009-12-16,28.0,28.02,27.72,27.8,1915100,0.0,0
2009-12-17,27.49,28.06,27.26,27.73,2213900,0.0,0
2009-12-18,27.76,27.92,27.36,27.61,2892500,0.0,0
2009-12-21,27.57,28.13,27.29,27.41,2380000,0.0,0
2009-12-22,27.55,27.64,27.13,27.13,2151900,0.0,0
2009-12-23,27.28,27.51,27.06,27.51,1354000,0.0,0
2009-12-24,27.62,27.75,27.4,27.68,443700,0.0,0
2009-12-28,27.68,27.87,27.14,27.29,1010200,0.0,0
2009-12-29,27.31,27.35,27.02,27.07,1295400,0.0,0
2009-12-30,27.06,27.51,27.03,27.5,1102900,0.0,0
2009-12-31,27.57,27.64,27.02,27.02,626500,0.0,0
2010-01-04,27.35,27.35,26.92,27.1,1572200,0.0,0
2010-01-05,27.01,27.13,26.87,27.13,1443400,0.0,0
2010-01-06,26.93,27.1,26.77,26.89,1328300,0.0,0
2010-01-07,26.9,27.52,26.82,27.48,2010700,0.0,0
2010-01-08,27.37,27.47,27.1,27.38,1075400,0.0,0
2010-01-11,27.55,27.55,27.06,27.22,765000,0.0,0
2010-01-12,26.97,27.14,26.74,26.81,2621400,0.0,0
2010-01-13,26.87,27.19,26.68,26.92,2024900,0.0,0
2010-01-14,26.95,27.01,26.77,26.89,1706000,0.0,0
2010-01-15,26.88,27.18,26.64,26.8,1696900,0.0,0
2010-01-19,26.72,27.1,26.44,26.97,1912700,0.0,0
2010-01-20,26.69,27.22,26.65,27.16,1668300,0.0,0
2010-01-21,27.24,27.54,26.81,26.89,1454900,0.0,0
2010-01-22,26.79,27.04,26.63,26.82,2397200,0.0,0
2010-01-25,27.06,27.06,26.75,26.93,1825100,0.0,0
2010-01-26,26.93,27.92,26.35,27.6,2805500,0.0,0
2010-01-27,28.23,29.34,28.23,28.8,3966600,0.0,0
2010-01-28,28.76,29.57,28.49,28.68,3892300,0.0,0
2010-01-29,28.76,29.14,28.44,28.59,2731500,0.0,0
2010-02-01,28.74,29.02,28.47,28.58,1801400,0.0,0
2010-02-02,28.6,28.85,28.19,28.67,2077300,0.0,0
2010-02-03,28.53,28.89,28.43,28.67,1267700,0.0,0
2010-02-04,28.47,28.47,27.7,27.72,1633000,0.0,0
2010-02-05,27.73,27.9,27.02,27.6,2269100,0.0,0
2010-02-08,27.47,27.47,27.0,27.14,1965400,0.0,0
2010-02-09,27.46,27.68,27.1,27.43,2203000,0.0,0
2010-02-10,27.28,27.52,26.88,27.07,2310500,0.0,0
2010-02-11,27.05,27.58,26.81,27.47,1641000,0.0,0
2010-02-12,27.37,27.72,26.98,27.56,2102000,0.0,0
2010-02-16,27.68,27.89,27.48,27.82,1283300,0.0,0
2010-02-17,27.96,28.22,27.8,28.02,932400,0.0,0
2010-02-18,28.02,28.28,27.81,28.23,1102800,0.0,0
2010-02-19,28.18,28.6,27.89,28.49,1805400,0.0,0
2010-02-22,28.67,28.91,28.06,28.25,1531200,0.235,0
2010-02-23,28.15,28.32,27.8,27.85,1262900,0.0,0
2010-02-24,27.99,28.13,27.72,28.09,1716200,0.0,0
2010-02-25,27.51,27.75,27.26,27.74,2232100,0.0,0
2010-02-26,27.72,27.96,27.63,27.76,1158900,0.0,0
2010-03-01,27.74,28.01,27.63,27.86,1378800,0.0,0
2010-03-02,27.9,27.9,27.72,27.86,1214600,0.0,0
2010-03-03,27.89,27.9,27.63,27.84,1500200,0.0,0
2010-03-04,27.78,28.03,27.47,28.0,1419200,0.0,0
2010-03-05,28.14,28.69,28.14,28.64,1392000,0.0,0
2010-03-08,28.69,28.84,28.49,28.8,1347000,0.0,0
