Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,15.78,15.97,15.57,15.68,1742600,0.0,0
2009-12-08,15.6,15.62,15.21,15.28,2019000,0.0,0
2009-12-09,15.28,15.3,14.95,15.1,1621400,0.0,0
2009-12-10,15.13,15.28,14.83,14.94,2297100,0.0,0
2009-12-11,14.96,15.13,14.93,15.1,1559800,0.0,0
2009-12-14,15.27,15.27,15.13,15.2,1558100,0.0,0
2009-12-15,15.18,15.32,15.18,15.28,1045800,0.0,0
2009-12-16,14.8,14.93,14.2,14.28,6265500,0.0,0
2009-12-17,14.25,14.34,14.09,14.29,3185300,0.0,0
2009-12-18,14.3,14.58,14.28,14.51,4575700,0.0,0
2009-12-21,14.6,14.67,14.45,14.63,2195600,0.0,0
2009-12-22,14.69,14.92,14.54,14.88,1654600,0.0,0
2009-12-23,14.97,15.0,14.76,14.91,1009300,0.0,0
2009-12-24,14.92,15.06,14.91,15.05,349500,0.0,0
2009-12-28,15.01,15.17,14.99,15.17,730900,0.0,0
2009-12-29,15.16,15.24,15.1,15.1,888100,0.0,0
2009-12-30,15.11,15.13,14.96,15.11,626300,0.0,0
2009-12-31,15.1,15.2,15.05,15.06,843400,0.0,0
2010-01-04,15.14,15.28,15.02,15.24,1418700,0.0,0
2010-01-05,15.2,15.25,14.99,15.05,2431600,0.0,0
2010-01-06,15.07,15.28,14.86,15.25,2836900,0.0,0
2010-01-07,14.75,15.31,14.27,15.1,3870700,0.0,0
2010-01-08,15.01,15.01,14.7,14.8,2100300,0.0,0
2010-01-11,14.8,14.93,14.68,14.83,1536000,0.0,0
2010-01-12,14.77,14.89,14.67,14.79,1762900,0.0,0
2010-01-13,14.78,15.12,14.76,15.04,1518800,0.0,0
2010-01-14,15.1,15.58,15.1,15.44,2467000,0.0,0
2010-01-15,15.47,15.64,15.4,15.51,2384700,0.0,0
2010-01-19,15.48,15.92,15.48,15.9,2334600,0.0,0
2010-01-20,15.75,15.92,15.63,15.91,2655400,0.0,0
2010-01-21,15.8,16.11,15.8,15.87,2402300,0.0,0
2010-01-22,15.9,15.93,15.6,15.7,2110100,0.0,0
2010-01-25,15.88,15.88,15.56,15.7,1274300,0.0,0
2010-01-26,15.57,15.71,15.51,15.52,1001200,0.0,0
2010-01-27,15.5,15.58,15.18,15.45,1120600,0.0,0
2010-01-28,15.51,15.55,15.22,15.28,734700,0.0,0
2010-01-29,15.34,15.38,15.15,15.2,1461400,0.0,0
2010-02-01,15.29,15.4,15.19,15.34,991900,0.0,0
2010-02-02,15.39,15.52,15.24,15.49,829100,0.0,0
2010-02-03,15.46,15.52,15.3,15.42,685200,0.0,0
2010-02-04,15.28,15.31,14.57,14.6,1993900,0.0,0
2010-02-05,14.56,14.66,14.13,14.49,3211500,0.0,0
2010-02-08,14.53,14.53,14.06,14.11,2205700,0.0,0
2010-02-09,14.34,14.49,14.14,14.37,1509800,0.0,0
2010-02-10,14.34,14.41,14.09,14.3,1615800,0.0,0
2010-02-11,14.35,14.68,14.25,14.64,1351500,0.0,0
2010-02-12,14.54,14.74,14.44,14.52,1974200,0.0,0
2010-02-16,14.59,14.76,14.53,14.76,839500,0.0,0
2010-02-17,14.79,14.97,14.7,14.82,1360400,0.0,0
2010-02-18,14.76,14.93,14.71,14.74,1448000,0.0,0
2010-02-19,14.63,14.77,14.49,14.75,1589900,0.0,0
2010-02-22,14.76,14.82,14.62,14.68,958400,0.0,0
2010-02-23,14.61,14.61,14.21,14.39,2240000,0.0,0
2010-02-24,14.41,14.41,14.14,14.2,2710900,0.0,0
2010-02-25,14.04,14.09,13.8,14.02,4360100,0.0,0
2010-02-26,14.08,14.26,14.02,14.22,1611600,0.0,0
2010-03-01,14.32,14.42,14.24,14.42,1071100,0.0,0
2010-03-02,14.45,14.67,14.38,14.62,1365000,0.0,0
2010-03-03,14.6,14.8,14.58,14.59,1498400,0.0,0
2010-03-04,14.55,14.74,14.52,14.72,1096800,0.0,0
2010-03-05,14.79,14.98,14.73,14.94,1118700,0.0,0
2010-03-08,14.95,14.96,14.81,14.92,1596600,0.0,0
2010-03-09,14.85,15.05,14.81,14.94,1815500,0.0,0
2010-03-10,14.96,15.01,14.69,14.76,1849300,0.0,0
2010-03-11,14.7,14.96,14.69,14.96,1099400,0.0,0
2010-03-12,14.96,15.26,14.96,15.23,1627100,0.0,0
2010-03-15,15.18,15.34,15.09,15.25,1076600,0.0,0
2010-03-16,15.23,15.34,15.11,15.28,822600,0.0,0
2010-03-17,15.29,15.39,15.21,15.35,828400,0.0,0
2010-03-18,15.15,15.41,15.15,15.3,1519200,0.0,0
2010-03-19,15.12,15.42,15.09,15.12,1731400,0.0,0
2010-03-22,15.04,15.27,14.98,15.23,1286400,0.0,0
2010-03-23,15.2,15.49,15.15,15.47,1070200,0.0,0
2010-03-24,15.39,15.48,15.25,15.33,1045000,0.0,0
2010-03-25,15.45,15.49,15.28,15.29,1196500,0.0,0
2010-03-26,15.31,15.34,15.12,15.13,1117000,0.0,0
2010-03-29,15.18,15.45,15.17,15.42,987200,0.0,0
2010-03-30,15.46,15.66,15.46,15.52,957300,0.0,0
2010-03-31,15.49,15.65,15.39,15.54,1369700,0.0,0
2010-04-01,15.61,15.69,15.44,15.6,1212600,0.0,0
2010-04-05,15.61,15.8,15.53,15.76,823200,0.0,0
2010-04-06,15.82,16.08,15.69,16.07,1490000,0.0,0
2010-04-07,15.97,16.18,15.91,15.92,1657700,0.0,0
2010-04-08,15.93,16.07,15.85,15.93,2216200,0.0,0
2010-04-09,15.1,15.63,15.08,15.53,4917600,0.0,0
2010-04-12,15.57,16.29,15.39,16.21,3923200,0.0,0
2010-04-13,16.15,16.21,15.97,16.14,2339200,0.0,0
2010-04-14,16.12,16.31,16.04,16.31,2021700,0.0,0
2010-04-15,16.3,16.48,16.21,16.33,1765300,0.0,0
2010-04-16,16.26,16.37,15.95,16.09,2093000,0.0,0
2010-04-19,16.09,16.76,16.04,16.63,3283500,0.0,0
2010-04-20,16.68,17.44,16.65,17.21,4104700,0.0,0
2010-04-21,17.16,17.35,17.13,17.27,2681900,0.0,0
2010-04-22,17.0,17.31,16.84,17.31,2534500,0.0,0
2010-04-23,17.23,17.48,17.2,17.34,2101300,0.0,0
2010-04-26,17.23,17.46,17.23,17.4,2152200,0.0,0
2010-04-27,17.31,17.47,17.14,17.15,2286400,0.0,0
2010-04-28,17.23,17.3,17.02,17.19,1956600,0.0,0
2010-04-29,17.29,17.84,17.29,17.53,2295700,0.0,0
2010-04-30,17.49,17.64,17.27,17.27,2045300,0.0,0
2010-05-03,17.35,17.8,17.34,17.58,2147300,0.0,0
2010-05-04,17.43,17.52,17.27,17.31,2246300,0.0,0
2010-05-05,17.16,17.47,17.05,17.12,2293500,0.0,0
2010-05-06,17.1,17.34,15.79,16.72,3906100,0.0,0
2010-05-07,16.69,16.75,15.73,15.79,6050600,0.0,0
2010-05-10,16.63,16.72,16.21,16.46,4788100,0.0,0
2010-05-11,16.36,16.66,16.31,16.53,3575500,0.0,0
2010-05-12,17.17,17.32,16.93,17.12,2442600,0.0,0
2010-05-13,17.13,17.39,17.04,17.05,1786900,0.0,0
2010-05-14,16.99,17.16,16.79,16.83,3179700,0.0,0
2010-05-17,16.83,17.13,16.66,16.89,2564500,0.0,0
2010-05-18,17.02,17.24,16.77,16.78,1850800,0.0,0
2010-05-19,16.71,16.76,16.3,16.41,3080000,0.0,0
2010-05-20,16.19,16.19,15.49,15.53,3884800,0.0,0
2010-05-21,15.18,15.48,14.97,15.41,5574500,0.0,0
2010-05-24,15.35,15.61,15.28,15.44,3091700,0.0,0
2010-05-25,15.05,15.11,14.65,14.93,4569400,0.0,0
2010-05-26,15.05,15.44,15.05,15.2,3058300,0.0,0
2010-05-27,15.44,15.79,15.43,15.79,1801000,0.0,0
2010-05-28,15.74,15.86,15.62,15.75,1617700,0.0,0
2010-06-01,15.58,15.62,15.24,15.24,2317800,0.0,0
2010-06-02,15.27,15.53,15.23,15.52,2308500,0.0,0
2010-06-03,15.55,15.68,15.42,15.55,1834000,0.0,0
2010-06-04,15.21,15.38,14.93,14.99,3053500,0.0,0
2010-06-07,14.97,15.4,14.89,14.89,3832900,0.0,0
2010-06-08,14.84,15.17,14.79,15.12,3180700,0.0,0
2010-06-09,15.22,15.5,15.11,15.16,1903500,0.0,0
2010-06-10,15.34,15.53,15.29,15.52,2071100,0.0,0
2010-06-11,15.7,15.96,15.45,15.94,2009500,0.0,0
2010-06-14,15.97,16.18,15.97,16.01,1553700,0.0,0
2010-06-15,16.09,16.1,15.84,15.87,2510200,0.0,0
2010-06-16,15.73,15.82,15.65,15.73,2048700,0.0,0
2010-06-17,15.73,15.73,15.36,15.47,2525900,0.0,0
2010-06-18,15.45,15.55,15.37,15.41,2942300,0.0,0
2010-06-21,15.56,15.72,15.36,15.43,1557900,0.0,0
2010-06-22,15.52,15.63,15.31,15.34,1851600,0.0,0
2010-06-23,15.32,15.4,15.02,15.33,2492900,0.0,0
2010-06-24,15.28,15.34,15.11,15.18,1895200,0.0,0
2010-06-25,15.24,15.35,15.1,15.13,3773500,0.0,0
2010-06-28,15.1,15.27,15.04,15.08,2011200,0.0,0
2010-06-29,14.91,14.91,14.48,14.59,3072800,0.0,0
2010-06-30,14.49,14.98,14.43,14.76,4561700,0.0,0
2010-07-01,14.79,15.09,14.15,14.7,5307200,0.0,0
2010-07-02,14.72,14.85,14.42,14.55,2555400,0.0,0
2010-07-06,14.7,14.91,14.54,14.75,3170900,0.0,0
2010-07-07,14.71,15.18,14.71,15.16,2155800,0.0,0
2010-07-08,15.25,15.34,14.95,15.17,1970000,0.0,0
2010-07-09,15.19,15.19,15.01,15.19,1495300,0.0,0
2010-07-12,15.13,15.27,15.1,15.19,887500,0.0,0
2010-07-13,15.31,15.5,15.27,15.46,1450100,0.0,0
2010-07-14,15.41,15.54,15.32,15.47,963900,0.0,0
2010-07-15,15.45,15.62,15.27,15.57,1518000,0.0,0
2010-07-16,15.49,15.55,15.31,15.45,2399500,0.0,0
2010-07-19,15.5,15.62,15.41,15.62,2163300,0.0,0
2010-07-20,15.43,15.82,15.4,15.81,1495900,0.0,0
2010-07-21,15.9,15.9,15.47,15.62,1428800,0.0,0
2010-07-22,15.8,15.98,15.72,15.95,1208700,0.0,0
2010-07-23,15.94,16.13,15.88,16.13,1082100,0.0,0
2010-07-26,16.12,16.28,16.02,16.27,1617600,0.0,0
2010-07-27,16.04,16.37,16.04,16.36,1456200,0.0,0
2010-07-28,16.35,16.35,16.07,16.14,899100,0.0,0
2010-07-29,16.22,16.23,15.88,16.14,1093100,0.0,0
2010-07-30,15.96,16.2,15.83,16.13,1222300,0.0,0
2010-08-02,16.31,16.48,16.3,16.47,1078800,0.0,0
2010-08-03,16.37,16.46,16.24,16.37,775300,0.0,0
2010-08-04,16.38,16.6,16.35,16.59,1038100,0.0,0
2010-08-05,16.52,16.52,16.27,16.36,896100,0.0,0
2010-08-06,16.22,16.31,15.97,16.31,1054100,0.0,0
2010-08-09,16.32,16.43,16.28,16.42,846800,0.0,0
2010-08-10,16.27,16.47,16.14,16.41,748900,0.0,0
2010-08-11,16.15,16.17,15.93,15.97,914100,0.0,0
2010-08-12,15.79,16.01,15.7,15.98,1037400,0.0,0
2010-08-13,15.88,16.03,15.79,15.79,828900,0.0,0
2010-08-16,15.71,15.71,15.5,15.59,1141600,0.0,0
2010-08-17,15.66,16.04,15.64,15.95,813500,0.0,0
