Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,39.67,39.73,39.05,39.21,1463200,0.0,0
2009-12-08,39.02,39.63,38.57,39.4,2121600,0.0,0
2009-12-09,39.32,39.72,39.08,39.64,1454300,0.0,0
2009-12-10,39.88,40.08,39.62,39.87,1267600,0.0,0
2009-12-11,39.96,40.02,39.17,39.73,1597500,0.0,0
2009-12-14,39.98,40.03,39.71,39.92,907300,0.0,0
2009-12-15,39.67,40.42,39.65,40.3,1410300,0.0,0
2009-12-16,40.28,42.29,40.28,41.9,4620700,0.0,0
2009-12-17,41.63,41.63,40.78,40.87,2453000,0.0,0
2009-12-18,41.22,41.26,40.44,40.77,1361500,0.0,0
2009-12-21,41.0,41.21,40.81,41.1,2307400,0.0,0
2009-12-22,41.14,42.21,41.09,42.11,2497800,0.0,0
2009-12-23,42.17,42.87,42.02,42.55,3176900,0.0,0
2009-12-24,42.8,42.82,42.44,42.7,426500,0.0,0
2009-12-28,42.84,42.93,42.1,42.4,1041700,0.0,0
2009-12-29,42.51,42.61,41.67,41.88,4150600,0.0,0
2009-12-30,41.71,42.07,41.49,41.89,1231200,0.0,0
2009-12-31,41.98,41.98,41.3,41.4,1379400,0.0,0
2010-01-04,41.58,42.59,41.49,42.36,2033000,0.0,0
2010-01-05,42.27,43.04,41.93,42.98,2474100,0.0,0
2010-01-06,42.94,44.13,42.81,44.06,3035800,0.0,0
2010-01-07,43.9,45.87,43.82,45.61,4276400,0.0,0
2010-01-08,45.36,46.36,45.36,46.15,1441400,0.0,0
2010-01-11,46.27,46.36,45.43,45.87,1595300,0.0,0
2010-01-12,45.58,45.62,44.85,45.15,1208500,0.0,0
2010-01-13,45.34,45.77,45.01,45.58,1129300,0.0,0
2010-01-14,45.45,45.52,44.95,45.45,1430500,0.0,0
2010-01-15,45.37,45.53,44.56,44.8,1661200,0.0,0
2010-01-19,44.78,45.44,44.75,45.25,1349800,0.0,0
2010-01-20,44.8,44.85,44.2,44.64,1396300,0.0,0
2010-01-21,44.59,44.63,43.53,43.54,1973500,0.0,0
2010-01-22,43.42,43.62,42.76,42.86,1363500,0.0,0
2010-01-25,43.25,43.43,42.97,43.25,1522400,0.0,0
2010-01-26,42.9,43.6,42.72,42.84,1608600,0.0,0
2010-01-27,42.54,42.87,41.42,42.17,3563600,0.0,0
2010-01-28,42.29,42.5,41.28,41.3,1948400,0.0,0
2010-01-29,41.62,41.91,40.99,41.19,2658100,0.0,0
2010-02-01,41.45,42.06,41.16,41.98,1360400,0.0,0
2010-02-02,42.0,43.69,41.95,43.6,2981100,0.0,0
2010-02-03,44.06,46.1,43.95,45.28,5723900,0.0,0
2010-02-04,44.85,45.01,43.87,43.91,2338100,0.0,0
2010-02-05,43.86,43.99,42.4,43.74,2440400,0.0,0
2010-02-08,43.8,43.8,42.98,43.02,1676900,0.0,0
2010-02-09,43.63,43.87,42.97,43.58,1586900,0.0,0
2010-02-10,43.64,43.72,42.9,43.21,1067700,0.0,0
2010-02-11,43.14,43.69,42.8,43.49,1460600,0.0,0
2010-02-12,43.28,43.66,42.81,43.63,2179600,0.0,0
2010-02-16,44.03,44.11,43.5,44.1,1504500,0.0,0
2010-02-17,44.27,45.0,44.02,44.88,1310000,0.0,0
2010-02-18,44.91,45.49,44.62,45.3,2861700,0.0,0
2010-02-19,45.14,45.33,44.8,44.94,1126700,0.0,0
2010-02-22,44.99,45.21,44.66,45.18,1579100,0.0,0
2010-02-23,45.04,45.22,44.08,44.4,1138200,0.0,0
2010-02-24,44.41,45.2,44.15,45.12,1374200,0.0,0
2010-02-25,44.32,45.08,44.03,45.01,1230200,0.0,0
2010-02-26,45.17,46.21,45.04,46.01,2616600,0.0,0
2010-03-01,46.17,47.77,45.96,47.74,2434600,0.33,0
2010-03-02,47.86,48.42,47.37,47.51,1822600,0.0,0
2010-03-03,47.76,48.0,47.29,47.52,699100,0.0,0
2010-03-04,47.57,47.66,46.98,47.24,2478400,0.0,0
2010-03-05,47.6,48.1,47.24,47.76,2008300,0.0,0
2010-03-08,47.9,47.9,47.4,47.75,930200,0.0,0
2010-03-09,47.59,48.17,47.38,47.91,1023900,0.0,0
2010-03-10,47.84,48.1,47.39,48.0,980700,0.0,0
2010-03-11,47.81,47.86,47.26,47.55,1556400,0.0,0
2010-03-12,47.93,47.93,46.23,46.77,5307900,0.0,0
2010-03-15,47.01,47.28,45.67,46.58,3164200,0.0,0
2010-03-16,46.7,47.29,46.56,46.69,1578600,0.0,0
2010-03-17,46.83,47.41,46.83,47.24,1957600,0.0,0
2010-03-18,47.48,47.64,47.21,47.33,1536600,0.0,0
2010-03-19,46.94,47.97,46.91,46.94,2280600,0.0,0
2010-03-22,46.78,47.74,46.78,47.69,1469900,0.0,0
2010-03-23,47.85,48.48,47.69,48.42,3117300,0.0,0
2010-03-24,48.48,48.48,47.67,47.77,1359600,0.0,0
2010-03-25,48.14,48.14,46.81,46.82,1605800,0.0,0
2010-03-26,47.13,47.52,46.92,47.38,1872600,0.0,0
2010-03-29,47.73,48.04,47.0,47.16,1505600,0.0,0
2010-03-30,47.08,47.34,46.88,47.06,855100,0.0,0
2010-03-31,46.97,47.09,46.32,46.41,1268100,0.0,0
2010-04-01,46.73,47.09,46.45,46.88,1323400,0.0,0
2010-04-05,47.09,47.89,47.05,47.88,1313800,0.0,0
2010-04-06,47.64,48.3,47.53,48.27,969800,0.0,0
2010-04-07,48.19,48.25,47.67,47.99,1587900,0.0,0
2010-04-08,47.89,48.07,47.63,47.89,1233700,0.0,0
2010-04-09,48.1,49.09,48.05,48.84,2001300,0.0,0
2010-04-12,49.04,49.31,48.77,48.8,1327300,0.0,0
2010-04-13,48.78,49.51,48.58,49.37,1641400,0.0,0
2010-04-14,49.53,50.13,49.11,50.04,1687500,0.0,0
2010-04-15,49.88,50.2,49.41,49.49,1504500,0.0,0
2010-04-16,49.32,49.93,48.25,48.87,1784300,0.0,0
2010-04-19,48.86,49.19,48.18,48.88,967400,0.0,0
2010-04-20,49.28,50.02,49.28,49.91,2622100,0.0,0
2010-04-21,50.04,50.16,49.71,50.14,1503100,0.0,0
2010-04-22,49.82,50.93,49.3,50.93,1274400,0.0,0
2010-04-23,50.88,51.41,50.17,50.8,1650800,0.0,0
2010-04-26,51.03,51.85,50.86,51.17,2442900,0.0,0
2010-04-27,52.3,53.57,51.67,52.02,5054400,0.0,0
2010-04-28,52.04,52.61,51.33,52.22,3908300,0.0,0
2010-04-29,52.71,52.95,52.32,52.6,1884800,0.0,0
2010-04-30,52.53,52.53,50.22,50.24,3026100,0.0,0
2010-05-03,50.72,51.37,50.28,51.18,2377200,0.0,0
2010-05-04,50.47,50.53,49.33,49.66,2004300,0.0,0
2010-05-05,49.32,49.65,48.31,48.51,2064800,0.0,0
2010-05-06,48.26,49.29,45.06,47.22,3211800,0.0,0
2010-05-07,46.96,47.81,45.23,45.36,3467400,0.0,0
2010-05-10,48.25,49.53,47.72,49.49,3433200,0.0,0
2010-05-11,48.8,50.8,48.75,49.67,2812300,0.0,0
2010-05-12,50.02,51.03,49.9,50.61,2253900,0.0,0
2010-05-13,50.57,51.54,49.87,49.92,2886900,0.0,0
2010-05-14,49.62,49.71,48.23,48.77,1992300,0.0,0
2010-05-17,48.99,49.11,47.42,48.59,1716100,0.0,0
2010-05-18,49.28,49.69,47.58,47.72,2595700,0.0,0
2010-05-19,47.39,47.85,45.96,46.62,3155100,0.0,0
2010-05-20,45.51,45.54,43.18,43.83,4316400,0.0,0
2010-05-21,42.89,44.94,42.74,44.77,4374900,0.0,0
2010-05-24,44.77,44.82,43.94,44.05,2061200,0.0,0
2010-05-25,42.68,44.43,42.05,44.36,3242100,0.0,0
2010-05-26,44.64,45.63,44.01,44.33,2035100,0.0,0
2010-05-27,45.19,46.2,45.19,46.15,2302000,0.0,0
2010-05-28,46.16,46.16,44.91,45.36,1665900,0.33,0
2010-06-01,45.08,46.03,44.59,44.63,2122900,0.0,0
2010-06-02,44.77,46.6,44.52,46.55,2313700,0.0,0
2010-06-03,46.81,47.58,46.23,46.84,1621800,0.0,0
2010-06-04,45.99,46.15,44.59,44.77,3412300,0.0,0
2010-06-07,44.77,44.99,43.12,43.33,2448100,0.0,0
2010-06-08,43.5,44.16,43.15,44.02,1648100,0.0,0
2010-06-09,44.31,44.79,42.74,42.99,3126000,0.0,0
2010-06-10,43.88,44.15,43.42,43.97,3843800,0.0,0
2010-06-11,43.5,44.92,43.38,44.68,1479300,0.0,0
2010-06-14,45.21,45.98,44.81,44.97,1519400,0.0,0
2010-06-15,45.08,46.68,45.06,46.59,2095500,0.0,0
2010-06-16,46.07,46.46,45.69,46.2,1284100,0.0,0
2010-06-17,46.38,46.46,44.89,45.23,2104700,0.0,0
2010-06-18,45.42,45.76,45.04,45.52,1834000,0.0,0
2010-06-21,46.43,46.43,44.68,44.94,1718500,0.0,0
2010-06-22,44.54,45.12,42.46,42.5,3616500,0.0,0
2010-06-23,42.35,42.77,41.25,42.42,4517500,0.0,0
2010-06-24,42.31,43.0,41.72,42.41,2235800,0.0,0
2010-06-25,42.52,42.6,41.55,42.33,2211700,0.0,0
2010-06-28,42.25,42.71,41.9,42.07,1274700,0.0,0
2010-06-29,41.75,41.75,40.38,40.99,3489600,0.0,0
2010-06-30,40.9,41.6,40.57,41.07,2882600,0.0,0
2010-07-01,40.93,41.15,39.64,40.75,3223300,0.0,0
2010-07-02,40.77,41.03,40.08,40.31,1528400,0.0,0
2010-07-06,40.7,41.26,39.85,40.34,1966900,0.0,0
2010-07-07,40.36,42.09,40.36,42.08,1707000,0.0,0
2010-07-08,42.6,42.64,41.12,41.79,2091000,0.0,0
2010-07-09,41.76,42.41,41.66,42.36,845100,0.0,0
2010-07-12,42.13,42.6,42.03,42.5,1319500,0.0,0
2010-07-13,43.09,44.19,42.79,43.93,1638000,0.0,0
2010-07-14,43.67,43.9,43.2,43.68,1056700,0.0,0
2010-07-15,43.63,43.63,42.25,43.09,2698000,0.0,0
2010-07-16,42.8,43.19,41.28,41.51,2086400,0.0,0
2010-07-19,41.67,42.22,41.46,42.06,1189900,0.0,0
2010-07-20,41.38,42.81,41.27,42.78,2439300,0.0,0
2010-07-21,45.04,45.53,42.93,43.6,4661100,0.0,0
2010-07-22,44.16,45.75,43.95,45.73,3449600,0.0,0
2010-07-23,45.63,47.1,45.13,46.63,2931000,0.0,0
2010-07-26,46.73,47.56,46.49,47.42,1813700,0.0,0
2010-07-27,47.51,47.65,46.04,46.19,1311800,0.0,0
2010-07-28,46.03,46.35,45.27,45.67,1349500,0.0,0
2010-07-29,46.03,46.81,45.93,46.53,2388000,0.0,0
2010-07-30,44.47,47.41,44.47,47.17,2357800,0.0,0
2010-08-02,48.01,48.16,47.5,48.01,2043000,0.0,0
2010-08-03,47.6,47.95,47.33,47.55,1234900,0.0,0
2010-08-04,47.64,48.29,47.46,47.56,1870600,0.0,0
2010-08-05,47.28,47.43,46.94,47.11,1214600,0.0,0
2010-08-06,46.51,47.39,46.35,47.06,1390500,0.0,0
2010-08-09,47.38,47.62,47.0,47.21,1276000,0.0,0
2010-08-10,46.62,47.29,46.21,46.94,1330600,0.0,0
2010-08-11,46.12,46.17,44.66,44.92,2436200,0.0,0
2010-08-12,44.16,44.71,44.03,44.57,1313200,0.0,0
2010-08-13,44.41,45.13,44.16,44.66,1238600,0.0,0
2010-08-16,44.28,44.96,44.0,44.81,1097700,0.0,0
2010-08-17,44.55,46.56,44.55,46.45,1761500,0.0,0
2010-08-18,46.46,46.59,45.9,46.45,1108000,0.0,0
2010-08-19,46.21,46.24,44.69,44.87,1163200,0.0,0
2010-08-20,44.42,44.9,44.31,44.76,1096700,0.0,0
2010-08-23,45.07,45.26,44.21,44.32,660800,0.0,0
2010-08-24,43.64,43.9,42.64,43.41,1512000,0.0,0
2010-08-25,43.0,43.79,42.54,43.63,1315000,0.0,0
2010-08-26,43.71,44.35,43.16,43.18,1458400,0.0,0
2010-08-27,43.55,44.35,42.93,44.32,916300,0.0,0
2010-08-30,44.2,44.54,43.42,43.44,673700,0.0,0
2010-08-31,43.3,43.94,42.89,43.61,1507400,0.0,0
2010-09-01,44.47,46.43,44.31,46.43,2453600,0.34,0
2010-09-02,46.71,47.21,46.61,46.92,1493200,0.0,0
2010-09-03,47.37,48.24,47.37,47.59,1376600,0.0,0
2010-09-07,47.22,47.47,46.88,47.01,818800,0.0,0
2010-09-08,47.05,48.01,47.05,47.93,1257600,0.0,0
2010-09-09,48.65,48.8,47.96,48.24,1476300,0.0,0
2010-09-10,48.44,48.94,48.27,48.51,1582000,0.0,0
2010-09-13,48.91,49.88,48.81,49.76,1705500,0.0,0
2010-09-14,49.51,50.0,49.36,49.89,1901700,0.0,0
2010-09-15,49.75,49.78,49.18,49.5,1495800,0.0,0
2010-09-16,48.95,49.64,48.19,48.52,2245800,0.0,0
2010-09-17,48.64,48.85,48.27,48.76,2109800,0.0,0
2010-09-20,48.81,49.76,48.59,49.63,1205700,0.0,0
2010-09-21,49.54,49.91,49.26,49.45,1518600,0.0,0
2010-09-22,49.57,49.71,48.83,49.12,1053300,0.0,0
2010-09-23,48.72,48.93,47.74,47.87,1299600,0.0,0
2010-09-24,48.57,49.76,48.45,49.51,1409200,0.0,0
2010-09-27,49.25,49.39,48.82,49.07,1454100,0.0,0
2010-09-28,49.08,50.23,48.78,50.1,1409300,0.0,0
2010-09-29,49.74,50.06,49.48,49.71,865400,0.0,0
2010-09-30,50.12,50.53,49.54,50.14,1663000,0.0,0
2010-10-01,50.69,51.01,50.13,50.75,1509600,0.0,0
2010-10-04,50.47,51.29,50.09,50.7,1292400,0.0,0
2010-10-05,50.91,51.74,50.9,51.25,1760300,0.0,0
2010-10-06,51.24,51.46,50.48,50.84,1356300,0.0,0
2010-10-07,51.07,51.16,50.01,50.65,1045700,0.0,0
2010-10-08,50.82,51.47,50.57,51.3,1273500,0.0,0
2010-10-11,51.35,51.5,51.13,51.33,783100,0.0,0
2010-10-12,51.26,51.7,50.68,51.52,800300,0.0,0
2010-10-13,51.79,52.54,51.58,52.18,1550000,0.0,0
2010-10-14,52.15,52.16,51.29,51.54,1394900,0.0,0
2010-10-15,51.76,52.1,50.08,50.84,2154700,0.0,0
2010-10-18,51.01,52.28,51.01,51.99,1834700,0.0,0
2010-10-19,51.21,52.1,50.89,51.02,1864200,0.0,0
2010-10-20,51.43,51.72,49.71,50.17,4748600,0.0,0
2010-10-21,50.48,50.59,48.79,49.21,3346700,0.0,0
2010-10-22,49.26,50.12,49.21,50.0,2235500,0.0,0
2010-10-25,50.48,50.97,49.63,49.75,1234600,0.0,0
2010-10-26,49.5,50.03,49.09,49.14,1083200,0.0,0
2010-10-27,48.76,49.16,48.18,49.13,1166800,0.0,0
2010-10-28,49.51,49.94,49.27,49.81,1696900,0.0,0
2010-10-29,49.86,50.76,49.86,50.71,2617300,0.0,0
2010-11-01,49.54,50.32,49.28,50.09,3861600,0.0,0
2010-11-02,50.75,51.02,50.1,50.38,4840600,0.0,0
2010-11-03,50.4,50.61,49.73,50.57,2252900,0.0,0
2010-11-04,51.15,51.85,50.94,51.38,2212800,0.0,0
2010-11-05,51.48,51.63,51.16,51.56,1801000,0.0,0
2010-11-08,50.99,51.5,50.91,51.38,1187800,0.0,0
2010-11-09,51.7,51.7,50.34,50.62,1397900,0.0,0
2010-11-10,50.67,51.0,50.55,50.71,2030200,0.0,0
2010-11-11,50.3,50.89,50.08,50.62,1553800,0.0,0
2010-11-12,50.15,50.69,49.55,49.81,949400,0.0,0
2010-11-15,50.11,50.41,49.54,49.67,1410700,0.0,0
2010-11-16,49.39,49.77,48.27,48.68,2086200,0.0,0
2010-11-17,48.68,49.29,48.52,48.76,1300300,0.0,0
2010-11-18,49.22,49.42,48.89,49.02,1459300,0.0,0
2010-11-19,49.14,49.16,48.49,48.79,1325400,0.0,0
2010-11-22,48.53,48.98,48.24,48.76,1244500,0.0,0
2010-11-23,48.06,48.3,47.74,48.04,1726800,0.0,0
2010-11-24,48.53,49.84,48.43,49.84,1911900,0.0,0
2010-11-26,49.4,49.65,49.01,49.46,374300,0.0,0
2010-11-29,48.96,49.52,48.13,49.37,926300,0.0,0
2010-11-30,48.77,49.04,48.45,48.71,2209900,0.0,0
2010-12-01,49.52,50.43,49.28,49.74,2896700,0.34,0
2010-12-02,49.87,51.65,49.86,51.36,4701000,0.0,0
2010-12-03,51.05,51.44,50.84,51.33,1527600,0.0,0
2010-12-06,51.08,51.39,50.81,51.19,1169800,0.0,0
2010-12-07,51.8,52.25,51.57,51.97,2294400,0.0,0
2010-12-08,51.94,52.3,51.58,52.14,1665200,0.0,0
2010-12-09,52.52,52.72,52.15,52.48,1701900,0.0,0
2010-12-10,52.51,53.28,52.27,52.9,2623100,0.0,0
2010-12-13,52.94,53.09,52.27,52.35,1759400,0.0,0
2010-12-14,52.55,53.04,52.51,52.81,1593800,0.0,0
2010-12-15,52.77,53.11,52.31,52.39,3353700,0.0,0
2010-12-16,52.27,52.59,51.84,52.03,1811900,0.0,0
2010-12-17,51.48,52.33,51.36,52.15,2051300,0.0,0
2010-12-20,52.77,54.19,52.57,53.98,2707300,0.0,0
2010-12-21,54.12,54.83,53.96,54.64,1604700,0.0,0
2010-12-22,54.74,55.28,54.57,55.28,1391600,0.0,0
2010-12-23,55.15,55.65,55.07,55.19,1293300,0.0,0
2010-12-27,55.13,55.71,54.89,55.37,998800,0.0,0
2010-12-28,55.4,55.42,54.94,55.27,849900,0.0,0
2010-12-29,55.36,55.71,55.15,55.26,987900,0.0,0
2010-12-30,55.21,55.55,55.17,55.26,797600,0.0,0
2010-12-31,55.19,55.43,54.89,55.03,888400,0.0,0
2011-01-03,55.46,56.15,55.21,56.02,1095700,0.0,0
2011-01-04,56.08,56.08,55.28,55.8,1140200,0.0,0
2011-01-05,55.27,56.2,54.95,55.35,1465100,0.0,0
2011-01-06,55.49,55.64,54.64,54.75,1156600,0.0,0
2011-01-07,54.62,55.33,53.79,53.9,1646700,0.0,0
2011-01-10,53.7,54.3,53.35,54.11,1134600,0.0,0
2011-01-11,54.42,56.07,54.31,55.77,1649800,0.0,0
2011-01-12,56.02,56.21,55.6,55.98,1281500,0.0,0
2011-01-13,56.0,56.34,55.6,55.9,869800,0.0,0
2011-01-14,55.7,56.36,55.37,56.08,979300,0.0,0
2011-01-18,56.06,56.18,55.7,56.04,896600,0.0,0
2011-01-19,55.94,56.09,54.11,54.28,1845200,0.0,0
2011-01-20,54.24,54.59,53.62,54.24,1586400,0.0,0
2011-01-21,54.77,55.73,54.62,54.69,1734000,0.0,0
2011-01-24,54.67,54.67,53.84,54.37,1652900,0.0,0
2011-01-25,54.29,55.13,53.97,54.63,1046500,0.0,0
2011-01-26,54.86,56.28,54.58,55.09,1832100,0.0,0
2011-01-27,57.05,60.48,56.44,59.76,6772600,0.0,0
2011-01-28,59.0,59.92,59.0,59.84,3074800,0.0,0
2011-01-31,59.23,60.16,58.95,59.81,2198100,0.0,0
2011-02-01,60.11,60.73,59.88,59.97,1336900,0.0,0
2011-02-02,59.92,60.46,59.53,59.94,1171300,0.0,0
2011-02-03,59.93,60.17,59.11,59.19,1669600,0.0,0
2011-02-04,59.37,59.74,58.97,59.68,973800,0.0,0
2011-02-07,59.91,60.25,59.62,60.0,2500000,0.0,0
2011-02-08,59.88,60.43,59.69,60.4,1328100,0.0,0
2011-02-09,60.06,60.38,59.66,59.94,989700,0.0,0
2011-02-10,59.69,60.48,59.67,60.34,906700,0.0,0
2011-02-11,60.16,61.02,59.65,60.97,924400,0.0,0
2011-02-14,60.33,60.94,60.24,60.47,876200,0.0,0
2011-02-15,60.15,60.38,59.88,60.28,1187400,0.0,0
2011-02-16,60.72,61.2,60.5,60.84,1027200,0.0,0
2011-02-17,60.96,61.72,60.81,61.68,1004200,0.0,0
2011-02-18,61.9,63.2,61.84,62.62,1820800,0.0,0
2011-02-22,62.09,62.45,60.9,61.02,1457600,0.0,0
2011-02-23,60.67,61.1,58.86,59.7,1968300,0.0,0
2011-02-24,59.86,61.19,59.37,61.09,2399900,0.0,0
2011-02-25,61.44,62.25,61.15,61.81,1887400,0.0,0
2011-02-28,62.39,62.99,62.31,62.74,1415400,0.41,0
2011-03-01,62.89,63.26,61.34,61.53,1065600,0.0,0
2011-03-02,61.46,62.14,61.3,61.65,1355900,0.0,0
2011-03-03,62.06,62.84,62.05,62.63,1809000,0.0,0
2011-03-04,62.85,63.51,61.84,62.77,1566400,0.0,0
2011-03-07,62.89,63.59,61.74,62.01,2005300,0.0,0
2011-03-08,62.01,63.94,62.01,63.89,1670300,0.0,0
2011-03-09,63.63,64.03,63.06,63.61,1088400,0.0,0
2011-03-10,62.89,63.09,62.07,62.36,1251200,0.0,0
2011-03-11,61.83,62.72,61.65,62.51,1178400,0.0,0
2011-03-14,62.14,62.42,61.07,62.06,1357500,0.0,0
2011-03-15,60.38,61.8,59.93,61.42,1414600,0.0,0
2011-03-16,61.32,61.8,59.76,60.16,1644800,0.0,0
2011-03-17,61.14,61.59,60.55,60.78,1230500,0.0,0
2011-03-18,61.61,61.85,61.31,61.62,1916700,0.0,0
2011-03-21,62.47,63.26,62.21,62.51,1083900,0.0,0
2011-03-22,62.56,62.57,61.84,61.9,955300,0.0,0
2011-03-23,61.75,62.66,61.45,62.36,911300,0.0,0
2011-03-24,62.99,62.99,62.12,62.8,1111600,0.0,0
2011-03-25,63.06,64.08,62.88,63.57,1502600,0.0,0
2011-03-28,63.61,63.75,62.74,62.77,985400,0.0,0
2011-03-29,62.79,63.52,62.21,63.52,921300,0.0,0
2011-03-30,63.94,63.97,63.48,63.55,1357900,0.0,0
2011-03-31,63.46,63.65,62.93,63.38,1163200,0.0,0
2011-04-01,63.99,64.1,63.23,63.45,1204700,0.0,0
2011-04-04,63.45,63.57,62.26,62.6,1376300,0.0,0
2011-04-05,62.34,62.97,61.99,62.4,1265000,0.0,0
2011-04-06,62.6,63.03,62.11,62.44,888800,0.0,0
2011-04-07,62.41,62.84,62.07,62.55,968400,0.0,0
2011-04-08,62.96,62.97,61.61,61.82,1463200,0.0,0
2011-04-11,61.93,62.26,61.55,61.93,1070100,0.0,0
2011-04-12,61.44,61.82,60.66,61.2,1614000,0.0,0
2011-04-13,61.6,62.31,61.57,61.97,2178700,0.0,0
2011-04-14,61.56,62.88,61.52,62.79,1411200,0.0,0
2011-04-15,62.92,64.04,62.79,63.75,2115300,0.0,0
2011-04-18,62.98,63.14,62.03,62.58,2030200,0.0,0
2011-04-19,62.72,63.18,62.55,62.89,1613800,0.0,0
2011-04-20,63.65,63.88,62.93,63.38,1612900,0.0,0
2011-04-21,63.6,63.94,63.31,63.54,1041600,0.0,0
2011-04-25,63.46,63.54,62.89,63.38,929500,0.0,0
2011-04-26,63.51,64.7,63.33,63.95,2500000,0.0,0
2011-04-27,62.72,62.86,60.76,62.32,5257700,0.0,0
2011-04-28,62.38,62.73,61.52,61.69,2061300,0.0,0
2011-04-29,61.67,61.88,59.63,60.11,3800000,0.0,0
2011-05-02,60.49,60.52,59.91,60.11,1931400,0.0,0
2011-05-03,60.05,60.27,58.85,59.26,2284300,0.0,0
2011-05-04,59.42,60.24,59.05,59.81,2486600,0.0,0
2011-05-05,59.49,61.81,59.37,61.23,4033200,0.0,0
2011-05-06,61.93,62.57,60.64,60.89,2367400,0.0,0
2011-05-09,60.82,61.51,60.42,61.09,2072500,0.0,0
2011-05-10,61.18,62.73,61.18,62.57,1610300,0.0,0
2011-05-11,62.59,62.63,61.54,62.11,1860800,0.0,0
2011-05-12,61.98,62.28,61.35,61.89,1558500,0.0,0
2011-05-13,62.04,62.07,60.93,61.28,1151700,0.0,0
2011-05-16,60.88,61.87,60.76,60.92,1400200,0.0,0
2011-05-17,60.79,61.05,60.06,60.66,1441100,0.0,0
2011-05-18,60.86,62.4,60.68,62.36,1772800,0.0,0
2011-05-19,62.58,63.21,62.25,62.75,1134100,0.0,0
2011-05-20,62.65,62.71,62.11,62.36,1130400,0.0,0
2011-05-23,61.5,61.5,60.43,60.74,1079600,0.0,0
2011-05-24,60.85,60.96,59.2,59.3,2232100,0.0,0
2011-05-25,59.07,59.86,58.77,59.67,1451300,0.0,0
2011-05-26,59.54,61.34,59.3,61.21,1762900,0.0,0
2011-05-27,61.46,61.93,60.76,61.05,1443200,0.41,0
2011-05-31,61.59,61.97,60.96,61.47,2629000,0.0,0
2011-06-01,61.36,61.41,58.45,58.62,2499200,0.0,0
2011-06-02,58.88,59.53,58.57,58.91,1856100,0.0,0
2011-06-03,58.09,58.09,56.86,57.35,2500000,0.0,0
2011-06-06,57.21,57.62,56.86,57.08,1582900,0.0,0
2011-06-07,57.36,58.37,56.69,57.95,2229800,0.0,0
2011-06-08,57.64,57.87,56.92,56.98,1326500,0.0,0
2011-06-09,56.97,57.64,56.68,57.29,1045200,0.0,0
2011-06-10,57.1,57.19,55.7,55.86,1428500,0.0,0
2011-06-13,56.21,56.49,55.36,55.51,1219000,0.0,0
2011-06-14,55.97,57.29,55.92,57.15,1240500,0.0,0
2011-06-15,56.5,57.0,56.31,56.35,1899800,0.0,0
2011-06-16,56.12,57.11,55.67,56.76,1815200,0.0,0
2011-06-17,57.3,57.69,56.7,56.82,1819200,0.0,0
2011-06-20,56.47,57.35,55.92,57.27,1356500,0.0,0
2011-06-21,57.69,58.4,57.62,58.19,1139700,0.0,0
2011-06-22,58.2,58.28,57.72,57.94,1622900,0.0,0
2011-06-23,57.17,59.13,57.01,59.13,2203300,0.0,0
2011-06-24,59.03,59.18,57.49,57.64,1923900,0.0,0
2011-06-27,59.03,59.08,57.65,57.83,2804100,0.0,0
2011-06-28,58.01,58.29,57.8,57.9,1782900,0.0,0
2011-06-29,58.23,58.48,57.67,58.45,1917800,0.0,0
2011-06-30,58.69,59.97,58.63,59.95,1738700,0.0,0
2011-07-01,60.05,62.01,59.74,61.3,1976100,0.0,0
2011-07-05,61.3,61.73,60.91,61.49,1532000,0.0,0
2011-07-06,61.34,61.74,60.84,61.62,1380200,0.0,0
2011-07-07,62.32,62.96,62.32,62.68,1761500,0.0,0
2011-07-08,61.85,62.05,61.43,61.98,1175200,0.0,0
2011-07-11,61.35,61.38,59.98,60.27,1467000,0.0,0
