Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-07-31,21.33,22.26,20.96,21.33,56477500,0.0,0
2014-08-01,21.24,21.33,21.03,21.33,6458900,0.0,0
2014-08-04,21.42,21.45,21.24,21.33,3455900,0.0,0
2014-08-05,21.32,21.34,21.03,21.33,4450200,0.0,0
2014-08-06,21.15,21.31,21.03,21.31,6993400,0.0,0
2014-08-07,21.23,21.33,21.15,21.27,3186900,0.0,0
2014-08-08,21.27,21.36,21.15,21.29,2855000,0.0,0
2014-08-11,21.24,21.27,21.15,21.27,1767500,0.0,0
2014-08-12,21.23,21.33,21.17,21.33,1549700,0.0,0
2014-08-13,21.33,21.55,21.22,21.5,1659100,0.0,0
2014-08-14,21.52,21.54,21.29,21.34,1391700,0.0,0
2014-08-15,21.35,21.41,21.33,21.33,1948100,0.0,0
2014-08-18,21.39,21.49,21.35,21.49,1073700,0.0,0
2014-08-19,21.52,22.66,21.52,22.64,2851800,0.0,0
2014-08-20,22.54,23.73,22.5,23.36,3544500,0.0,0
2014-08-21,23.62,23.67,23.11,23.55,2358000,0.0,0
2014-08-22,23.42,23.59,23.28,23.52,891600,0.0,0
2014-08-25,23.53,23.56,23.08,23.3,1185400,0.0,0
2014-08-26,23.19,23.28,23.13,23.23,951000,0.0,0
2014-08-27,23.19,23.69,23.14,23.62,1230600,0.0,0
2014-08-28,23.56,23.97,23.47,23.83,981700,0.0,0
2014-08-29,23.94,24.06,23.6,23.92,981200,0.0,0
2014-09-02,23.84,24.02,23.67,23.92,1873200,0.0,0
2014-09-03,24.1,24.11,23.77,23.92,996500,0.0,0
2014-09-04,23.68,23.88,23.66,23.84,1117500,0.0,0
2014-09-05,23.84,24.13,23.76,23.9,1089800,0.0,0
2014-09-08,23.95,24.1,22.83,23.04,2534800,0.0,0
2014-09-09,23.46,23.74,22.91,23.22,3608600,0.0,0
2014-09-10,23.36,23.47,22.9,22.91,1974600,0.0,0
2014-09-11,22.95,23.21,22.84,22.86,2029100,0.0,0
2014-09-12,22.75,22.95,22.67,22.72,1106800,0.0,0
2014-09-15,22.58,22.61,22.19,22.4,1125600,0.0,0
2014-09-16,22.48,22.59,22.15,22.55,1512100,0.0,0
2014-09-17,22.68,22.9,22.59,22.77,940400,0.0,0
2014-09-18,22.79,23.04,22.78,22.88,879100,0.0,0
2014-09-19,23.05,23.64,22.92,23.57,5257900,0.0,0
2014-09-22,23.45,23.52,22.95,23.04,737000,0.0,0
2014-09-23,22.87,22.91,22.43,22.8,940000,0.0,0
2014-09-24,22.94,23.19,22.89,23.11,964600,0.0,0
2014-09-25,23.17,23.17,22.83,22.84,1350800,0.0,0
2014-09-26,22.83,23.0,22.57,22.97,1252800,0.0,0
