Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,16.07,16.33,16.01,16.16,24543700,0.0,0
2009-12-08,16.17,16.17,15.89,15.96,25948300,0.0,0
2009-12-09,15.83,16.0,15.81,15.93,23141200,0.0,0
2009-12-10,16.01,16.16,15.98,16.04,20226000,0.0,0
2009-12-11,16.15,16.24,16.07,16.19,19189100,0.0,0
2009-12-14,16.38,16.39,16.17,16.21,21541600,0.0,0
2009-12-15,16.13,16.18,15.89,15.95,21391100,0.0,0
2009-12-16,15.98,16.06,15.88,15.9,27365300,0.0,0
2009-12-17,15.8,15.86,15.67,15.73,26627800,0.0,0
2009-12-18,15.87,15.92,15.71,15.79,47061400,0.0,0
2009-12-21,15.82,16.0,15.82,15.91,21183500,0.0,0
2009-12-22,16.02,16.15,15.93,16.12,26009400,0.0,0
2009-12-23,16.17,16.21,16.06,16.2,15613200,0.0,0
2009-12-24,16.24,16.25,16.15,16.24,6108400,0.0,0
2009-12-28,16.32,16.38,16.27,16.37,15624600,0.0,0
2009-12-29,16.41,16.45,16.32,16.38,15890100,0.0,0
2009-12-30,16.33,16.53,16.31,16.37,23545000,0.0,0
2009-12-31,16.35,16.43,16.19,16.2,16071000,0.0,0
2010-01-04,16.42,16.53,16.34,16.52,29136600,0.0,0
2010-01-05,16.58,16.6,16.38,16.43,35234500,0.0,0
2010-01-06,16.39,16.44,16.16,16.19,37894600,0.42,0
2010-01-07,16.18,16.24,15.91,16.01,33600300,0.0,0
2010-01-08,16.01,16.07,15.77,15.9,27633400,0.0,0
2010-01-11,15.94,15.97,15.75,15.82,25791200,0.0,0
2010-01-12,15.75,15.9,15.71,15.81,26307800,0.0,0
2010-01-13,15.84,15.9,15.56,15.63,42590900,0.0,0
2010-01-14,15.63,15.75,15.3,15.36,42246100,0.0,0
2010-01-15,15.4,15.41,15.04,15.13,64018300,0.0,0
2010-01-19,15.2,15.4,15.13,15.37,33961700,0.0,0
2010-01-20,15.27,15.27,15.07,15.15,39087000,0.0,0
2010-01-21,15.2,15.24,14.9,15.06,40074900,0.0,0
2010-01-22,14.97,15.15,14.87,14.89,38379700,0.0,0
2010-01-25,15.09,15.19,14.85,15.0,29901500,0.0,0
2010-01-26,14.9,14.96,14.7,14.86,34168600,0.0,0
2010-01-27,14.79,15.32,14.72,15.03,58991800,0.0,0
2010-01-28,15.07,15.34,14.83,14.98,52058900,0.0,0
2010-01-29,15.02,15.1,14.87,14.87,38921000,0.0,0
2010-02-01,15.06,15.08,14.83,14.89,36774400,0.0,0
2010-02-02,14.88,15.16,14.82,15.07,31119800,0.0,0
2010-02-03,15.03,15.14,14.9,15.0,22954100,0.0,0
2010-02-04,14.92,14.95,14.68,14.68,32334600,0.0,0
2010-02-05,14.73,14.85,14.64,14.8,50883200,0.0,0
2010-02-08,14.77,14.82,14.64,14.65,27173100,0.0,0
2010-02-09,14.77,14.91,14.69,14.82,34939200,0.0,0
2010-02-10,14.8,14.81,14.67,14.73,26649500,0.0,0
2010-02-11,14.69,14.89,14.56,14.77,27447000,0.0,0
2010-02-12,14.68,14.75,14.58,14.7,34113100,0.0,0
2010-02-16,14.84,14.95,14.74,14.85,25903700,0.0,0
2010-02-17,14.9,14.97,14.78,14.9,19506300,0.0,0
2010-02-18,14.9,14.97,14.76,14.8,27028500,0.0,0
2010-02-19,14.78,14.9,14.68,14.72,34699600,0.0,0
2010-02-22,14.74,14.76,14.65,14.68,31106800,0.0,0
2010-02-23,14.66,14.68,14.56,14.56,28515800,0.0,0
2010-02-24,14.59,14.63,14.55,14.61,28970800,0.0,0
2010-02-25,14.52,14.58,14.43,14.53,29583200,0.0,0
2010-02-26,14.58,14.61,14.49,14.55,29183900,0.0,0
2010-03-01,14.61,14.7,14.56,14.66,24906000,0.0,0
2010-03-02,14.66,14.7,14.49,14.59,33402000,0.0,0
2010-03-03,14.68,14.68,14.55,14.6,20695100,0.0,0
2010-03-04,14.6,14.66,14.55,14.64,28731200,0.0,0
2010-03-05,14.68,14.69,14.56,14.66,27959100,0.0,0
2010-03-08,14.69,14.87,14.6,14.83,24682700,0.0,0
2010-03-09,14.86,15.09,14.84,14.99,43463200,0.0,0
2010-03-10,15.02,15.09,14.88,14.97,23535700,0.0,0
2010-03-11,14.91,15.02,14.84,15.02,21760600,0.0,0
2010-03-12,15.07,15.09,14.9,15.03,17818100,0.0,0
2010-03-15,15.06,15.13,14.99,15.12,20320300,0.0,0
2010-03-16,15.17,15.24,15.08,15.16,17620400,0.0,0
2010-03-17,15.22,15.24,15.16,15.19,18104200,0.0,0
2010-03-18,15.23,15.3,15.19,15.29,17009600,0.0,0
