Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,35.51,35.82,35.33,35.6,842300,0.0,0
2009-12-08,35.42,35.57,34.88,35.12,1015600,0.0,0
2009-12-09,35.18,35.57,34.93,35.52,1132300,0.0,0
2009-12-10,35.69,35.91,35.19,35.34,811100,0.0,0
2009-12-11,35.45,35.55,35.05,35.09,882500,0.0,0
2009-12-14,35.15,35.27,34.81,34.83,1409400,0.0,0
2009-12-15,34.87,35.03,34.13,34.3,1855600,0.0,0
2009-12-16,34.45,34.63,34.07,34.1,1273200,0.0,0
2009-12-17,34.07,34.07,33.61,33.61,2296600,0.0,0
2009-12-18,33.61,33.85,33.39,33.82,1059700,0.0,0
2009-12-21,33.96,34.14,33.9,34.08,537400,0.0,0
2009-12-22,34.14,34.42,33.99,34.36,923900,0.0,0
2009-12-23,34.45,34.8,34.28,34.7,861400,0.0,0
2009-12-24,34.7,34.84,34.63,34.77,386800,0.0,0
2009-12-28,34.88,35.06,34.62,35.03,788800,0.0,0
2009-12-29,35.09,35.24,34.9,35.08,524200,0.0,0
2009-12-30,34.81,35.19,34.7,35.19,562000,0.0,0
2009-12-31,35.25,35.47,35.15,35.16,609300,0.0,0
2010-01-04,35.48,35.87,35.33,35.76,1302400,0.0,0
2010-01-05,35.73,35.73,35.13,35.33,1011900,0.0,0
2010-01-06,35.42,35.58,35.13,35.29,729200,0.0,0
2010-01-07,35.19,35.19,34.63,34.7,1242500,0.0,0
2010-01-08,34.62,34.71,34.38,34.65,1128000,0.0,0
2010-01-11,34.82,35.16,34.69,35.05,816200,0.0,0
2010-01-12,34.99,35.27,34.77,35.17,702800,0.0,0
2010-01-13,35.13,35.49,34.9,35.31,725100,0.0,0
2010-01-14,35.22,35.6,35.21,35.5,830500,0.0,0
2010-01-15,35.37,35.72,35.11,35.18,1120900,0.0,0
2010-01-19,35.02,35.12,34.44,34.71,1823300,0.0,0
2010-01-20,34.45,34.54,33.69,34.07,1385000,0.0,0
2010-01-21,34.15,34.42,33.68,33.76,1391100,0.0,0
2010-01-22,33.78,34.02,33.48,33.5,890700,0.0,0
2010-01-25,33.73,33.78,33.29,33.33,915900,0.0,0
2010-01-26,33.16,33.56,33.0,33.41,1077100,0.0,0
2010-01-27,33.41,33.48,33.15,33.39,1021600,0.0,0
2010-01-28,33.43,33.5,33.02,33.06,676500,0.0,0
2010-01-29,33.11,33.21,32.59,32.7,1369100,0.0,0
2010-02-01,32.82,33.26,32.77,33.09,1017200,0.0,0
2010-02-02,33.05,33.12,32.7,32.98,1387400,0.0,0
2010-02-03,32.86,33.26,32.77,33.21,909300,0.0,0
2010-02-04,33.03,33.06,31.44,31.48,2138200,0.0,0
2010-02-05,31.61,32.22,31.48,32.1,1714900,0.0,0
2010-02-08,32.1,32.56,32.0,32.17,1213800,0.0,0
2010-02-09,32.32,32.41,30.96,31.13,3747400,0.0,0
2010-02-10,31.23,31.47,30.27,30.37,2462600,0.0,0
2010-02-11,30.34,30.76,29.93,30.71,3022400,0.0,0
2010-02-12,30.52,30.52,30.06,30.29,2394500,0.0,0
2010-02-16,30.43,31.11,30.28,31.05,2199600,0.0,0
2010-02-17,31.22,31.64,31.12,31.51,1843600,0.0,0
2010-02-18,31.4,31.8,31.34,31.64,1567300,0.0,0
2010-02-19,31.63,32.29,31.5,32.01,1653700,0.0,0
