Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,34.44,35.09,34.44,34.97,8642600,0.0,0
2009-12-08,34.79,34.86,34.27,34.61,6370500,0.0,0
2009-12-09,34.48,34.51,34.04,34.18,6643500,0.0,0
2009-12-10,34.36,34.84,34.08,34.7,7746300,0.0,0
2009-12-11,34.84,35.48,34.76,35.41,7553000,0.0,0
2009-12-14,35.62,36.15,35.4,36.1,8979600,0.0,0
2009-12-15,36.04,36.14,35.74,35.96,7023300,0.0,0
2009-12-16,36.13,36.22,35.81,35.83,5365900,0.0,0
2009-12-17,35.72,36.17,35.54,35.84,7612000,0.0,0
2009-12-18,35.96,36.49,35.4,36.4,10493400,0.0,0
2009-12-21,36.51,37.37,36.26,37.22,8023200,0.0,0
2009-12-22,37.22,37.25,36.51,36.82,5161200,0.0,0
2009-12-23,36.94,37.05,36.57,36.86,4639600,0.0,0
2009-12-24,36.84,37.14,36.61,36.71,1508900,0.0,0
2009-12-28,36.69,36.96,36.45,36.56,4196400,0.0,0
2009-12-29,36.73,36.79,36.51,36.66,3761400,0.0,0
2009-12-30,36.54,36.76,36.4,36.75,2940700,0.0,0
2009-12-31,36.82,37.06,36.45,36.5,3235900,0.0,0
2010-01-04,36.57,36.89,36.52,36.63,4589100,0.0,0
2010-01-05,36.6,37.15,36.42,36.77,4760100,0.0,0
2010-01-06,36.66,37.5,36.66,37.47,7217400,0.0,0
2010-01-07,37.88,38.32,37.52,37.93,12531000,0.0,0
2010-01-08,37.77,37.81,37.41,37.78,6512800,0.0,0
2010-01-11,37.85,37.98,37.53,37.86,3751700,0.0,0
2010-01-12,37.65,37.71,36.94,37.23,5472000,0.0,0
2010-01-13,37.22,37.47,37.06,37.23,4793400,0.0,0
2010-01-14,37.56,37.99,37.43,37.8,7498700,0.0,0
2010-01-15,37.62,37.97,37.57,37.86,9093100,0.0,0
2010-01-19,38.08,38.79,37.73,38.63,9924900,0.0,0
2010-01-20,38.32,38.78,38.16,38.27,8591500,0.0,0
2010-01-21,38.21,38.72,37.5,37.89,9239600,0.0,0
2010-01-22,37.74,38.56,37.74,38.02,11722400,0.0,0
2010-01-25,38.28,38.54,37.89,38.31,8908700,0.0,0
2010-01-26,38.15,39.59,38.12,39.25,13054200,0.0,0
2010-01-27,39.12,39.39,38.88,39.21,11010600,0.0,0
2010-01-28,39.37,39.56,38.94,39.17,8252700,0.0,0
2010-01-29,39.43,39.52,38.69,38.69,9523400,0.0,0
2010-02-01,38.9,38.94,38.26,38.55,8797500,0.0,0
2010-02-02,38.57,38.61,38.19,38.35,13402900,0.0,0
2010-02-03,38.25,38.48,38.11,38.18,7192400,0.0,0
2010-02-04,37.16,37.28,36.39,37.03,15325900,0.0,0
2010-02-05,36.67,37.36,36.6,37.2,7345800,0.0,0
2010-02-08,37.17,37.47,36.79,36.81,4944100,0.0,0
2010-02-09,37.09,37.5,36.81,37.08,4628400,0.0,0
2010-02-10,36.99,37.22,36.68,36.94,4433700,0.0,0
2010-02-11,36.86,37.37,36.7,37.1,4716400,0.0,0
2010-02-12,36.82,36.96,36.6,36.7,8710900,0.0,0
2010-02-16,37.2,37.9,37.1,37.8,5788600,0.0,0
2010-02-17,38.07,38.43,37.99,38.31,5474300,0.17,0
2010-02-18,38.14,38.56,37.96,38.42,4882200,0.0,0
2010-02-19,38.39,38.68,38.23,38.41,5172500,0.0,0
2010-02-22,38.46,38.65,38.28,38.34,4000300,0.0,0
2010-02-23,37.78,38.33,36.95,37.9,15695000,0.0,0
2010-02-24,38.01,38.74,37.95,38.61,9273500,0.0,0
2010-02-25,38.4,38.71,38.06,38.58,8211800,0.0,0
2010-02-26,38.61,39.09,38.61,39.01,4189600,0.0,0
2010-03-01,39.2,39.63,38.99,39.55,4883600,0.0,0
2010-03-02,39.5,39.65,38.97,39.12,4805300,0.0,0
2010-03-03,39.2,39.31,38.96,39.13,3993500,0.0,0
2010-03-04,39.67,40.32,39.49,40.08,6891400,0.0,0
2010-03-05,40.39,40.51,40.02,40.5,4503300,0.0,0
2010-03-08,40.45,40.61,40.31,40.49,3261700,0.0,0
2010-03-09,40.2,40.42,39.81,40.02,3597600,0.0,0
2010-03-10,39.8,40.36,39.64,39.86,4164700,0.0,0
2010-03-11,39.72,40.07,39.51,39.98,3217600,0.0,0
2010-03-12,40.21,40.29,39.74,40.19,3757400,0.0,0
2010-03-15,40.05,40.51,40.02,40.48,3841300,0.0,0
2010-03-16,40.48,40.58,40.25,40.46,2844600,0.0,0
2010-03-17,40.58,40.61,40.11,40.27,3488500,0.0,0
2010-03-18,40.34,40.42,39.95,40.16,4068400,0.0,0
2010-03-19,40.36,40.42,40.11,40.36,5225500,0.0,0
2010-03-22,40.16,40.89,40.02,40.8,3767300,0.0,0
2010-03-23,40.73,40.89,40.29,40.8,3173600,0.0,0
2010-03-24,40.6,40.76,40.22,40.41,4685500,0.0,0
2010-03-25,40.61,40.89,40.42,40.47,3540700,0.0,0
2010-03-26,40.66,41.23,40.63,41.17,4888000,0.0,0
2010-03-29,41.29,41.44,40.73,40.86,3607300,0.0,0
2010-03-30,40.85,41.13,40.45,40.69,3079300,0.0,0
2010-03-31,40.51,40.64,39.55,39.83,6467400,0.0,0
2010-04-01,39.95,40.23,39.86,40.23,5057800,0.0,0
2010-04-05,40.35,40.86,39.88,40.7,4241000,0.0,0
2010-04-06,40.61,40.95,40.39,40.95,4355700,0.0,0
2010-04-07,40.83,41.27,40.67,40.89,6541800,0.0,0
2010-04-08,41.5,42.73,41.08,42.13,11861900,0.0,0
2010-04-09,42.35,42.5,41.48,42.15,7134600,0.0,0
2010-04-12,42.31,42.57,42.03,42.39,4535500,0.0,0
2010-04-13,42.37,42.91,42.3,42.75,5908500,0.0,0
2010-04-14,42.76,42.96,42.42,42.96,4475700,0.0,0
2010-04-15,42.74,42.98,42.54,42.85,3772300,0.0,0
2010-04-16,42.64,42.74,42.17,42.39,6310000,0.0,0
2010-04-19,42.42,42.8,41.55,42.45,5624700,0.0,0
2010-04-20,42.7,42.8,42.38,42.51,4167300,0.0,0
2010-04-21,42.61,43.79,42.42,43.1,5472100,0.0,0
2010-04-22,42.9,43.72,42.84,43.61,4998100,0.0,0
2010-04-23,43.55,43.91,43.17,43.87,5318000,0.0,0
2010-04-26,43.8,44.31,43.51,43.95,5507300,0.0,0
2010-04-27,43.76,43.9,42.79,42.91,5898900,0.0,0
2010-04-28,43.1,43.4,42.54,42.86,5192100,0.0,0
2010-04-29,43.13,43.57,42.9,43.42,3739500,0.0,0
2010-04-30,43.51,44.07,42.73,43.06,6571200,0.0,0
2010-05-03,43.13,43.63,42.91,43.15,5127400,0.0,0
2010-05-04,42.84,42.92,41.77,42.08,6793900,0.0,0
2010-05-05,41.79,42.85,41.73,42.45,11130600,0.0,0
2010-05-06,41.44,42.54,40.33,41.66,14732900,0.0,0
2010-05-07,41.45,41.91,39.89,41.11,11650400,0.0,0
2010-05-10,42.35,43.23,42.07,42.91,7906800,0.0,0
2010-05-11,42.43,43.15,42.32,42.61,4479900,0.0,0
2010-05-12,42.79,43.32,42.41,43.26,4736900,0.0,0
2010-05-13,43.17,43.19,41.6,41.7,7770500,0.0,0
2010-05-14,41.7,42.54,41.45,41.77,8092800,0.0,0
2010-05-17,42.0,42.57,41.39,42.44,7600000,0.0,0
2010-05-18,42.78,43.06,40.96,41.18,8566000,0.17,0
2010-05-19,40.62,41.54,40.27,41.03,10166400,0.0,0
2010-05-20,40.46,41.2,39.97,40.08,10634700,0.0,0
2010-05-21,39.36,41.29,39.36,41.28,11596600,0.0,0
2010-05-24,41.16,41.72,40.88,41.23,6131100,0.0,0
2010-05-25,40.32,41.47,40.06,41.45,8474100,0.0,0
2010-05-26,41.84,41.84,40.58,40.7,9305500,0.0,0
2010-05-27,41.29,42.02,40.88,42.01,5639800,0.0,0
2010-05-28,42.01,42.01,41.28,41.41,5089600,0.0,0
2010-06-01,41.22,41.86,40.86,40.94,4590900,0.0,0
2010-06-02,41.02,41.58,40.58,41.29,6187400,0.0,0
2010-06-03,41.85,42.07,41.04,41.37,5819900,0.0,0
2010-06-04,40.7,40.91,39.76,40.1,6302600,0.0,0
2010-06-07,40.24,40.64,39.44,39.49,5748200,0.0,0
2010-06-08,39.35,40.11,39.35,39.81,6825600,0.0,0
2010-06-09,40.02,40.47,39.61,39.77,6082200,0.0,0
2010-06-10,40.3,40.74,40.17,40.71,4915300,0.0,0
2010-06-11,40.49,41.0,40.21,40.79,3457800,0.0,0
2010-06-14,41.09,41.56,40.65,41.05,3905700,0.0,0
2010-06-15,41.42,41.65,40.97,41.47,4388200,0.0,0
2010-06-16,41.18,41.42,40.69,41.15,4297800,0.0,0
2010-06-17,41.46,41.46,40.45,41.1,5093000,0.0,0
2010-06-18,41.23,41.31,40.69,40.76,8810100,0.0,0
2010-06-21,40.99,41.13,39.86,40.17,8359000,0.0,0
2010-06-22,40.36,40.71,39.42,39.7,9440200,0.0,0
2010-06-23,39.73,40.3,39.67,40.0,5855000,0.0,0
2010-06-24,39.81,39.81,38.47,38.53,9736000,0.0,0
2010-06-25,38.63,38.91,38.28,38.35,8414200,0.0,0
2010-06-28,38.44,38.68,37.76,37.91,6147700,0.0,0
2010-06-29,37.46,37.6,36.63,37.21,10199500,0.0,0
2010-06-30,37.24,38.03,37.09,37.34,9576100,0.0,0
2010-07-01,37.21,37.85,36.68,37.68,10683000,0.0,0
2010-07-02,37.72,37.94,37.36,37.62,5492400,0.0,0
2010-07-06,37.97,38.25,37.57,37.92,8557300,0.0,0
2010-07-07,37.92,38.34,37.59,38.3,7568800,0.0,0
2010-07-08,38.69,38.96,37.54,37.99,9063700,0.0,0
2010-07-09,37.95,38.0,37.52,37.86,5319100,0.0,0
2010-07-12,37.71,37.71,37.07,37.33,5637700,0.0,0
2010-07-13,37.62,38.18,37.28,37.89,6053400,0.0,0
2010-07-14,37.72,37.81,37.27,37.71,5210800,0.0,0
2010-07-15,37.62,38.69,37.49,38.57,6685600,0.0,0
2010-07-16,38.39,38.67,38.09,38.19,8912200,0.0,0
2010-07-19,38.41,38.41,37.78,38.15,4050100,0.0,0
2010-07-20,37.78,38.85,37.55,38.75,5492600,0.0,0
2010-07-21,38.84,38.84,37.97,38.1,4183300,0.0,0
2010-07-22,38.5,39.32,38.43,39.08,4522500,0.0,0
2010-07-23,38.97,39.41,38.66,39.41,5377500,0.0,0
2010-07-26,39.3,40.23,39.3,40.14,5447000,0.0,0
2010-07-27,40.13,40.24,39.49,39.59,4088300,0.0,0
2010-07-28,39.54,39.98,39.24,39.34,4252200,0.0,0
2010-07-29,39.61,40.02,38.97,39.12,4624700,0.0,0
2010-07-30,38.74,39.1,38.57,38.97,7277000,0.0,0
2010-08-02,39.18,39.49,38.9,39.3,5934100,0.0,0
2010-08-03,39.13,39.94,38.29,38.72,5756500,0.0,0
2010-08-04,38.91,39.27,38.73,39.11,4821700,0.0,0
2010-08-05,39.74,40.43,39.05,40.14,7022700,0.0,0
2010-08-06,39.8,40.02,39.16,39.73,4869900,0.0,0
2010-08-09,40.49,40.78,40.22,40.52,5365500,0.0,0
2010-08-10,40.3,40.38,39.78,40.21,3768200,0.0,0
2010-08-11,39.67,39.92,39.48,39.5,3712400,0.0,0
2010-08-12,39.15,39.49,38.92,39.35,4206500,0.0,0
2010-08-13,39.21,39.23,38.53,38.59,3833900,0.0,0
2010-08-16,38.35,38.67,38.24,38.52,3128000,0.0,0
2010-08-17,39.08,39.23,38.66,38.68,6146700,0.0,0
2010-08-18,37.68,39.93,37.68,39.65,16317000,0.25,0
2010-08-19,39.58,39.78,39.16,39.57,8392900,0.0,0
2010-08-20,39.44,39.94,39.42,39.8,5527300,0.0,0
2010-08-23,39.85,40.14,39.61,39.69,4054500,0.0,0
2010-08-24,39.35,39.57,38.78,39.33,6288500,0.0,0
2010-08-25,39.14,39.53,38.92,39.36,10250600,0.0,0
2010-08-26,39.4,39.86,39.36,39.43,4969500,0.0,0
2010-08-27,39.5,39.86,39.17,39.49,6555200,0.0,0
2010-08-30,39.38,39.46,38.72,38.77,5379200,0.0,0
2010-08-31,38.66,39.29,38.49,39.05,7301700,0.0,0
2010-09-01,39.4,40.17,39.4,39.87,5222000,0.0,0
2010-09-02,39.94,40.41,39.92,40.11,7957200,0.0,0
2010-09-03,40.42,40.86,40.17,40.32,5570900,0.0,0
2010-09-07,40.09,40.48,39.84,39.94,3280600,0.0,0
2010-09-08,40.01,40.5,39.96,40.06,5884300,0.0,0
2010-09-09,40.35,40.66,40.04,40.24,3719000,0.0,0
2010-09-10,40.24,40.62,40.21,40.5,3418600,0.0,0
2010-09-13,40.77,40.9,40.44,40.59,3546300,0.0,0
2010-09-14,40.7,41.33,40.46,41.02,5242100,0.0,0
2010-09-15,40.88,41.22,40.75,41.03,3213000,0.0,0
2010-09-16,40.85,41.27,40.62,41.18,3294200,0.0,0
2010-09-17,41.33,41.42,40.95,41.01,5392300,0.0,0
2010-09-20,41.17,41.77,41.01,41.67,3603300,0.0,0
2010-09-21,41.7,41.7,41.08,41.27,4770000,0.0,0
2010-09-22,41.28,41.49,40.83,41.29,3742600,0.0,0
2010-09-23,40.91,41.48,40.73,41.04,3246200,0.0,0
2010-09-24,41.45,42.19,41.14,42.01,4428600,0.0,0
2010-09-27,41.84,41.98,41.35,41.51,4152900,0.0,0
2010-09-28,41.07,41.79,40.88,41.62,6355900,0.0,0
2010-09-29,41.62,41.62,40.75,40.86,6166300,0.0,0
2010-09-30,41.0,41.27,40.62,40.79,7182400,0.0,0
2010-10-01,41.04,41.17,40.68,40.81,5092100,0.0,0
2010-10-04,40.69,40.94,40.43,40.77,4672700,0.0,0
2010-10-05,41.07,41.43,40.9,41.4,5489900,0.0,0
2010-10-06,41.27,41.58,41.04,41.27,5683800,0.0,0
2010-10-07,41.3,41.67,40.9,41.46,7053000,0.0,0
2010-10-08,41.52,41.72,41.15,41.37,6613700,0.0,0
2010-10-11,41.44,41.98,41.4,41.86,4470300,0.0,0
2010-10-12,41.88,41.91,41.57,41.78,5787300,0.0,0
2010-10-13,41.74,42.04,41.48,41.53,4053900,0.0,0
2010-10-14,41.56,41.69,40.85,41.27,5660600,0.0,0
2010-10-15,41.52,41.66,41.19,41.46,4208600,0.0,0
2010-10-18,41.38,41.49,41.02,41.24,4347800,0.0,0
2010-10-19,40.86,41.24,40.62,40.83,5801900,0.0,0
2010-10-20,40.96,41.4,40.72,41.35,5154000,0.0,0
