Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,6.76,6.86,6.74,6.84,32624400,0.0,0.0
2009-12-08,6.83,6.86,6.65,6.81,23428800,0.0,0.0
2009-12-09,6.83,6.87,6.76,6.87,23272400,0.0,0.0
2009-12-10,6.86,7.02,6.83,7.01,25535200,0.0,0.0
2009-12-11,7.02,7.05,6.91,6.92,19973600,0.0,0.0
2009-12-14,6.97,7.07,6.93,7.06,18643600,0.0,0.0
2009-12-15,7.04,7.1,6.99,7.02,20528400,0.0,0.0
2009-12-16,7.01,7.07,6.88,6.89,22300800,0.0,0.0
2009-12-17,6.88,6.88,6.77,6.8,29879600,0.0,0.0
2009-12-18,6.83,6.83,6.71,6.81,22508000,0.0,0.0
2009-12-21,6.83,6.91,6.8,6.88,14538800,0.0,0.0
2009-12-22,6.93,6.93,6.82,6.84,11595600,0.0,0.0
2009-12-23,6.82,6.88,6.8,6.86,11649600,0.0,0.0
2009-12-24,6.85,6.88,6.8,6.81,4045600,0.0,0.0
2009-12-28,6.83,6.86,6.81,6.83,9020000,0.0,0.0
2009-12-29,6.85,6.87,6.81,6.81,9640800,0.0,0.0
2009-12-30,6.78,6.87,6.78,6.82,9184000,0.0,0.0
2009-12-31,6.81,6.84,6.76,6.76,6045200,0.0,0.0
2010-01-04,6.66,6.78,6.62,6.67,25150000,0.0,0.0
2010-01-05,6.65,6.86,6.65,6.85,21218400,0.0,0.0
2010-01-06,6.86,6.9,6.81,6.88,14987600,0.0,0.0
2010-01-07,7.17,7.36,7.08,7.23,54589200,0.0,0.0
2010-01-08,7.09,7.15,7.04,7.13,23387600,0.0,0.0
2010-01-11,7.18,7.19,7.08,7.12,14601600,0.0,0.0
2010-01-12,7.09,7.1,7.01,7.06,11583200,0.0,0.0
2010-01-13,7.07,7.1,7.02,7.08,10988400,0.0,0.0
2010-01-14,7.09,7.09,6.96,7.0,10920000,0.0,0.0
2010-01-15,6.98,7.06,6.87,6.9,15785600,0.0,0.0
2010-01-19,6.88,7.01,6.88,7.01,10318000,0.0,0.0
2010-01-20,6.97,6.97,6.88,6.92,8459200,0.0,0.0
2010-01-21,6.94,6.96,6.81,6.82,16357200,0.0,0.0
2010-01-22,6.81,6.91,6.78,6.8,18534400,0.0,0.0
2010-01-25,6.86,6.9,6.81,6.85,12041200,0.0,0.0
2010-01-26,6.84,7.12,6.84,7.05,24568800,0.0,0.0
2010-01-27,7.05,7.14,7.0,7.11,16262800,0.0,0.0
2010-01-28,7.11,7.15,7.05,7.08,21763600,0.0,0.0
2010-01-29,7.11,7.19,7.03,7.03,17224000,0.0,0.0
2010-02-01,7.05,7.18,7.05,7.13,20108800,0.0,0.0
2010-02-02,7.18,7.26,7.17,7.26,23249200,0.0,0.0
2010-02-03,7.25,7.26,7.13,7.17,18726400,0.0,0.0
2010-02-04,7.17,7.2,7.06,7.06,20372800,0.0,0.0
2010-02-05,7.07,7.12,6.98,7.09,19836000,0.0,0.0
2010-02-08,7.1,7.1,6.99,6.99,10746800,0.0,0.0
2010-02-09,7.15,7.15,7.07,7.11,11654400,0.12,0.0
2010-02-10,7.11,7.15,7.01,7.05,16517600,0.0,0.0
2010-02-11,7.05,7.06,6.98,7.03,18852400,0.0,0.0
2010-02-12,6.97,7.06,6.96,7.05,14347200,0.0,0.0
2010-02-16,7.09,7.22,7.07,7.21,11754000,0.0,0.0
2010-02-17,7.24,7.3,7.24,7.27,11612000,0.0,0.0
2010-02-18,7.27,7.35,7.22,7.33,12093200,0.0,0.0
2010-02-19,7.31,7.39,7.31,7.34,11656400,0.0,0.0
2010-02-22,7.36,7.4,7.31,7.38,16239600,0.0,0.0
2010-02-23,7.38,7.4,7.27,7.34,18218400,0.0,0.0
2010-02-24,7.38,7.6,7.28,7.59,28059200,0.0,0.0
2010-02-25,7.48,7.85,7.45,7.82,42669200,0.0,0.0
2010-02-26,7.8,7.89,7.79,7.8,25156800,0.0,0.0
2010-03-01,7.81,7.84,7.7,7.81,21328000,0.0,0.0
2010-03-02,7.82,7.82,7.67,7.7,21886400,0.0,0.0
2010-03-03,7.73,7.77,7.68,7.72,18950800,0.0,0.0
2010-03-04,7.73,7.77,7.59,7.69,30528400,0.0,0.0
