Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-12-07,24.46,24.69,21.34,24.41,1413700,0.0,0
2011-12-08,23.17,24.7,22.91,23.61,719600,0.0,0
2011-12-09,24.84,24.9,23.74,24.82,716200,0.0,0
2011-12-12,25.15,25.15,24.01,24.41,393300,0.0,0
2011-12-13,25.37,25.37,24.02,24.46,452500,0.0,0
2011-12-14,25.07,25.07,23.88,24.12,444400,0.0,0
2011-12-15,24.78,25.88,24.54,25.19,1417600,0.0,0
2011-12-16,26.61,26.61,24.9,25.31,966700,0.0,0
2011-12-19,25.51,26.2,25.26,25.76,1048500,0.0,0
2011-12-20,26.23,27.23,26.21,26.9,2017200,0.0,0
2011-12-21,26.68,26.68,24.46,24.61,2871800,0.0,0
2011-12-22,24.12,24.54,21.33,21.81,6294100,0.0,0
2011-12-23,21.97,24.13,21.79,23.14,2744200,0.0,0
2011-12-27,22.55,23.21,21.9,23.07,2887400,0.0,0
2011-12-28,22.45,23.1,22.18,22.92,2098600,0.0,0
2011-12-29,22.71,22.82,22.05,22.07,2247300,0.0,0
2011-12-30,22.21,22.72,21.91,22.42,1798400,0.0,0
2012-01-03,23.25,24.32,23.22,23.68,3721800,0.0,0
2012-01-04,22.96,23.2,22.6,22.84,1681000,0.0,0
2012-01-05,21.85,22.96,21.85,22.69,1534700,0.0,0
2012-01-06,22.69,23.14,22.38,22.74,1484800,0.0,0
2012-01-09,22.89,23.81,22.81,23.35,1965300,0.0,0
2012-01-10,23.77,25.11,23.65,24.68,4177500,0.0,0
2012-01-11,23.73,25.1,23.62,24.71,1803300,0.0,0
2012-01-12,24.78,25.94,24.72,25.31,2005600,0.0,0
2012-01-13,25.1,26.47,24.84,26.24,1993400,0.0,0
2012-01-17,26.3,26.5,25.71,25.78,3210100,0.0,0
2012-01-18,25.51,26.17,25.36,25.82,1205200,0.0,0
2012-01-19,25.88,27.47,25.81,26.97,2712900,0.0,0
2012-01-20,27.05,27.11,26.52,27.03,1307600,0.0,0
2012-01-23,27.16,27.38,26.88,27.02,2565400,0.0,0
2012-01-24,26.8,27.35,26.65,27.29,1299100,0.0,0
2012-01-25,27.17,28.75,27.17,28.0,2349300,0.0,0
2012-01-26,27.99,28.4,27.09,27.61,1881500,0.0,0
2012-01-27,27.03,27.98,26.99,27.78,1227500,0.0,0
2012-01-30,27.53,28.31,27.25,28.14,904500,0.0,0
2012-01-31,27.43,29.38,27.43,29.27,1261100,0.0,0
2012-02-01,29.44,31.28,29.42,31.18,3610100,0.0,0
2012-02-02,31.37,31.66,30.08,31.02,2447800,0.0,0
2012-02-03,31.19,31.95,31.19,31.46,2993500,0.0,0
2012-02-06,31.44,31.79,31.18,31.26,1968000,0.0,0
2012-02-07,31.37,31.55,30.96,30.98,2235900,0.0,0
2012-02-08,30.93,31.1,29.36,30.54,3220900,0.0,0
2012-02-09,25.15,26.54,24.89,26.09,12923400,0.0,0
2012-02-10,25.81,27.47,25.48,26.71,3623600,0.0,0
2012-02-13,26.74,26.79,25.34,25.42,2396400,0.0,0
2012-02-14,25.52,25.6,23.95,24.57,4072100,0.0,0
2012-02-15,24.72,26.77,24.47,26.04,4922800,0.0,0
2012-02-16,26.03,27.26,25.55,27.03,2583300,0.0,0
2012-02-17,27.12,27.51,26.63,27.3,1939900,0.0,0
2012-02-21,27.22,27.34,26.78,27.27,2462700,0.0,0
2012-02-22,27.52,27.52,26.54,26.68,3275500,0.0,0
2012-02-23,26.73,27.29,26.29,27.2,2041700,0.0,0
2012-02-24,26.85,28.46,26.85,28.28,1904100,0.0,0
2012-02-27,27.91,28.53,27.69,28.38,1438400,0.0,0
2012-02-28,28.54,29.78,28.46,28.73,2442000,0.0,0
2012-02-29,28.74,28.84,28.16,28.66,1356200,0.0,0
2012-03-01,28.36,29.24,27.65,29.01,2641400,0.0,0
2012-03-02,28.79,29.43,28.49,28.86,1640400,0.0,0
2012-03-05,28.71,28.82,28.29,28.43,648900,0.0,0
2012-03-06,28.01,28.28,27.39,27.94,1034800,0.0,0
2012-03-07,28.01,28.15,27.49,27.63,1478100,0.0,0
2012-03-08,27.75,28.27,27.69,27.8,1151700,0.0,0
2012-03-09,27.83,27.88,27.18,27.3,705500,0.0,0
2012-03-12,27.33,27.62,27.12,27.3,1490800,0.0,0
2012-03-13,27.5,27.56,26.9,27.11,2280100,0.0,0
2012-03-14,27.03,27.57,26.88,27.56,1230200,0.0,0
2012-03-15,27.69,28.94,27.51,28.87,2319000,0.0,0
2012-03-16,28.91,31.05,28.45,30.24,4298000,0.0,0
2012-03-19,30.06,30.37,30.06,30.24,855800,0.0,0
2012-03-20,29.76,30.49,29.76,30.32,1064500,0.0,0
2012-03-21,30.39,30.59,29.66,30.03,1316200,0.0,0
2012-03-22,29.8,30.02,29.36,29.57,1047200,0.0,0
2012-03-23,29.35,29.67,29.18,29.59,531200,0.0,0
2012-03-26,29.62,30.68,29.22,30.5,2182000,0.0,0
2012-03-27,30.5,32.06,30.15,31.38,2897800,0.0,0
2012-03-28,31.26,31.77,30.31,30.74,1842600,0.0,0
2012-03-29,30.46,31.28,30.16,31.27,1575000,0.0,0
2012-03-30,31.37,32.78,31.36,31.72,3047000,0.0,0
2012-04-02,31.68,33.6,31.16,33.23,3569600,0.0,0
2012-04-03,33.28,33.43,32.49,32.54,1833000,0.0,0
2012-04-04,32.38,32.73,31.84,32.24,1635000,0.0,0
2012-04-05,32.05,32.84,31.88,32.22,2259000,0.0,0
2012-04-09,31.62,31.86,31.27,31.57,1097200,0.0,0
2012-04-10,31.52,31.62,30.65,30.75,1154100,0.0,0
2012-04-11,31.13,31.49,30.89,30.94,1014600,0.0,0
2012-04-12,30.98,31.54,30.9,31.21,1290800,0.0,0
2012-04-13,31.18,31.44,30.58,30.68,559500,0.0,0
2012-04-16,30.8,30.98,30.0,30.08,918800,0.0,0
2012-04-17,30.38,31.28,30.22,31.12,1941400,0.0,0
2012-04-18,30.93,31.66,30.9,31.52,937400,0.0,0
2012-04-19,31.42,32.4,31.27,31.32,1065200,0.0,0
2012-04-20,31.44,31.71,31.07,31.14,1228300,0.0,0
2012-04-23,30.88,30.9,30.01,30.18,3340600,0.0,0
2012-04-24,30.05,30.41,29.55,29.68,927200,0.0,0
2012-04-25,30.0,30.32,29.82,29.96,1181900,0.0,0
2012-04-26,30.0,30.69,29.59,30.57,1977600,0.0,0
2012-04-27,32.23,33.66,31.91,32.79,5913200,0.0,0
2012-04-30,32.42,33.38,32.37,33.36,2465500,0.0,0
2012-05-01,32.35,33.69,32.08,32.49,4908600,0.0,0
2012-05-02,38.46,39.54,37.42,37.91,7645700,0.0,0
2012-05-03,37.91,38.68,35.78,36.37,3519600,0.0,0
2012-05-04,35.56,36.18,35.35,35.75,4765300,0.0,0
2012-05-07,35.39,36.44,35.39,36.43,3029100,0.0,0
2012-05-08,36.18,36.73,35.04,36.64,2288500,0.0,0
2012-05-09,36.05,36.53,35.66,36.18,1071200,0.0,0
2012-05-10,36.63,37.08,35.97,36.27,1546800,0.0,0
2012-05-11,36.08,37.39,36.02,37.11,1494900,0.0,0
2012-05-14,36.82,37.86,36.47,37.03,1306600,0.0,0
2012-05-15,37.18,38.32,36.88,37.93,2558300,0.0,0
2012-05-16,38.18,38.99,37.99,38.81,3112900,0.0,0
2012-05-17,38.85,38.89,36.22,36.49,2521900,0.0,0
2012-05-18,36.97,36.98,35.4,36.16,3278800,0.0,0
2012-05-21,36.34,37.91,35.86,37.5,2208700,0.0,0
2012-05-22,37.64,39.32,37.34,37.91,2271500,0.0,0
2012-05-23,37.54,40.75,37.27,40.15,3128000,0.0,0
2012-05-24,40.05,40.3,39.35,39.48,1650000,0.0,0
2012-05-25,39.6,40.22,39.59,40.02,2139200,0.0,0
2012-05-29,40.73,40.73,39.47,40.25,1567700,0.0,0
2012-05-30,39.91,39.91,37.98,38.38,2061700,0.0,0
2012-05-31,38.67,38.99,37.47,38.13,2499100,0.0,0
2012-06-01,37.0,37.17,35.5,36.48,2355900,0.0,0
2012-06-04,36.6,37.01,35.68,36.9,1525100,0.0,0
2012-06-05,36.65,37.54,35.96,36.54,1301600,0.0,0
2012-06-06,36.34,38.96,36.34,38.23,2165700,0.0,0
2012-06-07,39.13,39.13,36.98,37.06,1862200,0.0,0
2012-06-08,37.36,38.37,36.96,38.26,1976700,0.0,0
2012-06-11,39.54,39.89,37.82,38.19,2273900,0.0,0
2012-06-12,38.27,40.08,38.06,40.04,2116600,0.0,0
2012-06-13,39.56,40.29,38.51,38.62,1474300,0.0,0
2012-06-14,38.8,39.64,37.97,39.17,957000,0.0,0
2012-06-15,39.29,39.53,38.68,39.47,1995900,0.0,0
2012-06-18,39.25,40.38,38.92,39.94,1449000,0.0,0
2012-06-19,40.02,40.12,38.8,39.34,1842000,0.0,0
2012-06-20,39.22,39.22,38.01,38.5,1370100,0.0,0
2012-06-21,38.71,38.99,37.66,38.25,977800,0.0,0
2012-06-22,38.65,40.99,38.57,40.49,3595400,0.0,0
2012-06-25,39.8,40.36,39.11,39.19,1158500,0.0,0
2012-06-26,39.17,39.91,39.08,39.14,890600,0.0,0
2012-06-27,39.45,40.33,39.02,39.5,996800,0.0,0
2012-06-28,39.1,39.36,37.51,38.75,1209500,0.0,0
2012-06-29,39.79,41.17,39.24,39.74,1908900,0.0,0
2012-07-02,39.78,41.8,39.77,40.91,1814900,0.0,0
2012-07-03,40.92,41.06,39.75,40.95,562800,0.0,0
2012-07-05,40.99,42.19,40.65,41.15,1517900,0.0,0
2012-07-06,40.76,41.39,40.34,41.23,887100,0.0,0
2012-07-09,41.15,41.52,39.97,40.41,926100,0.0,0
2012-07-10,40.64,40.74,38.91,39.8,1248500,0.0,0
2012-07-11,39.98,40.44,39.11,39.38,923100,0.0,0
2012-07-12,38.94,39.61,38.47,39.02,1544400,0.0,0
2012-07-13,39.14,41.75,38.67,40.77,2290500,0.0,0
2012-07-16,40.83,41.12,39.52,41.04,1010600,0.0,0
2012-07-17,41.8,41.82,40.35,40.48,1760700,0.0,0
2012-07-18,40.27,40.97,40.27,40.39,815300,0.0,0
