Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,11.09,11.28,11.05,11.22,5579200,0.0,0
2009-12-08,11.25,11.29,11.06,11.11,4393500,0.0,0
2009-12-09,11.15,11.2,10.97,11.07,4287800,0.0,0
2009-12-10,11.14,11.23,11.07,11.13,4363700,0.0,0
2009-12-11,11.22,11.36,11.15,11.16,3586600,0.0,0
2009-12-14,11.27,11.34,11.18,11.22,2426500,0.0,0
2009-12-15,11.22,11.24,11.01,11.06,2289400,0.0,0
2009-12-16,11.07,11.13,10.98,11.0,1981000,0.0,0
2009-12-17,11.0,11.01,10.77,10.77,3119200,0.0,0
2009-12-18,10.76,10.84,10.65,10.75,3538600,0.0,0
2009-12-21,10.74,10.93,10.74,10.84,2044200,0.0,0
2009-12-22,10.82,10.95,10.82,10.9,2209200,0.0,0
2009-12-23,10.97,10.98,10.84,10.9,2333000,0.0,0
2009-12-24,10.85,10.99,10.82,10.98,1340600,0.0,0
2009-12-28,11.02,11.16,10.95,11.14,1876800,0.0,0
2009-12-29,11.13,11.22,11.06,11.1,1334400,0.0,0
2009-12-30,11.08,11.11,10.98,11.04,1423100,0.0,0
2009-12-31,11.06,11.06,10.83,10.83,1773800,0.0,0
2010-01-04,10.83,10.86,10.73,10.81,3355000,0.0,0
2010-01-05,10.78,11.03,10.78,11.01,3781300,0.0,0
2010-01-06,11.29,11.58,11.11,11.57,6810500,0.0,0
2010-01-07,11.57,11.85,11.49,11.77,5979200,0.0,0
2010-01-08,11.73,11.8,11.58,11.74,3999300,0.0,0
2010-01-11,11.73,11.83,11.51,11.58,2875700,0.0,0
2010-01-12,11.53,11.59,11.42,11.45,3315600,0.0,0
2010-01-13,11.48,11.84,11.44,11.75,3900600,0.0,0
2010-01-14,12.26,12.44,12.12,12.4,8703500,0.0,0
2010-01-15,12.43,12.43,12.15,12.26,5633700,0.0,0
2010-01-19,12.24,12.41,12.12,12.35,4694600,0.0,0
2010-01-20,12.24,12.29,12.05,12.27,4448900,0.0,0
2010-01-21,12.27,12.33,11.95,12.05,6339100,0.0,0
2010-01-22,12.33,12.38,12.13,12.16,5865600,0.0,0
2010-01-25,12.25,12.41,12.08,12.26,4363300,0.0,0
2010-01-26,12.21,12.46,12.12,12.34,4628700,0.0,0
2010-01-27,12.34,12.38,12.11,12.17,5437200,0.0,0
2010-01-28,12.16,12.29,12.08,12.18,5243100,0.0,0
2010-01-29,12.27,12.36,12.17,12.2,4792900,0.0,0
2010-02-01,12.21,12.35,12.18,12.35,3347400,0.0,0
2010-02-02,12.36,12.7,12.33,12.6,4978000,0.0,0
2010-02-03,12.51,12.69,12.46,12.67,2992000,0.0,0
2010-02-04,12.57,12.57,12.27,12.35,4597900,0.0,0
2010-02-05,13.08,13.46,12.83,12.93,15735700,0.0,0
2010-02-08,13.11,13.46,12.94,13.32,9906700,0.0,0
2010-02-09,13.38,13.71,13.35,13.61,6883200,0.0,0
2010-02-10,13.63,13.76,13.46,13.71,5977000,0.0,0
2010-02-11,13.65,14.17,13.55,14.09,7058800,0.0,0
2010-02-12,14.03,14.22,13.8,14.16,4939400,0.0,0
2010-02-16,14.21,14.64,14.09,14.52,5945800,0.0,0
2010-02-17,14.56,14.72,14.33,14.68,7272900,0.0,0
2010-02-18,14.6,14.92,14.56,14.92,4726300,0.0,0
2010-02-19,14.85,15.07,14.78,14.97,7229500,0.0,0
2010-02-22,14.82,14.87,14.61,14.69,6349500,0.0,0
2010-02-23,14.7,14.83,14.58,14.79,5381100,0.0,0
2010-02-24,14.8,14.91,14.67,14.72,5659400,0.0,0
2010-02-25,14.58,15.05,14.56,15.05,6548700,0.04,0
2010-02-26,15.02,15.11,14.91,15.08,4022300,0.0,0
2010-03-01,15.09,15.44,15.03,15.2,3946000,0.0,0
2010-03-02,15.26,15.45,15.2,15.44,6095700,0.0,0
2010-03-03,15.54,15.57,15.2,15.24,7858700,0.0,0
2010-03-04,15.28,15.53,15.13,15.49,5822200,0.0,0
2010-03-05,15.1,15.45,15.1,15.26,8337500,0.0,0
2010-03-08,15.28,15.6,15.13,15.59,4690200,0.0,0
2010-03-09,15.52,15.67,15.44,15.58,3938100,0.0,0
2010-03-10,15.46,15.62,15.42,15.5,4417100,0.0,0
2010-03-11,15.59,15.71,15.41,15.7,3268400,0.0,0
2010-03-12,15.79,15.84,15.46,15.52,3854900,0.0,0
2010-03-15,15.49,15.59,15.31,15.37,3314800,0.0,0
2010-03-16,15.36,15.65,15.3,15.63,2467300,0.0,0
2010-03-17,15.6,15.74,15.52,15.67,4056600,0.0,0
2010-03-18,15.67,15.72,15.56,15.62,3167500,0.0,0
2010-03-19,15.68,15.77,15.53,15.68,6623100,0.0,0
2010-03-22,15.62,16.03,15.55,16.03,7209700,0.0,0
2010-03-23,16.07,16.21,15.96,16.19,4459400,0.0,0
2010-03-24,16.31,16.4,16.25,16.32,8164500,0.0,0
2010-03-25,16.37,16.43,16.09,16.12,5439900,0.0,0
