Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,27.0,27.51,27.0,27.14,1350000,0.0,0.0
2009-12-08,27.07,27.17,26.63,26.82,729200,0.0,0.0
2009-12-09,26.82,26.82,26.31,26.39,1112800,0.0,0.0
2009-12-10,26.57,27.26,26.48,27.17,1988800,0.0,0.0
2009-12-11,27.49,28.01,27.36,27.78,1761000,0.0,0.0
2009-12-14,27.97,28.66,27.97,28.61,1877800,0.0,0.0
2009-12-15,28.18,28.93,27.69,28.7,3905200,0.0,0.0
2009-12-16,28.75,29.82,28.71,29.74,1838800,0.0,2.0
2009-12-17,29.32,29.68,28.77,28.9,1429700,0.0,0.0
2009-12-18,29.85,29.95,29.02,29.02,2917800,0.0,0.0
2009-12-21,29.19,30.28,29.03,29.68,1177600,0.0,0.0
2009-12-22,29.65,29.9,29.63,29.78,1051200,0.0,0.0
2009-12-23,29.76,30.89,29.58,30.46,1627400,0.0,0.0
2009-12-24,30.58,30.65,30.32,30.51,244400,0.0,0.0
2009-12-28,30.63,30.81,30.09,30.13,578500,0.0,0.0
2009-12-29,30.17,30.17,29.76,29.76,384700,0.0,0.0
2009-12-30,29.59,29.79,29.24,29.29,648100,0.0,0.0
2009-12-31,29.35,29.39,29.09,29.09,774500,0.0,0.0
2010-01-04,29.24,29.71,29.24,29.71,1553600,0.0,0.0
2010-01-05,29.7,29.97,29.29,29.47,1210900,0.0,0.0
2010-01-06,29.5,29.79,29.23,29.33,1039700,0.0,0.0
2010-01-07,29.42,29.85,29.22,29.77,1186300,0.0,0.0
2010-01-08,29.81,31.17,29.77,31.11,1906000,0.0,0.0
2010-01-11,31.35,31.59,30.75,30.79,803500,0.0,0.0
2010-01-12,30.59,30.7,29.74,29.86,882200,0.0,0.0
2010-01-13,30.05,31.27,30.05,31.25,1360200,0.0,0.0
2010-01-14,31.03,31.87,30.92,31.82,1185600,0.0,0.0
2010-01-15,31.8,31.82,30.73,30.86,934000,0.0,0.0
2010-01-19,30.51,30.69,29.36,30.68,1775900,0.0,0.0
2010-01-20,30.46,30.46,28.23,28.92,4784300,0.0,0.0
2010-01-21,28.89,29.14,27.72,27.88,1792000,0.0,0.0
2010-01-22,27.86,28.52,27.34,27.42,1566600,0.0,0.0
2010-01-25,27.66,28.39,27.39,28.17,1579000,0.0,0.0
2010-01-26,28.06,29.53,27.95,29.42,1844100,0.0,0.0
2010-01-27,29.43,29.43,28.34,28.83,1858300,0.0,0.0
2010-01-28,28.88,28.98,27.78,28.03,1066900,0.0,0.0
2010-01-29,28.07,28.49,27.68,27.81,937600,0.0,0.0
2010-02-01,27.87,28.0,27.47,28.0,1136800,0.0,0.0
2010-02-02,28.05,29.01,27.83,28.94,1098700,0.0,0.0
2010-02-03,28.9,28.9,28.36,28.5,431200,0.0,0.0
2010-02-04,28.37,28.37,27.68,27.82,945300,0.0,0.0
2010-02-05,27.85,27.9,27.09,27.5,902800,0.0,0.0
2010-02-08,27.44,27.78,27.09,27.6,1375000,0.0,0.0
2010-02-09,27.92,28.95,27.71,28.84,1585500,0.0,0.0
2010-02-10,28.66,29.77,28.66,29.44,2193500,0.0,0.0
2010-02-11,29.31,30.0,29.04,29.93,942400,0.0,0.0
2010-02-12,29.61,30.54,29.45,30.54,1024000,0.0,0.0
2010-02-16,30.72,30.8,30.23,30.53,1031100,0.0,0.0
2010-02-17,30.52,30.81,30.26,30.37,1578100,0.0,0.0
2010-02-18,30.27,30.47,29.72,30.43,1804500,0.0,0.0
2010-02-19,30.31,30.8,30.31,30.79,926000,0.0,0.0
2010-02-22,30.78,31.0,29.92,30.0,1185600,0.0,0.0
2010-02-23,29.81,29.94,29.1,29.15,1275200,0.0,0.0
2010-02-24,29.16,29.28,28.79,28.99,1285100,0.0,0.0
2010-02-25,28.68,29.78,28.2,29.62,1725600,0.05,0.0
2010-02-26,29.16,30.41,28.33,29.63,2416700,0.0,0.0
2010-03-01,29.79,30.33,29.73,30.27,1207000,0.0,0.0
2010-03-02,30.43,30.78,30.26,30.61,686600,0.0,0.0
2010-03-03,30.76,30.93,30.16,30.24,882500,0.0,0.0
2010-03-04,30.19,31.61,30.16,31.55,1720700,0.0,0.0
2010-03-05,31.75,31.81,31.34,31.62,960200,0.0,0.0
2010-03-08,31.68,31.72,31.5,31.58,608700,0.0,0.0
2010-03-09,31.45,31.63,31.09,31.09,1498100,0.0,0.0
2010-03-10,31.17,32.14,30.45,32.01,3239800,0.0,0.0
2010-03-11,31.82,32.19,31.51,32.16,1536000,0.0,0.0
2010-03-12,32.1,32.24,30.96,31.55,1197600,0.0,0.0
2010-03-15,31.54,32.42,31.21,32.35,1371500,0.0,0.0
2010-03-16,32.45,32.64,32.28,32.62,1131700,0.0,0.0
2010-03-17,32.82,33.43,32.48,33.08,1750300,0.0,0.0
2010-03-18,33.22,33.4,32.58,32.64,1769600,0.0,0.0
2010-03-19,32.92,33.0,32.33,32.92,1767700,0.0,0.0
2010-03-22,33.2,35.07,33.2,34.96,3787400,0.0,0.0
2010-03-23,35.09,35.1,34.18,34.34,1192300,0.0,0.0
2010-03-24,34.31,34.36,33.46,33.6,1276900,0.0,0.0
2010-03-25,33.7,33.88,33.42,33.61,868100,0.0,0.0
2010-03-26,33.66,34.15,33.61,34.04,1283200,0.0,0.0
2010-03-29,34.21,34.55,34.07,34.46,941900,0.0,0.0
2010-03-30,34.54,34.63,34.1,34.2,1297100,0.0,0.0
2010-03-31,34.12,34.15,33.35,33.52,756200,0.0,0.0
2010-04-01,33.78,35.23,33.69,35.07,1578200,0.0,0.0
2010-04-05,35.07,35.42,34.88,34.99,672600,0.0,0.0
2010-04-06,34.94,35.32,34.83,35.05,789000,0.0,0.0
2010-04-07,34.91,35.18,34.21,35.14,1650600,0.0,0.0
2010-04-08,35.08,35.37,34.6,35.34,1141200,0.0,0.0
2010-04-09,35.4,35.44,34.67,34.7,1126300,0.0,0.0
2010-04-12,34.72,35.52,34.66,34.87,1792000,0.0,0.0
2010-04-13,34.92,35.16,34.35,34.45,1102400,0.0,0.0
2010-04-14,34.66,34.68,33.85,33.87,1128500,0.0,0.0
2010-04-15,33.87,33.98,33.56,33.8,1133300,0.0,0.0
2010-04-16,33.71,33.93,32.2,33.3,3856500,0.0,0.0
2010-04-19,33.67,34.33,33.09,34.16,1965500,0.0,0.0
2010-04-20,34.54,35.46,33.85,35.35,2057200,0.0,0.0
2010-04-21,35.28,35.59,34.22,34.38,1347700,0.0,0.0
2010-04-22,34.1,34.68,33.83,34.27,1113000,0.0,0.0
2010-04-23,34.36,35.41,34.36,34.88,1997300,0.0,0.0
2010-04-26,34.95,35.0,34.26,34.36,1178200,0.0,0.0
2010-04-27,34.33,36.5,34.33,35.24,3694900,0.0,0.0
2010-04-28,35.33,35.53,34.92,35.11,1379600,0.0,0.0
2010-04-29,35.22,36.57,35.11,36.47,1264500,0.0,0.0
2010-04-30,36.49,36.95,35.44,35.46,1487900,0.0,0.0
2010-05-03,35.65,36.46,35.27,36.16,1290900,0.0,0.0
2010-05-04,35.99,35.99,34.77,34.83,1218800,0.0,0.0
2010-05-05,34.67,35.21,34.28,34.4,1316600,0.0,0.0
2010-05-06,34.2,34.82,31.93,33.47,1816800,0.0,0.0
2010-05-07,33.53,34.3,33.26,33.89,2637500,0.0,0.0
2010-05-10,35.11,35.32,34.55,35.01,1332700,0.0,0.0
2010-05-11,34.7,36.01,34.45,35.81,1682200,0.0,0.0
2010-05-12,36.01,36.4,35.71,36.25,1087100,0.0,0.0
2010-05-13,36.12,36.82,35.98,36.02,1291800,0.0,0.0
2010-05-14,35.81,38.99,35.25,37.3,4621900,0.0,0.0
2010-05-17,41.27,41.53,39.17,40.26,7216400,0.0,0.0
2010-05-18,40.1,40.6,39.61,39.89,3878000,0.0,0.0
2010-05-19,39.68,40.32,39.51,40.22,1721700,0.0,0.0
2010-05-20,39.4,40.69,39.32,39.94,2875700,0.0,0.0
2010-05-21,39.64,40.47,38.94,40.11,2491600,0.0,0.0
2010-05-24,39.92,40.42,39.55,39.63,1815000,0.0,0.0
2010-05-25,39.07,40.09,38.89,39.97,1911300,0.0,0.0
2010-05-26,40.19,41.19,39.89,40.45,1836700,0.0,0.0
2010-05-27,41.29,41.73,40.99,41.19,1654000,0.05,0.0
2010-05-28,41.09,41.29,40.37,40.53,1224000,0.0,0.0
2010-06-01,40.26,40.9,39.94,40.08,1217300,0.0,0.0
2010-06-02,40.21,41.23,40.21,41.22,1334700,0.0,0.0
2010-06-03,41.57,41.89,40.77,41.47,1033200,0.0,0.0
2010-06-04,40.78,41.36,39.55,39.76,1217400,0.0,0.0
2010-06-07,39.83,40.4,39.24,39.44,1105400,0.0,0.0
2010-06-08,39.44,39.68,38.0,38.56,2064200,0.0,0.0
2010-06-09,38.84,39.83,38.77,39.1,1559600,0.0,0.0
2010-06-10,39.75,40.1,39.1,40.08,1107900,0.0,0.0
2010-06-11,39.65,40.31,39.58,40.31,875800,0.0,0.0
2010-06-14,40.46,40.84,40.31,40.44,925800,0.0,0.0
2010-06-15,40.82,41.39,40.73,41.35,759100,0.0,0.0
2010-06-16,41.04,41.45,40.59,40.9,1704200,0.0,0.0
2010-06-17,41.03,41.21,40.35,40.61,1495700,0.0,0.0
2010-06-18,40.61,40.66,39.45,39.53,1759700,0.0,0.0
2010-06-21,39.76,40.0,38.28,38.51,1660800,0.0,0.0
2010-06-22,38.58,39.06,37.5,37.52,1622800,0.0,0.0
2010-06-23,37.41,38.54,37.04,38.05,1729200,0.0,0.0
2010-06-24,38.62,38.86,38.13,38.5,2076200,0.0,0.0
2010-06-25,38.49,38.79,38.2,38.33,1963800,0.0,0.0
2010-06-28,38.33,38.34,37.51,37.76,1498500,0.0,0.0
2010-06-29,37.24,37.34,36.42,36.99,1431700,0.0,0.0
2010-06-30,36.85,37.16,36.46,36.49,1512800,0.0,0.0
2010-07-01,36.69,36.69,34.84,35.54,1676500,0.0,0.0
2010-07-02,35.67,35.67,34.75,35.0,1251000,0.0,0.0
2010-07-06,35.5,35.64,34.68,34.84,1355300,0.0,0.0
2010-07-07,34.81,35.17,34.51,35.14,886800,0.0,0.0
2010-07-08,35.37,36.22,35.06,35.14,2478700,0.0,0.0
2010-07-09,35.12,35.29,34.56,34.9,1308700,0.0,0.0
2010-07-12,34.86,35.21,34.57,34.82,895500,0.0,0.0
2010-07-13,35.05,35.43,34.89,35.26,834300,0.0,0.0
2010-07-14,35.27,36.2,34.96,35.95,1340400,0.0,0.0
2010-07-15,35.88,36.13,35.38,36.01,1144100,0.0,0.0
2010-07-16,35.86,35.86,35.09,35.21,1313300,0.0,0.0
2010-07-19,35.2,35.53,34.91,35.04,768800,0.0,0.0
2010-07-20,34.72,34.84,34.31,34.62,1352300,0.0,0.0
2010-07-21,34.81,34.81,33.28,33.43,2740100,0.0,0.0
2010-07-22,33.8,34.05,33.36,33.38,1010700,0.0,0.0
2010-07-23,33.22,33.69,33.09,33.5,1650400,0.0,0.0
2010-07-26,33.82,34.97,33.43,34.73,2407200,0.0,0.0
2010-07-27,33.72,34.69,33.48,33.89,3449000,0.0,0.0
2010-07-28,34.0,34.3,33.01,33.06,1139400,0.0,0.0
2010-07-29,33.19,33.56,32.52,32.79,1359600,0.0,0.0
2010-07-30,32.55,34.47,32.42,34.4,2132100,0.0,0.0
2010-08-02,35.36,35.88,33.26,33.4,2190500,0.0,0.0
2010-08-03,33.2,34.71,33.14,34.62,2215600,0.0,0.0
2010-08-04,34.82,37.07,34.6,36.09,3294200,0.0,0.0
