Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,43.0,43.0,42.72,42.92,4357500,0.0,0
2009-12-08,43.51,43.51,42.62,42.83,6394000,0.0,0
2009-12-09,43.04,43.15,42.58,42.84,4119700,0.0,0
2009-12-10,43.09,43.34,42.46,42.75,4972000,0.0,0
2009-12-11,42.92,43.56,42.77,43.03,4969800,0.0,0
2009-12-14,43.37,43.76,43.19,43.76,3614900,0.0,0
2009-12-15,43.67,44.25,43.55,43.95,4683300,0.0,0
2009-12-16,44.03,44.32,43.67,43.76,4451300,0.0,0
2009-12-17,43.18,43.38,42.63,43.19,4150800,0.0,0
2009-12-18,43.41,43.56,42.78,43.01,5633600,0.0,0
2009-12-21,43.09,43.53,43.09,43.48,3192700,0.0,0
2009-12-22,43.63,43.81,43.35,43.45,3125400,0.0,0
2009-12-23,43.31,43.56,42.91,43.02,2667100,0.0,0
2009-12-24,43.16,43.28,43.05,43.11,684800,0.0,0
2009-12-28,43.29,43.29,42.82,42.99,1788400,0.0,0
2009-12-29,43.01,43.54,43.01,43.43,2576800,0.0,0
2009-12-30,43.2,43.42,42.91,43.15,2596900,0.0,0
2009-12-31,43.01,43.04,42.51,42.55,2357500,0.0,0
2010-01-04,43.15,43.63,43.01,43.15,3897200,0.0,0
2010-01-05,43.21,43.76,43.11,43.23,5966300,0.0,0
2010-01-06,43.18,43.22,42.88,42.91,5770200,0.0,0
2010-01-07,42.99,42.99,42.42,42.58,5747000,0.0,0
2010-01-08,44.33,45.34,44.15,44.63,13779300,0.0,0
2010-01-11,44.91,47.01,44.88,46.6,13744900,0.0,0
2010-01-12,46.37,46.68,46.06,46.28,5662500,0.0,0
2010-01-13,46.83,46.89,45.94,46.04,5822600,0.0,0
2010-01-14,45.88,46.25,45.86,46.14,4698000,0.0,0
2010-01-15,46.14,46.28,45.78,45.94,6066300,0.0,0
2010-01-19,46.0,46.57,45.99,46.17,3525000,0.0,0
2010-01-20,46.11,46.14,45.0,45.36,5261100,0.0,0
2010-01-21,45.3,45.48,44.16,44.28,6344200,0.0,0
2010-01-22,44.13,44.17,43.47,43.58,5623300,0.0,0
2010-01-25,43.84,44.15,43.21,43.58,3520500,0.0,0
2010-01-26,43.38,43.91,42.94,43.5,3285800,0.0,0
2010-01-27,43.5,44.13,43.11,44.01,5247300,0.0,0
2010-01-28,44.14,44.24,43.07,43.73,5711600,0.0,0
2010-01-29,43.86,44.35,42.81,42.85,6565200,0.0,0
2010-02-01,42.98,43.41,42.61,43.31,6331100,0.0,0
2010-02-02,44.31,44.47,43.24,43.48,7843800,0.0,0
2010-02-03,43.56,43.99,43.21,43.67,4745400,0.0,0
2010-02-04,43.34,43.49,42.46,42.49,7259900,0.0,0
2010-02-05,42.41,42.82,41.71,42.43,5799400,0.0,0
2010-02-08,42.41,42.58,41.9,42.0,3485100,0.0,0
2010-02-09,42.54,43.15,42.2,42.58,5253000,0.0,0
2010-02-10,42.61,42.61,41.96,42.33,4704000,0.0,0
2010-02-11,42.49,42.74,42.15,42.42,6647300,0.47,0
2010-02-12,42.08,42.2,41.71,41.99,6148400,0.0,0
