Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,16.54,16.61,16.45,16.47,9660800,0.0,0.0
2009-12-08,16.4,16.57,16.39,16.48,10418800,0.0,0.0
2009-12-09,16.4,16.88,16.38,16.84,16743600,0.0,0.0
2009-12-10,16.87,17.05,16.77,16.96,14546800,0.0,0.0
2009-12-11,16.95,16.98,16.72,16.76,11518800,0.0,0.0
2009-12-14,17.5,17.7,17.2,17.46,70498800,0.0,0.0
2009-12-15,17.35,17.76,17.29,17.75,38040000,0.0,0.0
2009-12-16,17.77,18.02,17.69,17.93,33778800,0.0,0.0
2009-12-17,17.82,18.01,17.62,17.93,38240000,0.0,0.0
2009-12-18,18.01,18.48,18.0,18.33,337533600,0.0,0.0
2009-12-21,18.33,18.35,17.85,18.03,44560800,0.0,0.0
2009-12-22,18.06,18.12,17.69,17.78,28816800,0.0,0.0
2009-12-23,17.81,17.92,17.65,17.75,23111600,0.0,0.0
2009-12-24,17.84,17.88,17.68,17.78,6912400,0.0,0.0
2009-12-28,17.81,17.92,17.74,17.87,13439600,0.0,0.0
2009-12-29,17.85,18.19,17.85,18.13,18743200,0.0,0.0
2009-12-30,18.02,18.19,18.02,18.16,12350800,0.0,0.0
2009-12-31,18.13,18.17,17.96,18.02,12643600,0.0,0.0
2010-01-04,18.13,18.29,18.02,18.16,20180000,0.0,0.0
2010-01-05,17.99,18.03,17.72,17.95,25833600,0.0,0.0
2010-01-06,17.93,17.94,17.7,17.71,16254000,0.0,0.0
2010-01-07,17.71,17.92,17.63,17.87,27841200,0.0,0.0
2010-01-08,17.89,18.0,17.77,17.92,11907200,0.0,0.0
2010-01-11,18.03,18.12,17.75,17.87,12912000,0.0,0.0
2010-01-12,17.84,17.93,17.69,17.79,12842000,0.0,0.0
2010-01-13,17.81,17.97,17.71,17.95,13428800,0.0,0.0
2010-01-14,17.92,18.03,17.82,18.01,18379600,0.0,0.0
2010-01-15,18.02,18.04,17.7,17.75,21295200,0.0,0.0
2010-01-19,17.75,18.21,17.66,18.1,15239600,0.0,0.0
2010-01-20,18.06,18.08,17.78,18.01,12771200,0.0,0.0
2010-01-21,18.02,18.11,17.33,17.4,28140800,0.0,0.0
2010-01-22,17.31,17.39,16.82,17.04,29776400,0.0,0.0
2010-01-25,17.18,17.27,16.77,16.9,16147200,0.0,0.0
2010-01-26,16.76,17.01,16.69,16.72,12437600,0.0,0.0
2010-01-27,16.66,17.33,16.61,17.29,19335200,0.0,0.0
2010-01-28,17.38,17.4,16.77,17.03,13070800,0.0,0.0
2010-01-29,17.02,17.51,16.87,16.9,20281600,0.0,0.0
2010-02-01,16.95,17.46,16.94,17.24,16098000,0.0,0.0
2010-02-02,17.36,17.4,17.2,17.31,14441600,0.0,0.0
2010-02-03,17.36,17.41,16.91,17.21,32197600,0.0,0.0
2010-02-04,17.56,17.76,17.06,17.11,66486800,0.0,0.0
2010-02-05,17.17,17.28,16.59,17.01,38687200,0.0,0.0
2010-02-08,17.08,17.38,17.01,17.11,23966800,0.0,0.0
2010-02-09,17.24,17.33,17.04,17.16,17968000,0.0,0.0
2010-02-10,17.3,17.39,17.18,17.34,14572800,0.125,0.0
2010-02-11,17.37,17.66,17.26,17.65,18044800,0.0,0.0
2010-02-12,17.51,17.61,17.34,17.57,22114800,0.0,0.0
2010-02-16,17.67,17.81,17.66,17.8,16065600,0.0,0.0
2010-02-17,17.83,17.94,17.78,17.91,14976800,0.0,0.0
2010-02-18,17.83,18.13,17.83,18.02,15289200,0.0,0.0
2010-02-19,17.83,18.03,17.72,17.99,13672000,0.0,0.0
2010-02-22,18.04,18.19,17.99,18.01,11572800,0.0,0.0
2010-02-23,18.04,18.15,17.84,17.85,19129200,0.0,0.0
2010-02-24,17.87,17.95,17.57,17.75,16210000,0.0,0.0
2010-02-25,17.57,17.71,17.36,17.67,14140800,0.0,0.0
2010-02-26,17.74,17.77,17.62,17.68,12476400,0.0,0.0
2010-03-01,17.72,18.02,17.68,18.0,13495200,0.0,0.0
2010-03-02,18.0,18.03,17.88,17.92,12901200,0.0,0.0
2010-03-03,17.95,18.08,17.87,17.99,13658000,0.0,0.0
2010-03-04,18.03,18.13,17.85,18.04,14576800,0.0,0.0
2010-03-05,18.12,18.36,18.05,18.35,19503600,0.0,0.0
2010-03-08,18.33,18.85,18.26,18.78,31258400,0.0,0.0
2010-03-09,18.71,19.0,18.63,18.69,36690800,0.0,0.0
2010-03-10,18.6,19.03,18.56,18.97,28438800,0.0,0.0
2010-03-11,18.86,19.33,18.82,19.22,55125200,0.0,0.0
2010-03-12,19.31,19.41,19.2,19.33,28641200,0.0,0.0
2010-03-15,19.25,19.31,18.89,19.15,20734000,0.0,0.0
2010-03-16,19.21,19.26,18.93,19.0,19068000,0.0,0.0
2010-03-17,19.09,19.15,18.91,18.97,14785200,0.0,0.0
2010-03-18,18.97,19.03,18.67,18.68,18766000,0.0,0.0
2010-03-19,18.41,18.81,18.38,18.41,24224000,0.0,0.0
2010-03-22,18.32,18.6,18.28,18.5,16674400,0.0,0.0
2010-03-23,18.55,18.72,18.5,18.65,13516400,0.0,0.0
2010-03-24,18.57,18.64,18.36,18.4,15611600,0.0,0.0
2010-03-25,18.59,19.02,18.55,18.74,20353600,0.0,0.0
2010-03-26,18.81,18.91,18.58,18.71,13536000,0.0,0.0
2010-03-29,18.77,18.89,18.68,18.7,11134400,0.0,0.0
2010-03-30,18.75,19.04,18.72,18.86,16330800,0.0,0.0
2010-03-31,18.8,19.11,18.76,18.87,12504400,0.0,0.0
2010-04-01,19.0,19.19,18.93,19.18,17464400,0.0,0.0
2010-04-05,19.29,19.32,19.09,19.17,15363200,0.0,0.0
2010-04-06,19.07,19.34,19.03,19.15,13813600,0.0,0.0
2010-04-07,19.17,19.17,18.78,18.8,14750400,0.0,0.0
2010-04-08,18.79,19.09,18.76,18.96,10770000,0.0,0.0
2010-04-09,19.06,19.2,19.0,19.18,9567200,0.0,0.0
2010-04-12,19.29,19.38,19.17,19.32,9323200,0.0,0.0
2010-04-13,19.36,19.44,19.1,19.23,11436000,0.0,0.0
2010-04-14,19.31,19.57,19.25,19.54,17329200,0.0,0.0
2010-04-15,19.56,19.74,19.47,19.58,20639200,0.0,0.0
2010-04-16,19.5,19.67,19.23,19.45,18766400,0.0,0.0
2010-04-19,19.32,19.52,19.09,19.3,12586400,0.0,0.0
2010-04-20,19.41,19.5,19.17,19.49,9090400,0.0,0.0
