Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,23.76,24.49,23.58,24.31,5670300,0.0,0
2009-12-08,24.2,24.27,23.73,24.17,3529300,0.0,0
2009-12-09,24.26,24.31,23.7,24.02,2746700,0.0,0
2009-12-10,24.06,24.77,24.04,24.64,3639700,0.0,0
2009-12-11,24.67,24.89,24.6,24.71,4926600,0.0,0
2009-12-14,24.66,24.89,24.11,24.29,4244800,0.0,0
2009-12-15,24.49,24.58,23.91,24.3,3635600,0.0,0
2009-12-16,24.57,24.73,24.24,24.4,3512300,0.0,0
2009-12-17,24.4,24.4,23.73,23.9,4157300,0.0,0
2009-12-18,23.91,24.01,23.35,23.97,5325000,0.0,0
2009-12-21,24.05,24.45,24.05,24.14,4746500,0.0,0
2009-12-22,24.17,24.17,23.73,23.75,3715200,0.0,0
2009-12-23,23.86,23.93,23.54,23.56,3434300,0.0,0
2009-12-24,23.53,23.69,23.49,23.62,1098500,0.0,0
2009-12-28,23.6,23.75,23.53,23.67,2642100,0.0,0
2009-12-29,23.65,24.05,23.63,23.97,3693300,0.0,0
2009-12-30,23.73,24.1,23.73,23.89,2855900,0.0,0
2009-12-31,23.97,24.17,23.7,23.76,2016000,0.0,0
2010-01-04,24.02,24.2,23.81,23.96,3132800,0.0,0
2010-01-05,23.96,24.02,23.61,24.01,4322700,0.0,0
2010-01-06,23.91,24.26,23.82,23.89,3614300,0.0,0
2010-01-07,23.92,24.29,23.59,24.13,6299000,0.0,0
2010-01-08,24.09,24.09,23.77,24.01,1765000,0.0,0
2010-01-11,23.99,24.17,23.78,24.12,3337500,0.0,0
2010-01-12,23.98,24.02,23.29,23.56,4338500,0.0,0
2010-01-13,23.69,23.8,23.44,23.71,2656700,0.0,0
2010-01-14,23.64,23.99,23.63,23.95,2870200,0.0,0
2010-01-15,23.92,23.95,23.26,23.53,4406000,0.0,0
2010-01-19,23.55,24.69,23.55,24.61,5845900,0.0,0
2010-01-20,24.44,24.63,24.25,24.54,4803400,0.0,0
2010-01-21,24.51,24.93,24.19,24.27,5270200,0.0,0
2010-01-22,24.15,24.15,23.52,23.63,4483300,0.0,0
