Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,44.25,45.17,44.08,44.41,984600,0.0,0
2009-12-08,44.17,45.16,43.34,43.97,874200,0.0,0
2009-12-09,44.19,44.56,43.2,43.65,1218300,0.0,0
2009-12-10,43.84,44.07,43.39,43.57,899200,0.0,0
2009-12-11,43.84,43.84,43.0,43.83,919500,0.0,0
2009-12-14,44.06,44.57,43.79,44.4,870500,0.0,0
2009-12-15,44.15,44.62,43.87,44.06,580400,0.0,0
2009-12-16,44.27,45.08,44.24,44.73,791600,0.0,0
2009-12-17,44.63,45.05,43.95,44.7,660400,0.0,0
2009-12-18,44.85,45.57,44.67,45.57,1409500,0.0,0
2009-12-21,45.48,47.26,45.48,46.9,1605800,0.0,0
2009-12-22,46.96,48.53,46.96,48.41,1024200,0.0,0
2009-12-23,48.51,48.97,48.3,48.3,1088000,0.0,0
2009-12-24,48.75,49.13,48.46,49.0,354500,0.0,0
2009-12-28,48.98,49.09,48.44,48.76,476800,0.0,0
2009-12-29,48.73,49.22,48.72,49.02,394800,0.0,0
2009-12-30,48.74,49.33,48.52,49.04,653500,0.0,0
2009-12-31,49.07,49.17,48.21,48.21,547000,0.0,0
2010-01-04,48.89,48.89,47.76,48.27,1128000,0.0,0
2010-01-05,48.38,48.45,47.6,48.45,830300,0.0,0
2010-01-06,48.51,49.76,48.51,49.29,1082900,0.0,0
2010-01-07,49.47,49.47,48.23,48.67,1126900,0.0,0
2010-01-08,48.62,48.84,47.86,48.19,702000,0.0,0
2010-01-11,48.6,48.62,47.32,47.76,973600,0.0,0
2010-01-12,47.33,47.98,47.22,47.67,894800,0.0,0
2010-01-13,47.76,48.34,47.24,48.32,680100,0.0,0
2010-01-14,48.21,48.4,47.66,48.19,482600,0.0,0
2010-01-15,48.21,48.34,46.68,46.83,1117100,0.0,0
2010-01-19,46.82,47.5,46.41,47.4,718500,0.0,0
2010-01-20,46.91,46.92,46.22,46.65,724400,0.0,0
2010-01-21,46.65,46.65,44.31,44.34,1477100,0.0,0
2010-01-22,43.96,44.59,42.99,43.08,1644600,0.0,0
2010-01-25,43.59,43.66,42.34,42.81,1594600,0.0,0
2010-01-26,42.56,43.51,42.18,42.97,1020500,0.0,0
2010-01-27,42.65,42.65,41.33,42.31,1506100,0.0,0
2010-01-28,42.52,42.52,40.92,41.35,995700,0.0,0
2010-01-29,41.55,42.0,40.3,40.45,1654800,0.0,0
2010-02-01,40.77,41.15,40.38,41.15,858500,0.0,0
2010-02-02,41.44,42.14,41.1,41.96,931200,0.0,0
2010-02-03,41.89,42.15,41.05,41.3,812400,0.0,0
2010-02-04,40.81,41.09,39.34,39.64,1976200,0.0,0
2010-02-05,39.63,40.1,38.99,39.97,1577200,0.0,0
2010-02-08,40.04,40.53,39.59,39.82,1544500,0.0,0
2010-02-09,39.34,39.64,38.26,39.02,3844900,0.0,0
2010-02-10,39.99,40.01,38.35,39.21,2004300,0.0,0
2010-02-11,39.18,39.43,38.59,39.41,1215500,0.0,0
2010-02-12,38.71,39.35,38.44,39.31,1457400,0.0,0
2010-02-16,39.55,40.84,39.38,40.72,1312600,0.0,0
2010-02-17,40.86,41.19,40.25,40.6,1008500,0.0,0
2010-02-18,40.43,40.83,40.21,40.69,620600,0.0,0
