Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,28.05,28.83,27.79,28.59,361500,0.0,0
2009-12-08,28.26,28.77,27.75,28.46,398200,0.0,0
2009-12-09,28.18,28.55,28.03,28.5,449600,0.0,0
2009-12-10,28.42,28.55,27.98,28.25,435200,0.0,0
2009-12-11,27.87,28.66,27.85,28.51,590700,0.0,0
2009-12-14,28.41,28.89,28.41,28.84,502300,0.0,0
2009-12-15,28.78,29.32,28.62,29.15,891900,0.0,0
2009-12-16,29.12,30.81,29.0,30.23,1572400,0.0,0
2009-12-17,30.09,30.48,29.84,30.24,929200,0.0,0
2009-12-18,30.22,30.84,29.57,30.4,8298500,0.0,0
2009-12-21,30.62,30.62,29.73,30.34,885900,0.0,0
2009-12-22,30.18,30.69,29.94,30.42,420900,0.0,0
2009-12-23,30.52,30.78,30.05,30.52,845700,0.0,0
2009-12-24,30.63,31.02,30.52,30.64,170800,0.0,0
2009-12-28,30.73,30.96,30.46,30.8,250100,0.0,0
2009-12-29,30.76,30.98,30.54,30.84,283400,0.0,0
2009-12-30,30.75,30.84,30.29,30.84,175200,0.0,0
2009-12-31,30.7,30.84,30.05,30.12,154600,0.0,0
2010-01-04,30.25,30.34,29.51,29.69,390000,0.0,0
2010-01-05,29.69,29.91,29.33,29.89,430000,0.0,0
2010-01-06,29.84,30.71,29.84,30.28,848900,0.0,0
2010-01-07,30.2,30.52,29.64,30.23,426600,0.0,0
2010-01-08,30.05,30.11,29.82,29.84,253200,0.0,0
2010-01-11,29.87,29.95,29.59,29.77,676500,0.0,0
2010-01-12,29.83,30.22,29.68,30.0,742000,0.0,0
2010-01-13,29.94,30.13,29.94,29.99,394400,0.0,0
2010-01-14,29.93,29.94,29.73,29.75,301100,0.0,0
2010-01-15,29.61,29.76,28.51,28.8,766000,0.0,0
2010-01-19,28.69,28.69,27.66,27.8,1531700,0.0,0
2010-01-20,27.66,27.95,27.54,27.84,957600,0.0,0
2010-01-21,27.84,28.25,27.76,27.89,681800,0.0,0
2010-01-22,28.05,28.22,27.78,27.86,595600,0.0,0
2010-01-25,27.83,28.09,27.76,27.8,256500,0.0,0
2010-01-26,27.68,28.6,27.68,28.2,302600,0.0,0
2010-01-27,28.08,29.09,27.86,28.75,475200,0.0,0
2010-01-28,28.6,28.88,28.42,28.62,495200,0.0,0
2010-01-29,28.68,28.75,27.85,27.97,389800,0.0,0
2010-02-01,28.06,28.31,28.05,28.26,400800,0.0,0
2010-02-02,28.24,28.44,27.75,27.81,536200,0.0,0
2010-02-03,27.81,27.98,27.75,27.84,309300,0.0,0
2010-02-04,27.78,27.79,27.56,27.6,617700,0.0,0
2010-02-05,27.6,27.67,26.51,27.55,645500,0.0,0
2010-02-08,27.58,27.76,27.24,27.48,632500,0.0,0
2010-02-09,27.44,27.95,27.44,27.69,1451000,0.0,0
2010-02-10,27.81,27.94,27.37,27.69,496600,0.0,0
2010-02-11,27.55,28.03,27.55,27.87,346900,0.0,0
2010-02-12,27.56,28.24,27.39,28.16,875600,0.0,0
2010-02-16,27.95,28.26,27.8,28.1,213500,0.0,0
2010-02-17,27.92,28.15,27.7,27.79,456100,0.0,0
2010-02-18,27.62,27.95,27.51,27.85,613800,0.0,0
2010-02-19,27.68,28.08,27.68,27.86,152500,0.0,0
2010-02-22,27.85,28.27,27.74,28.09,290500,0.0,0
2010-02-23,28.27,28.27,27.67,27.86,390400,0.0,0
2010-02-24,27.84,27.85,27.73,27.81,263000,0.0,0
