Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,19.06,19.16,18.97,19.07,412600,0.0,0.0
2009-12-08,18.94,18.97,18.63,18.86,542400,0.0,0.0
2009-12-09,18.89,18.89,18.53,18.78,263800,0.0,0.0
2009-12-10,18.97,19.13,18.67,18.75,404600,0.0,0.0
2009-12-11,18.9,19.13,18.8,19.0,458000,0.0,0.0
2009-12-14,19.07,19.29,19.02,19.22,431600,0.0,0.0
2009-12-15,19.12,19.22,18.99,19.03,570800,0.0,0.0
2009-12-16,19.19,19.21,18.85,18.95,546200,0.0,0.0
2009-12-17,18.66,18.89,18.66,18.83,538800,0.0,0.0
2009-12-18,19.31,19.37,18.9,19.23,822600,0.0,0.0
2009-12-21,19.34,19.63,19.32,19.59,399000,0.0,0.0
2009-12-22,19.59,19.94,19.43,19.78,972400,0.0,0.0
2009-12-23,19.78,20.02,19.64,19.88,343600,0.0,0.0
2009-12-24,19.87,19.92,19.71,19.83,111600,0.0,0.0
2009-12-28,19.99,19.99,19.74,19.84,267200,0.0,0.0
2009-12-29,19.84,19.91,19.78,19.83,281800,0.0,0.0
2009-12-30,19.79,20.03,19.7,19.81,335800,0.0,0.0
2009-12-31,19.81,19.85,19.58,19.59,488000,0.0,0.0
2010-01-04,19.83,20.12,19.78,20.01,510600,0.0,0.0
2010-01-05,19.92,20.08,19.84,20.02,587600,0.0,0.0
2010-01-06,20.0,20.4,19.93,20.14,1176400,0.0,0.0
2010-01-07,20.15,20.26,19.94,20.16,822000,0.0,0.0
2010-01-08,20.11,20.6,20.11,20.49,374400,0.0,0.0
2010-01-11,20.63,20.78,20.18,20.29,766800,0.0,0.0
2010-01-12,20.18,20.3,19.99,20.12,365600,0.0,0.0
2010-01-13,20.21,20.31,19.92,20.3,627600,0.0,0.0
2010-01-14,20.16,20.37,19.94,19.99,692000,0.0,0.0
2010-01-15,20.01,20.03,19.38,19.54,606000,0.0,0.0
2010-01-19,19.53,19.58,19.2,19.54,791600,0.0,0.0
2010-01-20,19.38,19.47,19.03,19.32,791200,0.0,0.0
2010-01-21,19.32,19.56,18.99,19.11,1102400,0.0,0.0
2010-01-22,19.13,19.22,18.87,18.95,1172200,0.0,0.0
2010-01-25,19.19,19.19,18.77,18.82,563400,0.0,0.0
2010-01-26,18.71,18.88,18.55,18.6,857600,0.0,0.0
2010-01-27,18.58,18.67,18.27,18.6,695400,0.0,0.0
2010-01-28,18.61,18.67,18.11,18.13,569200,0.0,0.0
2010-01-29,18.04,18.74,18.04,18.38,1856600,0.0,0.0
2010-02-01,18.47,18.72,18.37,18.45,742800,0.0,0.0
2010-02-02,18.39,18.74,18.36,18.53,529600,0.0,0.0
2010-02-03,18.38,18.48,18.11,18.24,713600,0.0,0.0
2010-02-04,18.08,18.11,17.61,17.69,642200,0.0,0.0
2010-02-05,17.68,17.79,17.34,17.75,1089400,0.0,0.0
2010-02-08,17.79,17.87,17.53,17.76,650800,0.0,0.0
2010-02-09,18.05,18.16,17.82,17.89,511000,0.0,0.0
2010-02-10,17.81,17.95,17.61,17.77,810400,0.01,0.0
2010-02-11,17.76,18.21,17.68,18.1,1164000,0.0,0.0
2010-02-12,17.92,18.12,17.67,18.07,756000,0.0,0.0
2010-02-16,18.29,18.4,18.1,18.27,573200,0.0,0.0
2010-02-17,18.27,18.44,18.23,18.43,721600,0.0,0.0
2010-02-18,18.48,18.86,18.34,18.76,516400,0.0,0.0
2010-02-19,18.74,18.98,18.72,18.83,347400,0.0,0.0
2010-02-22,18.86,18.96,18.75,18.89,422400,0.0,0.0
2010-02-23,18.26,18.84,18.09,18.56,822200,0.0,0.0
2010-02-24,18.54,18.66,17.91,18.11,1204000,0.0,0.0
2010-02-25,17.95,18.35,17.74,18.32,693400,0.0,0.0
2010-02-26,18.31,18.4,18.15,18.3,533000,0.0,0.0
2010-03-01,18.36,18.84,18.33,18.67,727000,0.0,0.0
2010-03-02,18.72,18.84,18.62,18.78,493800,0.0,0.0
2010-03-03,18.79,18.94,18.63,18.88,768000,0.0,0.0
2010-03-04,18.96,19.14,18.8,18.95,393600,0.0,0.0
2010-03-05,19.05,19.31,18.99,19.26,702400,0.0,0.0
2010-03-08,19.21,19.38,19.18,19.34,448600,0.0,0.0
2010-03-09,19.29,19.74,19.26,19.7,1327400,0.0,0.0
2010-03-10,19.64,20.02,19.59,19.97,811400,0.0,0.0
2010-03-11,19.91,20.14,19.78,20.14,707800,0.0,0.0
2010-03-12,20.18,20.45,20.11,20.44,657000,0.0,0.0
2010-03-15,20.35,20.56,20.29,20.53,509800,0.0,0.0
2010-03-16,20.62,20.85,20.54,20.79,549400,0.0,0.0
2010-03-17,20.89,21.07,20.8,20.96,341400,0.0,0.0
2010-03-18,20.46,20.97,20.46,20.77,1316000,0.0,0.0
2010-03-19,20.46,20.85,20.36,20.46,701400,0.0,0.0
2010-03-22,20.35,20.81,20.29,20.7,560800,0.0,0.0
2010-03-23,20.77,21.21,20.68,21.18,550000,0.0,0.0
2010-03-24,21.1,21.18,21.0,21.05,743000,0.0,0.0
2010-03-25,21.19,21.37,20.87,20.89,746600,0.0,0.0
2010-03-26,20.92,21.05,20.73,20.83,875200,0.0,0.0
2010-03-29,20.93,21.0,20.77,20.84,581200,0.0,0.0
2010-03-30,20.89,20.89,20.49,20.52,1101400,0.0,0.0
2010-03-31,20.42,20.51,20.18,20.21,957600,0.0,0.0
2010-04-01,20.35,20.52,20.29,20.47,318600,0.0,0.0
2010-04-05,20.61,20.98,20.51,20.98,308800,0.0,0.0
2010-04-06,20.92,20.97,20.7,20.8,945800,0.0,0.0
2010-04-07,20.22,20.22,19.73,19.91,1904200,0.0,0.0
2010-04-08,19.86,20.29,19.79,20.25,952200,0.0,0.0
2010-04-09,20.32,20.49,20.12,20.44,921000,0.0,0.0
2010-04-12,20.44,20.66,20.42,20.61,505000,0.0,0.0
2010-04-13,20.56,20.84,20.51,20.83,435400,0.0,0.0
2010-04-14,20.91,22.24,20.91,22.19,1580000,0.0,0.0
2010-04-15,22.07,22.68,21.98,22.62,1042600,0.0,0.0
2010-04-16,22.47,22.9,22.47,22.76,1647400,0.0,0.0
2010-04-19,22.7,22.85,22.55,22.83,1016200,0.0,0.0
2010-04-20,22.87,23.14,22.64,22.8,665400,0.0,0.0
2010-04-21,22.92,23.37,22.87,23.22,560800,0.0,0.0
2010-04-22,22.91,23.53,22.89,23.48,516600,0.0,0.0
2010-04-23,23.47,24.06,23.47,24.06,753200,0.0,0.0
2010-04-26,23.97,24.42,23.97,24.2,707400,0.0,0.0
2010-04-27,24.13,24.23,23.25,23.28,803800,0.0,0.0
2010-04-28,22.94,23.28,22.75,22.88,1243000,0.0,0.0
2010-04-29,22.99,23.28,22.9,23.26,1197000,0.0,0.0
2010-04-30,23.34,23.78,22.79,22.83,813000,0.0,0.0
2010-05-03,23.01,23.54,22.97,23.41,460200,0.0,0.0
2010-05-04,23.1,23.12,22.5,22.68,581400,0.0,0.0
2010-05-05,22.46,22.71,22.15,22.27,654200,0.0,0.0
2010-05-06,22.09,22.48,20.51,21.69,933200,0.0,0.0
2010-05-07,21.49,21.73,20.89,21.16,813800,0.0,0.0
2010-05-10,22.03,22.52,21.9,22.51,951000,0.0,0.0
2010-05-11,22.29,22.8,22.13,22.62,906800,0.0,0.0
2010-05-12,22.68,23.81,22.63,23.75,1240600,0.0,0.0
2010-05-13,23.62,23.86,23.36,23.45,1097200,0.01,0.0
2010-05-14,23.34,23.34,22.31,22.52,702600,0.0,0.0
2010-05-17,22.56,22.87,21.82,22.3,591000,0.0,0.0
2010-05-18,22.62,22.68,21.93,21.94,426400,0.0,0.0
2010-05-19,21.89,22.05,20.96,21.42,718600,0.0,0.0
2010-05-20,20.9,21.07,20.4,20.62,1236400,0.0,0.0
2010-05-21,20.29,21.24,20.12,20.86,1014200,0.0,0.0
2010-05-24,20.84,21.04,20.51,20.58,474600,0.0,0.0
2010-05-25,20.0,20.34,19.74,20.31,1095800,0.0,0.0
2010-05-26,20.5,20.89,20.21,20.3,811400,0.0,0.0
2010-05-27,20.74,21.19,20.61,21.19,724800,0.0,0.0
2010-05-28,21.19,21.19,20.51,20.81,426200,0.0,0.0
2010-06-01,20.61,20.93,20.13,20.14,303400,0.0,0.0
2010-06-02,20.25,20.67,20.09,20.66,500400,0.0,0.0
2010-06-03,20.65,21.2,20.65,21.16,567000,0.0,0.0
2010-06-04,20.45,20.86,20.06,20.14,1290000,0.0,0.0
2010-06-07,20.26,20.26,19.56,19.59,585400,0.0,0.0
2010-06-08,19.59,19.88,19.39,19.79,527200,0.0,0.0
2010-06-09,19.99,20.62,19.89,19.97,591800,0.0,0.0
2010-06-10,20.4,20.9,20.4,20.8,455200,0.0,0.0
2010-06-11,20.49,21.04,20.38,20.79,342400,0.0,0.0
2010-06-14,20.96,21.33,20.85,20.91,347000,0.0,0.0
2010-06-15,21.09,21.55,20.98,21.5,356000,0.0,0.0
2010-06-16,21.38,21.65,21.3,21.45,308400,0.0,0.0
2010-06-17,21.46,21.58,21.06,21.26,272400,0.0,0.0
2010-06-18,21.3,21.3,20.98,21.14,449400,0.0,0.0
2010-06-21,21.45,21.64,20.86,20.96,353800,0.0,0.0
2010-06-22,21.01,21.34,20.26,20.3,587800,0.0,0.0
2010-06-23,20.23,20.27,19.61,20.13,895600,0.0,0.0
2010-06-24,19.94,20.05,19.55,19.62,536800,0.0,0.0
2010-06-25,19.7,19.94,19.53,19.79,1988800,0.0,0.0
2010-06-28,19.78,20.21,19.66,19.89,430400,0.0,0.0
2010-06-29,19.56,19.67,19.1,19.24,726600,0.0,0.0
2010-06-30,19.19,19.45,19.06,19.15,577200,0.0,0.0
2010-07-01,19.14,19.35,18.81,19.05,862200,0.0,0.0
2010-07-02,19.14,19.23,18.85,19.02,493600,0.0,0.0
2010-07-06,19.3,19.53,18.45,18.58,586400,0.0,0.0
2010-07-07,18.57,18.91,18.47,18.88,784600,0.0,0.0
2010-07-08,19.01,19.36,18.94,19.32,693600,0.0,0.0
2010-07-09,19.24,19.74,19.2,19.68,450600,0.0,0.0
2010-07-12,19.56,19.7,19.35,19.4,414000,0.0,0.0
2010-07-13,19.58,20.4,19.58,20.3,660000,0.0,0.0
2010-07-14,20.28,20.61,20.04,20.51,789200,0.0,0.0
2010-07-15,20.59,21.3,20.53,21.09,1326800,0.0,0.0
