Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,61.31,62.35,60.54,60.9,1637600,0.0,0
2009-12-08,60.68,60.71,59.61,59.8,1412700,0.0,0
2009-12-09,59.83,60.36,58.42,59.0,2171600,0.0,0
2009-12-10,59.6,59.6,58.68,58.93,1175800,0.0,0
2009-12-11,58.95,59.42,58.01,58.29,1595600,0.0,0
2009-12-14,58.66,59.62,58.64,59.55,1343600,0.0,0
2009-12-15,58.58,60.54,58.58,60.36,1104600,0.0,0
2009-12-16,60.58,60.85,60.16,60.4,1134700,0.0,0
2009-12-17,59.9,61.75,59.45,61.7,1823900,0.0,0
2009-12-18,61.82,63.12,61.39,62.89,2118700,0.0,0
2009-12-21,62.94,65.14,62.63,65.12,1657300,0.0,0
2009-12-22,65.02,66.26,64.68,65.2,1545200,0.0,0
2009-12-23,65.27,65.27,63.99,64.6,851500,0.0,0
2009-12-24,64.78,64.88,64.32,64.65,229200,0.0,0
2009-12-28,64.88,65.58,64.03,64.4,700000,0.0,0
2009-12-29,64.73,64.92,63.93,64.04,679100,0.0,0
2009-12-30,63.6,63.89,62.94,63.7,636500,0.0,0
2009-12-31,63.93,64.25,62.79,62.87,534100,0.0,0
2010-01-04,63.43,64.09,62.74,63.87,1010100,0.0,0
2010-01-05,63.85,63.87,62.79,63.74,1209300,0.0,0
2010-01-06,63.7,64.25,63.03,63.18,1335100,0.0,0
2010-01-07,63.7,65.07,63.18,64.53,1567300,0.0,0
2010-01-08,64.25,66.04,64.25,65.91,1357200,0.0,0
2010-01-11,66.11,66.38,65.38,65.48,848100,0.0,0
2010-01-12,64.88,64.88,63.56,64.18,852600,0.0,0
2010-01-13,64.74,64.97,63.93,64.74,721300,0.0,0
2010-01-14,64.54,65.47,64.49,64.82,592500,0.0,0
2010-01-15,64.8,65.35,63.87,64.14,728600,0.0,0
2010-01-19,63.91,64.45,63.4,64.41,703800,0.0,0
2010-01-20,64.1,64.1,62.37,63.41,981200,0.0,0
2010-01-21,63.33,63.59,60.87,61.44,1368200,0.0,0
2010-01-22,60.92,61.54,59.19,60.46,2366900,0.0,0
2010-01-25,61.84,61.88,59.26,59.79,1076100,0.0,0
2010-01-26,59.51,60.36,58.73,59.31,996300,0.0,0
2010-01-27,59.07,59.52,58.1,59.14,848700,0.0,0
2010-01-28,59.27,59.92,58.26,58.98,1024900,0.0,0
