Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,24.64,24.97,24.57,24.86,1335600.0,0.0,0
2009-12-08,24.7,24.75,24.17,24.4,1593300.0,0.0,0
2009-12-09,24.42,24.65,24.26,24.43,1605100.0,0.0,0
2009-12-10,24.47,24.54,24.3,24.54,1982000.0,0.0,0
2009-12-11,24.52,24.71,24.24,24.43,1793400.0,0.0,0
2009-12-14,24.68,24.82,24.45,24.63,1472300.0,0.0,0
2009-12-15,24.52,24.58,24.21,24.31,2086100.0,0.0,0
2009-12-16,24.38,24.48,24.1,24.24,2733700.0,0.0,0
2009-12-17,24.09,24.32,23.9,24.07,2718100.0,0.0,0
2009-12-18,24.26,24.42,24.1,24.27,4291600.0,0.0,0
2009-12-21,24.4,24.84,24.14,24.27,2403000.0,0.0,0
2009-12-22,24.3,24.43,24.14,24.27,1056300.0,0.0,0
2009-12-23,24.4,24.8,24.28,24.77,2105200.0,0.0,0
2009-12-24,24.85,24.98,24.83,24.84,539700.0,0.0,0
2009-12-28,24.88,24.98,24.76,24.97,1598000.0,0.0,0
2009-12-29,24.96,25.13,24.87,25.09,1569300.0,0.0,0
2009-12-30,25.02,25.15,24.88,25.01,1167900.0,0.0,0
2009-12-31,25.04,25.05,24.87,24.88,1347000.0,0.0,0
2010-01-04,25.02,25.21,24.92,25.13,2058800.0,0.0,0
2010-01-05,25.18,25.18,24.85,25.02,2961700.0,0.0,0
2010-01-06,24.92,25.13,24.85,25.02,1636700.0,0.0,0
2010-01-07,24.97,25.1,24.88,25.07,1406700.0,0.0,0
2010-01-08,24.96,25.26,24.77,25.19,1451900.0,0.0,0
2010-01-11,25.28,25.55,25.22,25.51,1731700.0,0.0,0
2010-01-12,25.45,25.68,25.24,25.66,2191900.0,0.0,0
2010-01-13,25.66,25.75,25.5,25.6,1952500.0,0.0,0
2010-01-14,25.54,25.57,25.25,25.34,2481700.0,0.0,0
2010-01-15,25.28,25.3,24.39,24.46,4103700.0,0.0,0
2010-01-19,24.47,24.96,24.41,24.96,3002200.0,0.0,0
2010-01-20,24.76,24.83,24.29,24.81,3236500.0,0.0,0
2010-01-21,24.79,25.01,24.3,24.35,3303900.0,0.0,0
2010-01-22,24.38,24.71,24.15,24.18,2825300.0,0.0,0
2010-01-25,24.36,24.36,23.99,24.01,1669700.0,0.0,0
2010-01-26,23.93,24.21,23.74,23.96,1752700.0,0.0,0
2010-01-27,23.92,24.09,23.65,23.97,1873700.0,0.0,0
2010-01-28,24.08,24.08,23.42,23.62,2761400.0,0.0,0
2010-01-29,23.79,23.93,23.51,23.58,2373700.0,0.0,0
2010-02-01,23.69,23.88,23.42,23.68,1834100.0,0.0,0
2010-02-02,23.68,24.0,23.65,23.92,1881100.0,0.0,0
2010-02-03,23.86,23.96,23.7,23.89,1071200.0,0.0,0
2010-02-04,23.75,23.87,23.35,23.4,2477600.0,0.0,0
2010-02-05,23.35,23.63,23.08,23.41,2663600.0,0.0,0
2010-02-08,23.45,23.51,23.1,23.1,1737700.0,0.0,0
2010-02-09,23.29,23.67,23.22,23.59,2018100.0,0.0,0
2010-02-10,23.59,23.65,23.22,23.48,1374100.0,0.0,0
2010-02-11,23.35,23.54,23.03,23.49,2636200.0,0.0,0
2010-02-12,23.32,23.54,23.02,23.42,3396800.0,0.0,0
2010-02-16,23.9,24.35,23.84,24.21,2948500.0,0.0,0
2010-02-17,24.35,24.43,24.16,24.28,2075100.0,0.0,0
2010-02-18,24.21,24.34,24.04,24.21,2765800.0,0.0,0
2010-02-19,24.14,24.63,24.01,24.56,2581200.0,0.0,0
2010-02-22,24.65,24.65,24.43,24.54,1396000.0,0.0,0
2010-02-23,24.24,24.49,23.94,24.0,2547600.0,0.0,0
2010-02-24,24.08,24.27,23.92,24.22,3163500.0,0.0,0
2010-02-25,24.01,24.3,23.85,24.3,2507200.0,0.0,0
2010-02-26,24.31,24.38,24.13,24.29,1879800.0,0.0,0
2010-03-01,24.54,24.85,24.52,24.79,2404900.0,0.315,0
2010-03-02,24.88,24.98,24.81,24.89,1690100.0,0.0,0
2010-03-03,24.9,25.08,24.77,24.88,1579300.0,0.0,0
2010-03-04,24.88,25.01,24.74,24.86,1389900.0,0.0,0
2010-03-05,24.99,25.15,24.91,25.15,1624900.0,0.0,0
2010-03-08,25.21,25.21,24.93,24.96,1645100.0,0.0,0
2010-03-09,24.94,24.99,24.77,24.97,1929900.0,0.0,0
2010-03-10,24.91,24.95,24.71,24.88,2410900.0,0.0,0
2010-03-11,24.85,24.86,24.6,24.85,2142500.0,0.0,0
2010-03-12,24.85,24.89,24.62,24.83,1906700.0,0.0,0
2010-03-15,24.85,25.06,24.68,25.03,2090800.0,0.0,0
2010-03-16,25.1,25.25,25.02,25.17,2194700.0,0.0,0
2010-03-17,25.26,25.38,25.17,25.23,1658300.0,0.0,0
2010-03-18,25.29,25.4,25.22,25.33,1797900.0,0.0,0
2010-03-19,25.38,25.61,25.24,25.38,4385100.0,0.0,0
2010-03-22,25.29,25.48,25.26,25.46,1962300.0,0.0,0
2010-03-23,25.57,25.79,25.44,25.77,2501800.0,0.0,0
2010-03-24,25.68,25.7,25.25,25.52,2415400.0,0.0,0
2010-03-25,25.69,25.69,25.46,25.46,2169900.0,0.0,0
2010-03-26,25.49,25.73,25.42,25.58,4230200.0,0.0,0
2010-03-29,25.69,25.81,25.51,25.66,1697100.0,0.0,0
2010-03-30,25.72,25.73,25.49,25.58,1705100.0,0.0,0
2010-03-31,25.52,25.68,25.32,25.58,1910200.0,0.0,0
2010-04-01,25.63,25.81,25.55,25.69,1405100.0,0.0,0
2010-04-05,25.79,25.85,25.63,25.76,1256700.0,0.0,0
2010-04-06,25.74,26.03,25.69,25.88,1816300.0,0.0,0
2010-04-07,25.86,25.92,25.72,25.76,1764900.0,0.0,0
2010-04-08,25.75,25.87,25.57,25.71,1651200.0,0.0,0
2010-04-09,25.76,25.85,25.49,25.83,1767100.0,0.0,0
2010-04-12,25.81,25.98,25.78,25.94,1444200.0,0.0,0
2010-04-13,25.77,26.0,25.64,25.9,1869900.0,0.0,0
2010-04-14,25.99,26.07,25.81,26.07,1889900.0,0.0,0
2010-04-15,26.01,26.27,25.93,26.1,2360400.0,0.0,0
2010-04-16,26.11,26.29,25.96,26.02,3290300.0,0.0,0
2010-04-19,26.0,26.16,25.81,26.08,3485600.0,0.0,0
2010-04-20,26.23,26.29,26.0,26.07,2152500.0,0.0,0
2010-04-21,26.13,26.2,26.0,26.1,2407100.0,0.0,0
2010-04-22,26.08,26.26,25.85,26.18,2306600.0,0.0,0
2010-04-23,26.19,26.41,26.12,26.39,2903300.0,0.0,0
2010-04-26,26.47,26.73,26.43,26.49,2305200.0,0.0,0
2010-04-27,26.53,26.53,25.81,25.83,2974900.0,0.0,0
2010-04-28,25.97,26.24,25.87,26.21,3022300.0,0.0,0
2010-04-29,26.21,26.42,25.81,26.07,3829800.0,0.0,0
2010-04-30,25.98,26.24,25.76,25.76,2970000.0,0.0,0
2010-05-03,25.92,26.4,25.87,26.06,2409000.0,0.0,0
2010-05-04,25.87,25.89,25.25,25.4,2213000.0,0.0,0
2010-05-05,25.12,25.4,25.11,25.29,2158100.0,0.0,0
