Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,10.12,10.21,10.02,10.09,8368900,0.0,0.0
2009-12-08,9.94,10.06,9.89,9.94,6242300,0.0,0.0
2009-12-09,9.99,10.09,9.85,9.96,6587200,0.11,0.0
2009-12-10,10.06,10.13,9.96,10.1,6604800,0.0,0.0
2009-12-11,10.1,10.18,10.04,10.09,5633000,0.0,0.0
2009-12-14,10.24,10.55,10.24,10.46,6169400,0.0,0.0
2009-12-15,10.41,10.67,10.4,10.6,5432100,0.0,0.0
2009-12-16,10.72,10.78,10.61,10.69,4419500,0.0,0.0
2009-12-17,10.7,10.75,10.53,10.61,3976000,0.0,0.0
2009-12-18,10.77,10.79,10.55,10.65,8015400,0.0,0.0
2009-12-21,10.68,10.84,10.68,10.8,4007800,0.0,0.0
2009-12-22,10.81,10.88,10.76,10.86,4656200,0.0,0.0
2009-12-23,10.91,10.96,10.77,10.94,3546300,0.0,0.0
2009-12-24,10.92,11.03,10.92,11.0,1009300,0.0,0.0
2009-12-28,11.08,11.08,10.89,10.94,3177600,0.0,0.0
2009-12-29,11.0,11.05,10.96,10.97,5045700,0.0,0.0
2009-12-30,10.93,11.0,10.88,10.97,7580100,0.0,0.0
2009-12-31,11.02,11.09,10.84,10.85,5162400,0.0,0.0
2010-01-04,11.04,11.15,11.02,11.13,7020200,0.0,0.0
2010-01-05,11.07,11.34,11.07,11.27,7415400,0.0,0.0
2010-01-06,11.31,11.66,11.22,11.63,12157100,0.0,0.0
2010-01-07,11.62,11.62,11.41,11.55,6181300,0.0,0.0
2010-01-08,11.54,11.64,11.44,11.64,4703700,0.0,0.0
2010-01-11,11.7,11.8,11.49,11.57,6130100,0.0,0.0
2010-01-12,11.49,11.49,11.21,11.23,6533300,0.0,0.0
2010-01-13,11.25,11.34,11.19,11.24,8901900,0.0,0.0
2010-01-14,11.07,11.32,11.07,11.17,8519200,0.0,0.0
2010-01-15,11.15,11.16,10.93,11.0,6786600,0.0,0.0
2010-01-19,11.72,12.23,11.71,11.89,27213600,0.0,0.0
2010-01-20,11.81,12.12,11.73,11.91,15715700,0.0,0.0
2010-01-21,11.95,12.1,11.61,11.65,12856500,0.0,0.0
2010-01-22,11.52,11.73,11.37,11.39,14050400,0.0,0.0
2010-01-25,11.58,11.78,11.52,11.68,8727600,0.0,0.0
2010-01-26,11.21,11.66,11.21,11.43,10327800,0.0,0.0
2010-01-27,11.39,11.47,11.09,11.32,8085300,0.0,0.0
2010-01-28,11.41,11.55,11.09,11.17,13746800,0.0,0.0
2010-01-29,11.19,11.45,10.66,10.73,12808700,0.0,0.0
2010-02-01,10.87,11.06,10.81,11.06,10441800,0.0,0.0
2010-02-02,11.14,11.37,10.98,11.31,12138900,0.0,0.0
2010-02-03,11.24,11.33,11.12,11.15,5698800,0.0,0.0
2010-02-04,11.06,11.06,10.53,10.54,11911300,0.0,0.0
2010-02-05,10.44,10.59,10.05,10.43,17596100,0.0,0.0
2010-02-08,10.47,10.69,10.43,10.55,11890000,0.0,0.0
2010-02-09,10.7,11.02,10.68,10.84,13006000,0.0,0.0
2010-02-10,10.84,10.97,10.66,10.89,11099700,0.0,0.0
2010-02-11,10.85,11.19,10.78,11.17,8861600,0.0,0.0
2010-02-12,11.01,11.17,10.87,11.14,8074300,0.0,0.0
2010-02-16,11.35,11.52,11.35,11.52,8519700,0.0,0.0
2010-02-17,11.53,11.59,11.42,11.53,6692200,0.0,0.0
2010-02-18,11.39,11.56,11.14,11.41,10930500,0.0,0.0
2010-02-19,11.36,11.46,11.27,11.45,8264500,0.0,0.0
2010-02-22,11.49,11.57,11.05,11.11,10017100,0.0,0.0
2010-02-23,11.06,11.14,10.83,10.93,8221700,0.0,0.0
2010-02-24,10.95,11.13,10.9,11.12,9145300,0.0,0.0
2010-02-25,10.95,11.21,10.84,11.19,6039400,0.0,0.0
2010-02-26,11.22,11.26,11.02,11.09,8651600,0.0,0.0
2010-03-01,11.14,11.36,11.13,11.36,8197200,0.0,0.0
2010-03-02,11.38,11.55,11.37,11.47,8182600,0.0,0.0
2010-03-03,11.48,11.69,11.47,11.63,6656200,0.0,0.0
2010-03-04,11.63,11.76,11.47,11.61,6666500,0.0,0.0
2010-03-05,11.74,11.92,11.7,11.91,7665400,0.0,0.0
2010-03-08,11.9,11.95,11.7,11.77,6240600,0.0,0.0
2010-03-09,11.69,11.8,11.65,11.74,6430500,0.0,0.0
2010-03-10,11.77,11.89,11.71,11.77,9951100,0.11,0.0
2010-03-11,11.7,11.85,11.61,11.81,4784800,0.0,0.0
