Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,13.5,13.59,13.42,13.44,841900,0.0,0.0
2009-12-08,13.35,13.46,13.33,13.44,945700,0.0,0.0
2009-12-09,13.39,13.47,13.3,13.45,1327500,0.0,0.0
2009-12-10,13.46,13.56,13.46,13.49,900300,0.04,0.0
2009-12-11,13.54,13.68,13.48,13.55,1180300,0.0,0.0
2009-12-14,13.59,13.59,13.44,13.56,924300,0.0,0.0
2009-12-15,13.5,13.55,13.41,13.46,1098900,0.0,0.0
2009-12-16,13.53,13.55,13.36,13.44,1260700,0.0,0.0
2009-12-17,13.37,13.37,13.05,13.05,1977900,0.0,0.0
2009-12-18,13.06,13.13,12.76,12.79,5422600,0.0,0.0
2009-12-21,12.82,12.95,12.82,12.92,2551200,0.0,0.0
2009-12-22,12.95,13.06,12.93,13.05,1936600,0.0,0.0
2009-12-23,13.0,13.13,13.0,13.01,1941300,0.0,0.0
2009-12-24,13.07,13.18,13.02,13.18,708400,0.0,0.0
2009-12-28,13.19,13.23,13.1,13.22,1136100,0.0,0.0
2009-12-29,13.28,13.38,13.19,13.38,963700,0.0,0.0
2009-12-30,13.33,13.47,13.32,13.46,932400,0.0,0.0
2009-12-31,13.44,13.57,13.38,13.49,1300800,0.0,0.0
2010-01-04,13.57,13.59,13.4,13.42,2851900,0.0,0.0
2010-01-05,13.39,13.39,13.29,13.37,1715700,0.0,0.0
2010-01-06,13.36,13.44,13.27,13.4,1798800,0.0,0.0
2010-01-07,13.36,13.48,13.24,13.45,1486500,0.0,0.0
2010-01-08,13.39,13.45,13.35,13.44,1043500,0.0,0.0
2010-01-11,13.46,13.48,13.3,13.47,859000,0.0,0.0
2010-01-12,13.38,13.55,13.38,13.52,1368700,0.0,0.0
2010-01-13,13.59,13.79,13.53,13.77,1594500,0.0,0.0
2010-01-14,13.71,13.77,13.56,13.66,1594000,0.0,0.0
2010-01-15,13.61,13.73,13.6,13.65,1667200,0.0,0.0
2010-01-19,13.65,13.74,13.46,13.57,2484700,0.0,0.0
2010-01-20,13.51,13.66,13.5,13.6,1389900,0.0,0.0
2010-01-21,13.65,13.74,13.54,13.69,2739100,0.0,0.0
2010-01-22,13.76,13.78,13.46,13.52,1789900,0.0,0.0
2010-01-25,13.64,13.67,13.46,13.57,908100,0.0,0.0
2010-01-26,13.51,13.69,13.48,13.52,859300,0.0,0.0
2010-01-27,13.49,13.63,13.35,13.52,1461400,0.0,0.0
2010-01-28,13.54,13.54,13.36,13.4,1098700,0.0,0.0
2010-01-29,13.4,13.46,13.32,13.32,2099200,0.0,0.0
2010-02-01,13.39,13.44,13.28,13.4,1480900,0.0,0.0
2010-02-02,13.4,13.44,13.34,13.4,1626000,0.0,0.0
2010-02-03,13.35,13.35,13.24,13.25,1199200,0.0,0.0
2010-02-04,13.19,13.36,13.18,13.2,1682800,0.0,0.0
2010-02-05,13.17,13.36,13.08,13.24,1618000,0.0,0.0
2010-02-08,13.22,13.34,13.08,13.27,1442500,0.0,0.0
2010-02-09,13.42,13.82,13.37,13.64,2517300,0.0,0.0
2010-02-10,13.64,13.7,13.51,13.67,1322100,0.0,0.0
