Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,30.35,30.64,30.11,30.27,1413200.0,0.0,0.0
2009-12-08,30.36,30.38,29.6,29.77,1180200.0,0.0,0.0
2009-12-09,29.83,30.15,29.47,30.02,1159500.0,0.0,0.0
2009-12-10,30.19,30.26,29.55,29.65,1055500.0,0.0,0.0
2009-12-11,29.82,30.18,29.62,30.14,934400.0,0.0,0.0
2009-12-14,30.35,30.53,30.03,30.48,935700.0,0.0,0.0
2009-12-15,33.28,33.55,30.61,30.91,9261100.0,0.0,0.0
2009-12-16,31.5,32.16,31.37,31.54,4025600.0,0.0,0.0
2009-12-17,31.28,31.52,30.82,30.82,1552700.0,0.0,0.0
2009-12-18,30.66,31.07,30.33,30.69,2206100.0,0.0,0.0
2009-12-21,30.7,31.15,30.69,30.91,1109100.0,0.0,0.0
2009-12-22,30.89,31.32,30.82,31.27,1341100.0,0.0,0.0
2009-12-23,31.48,31.52,30.97,31.45,836200.0,0.0,0.0
2009-12-24,31.55,31.71,31.45,31.65,289700.0,0.0,0.0
2009-12-28,31.68,31.78,31.09,31.34,622800.0,0.0,0.0
2009-12-29,31.53,31.65,31.25,31.54,760100.0,0.0,0.0
2009-12-30,31.22,31.45,31.1,31.45,647100.0,0.0,0.0
2009-12-31,31.52,31.6,30.86,30.93,702000.0,0.0,0.0
2010-01-04,31.47,31.85,31.14,31.75,1832400.0,0.0,0.0
2010-01-05,31.75,32.43,31.32,32.42,1724500.0,0.0,0.0
2010-01-06,31.78,32.43,31.51,32.06,2254400.0,0.0,0.0
2010-01-07,31.93,32.0,31.37,31.92,1420700.0,0.0,0.0
2010-01-08,31.73,31.87,31.33,31.62,1310000.0,0.0,0.0
2010-01-11,31.65,31.9,31.39,31.83,1116800.0,0.0,0.0
2010-01-12,31.56,31.83,31.07,31.46,907600.0,0.0,0.0
2010-01-13,31.5,31.83,31.13,31.75,727100.0,0.0,0.0
2010-01-14,31.55,31.65,31.16,31.45,780300.0,0.0,0.0
2010-01-15,31.47,31.63,31.12,31.25,1341000.0,0.0,0.0
2010-01-19,31.24,32.08,31.19,32.06,810000.0,0.0,0.0
2010-01-20,31.79,32.0,31.32,31.53,1265500.0,0.0,0.0
2010-01-21,31.51,31.63,30.08,30.09,1731800.0,0.0,0.0
2010-01-22,29.94,30.3,29.52,29.58,1919900.0,0.0,0.0
2010-01-25,30.01,30.22,29.37,29.72,1634700.0,0.0,0.0
2010-01-26,29.58,30.11,29.47,29.8,1457000.0,0.0,0.0
2010-01-27,29.7,29.75,29.06,29.61,2397500.0,0.05,0.0
2010-01-28,29.81,29.9,28.78,29.06,1383200.0,0.0,0.0
2010-01-29,29.31,29.79,28.62,28.64,2059400.0,0.0,0.0
2010-02-01,28.99,29.44,28.63,29.43,2010100.0,0.0,0.0
2010-02-02,29.47,30.56,29.13,30.48,2245300.0,0.0,0.0
2010-02-03,30.4,30.53,29.79,29.98,2154700.0,0.0,0.0
2010-02-04,30.0,30.0,28.9,28.99,2227800.0,0.0,0.0
2010-02-05,28.73,28.9,27.46,28.32,4533200.0,0.0,0.0
2010-02-08,28.35,28.87,28.14,28.17,2152000.0,0.0,0.0
2010-02-09,28.58,28.9,28.01,28.56,2044900.0,0.0,0.0
2010-02-10,28.56,28.63,27.78,28.17,1230200.0,0.0,0.0
2010-02-11,28.22,28.49,27.92,28.44,1199000.0,0.0,0.0
2010-02-12,28.0,28.43,27.75,28.38,1738400.0,0.0,0.0
2010-02-16,28.73,29.1,28.63,29.06,1627800.0,0.0,0.0
2010-02-17,29.26,29.41,28.68,28.94,1538500.0,0.0,0.0
2010-02-18,28.77,29.19,28.73,29.14,1402100.0,0.0,0.0
2010-02-19,29.07,29.85,28.95,29.64,2016000.0,0.0,0.0
2010-02-22,29.78,29.78,29.07,29.65,1568900.0,0.0,0.0
2010-02-23,29.57,29.77,29.19,29.44,2011600.0,0.0,0.0
2010-02-24,29.6,30.29,29.44,30.18,2135500.0,0.0,0.0
2010-02-25,29.72,29.72,29.12,29.6,2294700.0,0.0,0.0
2010-02-26,29.74,29.88,28.94,29.0,1791400.0,0.0,0.0
2010-03-01,29.2,29.99,29.14,29.95,1823000.0,0.0,0.0
2010-03-02,30.05,30.61,30.05,30.45,1726200.0,0.0,0.0
2010-03-03,30.61,31.04,30.46,30.7,1483200.0,0.0,0.0
2010-03-04,30.83,30.97,30.23,30.53,1221600.0,0.0,0.0
2010-03-05,30.87,31.17,30.79,31.14,966900.0,0.0,0.0
2010-03-08,31.17,31.53,31.12,31.29,1042000.0,0.0,0.0
2010-03-09,31.05,31.63,31.05,31.26,1021000.0,0.0,0.0
2010-03-10,31.27,31.39,30.69,30.87,1377200.0,0.0,0.0
2010-03-11,30.77,31.47,30.71,31.43,1203900.0,0.0,0.0
2010-03-12,31.55,31.79,31.18,31.35,982400.0,0.0,0.0
2010-03-15,31.33,31.38,30.82,31.13,788700.0,0.0,0.0
2010-03-16,31.29,32.12,31.12,32.04,1580100.0,0.0,0.0
2010-03-17,32.09,32.6,32.01,32.53,1177400.0,0.0,0.0
2010-03-18,32.57,32.65,31.96,32.17,1025000.0,0.0,0.0
2010-03-19,31.85,32.53,31.66,31.85,1698800.0,0.0,0.0
2010-03-22,31.49,32.32,31.28,32.27,858300.0,0.0,0.0
2010-03-23,32.3,32.53,31.81,32.53,1054700.0,0.0,0.0
2010-03-24,32.39,32.61,32.19,32.3,885700.0,0.0,0.0
2010-03-25,32.55,32.62,31.66,31.7,1123600.0,0.0,0.0
2010-03-26,31.84,32.36,31.43,31.8,1339200.0,0.0,0.0
2010-03-29,31.93,32.47,31.91,32.22,876400.0,0.0,0.0
2010-03-30,32.2,32.97,32.2,32.48,1459500.0,0.0,0.0
2010-03-31,32.34,32.69,32.12,32.5,1291500.0,0.0,0.0
2010-04-01,32.71,32.98,32.45,32.73,1437800.0,0.0,0.0
2010-04-05,32.83,33.44,32.73,33.11,1163500.0,0.0,0.0
2010-04-06,33.02,33.33,32.81,33.25,1764700.0,0.0,0.0
2010-04-07,33.16,33.39,32.78,33.0,1936600.0,0.0,0.0
2010-04-08,32.91,32.96,32.54,32.9,1726600.0,0.0,0.0
2010-04-09,33.11,33.94,32.71,33.87,2157800.0,0.0,0.0
2010-04-12,33.24,33.35,32.95,33.12,2294800.0,0.0,0.0
2010-04-13,32.98,33.02,32.77,32.88,1694700.0,0.0,0.0
2010-04-14,33.12,33.97,32.9,33.79,1706400.0,0.0,0.0
2010-04-15,33.64,33.93,33.5,33.66,1143200.0,0.0,0.0
2010-04-16,33.56,34.51,33.56,34.35,2724800.0,0.0,0.0
2010-04-19,34.08,34.68,33.84,34.67,2100400.0,0.0,0.0
2010-04-20,34.92,36.1,34.92,35.75,3099700.0,0.0,0.0
2010-04-21,35.85,36.65,35.73,36.61,2812600.0,0.0,0.0
2010-04-22,36.24,37.33,35.93,37.2,3982500.0,0.0,0.0
2010-04-23,37.27,38.33,36.92,38.26,4545400.0,0.0,0.0
2010-04-26,38.39,38.54,37.3,37.46,2625700.0,0.0,0.0
2010-04-27,37.33,37.33,35.83,35.98,3041200.0,0.0,0.0
2010-04-28,35.34,36.27,35.21,35.42,4660900.0,0.05,0.0
2010-04-29,36.29,36.67,35.8,36.44,2818000.0,0.0,0.0
2010-04-30,36.29,36.78,35.57,35.58,2339200.0,0.0,0.0
2010-05-03,35.59,36.62,35.59,36.47,1755300.0,0.0,0.0
2010-05-04,35.89,35.9,34.6,34.98,2263000.0,0.0,0.0
2010-05-05,34.78,35.14,33.97,34.37,2162900.0,0.0,0.0
2010-05-06,35.01,35.01,30.18,32.63,4081000.0,0.0,0.0
2010-05-07,32.07,33.31,31.59,32.1,3575000.0,0.0,0.0
2010-05-10,34.01,34.27,33.25,34.08,2605400.0,0.0,0.0
2010-05-11,33.71,34.48,33.36,33.88,2335400.0,0.0,0.0
2010-05-12,34.11,34.77,33.99,34.76,1703500.0,0.0,0.0
2010-05-13,34.55,34.65,33.66,33.81,1474800.0,0.0,0.0
2010-05-14,33.45,33.58,32.72,33.12,1935100.0,0.0,0.0
2010-05-17,33.28,33.74,32.1,32.86,2044900.0,0.0,0.0
2010-05-18,33.2,33.75,31.7,31.94,2513600.0,0.0,0.0
2010-05-19,31.66,31.96,30.71,31.54,3069000.0,0.0,0.0
2010-05-20,30.39,31.16,30.14,30.14,3501600.0,0.0,0.0
2010-05-21,29.34,31.0,29.2,30.88,2908000.0,0.0,0.0
2010-05-24,30.75,31.01,29.85,29.94,1963100.0,0.0,0.0
2010-05-25,29.11,29.85,28.63,29.84,3581200.0,0.0,0.0
2010-05-26,30.24,30.77,29.83,29.87,2785000.0,0.0,0.0
2010-05-27,30.65,31.03,30.29,31.0,3160300.0,0.0,0.0
2010-05-28,31.51,31.51,30.37,30.6,2103900.0,0.0,0.0
2010-06-01,30.15,30.75,29.65,29.72,2119300.0,0.0,0.0
2010-06-02,29.93,30.51,29.73,30.5,1955000.0,0.0,0.0
2010-06-03,30.5,30.72,29.8,30.16,1517800.0,0.0,0.0
2010-06-04,29.57,29.78,28.71,28.83,2746800.0,0.0,0.0
2010-06-07,28.84,28.88,27.97,28.01,3704300.0,0.0,0.0
