Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,44.1,44.29,42.68,42.84,2233800,0.0,0
2009-12-08,42.28,42.63,41.59,41.91,2693200,0.0,0
2009-12-09,42.17,42.24,41.09,41.67,3404000,0.0,0
2009-12-10,41.81,42.27,40.69,40.89,2192300,0.0,0
2009-12-11,41.09,41.81,40.81,41.01,2632300,0.0,0
2009-12-14,41.56,42.24,40.87,42.21,2198500,0.0,0
2009-12-15,41.86,42.13,40.76,40.88,1925200,0.0,0
2009-12-16,41.26,41.64,40.97,41.18,2075300,0.0,0
2009-12-17,40.85,41.02,39.56,40.15,2401100,0.0,0
2009-12-18,40.36,40.44,39.3,39.71,2465400,0.0,0
2009-12-21,39.87,40.36,39.72,40.26,1423600,0.0,0
2009-12-22,40.39,40.52,39.19,39.29,1375300,0.0,0
2009-12-23,39.27,39.88,38.63,39.68,2122200,0.0,0
2009-12-24,39.86,39.89,39.05,39.29,628700,0.0,0
2009-12-28,39.39,39.56,38.72,38.96,957800,0.0,0
2009-12-29,39.29,39.36,38.89,38.99,966800,0.0,0
2009-12-30,38.85,39.13,38.54,38.84,1021200,0.0,0
2009-12-31,38.99,39.43,38.51,38.52,1090200,0.0,0
2010-01-04,40.52,42.44,40.3,42.32,4741400,0.0,0
2010-01-05,43.12,45.21,42.97,44.89,5644300,0.0,0
2010-01-06,44.37,45.09,43.93,44.3,2738800,0.0,0
2010-01-07,43.98,45.31,43.72,45.25,2388500,0.0,0
2010-01-08,44.78,45.25,44.41,44.92,1539800,0.0,0
2010-01-11,45.0,45.72,44.59,44.78,1909000,0.0,0
2010-01-12,44.64,45.57,44.18,44.98,3306500,0.0,0
2010-01-13,45.27,46.11,44.62,45.91,2959300,0.0,0
2010-01-14,45.66,47.89,45.66,47.71,4431900,0.0,0
2010-01-15,47.62,48.2,46.09,46.64,2742300,0.0,0
2010-01-19,46.44,47.34,46.36,47.19,1326000,0.0,0
2010-01-20,46.52,46.79,44.46,45.09,3639200,0.0,0
2010-01-21,45.09,45.64,43.17,43.25,2756800,0.0,0
2010-01-22,43.14,43.73,42.08,42.31,2227900,0.0,0
2010-01-25,43.0,43.34,41.52,42.07,2048000,0.0,0
2010-01-26,41.58,42.4,41.48,41.58,1623100,0.0,0
2010-01-27,41.52,41.82,40.24,41.52,2616200,0.0,0
2010-01-28,41.93,42.59,40.75,40.87,2331500,0.0,0
2010-01-29,41.42,42.4,40.79,40.94,2626500,0.0,0
2010-02-01,41.22,43.43,41.22,43.36,2510900,0.0,0
2010-02-02,43.08,43.43,42.04,42.9,1950000,0.0,0
2010-02-03,42.4,42.53,41.77,42.5,1976800,0.0,0
2010-02-04,41.96,42.18,40.19,40.25,2245400,0.0,0
2010-02-05,40.62,41.11,39.5,40.6,2634800,0.0,0
2010-02-08,40.79,41.52,39.72,40.2,1496200,0.0,0
2010-02-09,41.04,41.41,40.09,40.77,1838500,0.0,0
2010-02-10,40.69,41.28,40.26,40.62,1256000,0.0,0
2010-02-11,40.54,43.24,40.35,42.98,2880900,0.0,0
2010-02-12,42.17,42.26,41.18,41.71,3141400,0.0,0
2010-02-16,42.33,43.08,42.2,42.94,1977000,0.0,0
2010-02-17,43.32,43.5,42.04,42.61,1679100,0.0,0
2010-02-18,41.87,41.9,40.66,41.03,3167400,0.0,0
2010-02-19,40.79,41.77,40.59,41.18,2159100,0.0,0
2010-02-22,41.42,42.05,41.36,41.69,1679400,0.0,0
2010-02-23,41.75,42.26,41.18,42.13,3269700,0.0,0
2010-02-24,42.28,42.74,41.52,41.91,3057100,0.0,0
2010-02-25,41.28,41.69,40.71,41.55,3694500,0.0,0
2010-02-26,41.34,42.67,40.48,42.06,3955800,0.0,0
2010-03-01,42.69,44.19,42.36,43.81,3104700,0.0,0
2010-03-02,44.33,44.49,43.84,44.24,2190100,0.0,0
